# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "ehzrezG0FoRb8Ac/I37cPA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000001.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.317696e+00   6.211473e-01
  3.315685e-03    7.418167e-01   2.833308e-01
  5.526141e-03    9.341546e-01   2.458564e-01
  7.736597e-03    1.121483e+00   2.275708e-01
  9.947054e-03    1.225982e+00   2.097580e-01
  1.215751e-02    1.381788e+00   2.013675e-01
  1.436797e-02    1.337763e+00   1.822491e-01
  1.657842e-02    1.237478e+00   1.631598e-01
  1.878888e-02    1.209090e+00   1.514931e-01
  2.099934e-02    1.160920e+00   1.404440e-01
  2.320979e-02    1.127094e+00   1.316172e-01
  2.542025e-02    1.034217e+00   1.204801e-01
  2.763070e-02    1.062417e+00   1.171218e-01
  2.984116e-02    1.197473e+00   1.196491e-01
  3.205162e-02    1.202370e+00   1.156925e-01
  3.426207e-02    1.252478e+00   1.141984e-01
  3.647253e-02    1.082441e+00   1.028944e-01
  3.868299e-02    1.189348e+00   1.047370e-01
  4.089344e-02    1.205062e+00   1.025381e-01
  4.310390e-02    1.208497e+00   1.000107e-01
  4.531436e-02    1.228675e+00   9.835225e-02
  4.752481e-02    1.308802e+00   9.911879e-02
  4.973527e-02    1.283662e+00   9.595711e-02
  5.194572e-02    1.308738e+00   9.480458e-02
  5.415618e-02    1.332956e+00   9.370154e-02
  5.636664e-02    1.285045e+00   9.018294e-02
  5.857709e-02    1.218936e+00   8.615986e-02
  6.078755e-02    1.163904e+00   8.264488e-02
  6.299801e-02    1.151601e+00   8.075090e-02
  6.520846e-02    1.237399e+00   8.227457e-02
  6.741892e-02    1.184277e+00   7.915467e-02
  6.962938e-02    1.202819e+00   7.849942e-02
  7.183983e-02    1.224818e+00   7.798441e-02
  7.405029e-02    1.274818e+00   7.836196e-02
  7.626074e-02    1.283677e+00   7.748509e-02
  7.847120e-02    1.373313e+00   7.900576e-02
  8.068166e-02    1.249273e+00   7.431338e-02
  8.289211e-02    1.292787e+00   7.458135e-02
  8.510257e-02    1.204764e+00   7.105596e-02
