# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "22ypyCtj0w1STDTInNquwA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000003.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.138402e+00   5.773441e-01
  3.315685e-03    1.652283e+00   4.228514e-01
  5.526141e-03    1.485586e+00   3.100423e-01
  7.736597e-03    1.349881e+00   2.496709e-01
  9.947054e-03    1.530262e+00   2.343470e-01
  1.215751e-02    1.364843e+00   2.001290e-01
  1.436797e-02    1.396404e+00   1.862007e-01
  1.657842e-02    1.340693e+00   1.698279e-01
  1.878888e-02    1.384893e+00   1.621331e-01
  2.099934e-02    1.384894e+00   1.533947e-01
  2.320979e-02    1.331771e+00   1.430697e-01
  2.542025e-02    1.307228e+00   1.354519e-01
  2.763070e-02    1.379571e+00   1.334635e-01
  2.984116e-02    1.268459e+00   1.231444e-01
  3.205162e-02    1.336991e+00   1.219974e-01
  3.426207e-02    1.434092e+00   1.221978e-01
  3.647253e-02    1.509717e+00   1.215172e-01
  3.868299e-02    1.500051e+00   1.176247e-01
  4.089344e-02    1.507076e+00   1.146696e-01
  4.310390e-02    1.430821e+00   1.088220e-01
  4.531436e-02    1.326333e+00   1.021862e-01
  4.752481e-02    1.351146e+00   1.007094e-01
  4.973527e-02    1.443797e+00   1.017665e-01
  5.194572e-02    1.337752e+00   9.584969e-02
  5.415618e-02    1.465212e+00   9.824014e-02
  5.636664e-02    1.447134e+00   9.570169e-02
  5.857709e-02    1.406993e+00   9.256795e-02
  6.078755e-02    1.363541e+00   8.945225e-02
  6.299801e-02    1.493120e+00   9.194832e-02
  6.520846e-02    1.371157e+00   8.660726e-02
  6.741892e-02    1.416800e+00   8.657730e-02
  6.962938e-02    1.427884e+00   8.552889e-02
  7.183983e-02    1.486056e+00   8.589929e-02
  7.405029e-02    1.414556e+00   8.254510e-02
  7.626074e-02    1.585473e+00   8.611319e-02
  7.847120e-02    1.497682e+00   8.250567e-02
  8.068166e-02    1.499152e+00   8.140688e-02
  8.289211e-02    1.426490e+00   7.834315e-02
  8.510257e-02    1.401731e+00   7.664464e-02
