# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166640",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "04ekl2fRQtnADvOr+mLmqQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000004.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.156810e+00   7.946813e-01
  3.315685e-03    1.762892e+00   4.367755e-01
  5.526141e-03    1.501706e+00   3.117200e-01
  7.736597e-03    9.718283e-01   2.118434e-01
  9.947054e-03    1.340886e+00   2.193675e-01
  1.215751e-02    1.573969e+00   2.149150e-01
  1.436797e-02    1.511997e+00   1.937543e-01
  1.657842e-02    1.528609e+00   1.813396e-01
  1.878888e-02    1.695112e+00   1.793753e-01
  2.099934e-02    1.343255e+00   1.510711e-01
  2.320979e-02    1.425059e+00   1.479957e-01
  2.542025e-02    1.287616e+00   1.344320e-01
  2.763070e-02    1.404047e+00   1.346422e-01
  2.984116e-02    1.434186e+00   1.309421e-01
  3.205162e-02    1.376092e+00   1.237684e-01
  3.426207e-02    1.331565e+00   1.177487e-01
  3.647253e-02    1.365852e+00   1.155824e-01
  3.868299e-02    1.390503e+00   1.132483e-01
  4.089344e-02    1.459692e+00   1.128525e-01
  4.310390e-02    1.367964e+00   1.064048e-01
  4.531436e-02    1.339278e+00   1.026836e-01
  4.752481e-02    1.472061e+00   1.051192e-01
  4.973527e-02    1.345132e+00   9.822775e-02
  5.194572e-02    1.302006e+00   9.456043e-02
  5.415618e-02    1.317396e+00   9.315304e-02
  5.636664e-02    1.334036e+00   9.188591e-02
  5.857709e-02    1.392372e+00   9.208569e-02
  6.078755e-02    1.325996e+00   8.821215e-02
  6.299801e-02    1.441330e+00   9.033959e-02
  6.520846e-02    1.581246e+00   9.300587e-02
  6.741892e-02    1.588263e+00   9.166659e-02
  6.962938e-02    1.556744e+00   8.930482e-02
  7.183983e-02    1.482693e+00   8.580207e-02
  7.405029e-02    1.399226e+00   8.209661e-02
  7.626074e-02    1.543261e+00   8.495911e-02
  7.847120e-02    1.495277e+00   8.243939e-02
  8.068166e-02    1.420728e+00   7.924900e-02
  8.289211e-02    1.447884e+00   7.892846e-02
  8.510257e-02    1.441838e+00   7.773340e-02
