# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "5uyx+uqzh7KTzr6ikLD2cg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000006.dat
#        q_A^-1              I           sigma 
  1.105228e-03    8.395490e-01   4.958039e-01
  3.315685e-03    1.472305e+00   3.991576e-01
  5.526141e-03    1.616135e+00   3.233783e-01
  7.736597e-03    1.724108e+00   2.821645e-01
  9.947054e-03    1.423951e+00   2.260602e-01
  1.215751e-02    1.554864e+00   2.136067e-01
  1.436797e-02    1.480058e+00   1.916969e-01
  1.657842e-02    1.371267e+00   1.717534e-01
  1.878888e-02    1.391980e+00   1.625474e-01
  2.099934e-02    1.317815e+00   1.496337e-01
  2.320979e-02    1.188844e+00   1.351747e-01
  2.542025e-02    1.350193e+00   1.376599e-01
  2.763070e-02    1.449172e+00   1.367887e-01
  2.984116e-02    1.484178e+00   1.332047e-01
  3.205162e-02    1.397317e+00   1.247193e-01
  3.426207e-02    1.474211e+00   1.238953e-01
  3.647253e-02    1.406851e+00   1.173043e-01
  3.868299e-02    1.332374e+00   1.108559e-01
  4.089344e-02    1.302707e+00   1.066115e-01
  4.310390e-02    1.459401e+00   1.099034e-01
  4.531436e-02    1.488590e+00   1.082564e-01
  4.752481e-02    1.369754e+00   1.014006e-01
  4.973527e-02    1.405600e+00   1.004113e-01
  5.194572e-02    1.411481e+00   9.845560e-02
  5.415618e-02    1.305452e+00   9.272979e-02
  5.636664e-02    1.363959e+00   9.291071e-02
  5.857709e-02    1.356460e+00   9.089042e-02
  6.078755e-02    1.380665e+00   9.001224e-02
  6.299801e-02    1.350136e+00   8.743498e-02
  6.520846e-02    1.365939e+00   8.644229e-02
  6.741892e-02    1.427960e+00   8.691764e-02
  6.962938e-02    1.428285e+00   8.554088e-02
  7.183983e-02    1.496555e+00   8.620221e-02
  7.405029e-02    1.426289e+00   8.288672e-02
  7.626074e-02    1.527445e+00   8.452265e-02
  7.847120e-02    1.407682e+00   7.998826e-02
  8.068166e-02    1.468458e+00   8.056921e-02
  8.289211e-02    1.360860e+00   7.651974e-02
  8.510257e-02    1.396581e+00   7.650369e-02
  8.731303e-02    1.456862e+00   7.713899e-02
  8.952348e-02    1.446714e+00   7.591698e-02
  9.173394e-02    1.454504e+00   7.519541e-02
  9.394439e-02    1.439936e+00   7.393003e-02
  9.615485e-02    1.471928e+00   7.388102e-02
  9.836531e-02    1.483816e+00   7.333856e-02
  1.005758e-01    1.490421e+00   7.268985e-02
  1.027862e-01    1.564170e+00   7.365969e-02
  1.049967e-01    1.489959e+00   7.112908e-02
  1.072071e-01    1.484462e+00   7.026114e-02
  1.094176e-01    1.553306e+00   7.114116e-02
  1.116280e-01    1.634982e+00   7.225970e-02
  1.138385e-01    1.623592e+00   7.130366e-02
  1.160490e-01    1.547201e+00   6.893907e-02
  1.182594e-01    1.456004e+00   6.624708e-02
  1.204699e-01    1.358881e+00   6.340906e-02
  1.226803e-01    1.380147e+00   6.332237e-02
  1.248908e-01    1.460821e+00   6.456689e-02
  1.271012e-01    1.613900e+00   6.727158e-02
  1.293117e-01    1.546106e+00   6.527749e-02
  1.315222e-01    1.567705e+00   6.517565e-02
  1.337326e-01    1.505218e+00   6.333231e-02
  1.359431e-01    1.533782e+00   6.396782e-02
  1.381535e-01    1.587690e+00   6.595587e-02
  1.403640e-01    1.483225e+00   6.402436e-02
  1.425744e-01    1.523119e+00   6.498330e-02
  1.447849e-01    1.518239e+00   6.489409e-02
  1.469953e-01    1.467147e+00   6.375286e-02
  1.492058e-01    1.521655e+00   6.485089e-02
  1.514163e-01    1.545149e+00   6.524111e-02
  1.536267e-01    1.618672e+00   6.664488e-02
  1.558372e-01    1.594357e+00   6.599642e-02
  1.580476e-01    1.599232e+00   6.593686e-02
  1.602581e-01    1.512926e+00   6.397007e-02
  1.624685e-01    1.585559e+00   6.530831e-02
  1.646790e-01    1.612033e+00   6.566221e-02
  1.668895e-01    1.652755e+00   6.629435e-02
  1.690999e-01    1.654848e+00   6.613712e-02
  1.713104e-01    1.731477e+00   6.744111e-02
  1.735208e-01    1.712977e+00   6.687130e-02
  1.757313e-01    1.684935e+00   6.611378e-02
  1.779417e-01    1.727802e+00   6.673119e-02
  1.801522e-01    1.726930e+00   6.650186e-02
  1.823626e-01    1.855058e+00   6.869528e-02
  1.845731e-01    1.883106e+00   6.898849e-02
  1.867836e-01    1.931329e+00   6.963044e-02
  1.889940e-01    1.944114e+00   6.963226e-02
  1.912045e-01    1.899453e+00   6.859795e-02
  1.934149e-01    1.977944e+00   6.976664e-02
  1.956254e-01    1.952146e+00   6.908158e-02
  1.978358e-01    2.015679e+00   6.995617e-02
  2.000463e-01    1.978843e+00   6.908431e-02
  2.022568e-01    1.963968e+00   6.859824e-02
  2.044672e-01    2.035820e+00   6.960258e-02
  2.066777e-01    2.084471e+00   7.019554e-02
  2.088881e-01    2.018758e+00   6.885425e-02
  2.110986e-01    2.068312e+00   6.945518e-02
  2.133090e-01    1.949035e+00   6.720359e-02
  2.155195e-01    1.880386e+00   6.579049e-02
  2.177300e-01    1.915157e+00   6.587435e-02
  2.199404e-01    2.005192e+00   6.562890e-02
  2.221509e-01    1.889621e+00   6.266343e-02
  2.243613e-01    1.908413e+00   6.217586e-02
  2.265718e-01    2.038691e+00   6.355476e-02
  2.287822e-01    2.047904e+00   6.306773e-02
  2.309927e-01    2.011827e+00   6.194029e-02
  2.332031e-01    2.121664e+00   6.306423e-02
  2.354136e-01    2.124333e+00   6.259246e-02
  2.376241e-01    2.081807e+00   6.148184e-02
  2.398345e-01    2.068278e+00   6.082819e-02
  2.420450e-01    2.054175e+00   6.018722e-02
  2.442554e-01    2.073721e+00   6.005628e-02
  2.464659e-01    2.085631e+00   5.982413e-02
  2.486763e-01    2.109812e+00   5.977441e-02
  2.508868e-01    2.147151e+00   5.992065e-02
  2.530973e-01    2.104505e+00   5.895482e-02
  2.553077e-01    2.021077e+00   5.742398e-02
  2.575182e-01    2.104458e+00   5.824983e-02
  2.597286e-01    2.119445e+00   5.811710e-02
  2.619391e-01    2.066910e+00   5.706190e-02
  2.641495e-01    1.950872e+00   5.513017e-02
  2.663600e-01    2.033054e+00   5.596989e-02
  2.685704e-01    1.979266e+00   5.492520e-02
  2.707809e-01    1.912175e+00   5.369970e-02
  2.729914e-01    2.002753e+00   5.467042e-02
  2.752018e-01    2.031250e+00   5.477145e-02
  2.774123e-01    2.003282e+00   5.411523e-02
  2.796227e-01    1.966211e+00   5.334701e-02
  2.818332e-01    1.979139e+00   5.325509e-02
  2.840436e-01    1.943418e+00   5.251649e-02
  2.862541e-01    1.981241e+00   5.277019e-02
  2.884646e-01    1.940020e+00   5.197053e-02
  2.906750e-01    1.899906e+00   5.118655e-02
  2.928855e-01    1.951695e+00   5.163912e-02
  2.950959e-01    1.922699e+00   5.101866e-02
  2.973064e-01    1.856298e+00   4.990464e-02
  2.995168e-01    1.952719e+00   5.095248e-02
