# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166610",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "OjGwpXuu7djDiQcVjYJsxw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000008.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.133064e+00   5.759890e-01
  3.315685e-03    1.796991e+00   4.409795e-01
  5.526141e-03    1.748116e+00   3.363236e-01
  7.736597e-03    1.503721e+00   2.635141e-01
  9.947054e-03    1.294940e+00   2.155765e-01
  1.215751e-02    1.368565e+00   2.004017e-01
  1.436797e-02    1.374157e+00   1.847115e-01
  1.657842e-02    1.423883e+00   1.750176e-01
  1.878888e-02    1.192008e+00   1.504191e-01
  2.099934e-02    1.365572e+00   1.523208e-01
  2.320979e-02    1.451045e+00   1.493390e-01
  2.542025e-02    1.297774e+00   1.349612e-01
  2.763070e-02    1.428462e+00   1.358078e-01
  2.984116e-02    1.223062e+00   1.209207e-01
  3.205162e-02    1.360255e+00   1.230542e-01
  3.426207e-02    1.552293e+00   1.271340e-01
  3.647253e-02    1.449517e+00   1.190697e-01
  3.868299e-02    1.472610e+00   1.165439e-01
  4.089344e-02    1.411749e+00   1.109838e-01
  4.310390e-02    1.465850e+00   1.101460e-01
  4.531436e-02    1.481732e+00   1.080067e-01
  4.752481e-02    1.433431e+00   1.037307e-01
  4.973527e-02    1.403152e+00   1.003238e-01
  5.194572e-02    1.337463e+00   9.583933e-02
  5.415618e-02    1.362529e+00   9.473526e-02
  5.636664e-02    1.311106e+00   9.109282e-02
  5.857709e-02    1.381578e+00   9.172808e-02
  6.078755e-02    1.464907e+00   9.271763e-02
  6.299801e-02    1.449493e+00   9.059507e-02
  6.520846e-02    1.388522e+00   8.715396e-02
  6.741892e-02    1.468806e+00   8.815196e-02
  6.962938e-02    1.422644e+00   8.537182e-02
  7.183983e-02    1.493566e+00   8.611608e-02
  7.405029e-02    1.400778e+00   8.214214e-02
  7.626074e-02    1.401319e+00   8.095783e-02
  7.847120e-02    1.437238e+00   8.082363e-02
  8.068166e-02    1.447378e+00   7.998880e-02
  8.289211e-02    1.392146e+00   7.739436e-02
  8.510257e-02    1.385640e+00   7.620341e-02
  8.731303e-02    1.439223e+00   7.667058e-02
  8.952348e-02    1.444747e+00   7.586537e-02
  9.173394e-02    1.446914e+00   7.499895e-02
  9.394439e-02    1.382905e+00   7.245119e-02
  9.615485e-02    1.414457e+00   7.242434e-02
  9.836531e-02    1.491412e+00   7.352605e-02
  1.005758e-01    1.504846e+00   7.304081e-02
  1.027862e-01    1.451600e+00   7.095962e-02
  1.049967e-01    1.525276e+00   7.196714e-02
  1.072071e-01    1.479072e+00   7.013348e-02
  1.094176e-01    1.421370e+00   6.805279e-02
