# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166602",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "2S6gHyMxEO/ZV0+vBEr25A==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000009.dat
#        q_A^-1              I           sigma 
  1.105228e-03    8.626750e-01   5.025862e-01
  3.315685e-03    9.629296e-01   3.228068e-01
  5.526141e-03    1.261590e+00   2.857138e-01
  7.736597e-03    1.326478e+00   2.474972e-01
  9.947054e-03    1.250447e+00   2.118406e-01
  1.215751e-02    1.730626e+00   2.253566e-01
  1.436797e-02    1.518487e+00   1.941697e-01
  1.657842e-02    1.498580e+00   1.795496e-01
  1.878888e-02    1.385133e+00   1.621471e-01
  2.099934e-02    1.298054e+00   1.485075e-01
  2.320979e-02    1.451270e+00   1.493506e-01
  2.542025e-02    1.505190e+00   1.453467e-01
  2.763070e-02    1.250192e+00   1.270512e-01
  2.984116e-02    1.386077e+00   1.287271e-01
  3.205162e-02    1.410461e+00   1.253045e-01
  3.426207e-02    1.478502e+00   1.240754e-01
  3.647253e-02    1.571376e+00   1.239737e-01
  3.868299e-02    1.529558e+00   1.187760e-01
  4.089344e-02    1.266335e+00   1.051127e-01
  4.310390e-02    1.332952e+00   1.050343e-01
  4.531436e-02    1.571410e+00   1.112271e-01
  4.752481e-02    1.492605e+00   1.058501e-01
  4.973527e-02    1.328490e+00   9.761825e-02
  5.194572e-02    1.434636e+00   9.925988e-02
  5.415618e-02    1.490989e+00   9.910053e-02
  5.636664e-02    1.418905e+00   9.476365e-02
  5.857709e-02    1.386658e+00   9.189655e-02
  6.078755e-02    1.428283e+00   9.155130e-02
  6.299801e-02    1.530161e+00   9.308183e-02
  6.520846e-02    1.567502e+00   9.260083e-02
  6.741892e-02    1.456016e+00   8.776734e-02
  6.962938e-02    1.435901e+00   8.576864e-02
  7.183983e-02    1.489098e+00   8.598719e-02
  7.405029e-02    1.369836e+00   8.122983e-02
  7.626074e-02    1.475516e+00   8.307347e-02
  7.847120e-02    1.509974e+00   8.284356e-02
  8.068166e-02    1.501727e+00   8.147676e-02
  8.289211e-02    1.532654e+00   8.120612e-02
  8.510257e-02    1.528043e+00   8.002343e-02
  8.731303e-02    1.484193e+00   7.785921e-02
  8.952348e-02    1.510342e+00   7.756848e-02
  9.173394e-02    1.538352e+00   7.733243e-02
  9.394439e-02    1.481910e+00   7.499983e-02
  9.615485e-02    1.441078e+00   7.310269e-02
  9.836531e-02    1.484135e+00   7.334646e-02
  1.005758e-01    1.522256e+00   7.346208e-02
  1.027862e-01    1.532001e+00   7.289830e-02
  1.049967e-01    1.503037e+00   7.144056e-02
  1.072071e-01    1.527481e+00   7.127196e-02
  1.094176e-01    1.532575e+00   7.066482e-02
  1.116280e-01    1.467983e+00   6.846997e-02
  1.138385e-01    1.492487e+00   6.836417e-02
  1.160490e-01    1.560231e+00   6.922875e-02
  1.182594e-01    1.526673e+00   6.783572e-02
  1.204699e-01    1.456865e+00   6.565537e-02
  1.226803e-01    1.463749e+00   6.521203e-02
  1.248908e-01    1.516343e+00   6.578249e-02
