# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "CFn5R/kCCpYiIIPcvZL0oA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000010.dat
#        q_A^-1              I           sigma 
  1.105228e-03    6.562560e-01   4.383526e-01
  3.315685e-03    9.433745e-01   3.195122e-01
  5.526141e-03    1.538601e+00   3.155260e-01
  7.736597e-03    1.565472e+00   2.688703e-01
  9.947054e-03    1.078040e+00   1.966953e-01
  1.215751e-02    1.325420e+00   1.972174e-01
  1.436797e-02    1.412810e+00   1.872913e-01
  1.657842e-02    1.542022e+00   1.821335e-01
  1.878888e-02    1.434355e+00   1.650030e-01
  2.099934e-02    1.209638e+00   1.433606e-01
  2.320979e-02    1.352627e+00   1.441856e-01
  2.542025e-02    1.421795e+00   1.412628e-01
  2.763070e-02    1.427940e+00   1.357830e-01
  2.984116e-02    1.318634e+00   1.255563e-01
  3.205162e-02    1.414145e+00   1.254681e-01
  3.426207e-02    1.565357e+00   1.276679e-01
  3.647253e-02    1.500773e+00   1.211566e-01
  3.868299e-02    1.327799e+00   1.106654e-01
  4.089344e-02    1.248699e+00   1.043781e-01
  4.310390e-02    1.337099e+00   1.051975e-01
  4.531436e-02    1.380854e+00   1.042653e-01
  4.752481e-02    1.337405e+00   1.001960e-01
  4.973527e-02    1.292413e+00   9.628361e-02
  5.194572e-02    1.361765e+00   9.670614e-02
  5.415618e-02    1.438524e+00   9.734133e-02
  5.636664e-02    1.506565e+00   9.764706e-02
  5.857709e-02    1.536729e+00   9.674160e-02
  6.078755e-02    1.440283e+00   9.193508e-02
  6.299801e-02    1.456595e+00   9.081671e-02
  6.520846e-02    1.403669e+00   8.762805e-02
  6.741892e-02    1.381171e+00   8.548178e-02
  6.962938e-02    1.507614e+00   8.788431e-02
  7.183983e-02    1.539289e+00   8.742430e-02
  7.405029e-02    1.486874e+00   8.462884e-02
  7.626074e-02    1.478204e+00   8.314909e-02
  7.847120e-02    1.394207e+00   7.960450e-02
  8.068166e-02    1.429135e+00   7.948311e-02
  8.289211e-02    1.522316e+00   8.093179e-02
  8.510257e-02    1.520344e+00   7.982159e-02
  8.731303e-02    1.540855e+00   7.933149e-02
  8.952348e-02    1.487936e+00   7.699096e-02
  9.173394e-02    1.470172e+00   7.559934e-02
  9.394439e-02    1.416671e+00   7.333037e-02
  9.615485e-02    1.400581e+00   7.206823e-02
  9.836531e-02    1.497609e+00   7.367864e-02
  1.005758e-01    1.555365e+00   7.425670e-02
  1.027862e-01    1.507265e+00   7.230739e-02
  1.049967e-01    1.486973e+00   7.105776e-02
  1.072071e-01    1.541729e+00   7.160360e-02
  1.094176e-01    1.561903e+00   7.133775e-02
  1.116280e-01    1.549011e+00   7.033426e-02
  1.138385e-01    1.532758e+00   6.928034e-02
  1.160490e-01    1.574562e+00   6.954597e-02
  1.182594e-01    1.535294e+00   6.802696e-02
  1.204699e-01    1.466679e+00   6.587616e-02
  1.226803e-01    1.443377e+00   6.475664e-02
  1.248908e-01    1.502736e+00   6.548667e-02
  1.271012e-01    1.516226e+00   6.520415e-02
  1.293117e-01    1.577355e+00   6.593386e-02
  1.315222e-01    1.554745e+00   6.490570e-02
  1.337326e-01    1.633524e+00   6.597636e-02
  1.359431e-01    1.680734e+00   6.696214e-02
  1.381535e-01    1.545884e+00   6.508174e-02
  1.403640e-01    1.532786e+00   6.508522e-02
  1.425744e-01    1.609771e+00   6.680622e-02
  1.447849e-01    1.552380e+00   6.561968e-02
  1.469953e-01    1.586897e+00   6.630361e-02
  1.492058e-01    1.595656e+00   6.640910e-02
  1.514163e-01    1.557411e+00   6.549946e-02
  1.536267e-01    1.607383e+00   6.641205e-02
  1.558372e-01    1.703274e+00   6.821341e-02
  1.580476e-01    1.654974e+00   6.707613e-02
  1.602581e-01    1.637195e+00   6.654543e-02
  1.624685e-01    1.536746e+00   6.429517e-02
  1.646790e-01    1.518087e+00   6.372015e-02
  1.668895e-01    1.545982e+00   6.411721e-02
  1.690999e-01    1.650468e+00   6.604953e-02
  1.713104e-01    1.707958e+00   6.698152e-02
  1.735208e-01    1.695095e+00   6.652131e-02
  1.757313e-01    1.771617e+00   6.779310e-02
  1.779417e-01    1.795549e+00   6.802686e-02
  1.801522e-01    1.759240e+00   6.712110e-02
  1.823626e-01    1.802531e+00   6.771573e-02
  1.845731e-01    1.876346e+00   6.886455e-02
  1.867836e-01    1.894026e+00   6.895471e-02
  1.889940e-01    1.910665e+00   6.903064e-02
  1.912045e-01    1.935071e+00   6.923813e-02
  1.934149e-01    1.944543e+00   6.917508e-02
  1.956254e-01    2.003968e+00   6.999251e-02
  1.978358e-01    2.036391e+00   7.031468e-02
  2.000463e-01    1.936816e+00   6.834677e-02
  2.022568e-01    2.037261e+00   6.986654e-02
  2.044672e-01    1.927911e+00   6.773282e-02
  2.066777e-01    1.912742e+00   6.724188e-02
  2.088881e-01    1.872945e+00   6.632099e-02
  2.110986e-01    1.970714e+00   6.779665e-02
  2.133090e-01    2.075619e+00   6.935158e-02
  2.155195e-01    2.021877e+00   6.822082e-02
  2.177300e-01    1.921897e+00   6.599019e-02
  2.199404e-01    2.012748e+00   6.575245e-02
  2.221509e-01    1.935703e+00   6.342289e-02
  2.243613e-01    1.942646e+00   6.273106e-02
  2.265718e-01    1.974035e+00   6.253882e-02
  2.287822e-01    2.095942e+00   6.380313e-02
  2.309927e-01    2.118338e+00   6.355877e-02
  2.332031e-01    2.170238e+00   6.378207e-02
  2.354136e-01    2.186954e+00   6.350829e-02
