# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "ZwzlLmE6lVpMVjvrl2ojBQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000013.dat
#        q_A^-1              I           sigma 
  1.105228e-03    9.739523e-01   5.340179e-01
  3.315685e-03    1.049411e+00   3.369910e-01
  5.526141e-03    1.177385e+00   2.760141e-01
  7.736597e-03    1.370473e+00   2.515680e-01
  9.947054e-03    1.465207e+00   2.293116e-01
  1.215751e-02    1.503573e+00   2.100540e-01
  1.436797e-02    1.617613e+00   2.004071e-01
  1.657842e-02    1.146468e+00   1.570455e-01
  1.878888e-02    1.101687e+00   1.446081e-01
  2.099934e-02    1.525851e+00   1.610119e-01
  2.320979e-02    1.424574e+00   1.479706e-01
  2.542025e-02    1.543674e+00   1.471930e-01
  2.763070e-02    1.576415e+00   1.426677e-01
  2.984116e-02    1.581604e+00   1.375072e-01
  3.205162e-02    1.444891e+00   1.268247e-01
  3.426207e-02    1.369578e+00   1.194176e-01
  3.647253e-02    1.524830e+00   1.221238e-01
  3.868299e-02    1.391040e+00   1.132701e-01
  4.089344e-02    1.525175e+00   1.153561e-01
  4.310390e-02    1.463020e+00   1.100396e-01
  4.531436e-02    1.367895e+00   1.037749e-01
  4.752481e-02    1.471233e+00   1.050896e-01
  4.973527e-02    1.466761e+00   1.025726e-01
  5.194572e-02    1.545403e+00   1.030205e-01
  5.415618e-02    1.522175e+00   1.001316e-01
  5.636664e-02    1.531136e+00   9.844011e-02
  5.857709e-02    1.453455e+00   9.408391e-02
  6.078755e-02    1.473547e+00   9.299067e-02
  6.299801e-02    1.389397e+00   8.869715e-02
  6.520846e-02    1.401433e+00   8.755819e-02
  6.741892e-02    1.348659e+00   8.446971e-02
  6.962938e-02    1.348023e+00   8.310268e-02
  7.183983e-02    1.358879e+00   8.214147e-02
  7.405029e-02    1.432475e+00   8.306627e-02
  7.626074e-02    1.475508e+00   8.307324e-02
  7.847120e-02    1.438626e+00   8.086266e-02
  8.068166e-02    1.478142e+00   8.083442e-02
  8.289211e-02    1.497944e+00   8.028132e-02
  8.510257e-02    1.471565e+00   7.853064e-02
  8.731303e-02    1.583229e+00   8.041490e-02
  8.952348e-02    1.611979e+00   8.013593e-02
  9.173394e-02    1.563054e+00   7.795087e-02
  9.394439e-02    1.511232e+00   7.573815e-02
  9.615485e-02    1.557537e+00   7.599919e-02
  9.836531e-02    1.569637e+00   7.542965e-02
  1.005758e-01    1.526243e+00   7.355822e-02
  1.027862e-01    1.533745e+00   7.293978e-02
  1.049967e-01    1.482738e+00   7.095648e-02
  1.072071e-01    1.559198e+00   7.200810e-02
  1.094176e-01    1.545400e+00   7.095989e-02
  1.116280e-01    1.461201e+00   6.831163e-02
  1.138385e-01    1.513574e+00   6.884544e-02
  1.160490e-01    1.492234e+00   6.770341e-02
  1.182594e-01    1.446048e+00   6.602017e-02
  1.204699e-01    1.459133e+00   6.570647e-02
  1.226803e-01    1.552079e+00   6.715079e-02
  1.248908e-01    1.624408e+00   6.808621e-02
  1.271012e-01    1.695468e+00   6.895060e-02
  1.293117e-01    1.641086e+00   6.725266e-02
  1.315222e-01    1.610607e+00   6.606143e-02
  1.337326e-01    1.646442e+00   6.623672e-02
  1.359431e-01    1.591964e+00   6.516982e-02
  1.381535e-01    1.530291e+00   6.475265e-02
  1.403640e-01    1.489384e+00   6.415715e-02
  1.425744e-01    1.572886e+00   6.603640e-02
  1.447849e-01    1.569383e+00   6.597805e-02
  1.469953e-01    1.549076e+00   6.550875e-02
  1.492058e-01    1.554481e+00   6.554665e-02
  1.514163e-01    1.593690e+00   6.625797e-02
  1.536267e-01    1.573439e+00   6.570710e-02
  1.558372e-01    1.558707e+00   6.525438e-02
  1.580476e-01    1.575176e+00   6.543903e-02
  1.602581e-01    1.647009e+00   6.674456e-02
  1.624685e-01    1.639698e+00   6.641395e-02
  1.646790e-01    1.621656e+00   6.585789e-02
  1.668895e-01    1.717725e+00   6.758480e-02
  1.690999e-01    1.838144e+00   6.970374e-02
  1.713104e-01    1.801887e+00   6.879869e-02
  1.735208e-01    1.825016e+00   6.902351e-02
  1.757313e-01    1.836949e+00   6.903180e-02
  1.779417e-01    1.866456e+00   6.935706e-02
  1.801522e-01    1.916309e+00   7.005340e-02
  1.823626e-01    1.936157e+00   7.018084e-02
  1.845731e-01    1.875872e+00   6.885586e-02
  1.867836e-01    1.912640e+00   6.929272e-02
  1.889940e-01    1.911101e+00   6.903849e-02
  1.912045e-01    2.118642e+00   7.244787e-02
  1.934149e-01    2.079029e+00   7.152719e-02
  1.956254e-01    2.016711e+00   7.021473e-02
  1.978358e-01    1.929123e+00   6.843767e-02
  2.000463e-01    1.962989e+00   6.880701e-02
  2.022568e-01    2.012151e+00   6.943464e-02
  2.044672e-01    2.091639e+00   7.055032e-02
  2.066777e-01    1.988599e+00   6.856231e-02
  2.088881e-01    2.008487e+00   6.867884e-02
  2.110986e-01    1.938725e+00   6.724420e-02
  2.133090e-01    1.877264e+00   6.595462e-02
  2.155195e-01    1.962364e+00   6.720929e-02
  2.177300e-01    1.950799e+00   6.648452e-02
  2.199404e-01    1.922275e+00   6.425767e-02
  2.221509e-01    1.916033e+00   6.309982e-02
