# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "eMd1btftPCQy8+kP/FBDXw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000014.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.805268e+00   7.270393e-01
  3.315685e-03    1.660656e+00   4.239213e-01
  5.526141e-03    1.386010e+00   2.994714e-01
  7.736597e-03    1.312446e+00   2.461846e-01
  9.947054e-03    1.318738e+00   2.175484e-01
  1.215751e-02    1.322781e+00   1.970210e-01
  1.436797e-02    1.195404e+00   1.722793e-01
  1.657842e-02    1.312633e+00   1.680413e-01
  1.878888e-02    1.396686e+00   1.628219e-01
  2.099934e-02    1.391755e+00   1.537742e-01
  2.320979e-02    1.535630e+00   1.536301e-01
  2.542025e-02    1.500796e+00   1.451344e-01
  2.763070e-02    1.547347e+00   1.413462e-01
  2.984116e-02    1.408960e+00   1.297854e-01
  3.205162e-02    1.419037e+00   1.256849e-01
  3.426207e-02    1.334181e+00   1.178643e-01
  3.647253e-02    1.429402e+00   1.182407e-01
  3.868299e-02    1.474630e+00   1.166238e-01
  4.089344e-02    1.497743e+00   1.143140e-01
  4.310390e-02    1.483230e+00   1.107970e-01
  4.531436e-02    1.377661e+00   1.041447e-01
  4.752481e-02    1.374344e+00   1.015703e-01
  4.973527e-02    1.444353e+00   1.017861e-01
  5.194572e-02    1.457160e+00   1.000361e-01
  5.415618e-02    1.423922e+00   9.684603e-02
  5.636664e-02    1.443575e+00   9.558393e-02
  5.857709e-02    1.527759e+00   9.645882e-02
  6.078755e-02    1.490792e+00   9.353321e-02
  6.299801e-02    1.449090e+00   9.058248e-02
  6.520846e-02    1.535101e+00   9.163875e-02
  6.741892e-02    1.530873e+00   8.999521e-02
  6.962938e-02    1.611980e+00   9.087537e-02
  7.183983e-02    1.490183e+00   8.601850e-02
  7.405029e-02    1.460394e+00   8.387185e-02
  7.626074e-02    1.477983e+00   8.314288e-02
  7.847120e-02    1.514166e+00   8.295848e-02
  8.068166e-02    1.482686e+00   8.095858e-02
  8.289211e-02    1.438627e+00   7.867574e-02
  8.510257e-02    1.479686e+00   7.874703e-02
