# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "qpHk+LiPA58O6AdVq6ZkKQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000017.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.663308e+00   6.978679e-01
  3.315685e-03    1.520174e+00   4.055945e-01
  5.526141e-03    1.368471e+00   2.975705e-01
  7.736597e-03    1.628138e+00   2.741990e-01
  9.947054e-03    1.471485e+00   2.298023e-01
  1.215751e-02    1.369476e+00   2.004684e-01
  1.436797e-02    1.541787e+00   1.956537e-01
  1.657842e-02    1.563199e+00   1.833799e-01
  1.878888e-02    1.354983e+00   1.603727e-01
  2.099934e-02    1.346525e+00   1.512548e-01
  2.320979e-02    1.530607e+00   1.533785e-01
  2.542025e-02    1.384102e+00   1.393778e-01
  2.763070e-02    1.374127e+00   1.331999e-01
  2.984116e-02    1.234712e+00   1.214953e-01
  3.205162e-02    1.439355e+00   1.265815e-01
  3.426207e-02    1.474614e+00   1.239122e-01
  3.647253e-02    1.485773e+00   1.205496e-01
  3.868299e-02    1.574483e+00   1.205077e-01
  4.089344e-02    1.510299e+00   1.147922e-01
  4.310390e-02    1.338082e+00   1.052362e-01
  4.531436e-02    1.408357e+00   1.052985e-01
  4.752481e-02    1.427096e+00   1.035012e-01
  4.973527e-02    1.479506e+00   1.030173e-01
  5.194572e-02    1.491353e+00   1.012029e-01
  5.415618e-02    1.448392e+00   9.767463e-02
  5.636664e-02    1.397768e+00   9.405519e-02
  5.857709e-02    1.445179e+00   9.381565e-02
  6.078755e-02    1.426171e+00   9.148359e-02
  6.299801e-02    1.429840e+00   8.997878e-02
  6.520846e-02    1.463259e+00   8.946874e-02
  6.741892e-02    1.368928e+00   8.510207e-02
  6.962938e-02    1.360743e+00   8.349382e-02
  7.183983e-02    1.450836e+00   8.487526e-02
  7.405029e-02    1.540007e+00   8.612766e-02
  7.626074e-02    1.525392e+00   8.446584e-02
  7.847120e-02    1.522625e+00   8.318987e-02
  8.068166e-02    1.513089e+00   8.178442e-02
  8.289211e-02    1.494036e+00   8.017655e-02
  8.510257e-02    1.506805e+00   7.946537e-02
  8.731303e-02    1.517141e+00   7.871864e-02
  8.952348e-02    1.569521e+00   7.907353e-02
  9.173394e-02    1.570340e+00   7.813231e-02
  9.394439e-02    1.685594e+00   7.998820e-02
  9.615485e-02    1.503382e+00   7.466627e-02
  9.836531e-02    1.538706e+00   7.468272e-02
  1.005758e-01    1.663625e+00   7.679750e-02
  1.027862e-01    1.646413e+00   7.557137e-02
  1.049967e-01    1.613304e+00   7.401471e-02
  1.072071e-01    1.554557e+00   7.190087e-02
  1.094176e-01    1.488455e+00   6.964023e-02
  1.116280e-01    1.538863e+00   7.010350e-02
  1.138385e-01    1.557855e+00   6.984524e-02
  1.160490e-01    1.535709e+00   6.868256e-02
  1.182594e-01    1.594661e+00   6.932971e-02
  1.204699e-01    1.625266e+00   6.934625e-02
  1.226803e-01    1.569971e+00   6.753677e-02
  1.248908e-01    1.554263e+00   6.659994e-02
  1.271012e-01    1.490389e+00   6.464624e-02
  1.293117e-01    1.507243e+00   6.445183e-02
  1.315222e-01    1.684702e+00   6.756390e-02
  1.337326e-01    1.605768e+00   6.541345e-02
  1.359431e-01    1.584730e+00   6.502157e-02
  1.381535e-01    1.563247e+00   6.544619e-02
  1.403640e-01    1.602046e+00   6.653943e-02
  1.425744e-01    1.591020e+00   6.641601e-02
  1.447849e-01    1.588104e+00   6.637039e-02
  1.469953e-01    1.576028e+00   6.607617e-02
  1.492058e-01    1.508987e+00   6.458038e-02
  1.514163e-01    1.571403e+00   6.579302e-02
  1.536267e-01    1.647464e+00   6.723497e-02
  1.558372e-01    1.698548e+00   6.811869e-02
  1.580476e-01    1.691311e+00   6.780850e-02
  1.602581e-01    1.602383e+00   6.583414e-02
  1.624685e-01    1.603719e+00   6.568123e-02
  1.646790e-01    1.680066e+00   6.703347e-02
  1.668895e-01    1.638654e+00   6.601096e-02
  1.690999e-01    1.696669e+00   6.696761e-02
  1.713104e-01    1.745146e+00   6.770680e-02
  1.735208e-01    1.776965e+00   6.810880e-02
  1.757313e-01    1.776088e+00   6.787860e-02
  1.779417e-01    1.769920e+00   6.753962e-02
  1.801522e-01    1.894496e+00   6.965356e-02
  1.823626e-01    1.928800e+00   7.004736e-02
  1.845731e-01    1.943196e+00   7.008056e-02
  1.867836e-01    1.901438e+00   6.908949e-02
  1.889940e-01    2.054438e+00   7.158073e-02
  1.912045e-01    2.005476e+00   7.048646e-02
  1.934149e-01    1.916059e+00   6.866659e-02
  1.956254e-01    1.915903e+00   6.843730e-02
  1.978358e-01    1.970553e+00   6.916866e-02
  2.000463e-01    1.930411e+00   6.823366e-02
  2.022568e-01    1.973573e+00   6.876580e-02
  2.044672e-01    1.988587e+00   6.879041e-02
  2.066777e-01    1.979384e+00   6.840324e-02
  2.088881e-01    1.939121e+00   6.748247e-02
  2.110986e-01    1.923142e+00   6.697341e-02
  2.133090e-01    1.875592e+00   6.592526e-02
  2.155195e-01    1.867400e+00   6.556288e-02
  2.177300e-01    1.980231e+00   6.698417e-02
  2.199404e-01    2.033485e+00   6.609030e-02
