# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "hmPdA1XQ9/kGalZCnDlFTA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000018.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.450369e+00   8.470378e-01
  3.315685e-03    2.252310e+00   4.936959e-01
  5.526141e-03    1.767614e+00   3.381940e-01
  7.736597e-03    1.543815e+00   2.670040e-01
  9.947054e-03    1.634259e+00   2.421793e-01
  1.215751e-02    1.467034e+00   2.074860e-01
  1.436797e-02    1.336323e+00   1.821510e-01
  1.657842e-02    1.465169e+00   1.775368e-01
  1.878888e-02    1.267174e+00   1.550892e-01
  2.099934e-02    1.343255e+00   1.510711e-01
  2.320979e-02    1.338045e+00   1.434063e-01
  2.542025e-02    1.481775e+00   1.442117e-01
  2.763070e-02    1.364054e+00   1.327107e-01
  2.984116e-02    1.362287e+00   1.276176e-01
  3.205162e-02    1.516702e+00   1.299381e-01
  3.426207e-02    1.402681e+00   1.208521e-01
  3.647253e-02    1.414734e+00   1.176324e-01
  3.868299e-02    1.571826e+00   1.204059e-01
  4.089344e-02    1.442497e+00   1.121859e-01
  4.310390e-02    1.439536e+00   1.091529e-01
  4.531436e-02    1.414282e+00   1.055198e-01
  4.752481e-02    1.390898e+00   1.021802e-01
  4.973527e-02    1.474036e+00   1.028267e-01
  5.194572e-02    1.447816e+00   9.971482e-02
  5.415618e-02    1.427416e+00   9.696479e-02
  5.636664e-02    1.492459e+00   9.718884e-02
  5.857709e-02    1.381934e+00   9.173989e-02
  6.078755e-02    1.397520e+00   9.055997e-02
  6.299801e-02    1.436419e+00   9.018557e-02
  6.520846e-02    1.475126e+00   8.983081e-02
  6.741892e-02    1.501402e+00   8.912474e-02
  6.962938e-02    1.563880e+00   8.950928e-02
  7.183983e-02    1.497753e+00   8.623671e-02
  7.405029e-02    1.523773e+00   8.567248e-02
  7.626074e-02    1.395571e+00   8.079164e-02
  7.847120e-02    1.481163e+00   8.204938e-02
  8.068166e-02    1.554626e+00   8.289938e-02
  8.289211e-02    1.508899e+00   8.057434e-02
  8.510257e-02    1.491789e+00   7.906843e-02
  8.731303e-02    1.399791e+00   7.561298e-02
  8.952348e-02    1.462031e+00   7.631778e-02
  9.173394e-02    1.536661e+00   7.728992e-02
  9.394439e-02    1.471287e+00   7.473054e-02
  9.615485e-02    1.559101e+00   7.603732e-02
  9.836531e-02    1.536223e+00   7.462247e-02
  1.005758e-01    1.550742e+00   7.414626e-02
  1.027862e-01    1.555299e+00   7.345051e-02
  1.049967e-01    1.490529e+00   7.114269e-02
  1.072071e-01    1.477744e+00   7.010198e-02
  1.094176e-01    1.538441e+00   7.079992e-02
  1.116280e-01    1.607080e+00   7.164048e-02
  1.138385e-01    1.597975e+00   7.073890e-02
  1.160490e-01    1.566212e+00   6.936133e-02
  1.182594e-01    1.531952e+00   6.795289e-02
  1.204699e-01    1.525293e+00   6.717957e-02
  1.226803e-01    1.603632e+00   6.825693e-02
  1.248908e-01    1.618585e+00   6.796407e-02
  1.271012e-01    1.542199e+00   6.576027e-02
  1.293117e-01    1.513054e+00   6.457596e-02
  1.315222e-01    1.613163e+00   6.611384e-02
  1.337326e-01    1.557510e+00   6.442301e-02
  1.359431e-01    1.660264e+00   6.655309e-02
  1.381535e-01    1.624745e+00   6.672110e-02
  1.403640e-01    1.627615e+00   6.706833e-02
  1.425744e-01    1.690262e+00   6.845608e-02
