# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166598",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "gqQ+b87yXfHwWvS1HmTzMw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000019.dat
#        q_A^-1              I           sigma 
  1.105228e-03    9.201699e-01   5.190641e-01
  3.315685e-03    1.343622e+00   3.813151e-01
  5.526141e-03    1.625811e+00   3.243449e-01
  7.736597e-03    1.578320e+00   2.699714e-01
  9.947054e-03    1.432494e+00   2.267373e-01
  1.215751e-02    1.354956e+00   1.994028e-01
  1.436797e-02    1.624397e+00   2.008269e-01
  1.657842e-02    1.535563e+00   1.817516e-01
  1.878888e-02    1.503282e+00   1.689210e-01
  2.099934e-02    1.448649e+00   1.568858e-01
  2.320979e-02    1.348754e+00   1.439790e-01
  2.542025e-02    1.324876e+00   1.363631e-01
  2.763070e-02    1.376824e+00   1.333305e-01
  2.984116e-02    1.482948e+00   1.331495e-01
  3.205162e-02    1.424864e+00   1.259427e-01
  3.426207e-02    1.490307e+00   1.245698e-01
  3.647253e-02    1.517282e+00   1.218212e-01
  3.868299e-02    1.544545e+00   1.193565e-01
  4.089344e-02    1.573116e+00   1.171551e-01
  4.310390e-02    1.413384e+00   1.081569e-01
  4.531436e-02    1.411575e+00   1.054187e-01
  4.752481e-02    1.420717e+00   1.032697e-01
  4.973527e-02    1.490441e+00   1.033973e-01
  5.194572e-02    1.501983e+00   1.015630e-01
  5.415618e-02    1.471374e+00   9.844651e-02
  5.636664e-02    1.423568e+00   9.491925e-02
  5.857709e-02    1.491582e+00   9.530991e-02
  6.078755e-02    1.470749e+00   9.290233e-02
  6.299801e-02    1.497064e+00   9.206967e-02
  6.520846e-02    1.392092e+00   8.726591e-02
  6.741892e-02    1.318724e+00   8.352699e-02
  6.962938e-02    1.418942e+00   8.526064e-02
  7.183983e-02    1.509922e+00   8.658632e-02
  7.405029e-02    1.499570e+00   8.498938e-02
  7.626074e-02    1.466931e+00   8.283143e-02
  7.847120e-02    1.478630e+00   8.197920e-02
  8.068166e-02    1.524498e+00   8.209217e-02
  8.289211e-02    1.509583e+00   8.059260e-02
  8.510257e-02    1.543447e+00   8.042578e-02
