# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166592",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "F5aT8QIUkVFcvCrKlCGfhg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000022.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.607658e+00   6.860943e-01
  3.315685e-03    1.412620e+00   3.909832e-01
  5.526141e-03    1.135085e+00   2.710106e-01
  7.736597e-03    1.321031e+00   2.469885e-01
  9.947054e-03    1.277042e+00   2.140815e-01
  1.215751e-02    1.452912e+00   2.064849e-01
  1.436797e-02    1.264364e+00   1.771789e-01
  1.657842e-02    1.203229e+00   1.608861e-01
  1.878888e-02    1.271164e+00   1.553332e-01
  2.099934e-02    1.283860e+00   1.476933e-01
  2.320979e-02    1.385162e+00   1.459094e-01
  2.542025e-02    1.517668e+00   1.459479e-01
  2.763070e-02    1.365453e+00   1.327788e-01
  2.984116e-02    1.679385e+00   1.416940e-01
  3.205162e-02    1.543835e+00   1.310952e-01
  3.426207e-02    1.437791e+00   1.223553e-01
  3.647253e-02    1.459715e+00   1.194879e-01
  3.868299e-02    1.342539e+00   1.112779e-01
  4.089344e-02    1.394588e+00   1.103072e-01
  4.310390e-02    1.490143e+00   1.110549e-01
  4.531436e-02    1.466678e+00   1.074566e-01
  4.752481e-02    1.305730e+00   9.900241e-02
  4.973527e-02    1.452125e+00   1.020596e-01
  5.194572e-02    1.425801e+00   9.895378e-02
  5.415618e-02    1.250550e+00   9.075894e-02
  5.636664e-02    1.206504e+00   8.738351e-02
  5.857709e-02    1.369532e+00   9.132730e-02
  6.078755e-02    1.344074e+00   8.881146e-02
  6.299801e-02    1.318761e+00   8.641306e-02
  6.520846e-02    1.437225e+00   8.866927e-02
  6.741892e-02    1.432888e+00   8.706747e-02
  6.962938e-02    1.461073e+00   8.651718e-02
  7.183983e-02    1.375063e+00   8.262917e-02
  7.405029e-02    1.317383e+00   7.965945e-02
  7.626074e-02    1.279338e+00   7.735402e-02
  7.847120e-02    1.495772e+00   8.245305e-02
  8.068166e-02    1.547419e+00   8.270700e-02
  8.289211e-02    1.520103e+00   8.087296e-02
  8.510257e-02    1.481075e+00   7.878397e-02
