# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "cLovu82GvxletVci5E1KKA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000024.dat
#        q_A^-1              I           sigma 
  1.105228e-03    6.993898e-01   4.525292e-01
  3.315685e-03    9.919703e-01   3.276384e-01
  5.526141e-03    7.743496e-01   2.238415e-01
  7.736597e-03    9.486787e-01   2.093051e-01
  9.947054e-03    1.062981e+00   1.953167e-01
  1.215751e-02    1.318803e+00   1.967246e-01
  1.436797e-02    1.322609e+00   1.812139e-01
  1.657842e-02    1.256763e+00   1.644263e-01
  1.878888e-02    1.197644e+00   1.507743e-01
  2.099934e-02    1.247200e+00   1.455694e-01
  2.320979e-02    1.340604e+00   1.435433e-01
  2.542025e-02    1.425577e+00   1.414506e-01
  2.763070e-02    1.325123e+00   1.308032e-01
  2.984116e-02    1.354541e+00   1.272543e-01
  3.205162e-02    1.248739e+00   1.179023e-01
  3.426207e-02    1.263785e+00   1.147127e-01
  3.647253e-02    1.321455e+00   1.136883e-01
  3.868299e-02    1.456275e+00   1.158957e-01
  4.089344e-02    1.389412e+00   1.101023e-01
  4.310390e-02    1.406897e+00   1.079083e-01
  4.531436e-02    1.396084e+00   1.048387e-01
  4.752481e-02    1.558749e+00   1.081700e-01
  4.973527e-02    1.506619e+00   1.039570e-01
  5.194572e-02    1.278470e+00   9.370185e-02
  5.415618e-02    1.268651e+00   9.141339e-02
  5.636664e-02    1.404788e+00   9.429108e-02
  5.857709e-02    1.381755e+00   9.173393e-02
  6.078755e-02    1.330747e+00   8.837004e-02
  6.299801e-02    1.556504e+00   9.387966e-02
  6.520846e-02    1.484528e+00   9.011662e-02
  6.741892e-02    1.451814e+00   8.764062e-02
  6.962938e-02    1.343142e+00   8.295210e-02
  7.183983e-02    1.296151e+00   8.022318e-02
  7.405029e-02    1.448534e+00   8.353058e-02
  7.626074e-02    1.467435e+00   8.284566e-02
  7.847120e-02    1.443287e+00   8.099356e-02
  8.068166e-02    1.406752e+00   7.885823e-02
  8.289211e-02    1.458794e+00   7.922525e-02
  8.510257e-02    1.405742e+00   7.675421e-02
