# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "4BhDWWp5d5uWrrpaC7HmPQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000028.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.442483e+00   6.498938e-01
  3.315685e-03    1.603526e+00   4.165656e-01
  5.526141e-03    1.320533e+00   2.923121e-01
  7.736597e-03    1.041917e+00   2.193496e-01
  9.947054e-03    8.063593e-01   1.701143e-01
  1.215751e-02    1.182874e+00   1.863107e-01
  1.436797e-02    1.342530e+00   1.825735e-01
  1.657842e-02    1.272314e+00   1.654404e-01
  1.878888e-02    1.228753e+00   1.527200e-01
  2.099934e-02    1.277174e+00   1.473083e-01
  2.320979e-02    1.341611e+00   1.435972e-01
  2.542025e-02    1.365398e+00   1.384328e-01
  2.763070e-02    1.186782e+00   1.237872e-01
  2.984116e-02    1.259784e+00   1.227226e-01
  3.205162e-02    1.216683e+00   1.163791e-01
  3.426207e-02    1.333761e+00   1.178457e-01
  3.647253e-02    1.322091e+00   1.137157e-01
  3.868299e-02    1.346230e+00   1.114308e-01
  4.089344e-02    1.317323e+00   1.072079e-01
  4.310390e-02    1.358957e+00   1.060539e-01
  4.531436e-02    1.365747e+00   1.036934e-01
  4.752481e-02    1.457242e+00   1.045887e-01
  4.973527e-02    1.370131e+00   9.913635e-02
  5.194572e-02    1.272382e+00   9.347847e-02
  5.415618e-02    1.394451e+00   9.583859e-02
  5.636664e-02    1.435777e+00   9.532543e-02
  5.857709e-02    1.346488e+00   9.055571e-02
  6.078755e-02    1.448725e+00   9.220412e-02
  6.299801e-02    1.367425e+00   8.799302e-02
  6.520846e-02    1.307852e+00   8.458434e-02
  6.741892e-02    1.331795e+00   8.393992e-02
  6.962938e-02    1.459254e+00   8.646329e-02
  7.183983e-02    1.457770e+00   8.507785e-02
  7.405029e-02    1.375336e+00   8.139273e-02
  7.626074e-02    1.395430e+00   8.078756e-02
  7.847120e-02    1.390654e+00   7.950301e-02
  8.068166e-02    1.391613e+00   7.843276e-02
  8.289211e-02    1.362597e+00   7.656854e-02
  8.510257e-02    1.448547e+00   7.791402e-02
