# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166614",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "75YBjc4QnLpwijWAckTRVQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000029.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.105879e+00   5.690373e-01
  3.315685e-03    1.568416e+00   4.119799e-01
  5.526141e-03    1.536275e+00   3.152874e-01
  7.736597e-03    1.472712e+00   2.607828e-01
  9.947054e-03    1.584325e+00   2.384508e-01
  1.215751e-02    1.383318e+00   2.014789e-01
  1.436797e-02    1.101349e+00   1.653630e-01
  1.657842e-02    1.279136e+00   1.658834e-01
  1.878888e-02    1.375691e+00   1.615936e-01
  2.099934e-02    1.349487e+00   1.514211e-01
  2.320979e-02    1.334259e+00   1.432033e-01
  2.542025e-02    1.447796e+00   1.425487e-01
  2.763070e-02    1.382399e+00   1.336002e-01
  2.984116e-02    1.495973e+00   1.337329e-01
  3.205162e-02    1.303336e+00   1.204521e-01
  3.426207e-02    1.257487e+00   1.144265e-01
  3.647253e-02    1.494620e+00   1.209080e-01
  3.868299e-02    1.291350e+00   1.091359e-01
  4.089344e-02    1.286767e+00   1.059572e-01
  4.310390e-02    1.390365e+00   1.072725e-01
  4.531436e-02    1.267560e+00   9.989648e-02
  4.752481e-02    1.385302e+00   1.019744e-01
  4.973527e-02    1.401305e+00   1.002578e-01
  5.194572e-02    1.497830e+00   1.014225e-01
  5.415618e-02    1.351402e+00   9.434765e-02
  5.636664e-02    1.315438e+00   9.124316e-02
  5.857709e-02    1.418721e+00   9.295294e-02
  6.078755e-02    1.402840e+00   9.073219e-02
  6.299801e-02    1.435765e+00   9.016503e-02
  6.520846e-02    1.417532e+00   8.805967e-02
  6.741892e-02    1.418475e+00   8.662847e-02
  6.962938e-02    1.400563e+00   8.470668e-02
  7.183983e-02    1.452886e+00   8.493523e-02
  7.405029e-02    1.451850e+00   8.362615e-02
  7.626074e-02    1.282715e+00   7.745606e-02
  7.847120e-02    1.306513e+00   7.706033e-02
  8.068166e-02    1.296365e+00   7.570104e-02
  8.289211e-02    1.266442e+00   7.381751e-02
  8.510257e-02    1.281578e+00   7.328614e-02
  8.731303e-02    1.363247e+00   7.461944e-02
  8.952348e-02    1.487351e+00   7.697579e-02
  9.173394e-02    1.581187e+00   7.840172e-02
  9.394439e-02    1.477902e+00   7.489832e-02
  9.615485e-02    1.429392e+00   7.280570e-02
  9.836531e-02    1.331325e+00   6.946796e-02
  1.005758e-01    1.400115e+00   7.045327e-02
  1.027862e-01    1.464592e+00   7.127648e-02
  1.049967e-01    1.329783e+00   6.719708e-02
  1.072071e-01    1.413156e+00   6.855290e-02
  1.094176e-01    1.445709e+00   6.863298e-02
  1.116280e-01    1.533687e+00   6.998551e-02
  1.138385e-01    1.469671e+00   6.783962e-02
  1.160490e-01    1.584513e+00   6.976537e-02
  1.182594e-01    1.562844e+00   6.863461e-02
  1.204699e-01    1.437195e+00   6.521066e-02
  1.226803e-01    1.422687e+00   6.429081e-02
  1.248908e-01    1.586841e+00   6.729431e-02
  1.271012e-01    1.513401e+00   6.514339e-02
  1.293117e-01    1.425598e+00   6.268193e-02
  1.315222e-01    1.447053e+00   6.261747e-02
  1.337326e-01    1.442337e+00   6.199533e-02
  1.359431e-01    1.472270e+00   6.267198e-02
  1.381535e-01    1.492647e+00   6.395125e-02
