# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166618",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "AYxJ9pxkH1R1hLSCpEXj5Q==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000030.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.507118e+00   6.642944e-01
  3.315685e-03    1.416943e+00   3.915810e-01
  5.526141e-03    1.174318e+00   2.756545e-01
  7.736597e-03    9.641184e-01   2.110014e-01
  9.947054e-03    1.423638e+00   2.260353e-01
  1.215751e-02    1.574016e+00   2.149182e-01
  1.436797e-02    1.387404e+00   1.855997e-01
  1.657842e-02    1.364846e+00   1.713508e-01
  1.878888e-02    1.473889e+00   1.672615e-01
  2.099934e-02    1.319099e+00   1.497065e-01
  2.320979e-02    1.416264e+00   1.475383e-01
  2.542025e-02    1.417397e+00   1.410442e-01
  2.763070e-02    1.390045e+00   1.339692e-01
  2.984116e-02    1.482180e+00   1.331150e-01
  3.205162e-02    1.481828e+00   1.284355e-01
  3.426207e-02    1.432152e+00   1.221151e-01
  3.647253e-02    1.374453e+00   1.159457e-01
  3.868299e-02    1.293433e+00   1.092239e-01
  4.089344e-02    1.329589e+00   1.077059e-01
  4.310390e-02    1.539008e+00   1.128611e-01
  4.531436e-02    1.578795e+00   1.114882e-01
  4.752481e-02    1.555956e+00   1.080731e-01
  4.973527e-02    1.325553e+00   9.751029e-02
  5.194572e-02    1.283957e+00   9.390273e-02
  5.415618e-02    1.418389e+00   9.665770e-02
  5.636664e-02    1.270571e+00   8.967362e-02
  5.857709e-02    1.411053e+00   9.270138e-02
  6.078755e-02    1.332722e+00   8.843559e-02
  6.299801e-02    1.345394e+00   8.728129e-02
  6.520846e-02    1.320767e+00   8.500095e-02
  6.741892e-02    1.404100e+00   8.618841e-02
  6.962938e-02    1.428063e+00   8.553426e-02
  7.183983e-02    1.377741e+00   8.270957e-02
  7.405029e-02    1.464398e+00   8.398674e-02
  7.626074e-02    1.479187e+00   8.317674e-02
  7.847120e-02    1.419948e+00   8.033600e-02
  8.068166e-02    1.384946e+00   7.824465e-02
  8.289211e-02    1.405813e+00   7.777328e-02
  8.510257e-02    1.399148e+00   7.657400e-02
  8.731303e-02    1.438829e+00   7.666010e-02
  8.952348e-02    1.428307e+00   7.543249e-02
  9.173394e-02    1.425949e+00   7.445364e-02
  9.394439e-02    1.418967e+00   7.338978e-02
  9.615485e-02    1.366926e+00   7.119707e-02
  9.836531e-02    1.489765e+00   7.348543e-02
  1.005758e-01    1.448137e+00   7.165132e-02
  1.027862e-01    1.501961e+00   7.218004e-02
  1.049967e-01    1.464090e+00   7.050889e-02
  1.072071e-01    1.477155e+00   7.008803e-02
  1.094176e-01    1.510605e+00   7.015648e-02
  1.116280e-01    1.421599e+00   6.737957e-02
  1.138385e-01    1.456081e+00   6.752522e-02
  1.160490e-01    1.501535e+00   6.791407e-02
  1.182594e-01    1.456413e+00   6.625636e-02
  1.204699e-01    1.554751e+00   6.782518e-02
  1.226803e-01    1.558786e+00   6.729575e-02
  1.248908e-01    1.568688e+00   6.690828e-02
  1.271012e-01    1.513062e+00   6.513608e-02
  1.293117e-01    1.486665e+00   6.401036e-02
  1.315222e-01    1.518065e+00   6.413551e-02
  1.337326e-01    1.437644e+00   6.189440e-02
  1.359431e-01    1.500071e+00   6.326095e-02
  1.381535e-01    1.514133e+00   6.440991e-02
  1.403640e-01    1.513538e+00   6.467529e-02
  1.425744e-01    1.450459e+00   6.341437e-02
  1.447849e-01    1.474102e+00   6.394383e-02
  1.469953e-01    1.657398e+00   6.776045e-02
  1.492058e-01    1.567517e+00   6.582092e-02
  1.514163e-01    1.545440e+00   6.524726e-02
  1.536267e-01    1.531612e+00   6.482784e-02
  1.558372e-01    1.624496e+00   6.661727e-02
  1.580476e-01    1.579880e+00   6.553669e-02
  1.602581e-01    1.588656e+00   6.555153e-02
