# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "afCrVJeXpQ0g2Dxtzuh2cg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000033.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.885801e+00   7.430789e-01
  3.315685e-03    1.218729e+00   3.631608e-01
  5.526141e-03    1.635253e+00   3.252853e-01
  7.736597e-03    1.468559e+00   2.604150e-01
  9.947054e-03    1.622906e+00   2.413366e-01
  1.215751e-02    1.390277e+00   2.019851e-01
  1.436797e-02    1.591210e+00   1.987649e-01
  1.657842e-02    1.677898e+00   1.899885e-01
  1.878888e-02    1.252617e+00   1.541958e-01
  2.099934e-02    1.228290e+00   1.444616e-01
  2.320979e-02    1.275102e+00   1.399926e-01
  2.542025e-02    1.275696e+00   1.338083e-01
  2.763070e-02    1.239824e+00   1.265232e-01
  2.984116e-02    1.308482e+00   1.250721e-01
  3.205162e-02    1.469506e+00   1.279004e-01
  3.426207e-02    1.429435e+00   1.219992e-01
  3.647253e-02    1.405921e+00   1.172655e-01
  3.868299e-02    1.468824e+00   1.163940e-01
  4.089344e-02    1.263466e+00   1.049935e-01
  4.310390e-02    1.396467e+00   1.075076e-01
  4.531436e-02    1.456581e+00   1.070861e-01
  4.752481e-02    1.402573e+00   1.026081e-01
  4.973527e-02    1.439175e+00   1.016035e-01
  5.194572e-02    1.418757e+00   9.870905e-02
  5.415618e-02    1.381211e+00   9.538250e-02
  5.636664e-02    1.519676e+00   9.807101e-02
  5.857709e-02    1.487612e+00   9.518300e-02
  6.078755e-02    1.345856e+00   8.887030e-02
  6.299801e-02    1.324486e+00   8.660044e-02
  6.520846e-02    1.541663e+00   9.183441e-02
  6.741892e-02    1.494337e+00   8.891483e-02
  6.962938e-02    1.510456e+00   8.796711e-02
  7.183983e-02    1.530885e+00   8.718533e-02
  7.405029e-02    1.547763e+00   8.634425e-02
  7.626074e-02    1.560162e+00   8.542308e-02
  7.847120e-02    1.643833e+00   8.643761e-02
  8.068166e-02    1.557802e+00   8.298404e-02
  8.289211e-02    1.392229e+00   7.739662e-02
  8.510257e-02    1.324071e+00   7.449121e-02
