# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "DxNX5E4kscHCTbJVtHUP3Q==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000034.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.421861e+00   6.452315e-01
  3.315685e-03    1.275508e+00   3.715241e-01
  5.526141e-03    1.437735e+00   3.050082e-01
  7.736597e-03    1.543978e+00   2.670180e-01
  9.947054e-03    1.430089e+00   2.265469e-01
  1.215751e-02    1.142219e+00   1.830810e-01
  1.436797e-02    1.261409e+00   1.769717e-01
  1.657842e-02    1.654522e+00   1.886604e-01
  1.878888e-02    1.672637e+00   1.781822e-01
  2.099934e-02    1.392669e+00   1.538247e-01
  2.320979e-02    1.299943e+00   1.413497e-01
  2.542025e-02    1.355686e+00   1.379396e-01
  2.763070e-02    1.286724e+00   1.288941e-01
  2.984116e-02    1.379477e+00   1.284203e-01
  3.205162e-02    1.395764e+00   1.246500e-01
  3.426207e-02    1.338722e+00   1.180647e-01
  3.647253e-02    1.378917e+00   1.161338e-01
  3.868299e-02    1.450142e+00   1.156514e-01
  4.089344e-02    1.381718e+00   1.097970e-01
  4.310390e-02    1.438264e+00   1.091046e-01
  4.531436e-02    1.404845e+00   1.051671e-01
  4.752481e-02    1.355856e+00   1.008848e-01
  4.973527e-02    1.388189e+00   9.978750e-02
  5.194572e-02    1.386063e+00   9.756508e-02
  5.415618e-02    1.460007e+00   9.806552e-02
  5.636664e-02    1.322882e+00   9.150098e-02
  5.857709e-02    1.379213e+00   9.164951e-02
  6.078755e-02    1.586915e+00   9.650152e-02
  6.299801e-02    1.498808e+00   9.212330e-02
  6.520846e-02    1.440149e+00   8.875940e-02
  6.741892e-02    1.435482e+00   8.714625e-02
  6.962938e-02    1.480829e+00   8.710014e-02
  7.183983e-02    1.487661e+00   8.594568e-02
  7.405029e-02    1.412208e+00   8.247654e-02
  7.626074e-02    1.514135e+00   8.415359e-02
  7.847120e-02    1.505026e+00   8.270770e-02
  8.068166e-02    1.443018e+00   7.986826e-02
  8.289211e-02    1.405465e+00   7.776365e-02
  8.510257e-02    1.451915e+00   7.800455e-02
  8.731303e-02    1.496585e+00   7.818355e-02
  8.952348e-02    1.600377e+00   7.984702e-02
  9.173394e-02    1.564743e+00   7.799297e-02
  9.394439e-02    1.455705e+00   7.433373e-02
  9.615485e-02    1.518254e+00   7.503466e-02
  9.836531e-02    1.487475e+00   7.342894e-02
  1.005758e-01    1.477915e+00   7.238425e-02
  1.027862e-01    1.556356e+00   7.347547e-02
  1.049967e-01    1.539819e+00   7.230942e-02
  1.072071e-01    1.553663e+00   7.188019e-02
  1.094176e-01    1.506099e+00   7.005177e-02
  1.116280e-01    1.590013e+00   7.125905e-02
  1.138385e-01    1.511391e+00   6.879577e-02
  1.160490e-01    1.431782e+00   6.631786e-02
  1.182594e-01    1.529368e+00   6.789555e-02
  1.204699e-01    1.596573e+00   6.873138e-02
  1.226803e-01    1.630582e+00   6.882809e-02
  1.248908e-01    1.622617e+00   6.804865e-02
  1.271012e-01    1.656905e+00   6.816196e-02
  1.293117e-01    1.530937e+00   6.495648e-02
  1.315222e-01    1.633798e+00   6.653533e-02
  1.337326e-01    1.614013e+00   6.558117e-02
  1.359431e-01    1.625357e+00   6.584977e-02
  1.381535e-01    1.577331e+00   6.574035e-02
  1.403640e-01    1.578400e+00   6.604657e-02
  1.425744e-01    1.608437e+00   6.677853e-02
  1.447849e-01    1.666339e+00   6.798553e-02
  1.469953e-01    1.687293e+00   6.836883e-02
  1.492058e-01    1.572383e+00   6.592302e-02
  1.514163e-01    1.568904e+00   6.574070e-02
  1.536267e-01    1.567937e+00   6.559211e-02
  1.558372e-01    1.616430e+00   6.645166e-02
  1.580476e-01    1.670116e+00   6.738228e-02
  1.602581e-01    1.675120e+00   6.731176e-02
  1.624685e-01    1.696063e+00   6.754580e-02
  1.646790e-01    1.612940e+00   6.568068e-02
  1.668895e-01    1.645321e+00   6.614511e-02
  1.690999e-01    1.745605e+00   6.792649e-02
  1.713104e-01    1.822005e+00   6.918170e-02
  1.735208e-01    1.882452e+00   7.010122e-02
  1.757313e-01    1.855698e+00   6.938320e-02
  1.779417e-01    1.789512e+00   6.791241e-02
  1.801522e-01    1.806671e+00   6.801989e-02
  1.823626e-01    1.900814e+00   6.953733e-02
  1.845731e-01    1.936754e+00   6.996428e-02
  1.867836e-01    2.003668e+00   7.092248e-02
  1.889940e-01    1.902138e+00   6.887645e-02
  1.912045e-01    1.870148e+00   6.806671e-02
  1.934149e-01    2.040994e+00   7.086989e-02
  1.956254e-01    2.017952e+00   7.023630e-02
  1.978358e-01    2.018192e+00   6.999975e-02
  2.000463e-01    1.962810e+00   6.880388e-02
  2.022568e-01    2.047620e+00   7.004393e-02
  2.044672e-01    2.077070e+00   7.030419e-02
  2.066777e-01    2.001224e+00   6.877961e-02
  2.088881e-01    1.965919e+00   6.794715e-02
  2.110986e-01    2.058416e+00   6.928883e-02
  2.133090e-01    1.901353e+00   6.637646e-02
  2.155195e-01    1.992972e+00   6.773140e-02
  2.177300e-01    2.028638e+00   6.779795e-02
  2.199404e-01    2.057709e+00   6.648277e-02
  2.221509e-01    2.047657e+00   6.523119e-02
  2.243613e-01    1.949584e+00   6.284298e-02
  2.265718e-01    1.996559e+00   6.289461e-02
  2.287822e-01    1.979581e+00   6.200674e-02
  2.309927e-01    2.119616e+00   6.357796e-02
  2.332031e-01    2.118925e+00   6.302351e-02
  2.354136e-01    2.144422e+00   6.288771e-02
  2.376241e-01    2.065118e+00   6.123490e-02
  2.398345e-01    2.148208e+00   6.199242e-02
  2.420450e-01    2.139823e+00   6.142915e-02
  2.442554e-01    2.144284e+00   6.106950e-02
  2.464659e-01    2.227023e+00   6.181872e-02
