# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "sTz+A3FRtoRWumbQaV2tJQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000036.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.821387e+00   7.302778e-01
  3.315685e-03    1.522499e+00   4.059045e-01
  5.526141e-03    1.414705e+00   3.025555e-01
  7.736597e-03    1.263876e+00   2.415864e-01
  9.947054e-03    1.185650e+00   2.062789e-01
  1.215751e-02    1.460475e+00   2.070216e-01
  1.436797e-02    1.486295e+00   1.921004e-01
  1.657842e-02    1.300277e+00   1.672485e-01
  1.878888e-02    1.262004e+00   1.547725e-01
  2.099934e-02    1.262408e+00   1.464542e-01
  2.320979e-02    1.358582e+00   1.445026e-01
  2.542025e-02    1.464791e+00   1.433829e-01
  2.763070e-02    1.472904e+00   1.379042e-01
  2.984116e-02    1.620820e+00   1.392015e-01
  3.205162e-02    1.480515e+00   1.283786e-01
  3.426207e-02    1.352284e+00   1.186612e-01
  3.647253e-02    1.408008e+00   1.173525e-01
  3.868299e-02    1.554815e+00   1.197526e-01
  4.089344e-02    1.403270e+00   1.106500e-01
  4.310390e-02    1.347084e+00   1.055896e-01
  4.531436e-02    1.411456e+00   1.054143e-01
  4.752481e-02    1.541624e+00   1.075742e-01
  4.973527e-02    1.357590e+00   9.868160e-02
  5.194572e-02    1.507441e+00   1.017473e-01
  5.415618e-02    1.505696e+00   9.958812e-02
  5.636664e-02    1.495222e+00   9.727875e-02
  5.857709e-02    1.415946e+00   9.286199e-02
  6.078755e-02    1.466239e+00   9.275979e-02
  6.299801e-02    1.475496e+00   9.140407e-02
  6.520846e-02    1.508059e+00   9.082804e-02
  6.741892e-02    1.566061e+00   9.102365e-02
  6.962938e-02    1.499746e+00   8.765472e-02
  7.183983e-02    1.498427e+00   8.625612e-02
  7.405029e-02    1.403325e+00   8.221676e-02
  7.626074e-02    1.459811e+00   8.263016e-02
  7.847120e-02    1.445097e+00   8.104432e-02
  8.068166e-02    1.480984e+00   8.091211e-02
  8.289211e-02    1.508650e+00   8.056771e-02
  8.510257e-02    1.465039e+00   7.835632e-02
  8.731303e-02    1.422784e+00   7.623145e-02
  8.952348e-02    1.392255e+00   7.447439e-02
  9.173394e-02    1.461479e+00   7.537547e-02
  9.394439e-02    1.525612e+00   7.609767e-02
  9.615485e-02    1.462358e+00   7.364046e-02
  9.836531e-02    1.477551e+00   7.318357e-02
  1.005758e-01    1.497307e+00   7.285760e-02
  1.027862e-01    1.434830e+00   7.054856e-02
  1.049967e-01    1.457406e+00   7.034773e-02
  1.072071e-01    1.571517e+00   7.229201e-02
  1.094176e-01    1.538622e+00   7.080410e-02
  1.116280e-01    1.454481e+00   6.815437e-02
  1.138385e-01    1.566272e+00   7.003366e-02
  1.160490e-01    1.594068e+00   6.997541e-02
  1.182594e-01    1.589483e+00   6.921707e-02
  1.204699e-01    1.596450e+00   6.872874e-02
  1.226803e-01    1.565784e+00   6.744664e-02
  1.248908e-01    1.642842e+00   6.847145e-02
  1.271012e-01    1.656285e+00   6.814922e-02
  1.293117e-01    1.532798e+00   6.499594e-02
  1.315222e-01    1.647046e+00   6.680455e-02
  1.337326e-01    1.550057e+00   6.426871e-02
  1.359431e-01    1.570917e+00   6.473757e-02
  1.381535e-01    1.685827e+00   6.796372e-02
  1.403640e-01    1.552063e+00   6.549324e-02
  1.425744e-01    1.554699e+00   6.565353e-02
  1.447849e-01    1.565416e+00   6.589460e-02
  1.469953e-01    1.537775e+00   6.526935e-02
  1.492058e-01    1.613874e+00   6.678712e-02
  1.514163e-01    1.610497e+00   6.660643e-02
  1.536267e-01    1.609115e+00   6.644783e-02
  1.558372e-01    1.625705e+00   6.664206e-02
  1.580476e-01    1.606563e+00   6.608779e-02
  1.602581e-01    1.591448e+00   6.560913e-02
  1.624685e-01    1.674362e+00   6.711227e-02
  1.646790e-01    1.616503e+00   6.575319e-02
  1.668895e-01    1.735222e+00   6.792815e-02
  1.690999e-01    1.769511e+00   6.839006e-02
  1.713104e-01    1.703494e+00   6.689394e-02
  1.735208e-01    1.755386e+00   6.769399e-02
  1.757313e-01    1.797865e+00   6.829345e-02
  1.779417e-01    1.863806e+00   6.930782e-02
  1.801522e-01    1.866329e+00   6.913382e-02
  1.823626e-01    1.931169e+00   7.009037e-02
  1.845731e-01    1.890400e+00   6.912196e-02
  1.867836e-01    1.938072e+00   6.975188e-02
  1.889940e-01    1.963540e+00   6.997927e-02
  1.912045e-01    2.018185e+00   7.070944e-02
  1.934149e-01    2.049412e+00   7.101589e-02
  1.956254e-01    2.081201e+00   7.132851e-02
  1.978358e-01    1.991128e+00   6.952884e-02
  2.000463e-01    2.099210e+00   7.115437e-02
  2.022568e-01    2.044819e+00   6.999604e-02
  2.044672e-01    2.064353e+00   7.008863e-02
  2.066777e-01    1.984063e+00   6.848406e-02
  2.088881e-01    2.013725e+00   6.876835e-02
  2.110986e-01    1.962633e+00   6.765755e-02
  2.133090e-01    1.958888e+00   6.737322e-02
  2.155195e-01    1.907749e+00   6.626744e-02
  2.177300e-01    1.860248e+00   6.492316e-02
  2.199404e-01    1.930918e+00   6.440195e-02
  2.221509e-01    1.918421e+00   6.313913e-02
  2.243613e-01    2.029364e+00   6.411590e-02
  2.265718e-01    2.072706e+00   6.408274e-02
  2.287822e-01    2.082180e+00   6.359331e-02
  2.309927e-01    2.114706e+00   6.350427e-02
  2.332031e-01    2.218465e+00   6.448684e-02
  2.354136e-01    2.105858e+00   6.231970e-02
  2.376241e-01    2.174239e+00   6.283187e-02
  2.398345e-01    2.224613e+00   6.308527e-02
  2.420450e-01    2.087006e+00   6.066629e-02
  2.442554e-01    2.191848e+00   6.174309e-02
  2.464659e-01    2.171682e+00   6.104581e-02
  2.486763e-01    2.158752e+00   6.046371e-02
  2.508868e-01    2.157838e+00   6.006959e-02
  2.530973e-01    2.095891e+00   5.883402e-02
  2.553077e-01    2.129616e+00   5.894576e-02
  2.575182e-01    2.124561e+00   5.852741e-02
  2.597286e-01    2.085152e+00   5.764501e-02
  2.619391e-01    2.051105e+00   5.684329e-02
  2.641495e-01    2.103338e+00   5.724392e-02
  2.663600e-01    2.147420e+00   5.752261e-02
  2.685704e-01    2.058221e+00   5.600998e-02
  2.707809e-01    2.023964e+00   5.524711e-02
  2.729914e-01    1.954896e+00   5.401330e-02
  2.752018e-01    1.980303e+00   5.408020e-02
  2.774123e-01    2.058218e+00   5.485221e-02
  2.796227e-01    2.002379e+00   5.383544e-02
  2.818332e-01    1.988921e+00   5.338652e-02
  2.840436e-01    1.983887e+00   5.306048e-02
  2.862541e-01    2.012563e+00   5.318566e-02
  2.884646e-01    2.045378e+00   5.336306e-02
  2.906750e-01    2.062574e+00   5.333283e-02
  2.928855e-01    2.101483e+00   5.358409e-02
  2.950959e-01    2.063478e+00   5.285344e-02
  2.973064e-01    1.968051e+00   5.138489e-02
  2.995168e-01    1.887716e+00   5.009725e-02
  3.017273e-01    1.928539e+00   5.041280e-02
  3.039377e-01    1.922247e+00   5.011011e-02
  3.061482e-01    1.972434e+00   5.054046e-02
  3.083587e-01    1.968844e+00   5.027590e-02
  3.105691e-01    1.926379e+00   4.951832e-02
  3.127796e-01    1.918753e+00   4.921245e-02
  3.149900e-01    1.930412e+00   4.915606e-02
  3.172005e-01    1.912360e+00   4.872562e-02
  3.194109e-01    1.932307e+00   4.877689e-02
  3.216214e-01    1.917821e+00   4.839545e-02
  3.238319e-01    1.880934e+00   4.773786e-02
  3.260423e-01    1.962005e+00   4.856159e-02
  3.282528e-01    1.945280e+00   4.816171e-02
  3.304632e-01    1.847956e+00   4.675960e-02
  3.326737e-01    1.855784e+00   4.667569e-02
  3.348841e-01    1.853165e+00   4.646188e-02
  3.370946e-01    1.850280e+00   4.625102e-02
  3.393050e-01    1.844106e+00   4.599889e-02
  3.415155e-01    1.784189e+00   4.507533e-02
  3.437260e-01    1.780802e+00   4.486559e-02
  3.459364e-01    1.812700e+00   4.509820e-02
  3.481469e-01    1.866591e+00   4.559660e-02
  3.503573e-01    1.903818e+00   4.588132e-02
  3.525678e-01    1.818529e+00   4.468201e-02
  3.547782e-01    1.849093e+00   4.489309e-02
  3.569887e-01    1.812333e+00   4.428715e-02
  3.591992e-01    1.821126e+00   4.423734e-02
  3.614096e-01    1.827796e+00   4.416463e-02
  3.636201e-01    1.856510e+00   4.435377e-02
  3.658305e-01    1.804121e+00   4.357435e-02
  3.680410e-01    1.809557e+00   4.348982e-02
  3.702514e-01    1.865646e+00   4.401019e-02
  3.724619e-01    1.898540e+00   4.424531e-02
  3.746724e-01    1.845734e+00   4.348008e-02
  3.768828e-01    1.788661e+00   4.265855e-02
  3.790933e-01    1.768309e+00   4.227693e-02
  3.813037e-01    1.830141e+00   4.286899e-02
  3.835142e-01    1.838657e+00   4.282752e-02
  3.857246e-01    1.799015e+00   4.222620e-02
  3.879351e-01    1.868156e+00   4.289070e-02
  3.901455e-01    1.842352e+00   4.245789e-02
  3.923560e-01    1.817520e+00   4.203674e-02
  3.945665e-01    1.859234e+00   4.238155e-02
  3.967769e-01    1.857501e+00   4.222915e-02
  3.989874e-01    1.836761e+00   4.186160e-02
  4.011978e-01    1.799399e+00   4.130623e-02
  4.034083e-01    1.806890e+00   4.126507e-02
  4.056187e-01    1.794711e+00   4.099906e-02
  4.078292e-01    1.808772e+00   4.103480e-02
  4.100397e-01    1.794459e+00   4.074733e-02
  4.122501e-01    1.789575e+00   4.057011e-02
  4.144606e-01    1.798140e+00   4.054647e-02
  4.166710e-01    1.831253e+00   4.079644e-02
  4.188815e-01    1.813424e+00   4.047744e-02
  4.210919e-01    1.825028e+00   4.048771e-02
  4.233024e-01    1.836431e+00   4.049458e-02
  4.255128e-01    1.754041e+00   3.946136e-02
  4.277233e-01    1.813799e+00   4.001262e-02
  4.299338e-01    1.823483e+00   4.000388e-02
  4.321442e-01    1.804701e+00   3.968344e-02
  4.343547e-01    1.798416e+00   3.950226e-02
  4.365651e-01    1.785294e+00   3.924607e-02
  4.387756e-01    1.785550e+00   3.913897e-02
  4.409860e-01    1.735989e+00   3.848506e-02
  4.431965e-01    1.743782e+00   3.846467e-02
  4.454070e-01    1.761682e+00   3.855403e-02
  4.476174e-01    1.768572e+00   3.852328e-02
  4.498279e-01    1.754591e+00   3.826632e-02
  4.520383e-01    1.755215e+00   3.816810e-02
  4.542488e-01    1.749628e+00   3.800454e-02
  4.564592e-01    1.746739e+00   3.787128e-02
  4.586697e-01    1.734331e+00   3.763637e-02
  4.608801e-01    1.728589e+00   3.747335e-02
  4.630906e-01    1.709996e+00   3.717261e-02
  4.653011e-01    1.706465e+00   3.703655e-02
  4.675115e-01    1.688917e+00   3.674860e-02
  4.697220e-01    1.719804e+00   3.698598e-02
  4.719324e-01    1.766022e+00   3.738276e-02
  4.741429e-01    1.718030e+00   3.677630e-02
  4.763533e-01    1.738594e+00   3.690089e-02
  4.785638e-01    1.733823e+00   3.675504e-02
  4.807743e-01    1.679276e+00   3.608028e-02
  4.829847e-01    1.691166e+00   3.611629e-02
  4.851952e-01    1.732818e+00   3.646584e-02
  4.874056e-01    1.761747e+00   3.667627e-02
  4.896161e-01    1.743893e+00   3.639948e-02
  4.918265e-01    1.686380e+00   3.570531e-02
  4.940370e-01    1.677202e+00   3.552012e-02
  4.962475e-01    1.665575e+00   3.530936e-02
  4.984579e-01    1.692947e+00   3.551058e-02
  5.006684e-01    1.690804e+00   3.540158e-02
  5.028788e-01    1.657330e+00   3.496446e-02
  5.050893e-01    1.719307e+00   3.552559e-02
  5.072997e-01    1.743876e+00   3.569212e-02
  5.095102e-01    1.778563e+00   3.595902e-02
  5.117206e-01    1.767685e+00   3.576365e-02
  5.139311e-01    1.681303e+00   3.479632e-02
  5.161416e-01    1.683103e+00   3.473267e-02
  5.183520e-01    1.670912e+00   3.452440e-02
  5.205625e-01    1.667546e+00   3.440881e-02
  5.227729e-01    1.705452e+00   3.471653e-02
  5.249834e-01    1.677190e+00   3.434778e-02
  5.271938e-01    1.676830e+00   3.426394e-02
  5.294043e-01    1.752932e+00   3.495198e-02
  5.316148e-01    1.785372e+00   3.519314e-02
  5.338252e-01    1.790730e+00   3.516535e-02
  5.360357e-01    1.814660e+00   3.531894e-02
  5.382461e-01    1.746895e+00   3.457489e-02
  5.404566e-01    1.710705e+00   3.413701e-02
  5.426670e-01    1.753510e+00   3.448356e-02
  5.448775e-01    1.765520e+00   3.452417e-02
  5.470879e-01    1.792727e+00   3.471157e-02
  5.492984e-01    1.804706e+00   3.474991e-02
  5.515089e-01    1.789144e+00   3.452302e-02
  5.537193e-01    1.816462e+00   3.470894e-02
  5.559298e-01    1.798957e+00   3.446556e-02
  5.581402e-01    1.796468e+00   3.436643e-02
  5.603507e-01    1.794353e+00   3.427145e-02
  5.625611e-01    1.798844e+00   3.423983e-02
  5.647716e-01    1.787540e+00   3.405798e-02
  5.669821e-01    1.792673e+00   3.403332e-02
  5.691925e-01    1.787638e+00   3.391254e-02
  5.714030e-01    1.754768e+00   3.352769e-02
  5.736134e-01    1.726932e+00   3.318994e-02
  5.758239e-01    1.765634e+00   3.348815e-02
  5.780343e-01    1.762222e+00   3.338503e-02
  5.802448e-01    1.699491e+00   3.271680e-02
  5.824552e-01    1.633745e+00   3.201042e-02
  5.846657e-01    1.639999e+00   3.200475e-02
