# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166592",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "WUjMgQFnLmz/52lqYdkRJg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000038.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.701850e+00   7.059072e-01
  3.315685e-03    1.126112e+00   3.490891e-01
  5.526141e-03    1.323703e+00   2.926627e-01
  7.736597e-03    1.481860e+00   2.615916e-01
  9.947054e-03    1.259611e+00   2.126154e-01
  1.215751e-02    1.370183e+00   2.005201e-01
  1.436797e-02    1.732121e+00   2.073791e-01
  1.657842e-02    1.414509e+00   1.744405e-01
  1.878888e-02    1.430290e+00   1.647690e-01
  2.099934e-02    1.610468e+00   1.654162e-01
  2.320979e-02    1.499457e+00   1.518098e-01
  2.542025e-02    1.403451e+00   1.403486e-01
  2.763070e-02    1.370734e+00   1.330353e-01
  2.984116e-02    1.572890e+00   1.371279e-01
  3.205162e-02    1.425196e+00   1.259574e-01
  3.426207e-02    1.309903e+00   1.167870e-01
  3.647253e-02    1.518104e+00   1.218542e-01
  3.868299e-02    1.552390e+00   1.196592e-01
  4.089344e-02    1.427454e+00   1.115994e-01
  4.310390e-02    1.414469e+00   1.081984e-01
  4.531436e-02    1.407392e+00   1.052624e-01
  4.752481e-02    1.650963e+00   1.113237e-01
  4.973527e-02    1.687487e+00   1.100201e-01
  5.194572e-02    1.617506e+00   1.053964e-01
  5.415618e-02    1.561119e+00   1.014044e-01
  5.636664e-02    1.616302e+00   1.011408e-01
  5.857709e-02    1.484287e+00   9.507657e-02
  6.078755e-02    1.525207e+00   9.460667e-02
  6.299801e-02    1.424963e+00   8.982520e-02
  6.520846e-02    1.463301e+00   8.947001e-02
  6.741892e-02    1.566605e+00   9.103944e-02
  6.962938e-02    1.585252e+00   9.011883e-02
  7.183983e-02    1.435614e+00   8.442885e-02
  7.405029e-02    1.455044e+00   8.371808e-02
  7.626074e-02    1.504764e+00   8.389278e-02
  7.847120e-02    1.398525e+00   7.972769e-02
  8.068166e-02    1.467100e+00   8.053192e-02
  8.289211e-02    1.477419e+00   7.972942e-02
  8.510257e-02    1.486907e+00   7.893892e-02
  8.731303e-02    1.502358e+00   7.833420e-02
  8.952348e-02    1.424129e+00   7.532208e-02
  9.173394e-02    1.390090e+00   7.351151e-02
  9.394439e-02    1.558927e+00   7.692405e-02
  9.615485e-02    1.639035e+00   7.796214e-02
  9.836531e-02    1.530809e+00   7.449086e-02
  1.005758e-01    1.558388e+00   7.432880e-02
  1.027862e-01    1.496623e+00   7.205168e-02
  1.049967e-01    1.551001e+00   7.257149e-02
  1.072071e-01    1.566810e+00   7.218367e-02
  1.094176e-01    1.570747e+00   7.153944e-02
  1.116280e-01    1.586208e+00   7.117374e-02
  1.138385e-01    1.521136e+00   6.901719e-02
  1.160490e-01    1.516923e+00   6.826118e-02
  1.182594e-01    1.580424e+00   6.901954e-02
  1.204699e-01    1.605199e+00   6.891681e-02
  1.226803e-01    1.553272e+00   6.717663e-02
  1.248908e-01    1.578828e+00   6.712417e-02
  1.271012e-01    1.619140e+00   6.738069e-02
  1.293117e-01    1.606438e+00   6.653892e-02
  1.315222e-01    1.582297e+00   6.547829e-02
  1.337326e-01    1.653455e+00   6.637763e-02
  1.359431e-01    1.595737e+00   6.524701e-02
  1.381535e-01    1.511771e+00   6.435963e-02
  1.403640e-01    1.605186e+00   6.660461e-02
  1.425744e-01    1.630907e+00   6.724339e-02
  1.447849e-01    1.628255e+00   6.720415e-02
  1.469953e-01    1.665437e+00   6.792457e-02
  1.492058e-01    1.638772e+00   6.730033e-02
  1.514163e-01    1.562878e+00   6.561434e-02
  1.536267e-01    1.541569e+00   6.503824e-02
  1.558372e-01    1.631744e+00   6.676572e-02
  1.580476e-01    1.611635e+00   6.619204e-02
  1.602581e-01    1.685098e+00   6.751192e-02
  1.624685e-01    1.774710e+00   6.909408e-02
  1.646790e-01    1.829997e+00   6.996063e-02
  1.668895e-01    1.789380e+00   6.898008e-02
  1.690999e-01    1.698784e+00   6.700936e-02
  1.713104e-01    1.738829e+00   6.758414e-02
  1.735208e-01    1.731933e+00   6.724024e-02
  1.757313e-01    1.816183e+00   6.864049e-02
  1.779417e-01    1.855445e+00   6.915218e-02
  1.801522e-01    1.846061e+00   6.875741e-02
  1.823626e-01    1.793458e+00   6.754512e-02
  1.845731e-01    1.865278e+00   6.866112e-02
  1.867836e-01    1.936149e+00   6.971727e-02
  1.889940e-01    1.989058e+00   7.043254e-02
  1.912045e-01    2.005165e+00   7.048098e-02
  1.934149e-01    2.076756e+00   7.148807e-02
  1.956254e-01    2.064027e+00   7.103361e-02
  1.978358e-01    2.023887e+00   7.009845e-02
  2.000463e-01    2.011852e+00   6.965813e-02
  2.022568e-01    1.928029e+00   6.796774e-02
  2.044672e-01    1.932884e+00   6.782009e-02
  2.066777e-01    2.079317e+00   7.010873e-02
  2.088881e-01    2.005370e+00   6.862555e-02
  2.110986e-01    1.957312e+00   6.756576e-02
  2.133090e-01    1.958061e+00   6.735900e-02
  2.155195e-01    1.989564e+00   6.767347e-02
