# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "yEkceVrFWP3/bFXnXYfhFQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000039.dat
#        q_A^-1              I           sigma 
  1.105228e-03    9.793342e-01   5.354913e-01
  3.315685e-03    1.317473e+00   3.775863e-01
  5.526141e-03    1.598308e+00   3.215899e-01
  7.736597e-03    1.446763e+00   2.584752e-01
  9.947054e-03    1.225757e+00   2.097388e-01
  1.215751e-02    1.378662e+00   2.011396e-01
  1.436797e-02    1.309164e+00   1.802905e-01
  1.657842e-02    1.389795e+00   1.729098e-01
  1.878888e-02    1.440768e+00   1.653714e-01
  2.099934e-02    1.281470e+00   1.475558e-01
  2.320979e-02    1.421767e+00   1.478247e-01
  2.542025e-02    1.517608e+00   1.459450e-01
  2.763070e-02    1.432732e+00   1.360106e-01
  2.984116e-02    1.407263e+00   1.297072e-01
  3.205162e-02    1.410075e+00   1.252874e-01
  3.426207e-02    1.428909e+00   1.219768e-01
  3.647253e-02    1.335280e+00   1.142815e-01
  3.868299e-02    1.523269e+00   1.185315e-01
  4.089344e-02    1.472075e+00   1.133302e-01
  4.310390e-02    1.442882e+00   1.092796e-01
  4.531436e-02    1.419548e+00   1.057160e-01
  4.752481e-02    1.379523e+00   1.017615e-01
  4.973527e-02    1.472124e+00   1.027600e-01
  5.194572e-02    1.528946e+00   1.024706e-01
  5.415618e-02    1.466373e+00   9.827906e-02
  5.636664e-02    1.653979e+00   1.023128e-01
  5.857709e-02    1.470307e+00   9.462777e-02
  6.078755e-02    1.388654e+00   9.027229e-02
  6.299801e-02    1.445946e+00   9.048412e-02
  6.520846e-02    1.584886e+00   9.311287e-02
  6.741892e-02    1.591845e+00   9.176990e-02
  6.962938e-02    1.516034e+00   8.812940e-02
  7.183983e-02    1.497920e+00   8.624151e-02
  7.405029e-02    1.516961e+00   8.548079e-02
  7.626074e-02    1.354015e+00   7.957967e-02
  7.847120e-02    1.455692e+00   8.134085e-02
  8.068166e-02    1.509929e+00   8.169898e-02
  8.289211e-02    1.512272e+00   8.066434e-02
  8.510257e-02    1.587135e+00   8.155607e-02
  8.731303e-02    1.554650e+00   7.968581e-02
  8.952348e-02    1.451460e+00   7.604141e-02
  9.173394e-02    1.538250e+00   7.732987e-02
  9.394439e-02    1.555459e+00   7.683845e-02
  9.615485e-02    1.552613e+00   7.587895e-02
  9.836531e-02    1.581990e+00   7.572588e-02
  1.005758e-01    1.538635e+00   7.385623e-02
  1.027862e-01    1.615631e+00   7.486156e-02
  1.049967e-01    1.501054e+00   7.139341e-02
  1.072071e-01    1.542812e+00   7.162874e-02
  1.094176e-01    1.546201e+00   7.097825e-02
  1.116280e-01    1.612788e+00   7.176761e-02
  1.138385e-01    1.559724e+00   6.988712e-02
  1.160490e-01    1.538713e+00   6.874971e-02
  1.182594e-01    1.530964e+00   6.793096e-02
  1.204699e-01    1.587813e+00   6.854255e-02
  1.226803e-01    1.510823e+00   6.625234e-02
  1.248908e-01    1.587116e+00   6.730013e-02
  1.271012e-01    1.646629e+00   6.795026e-02
  1.293117e-01    1.662323e+00   6.768643e-02
  1.315222e-01    1.606233e+00   6.597167e-02
  1.337326e-01    1.621850e+00   6.574018e-02
  1.359431e-01    1.598890e+00   6.531144e-02
  1.381535e-01    1.614043e+00   6.650097e-02
  1.403640e-01    1.630792e+00   6.713377e-02
  1.425744e-01    1.571082e+00   6.599855e-02
  1.447849e-01    1.601091e+00   6.664120e-02
  1.469953e-01    1.602543e+00   6.662970e-02
  1.492058e-01    1.584221e+00   6.617068e-02
  1.514163e-01    1.597522e+00   6.633758e-02
  1.536267e-01    1.590675e+00   6.606602e-02
  1.558372e-01    1.614284e+00   6.640755e-02
  1.580476e-01    1.606841e+00   6.609353e-02
  1.602581e-01    1.645895e+00   6.672199e-02
  1.624685e-01    1.678357e+00   6.719230e-02
  1.646790e-01    1.691996e+00   6.727103e-02
  1.668895e-01    1.747128e+00   6.816082e-02
  1.690999e-01    1.661456e+00   6.626905e-02
  1.713104e-01    1.741717e+00   6.764022e-02
  1.735208e-01    1.812992e+00   6.879577e-02
  1.757313e-01    1.876856e+00   6.977760e-02
  1.779417e-01    1.814623e+00   6.838724e-02
  1.801522e-01    1.822511e+00   6.831742e-02
  1.823626e-01    1.880720e+00   6.916881e-02
  1.845731e-01    1.911849e+00   6.951299e-02
  1.867836e-01    1.891231e+00   6.890382e-02
  1.889940e-01    1.917022e+00   6.914537e-02
  1.912045e-01    2.002995e+00   7.044283e-02
  1.934149e-01    2.026419e+00   7.061639e-02
  1.956254e-01    1.997482e+00   6.987914e-02
  1.978358e-01    2.033671e+00   7.026768e-02
  2.000463e-01    2.035419e+00   7.006494e-02
  2.022568e-01    1.962162e+00   6.856671e-02
  2.044672e-01    2.043559e+00   6.973474e-02
  2.066777e-01    2.052424e+00   6.965386e-02
  2.088881e-01    2.074453e+00   6.979758e-02
  2.110986e-01    2.011787e+00   6.849954e-02
  2.133090e-01    2.049720e+00   6.891756e-02
  2.155195e-01    2.060649e+00   6.887180e-02
  2.177300e-01    2.108225e+00   6.911507e-02
  2.199404e-01    1.951577e+00   6.474559e-02
  2.221509e-01    1.866308e+00   6.227567e-02
  2.243613e-01    1.977904e+00   6.329773e-02
  2.265718e-01    2.099260e+00   6.449196e-02
  2.287822e-01    2.028680e+00   6.277102e-02
  2.309927e-01    2.119578e+00   6.357736e-02
  2.332031e-01    2.189792e+00   6.406875e-02
  2.354136e-01    2.189301e+00   6.354237e-02
  2.376241e-01    2.188796e+00   6.304188e-02
  2.398345e-01    2.125144e+00   6.165874e-02
  2.420450e-01    2.139156e+00   6.141956e-02
  2.442554e-01    2.220452e+00   6.214468e-02
  2.464659e-01    2.120075e+00   6.031612e-02
  2.486763e-01    2.063389e+00   5.911314e-02
  2.508868e-01    2.078209e+00   5.895079e-02
  2.530973e-01    2.131901e+00   5.933730e-02
  2.553077e-01    2.106111e+00   5.861956e-02
  2.575182e-01    2.145395e+00   5.881367e-02
  2.597286e-01    2.085832e+00   5.765441e-02
  2.619391e-01    2.099423e+00   5.750892e-02
  2.641495e-01    2.088124e+00   5.703652e-02
  2.663600e-01    2.114248e+00   5.707661e-02
  2.685704e-01    2.071309e+00   5.618779e-02
  2.707809e-01    2.057467e+00   5.570248e-02
  2.729914e-01    2.086575e+00   5.580280e-02
  2.752018e-01    2.088224e+00   5.553425e-02
  2.774123e-01    2.071411e+00   5.502776e-02
  2.796227e-01    1.982156e+00   5.356286e-02
  2.818332e-01    2.016348e+00   5.375337e-02
  2.840436e-01    2.020558e+00   5.354863e-02
  2.862541e-01    2.099399e+00   5.432095e-02
  2.884646e-01    2.058324e+00   5.353168e-02
  2.906750e-01    1.972582e+00   5.215637e-02
  2.928855e-01    1.909281e+00   5.107494e-02
  2.950959e-01    1.920544e+00   5.099003e-02
  2.973064e-01    1.881651e+00   5.024429e-02
  2.995168e-01    1.919431e+00   5.051633e-02
  3.017273e-01    1.951571e+00   5.071294e-02
  3.039377e-01    2.008716e+00   5.122476e-02
  3.061482e-01    2.045877e+00   5.147281e-02
  3.083587e-01    1.940862e+00   4.991734e-02
  3.105691e-01    2.011484e+00   5.060031e-02
  3.127796e-01    2.013481e+00   5.041262e-02
  3.149900e-01    1.969560e+00   4.965200e-02
  3.172005e-01    1.925709e+00   4.889540e-02
  3.194109e-01    1.931671e+00   4.876887e-02
  3.216214e-01    1.930754e+00   4.855835e-02
  3.238319e-01    1.907889e+00   4.807871e-02
  3.260423e-01    1.886447e+00   4.761737e-02
  3.282528e-01    1.917849e+00   4.782090e-02
  3.304632e-01    1.959328e+00   4.814803e-02
  3.326737e-01    1.911174e+00   4.736714e-02
  3.348841e-01    1.863208e+00   4.658761e-02
  3.370946e-01    1.899761e+00   4.686537e-02
  3.393050e-01    1.896684e+00   4.665003e-02
  3.415155e-01    1.887323e+00   4.635980e-02
  3.437260e-01    1.870141e+00   4.597724e-02
  3.459364e-01    1.892878e+00   4.608477e-02
  3.481469e-01    1.896003e+00   4.595446e-02
  3.503573e-01    1.859298e+00   4.534168e-02
  3.525678e-01    1.903949e+00   4.571937e-02
  3.547782e-01    1.851250e+00   4.491927e-02
  3.569887e-01    1.827697e+00   4.447445e-02
  3.591992e-01    1.837743e+00   4.443871e-02
  3.614096e-01    1.856854e+00   4.451432e-02
  3.636201e-01    1.838309e+00   4.413582e-02
  3.658305e-01    1.852900e+00   4.415947e-02
  3.680410e-01    1.849754e+00   4.397023e-02
  3.702514e-01    1.771788e+00   4.288886e-02
  3.724619e-01    1.794513e+00   4.301604e-02
  3.746724e-01    1.801899e+00   4.296066e-02
  3.768828e-01    1.799342e+00   4.278571e-02
  3.790933e-01    1.849491e+00   4.323649e-02
  3.813037e-01    1.831151e+00   4.288084e-02
  3.835142e-01    1.840026e+00   4.284345e-02
  3.857246e-01    1.847072e+00   4.278646e-02
  3.879351e-01    1.869221e+00   4.290294e-02
  3.901455e-01    1.798064e+00   4.194445e-02
  3.923560e-01    1.816123e+00   4.202057e-02
  3.945665e-01    1.791016e+00   4.159678e-02
  3.967769e-01    1.836537e+00   4.199015e-02
  3.989874e-01    1.812606e+00   4.158544e-02
  4.011978e-01    1.788870e+00   4.118520e-02
  4.034083e-01    1.797323e+00   4.115567e-02
  4.056187e-01    1.848561e+00   4.160959e-02
  4.078292e-01    1.874641e+00   4.177531e-02
  4.100397e-01    1.849900e+00   4.137199e-02
  4.122501e-01    1.818436e+00   4.089595e-02
  4.144606e-01    1.798688e+00   4.055265e-02
  4.166710e-01    1.763355e+00   4.003298e-02
  4.188815e-01    1.871462e+00   4.112005e-02
  4.210919e-01    1.863449e+00   4.091169e-02
  4.233024e-01    1.808830e+00   4.018911e-02
  4.255128e-01    1.804108e+00   4.002057e-02
  4.277233e-01    1.845884e+00   4.036498e-02
  4.299338e-01    1.829924e+00   4.007446e-02
  4.321442e-01    1.793077e+00   3.955543e-02
  4.343547e-01    1.858746e+00   4.015936e-02
  4.365651e-01    1.768716e+00   3.906342e-02
  4.387756e-01    1.792382e+00   3.921377e-02
  4.409860e-01    1.772300e+00   3.888547e-02
  4.431965e-01    1.760204e+00   3.864538e-02
  4.454070e-01    1.740308e+00   3.831943e-02
  4.476174e-01    1.738874e+00   3.819847e-02
  4.498279e-01    1.732769e+00   3.802761e-02
  4.520383e-01    1.721758e+00   3.780257e-02
  4.542488e-01    1.753651e+00   3.804820e-02
  4.564592e-01    1.754124e+00   3.795125e-02
  4.586697e-01    1.722564e+00   3.750848e-02
  4.608801e-01    1.723342e+00   3.741646e-02
  4.630906e-01    1.713749e+00   3.721338e-02
  4.653011e-01    1.737265e+00   3.736928e-02
  4.675115e-01    1.796458e+00   3.790050e-02
  4.697220e-01    1.756270e+00   3.737608e-02
  4.719324e-01    1.726711e+00   3.696435e-02
  4.741429e-01    1.722806e+00   3.682738e-02
  4.763533e-01    1.696928e+00   3.645606e-02
  4.785638e-01    1.732644e+00   3.674254e-02
  4.807743e-01    1.723566e+00   3.655296e-02
  4.829847e-01    1.760737e+00   3.685168e-02
  4.851952e-01    1.761478e+00   3.676618e-02
  4.874056e-01    1.749654e+00   3.655017e-02
  4.896161e-01    1.733621e+00   3.629211e-02
  4.918265e-01    1.686825e+00   3.571002e-02
  4.940370e-01    1.690256e+00   3.565807e-02
  4.962475e-01    1.741810e+00   3.610839e-02
