# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166610",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "yrry2e+yhgzZIFFW2ZGZuQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000040.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.526070e+00   6.684582e-01
  3.315685e-03    2.135059e+00   4.806736e-01
  5.526141e-03    1.698020e+00   3.314695e-01
  7.736597e-03    1.307600e+00   2.457297e-01
  9.947054e-03    1.405653e+00   2.246030e-01
  1.215751e-02    1.739274e+00   2.259189e-01
  1.436797e-02    1.519589e+00   1.942401e-01
  1.657842e-02    1.466985e+00   1.776468e-01
  1.878888e-02    1.560707e+00   1.721172e-01
  2.099934e-02    1.472656e+00   1.581804e-01
  2.320979e-02    1.400509e+00   1.467154e-01
  2.542025e-02    1.461873e+00   1.432400e-01
  2.763070e-02    1.347484e+00   1.319022e-01
  2.984116e-02    1.366859e+00   1.278317e-01
  3.205162e-02    1.410616e+00   1.253114e-01
  3.426207e-02    1.363752e+00   1.191633e-01
  3.647253e-02    1.381882e+00   1.162586e-01
  3.868299e-02    1.443169e+00   1.153730e-01
  4.089344e-02    1.501481e+00   1.144565e-01
  4.310390e-02    1.631502e+00   1.162031e-01
  4.531436e-02    1.520770e+00   1.094202e-01
  4.752481e-02    1.538649e+00   1.074704e-01
  4.973527e-02    1.498004e+00   1.036593e-01
  5.194572e-02    1.483603e+00   1.009397e-01
  5.415618e-02    1.468528e+00   9.835126e-02
  5.636664e-02    1.501946e+00   9.749725e-02
  5.857709e-02    1.399618e+00   9.232500e-02
  6.078755e-02    1.534667e+00   9.489959e-02
  6.299801e-02    1.563563e+00   9.409235e-02
  6.520846e-02    1.405273e+00   8.767809e-02
  6.741892e-02    1.323998e+00   8.369384e-02
  6.962938e-02    1.329958e+00   8.254395e-02
  7.183983e-02    1.489275e+00   8.599228e-02
  7.405029e-02    1.579202e+00   8.721679e-02
  7.626074e-02    1.452678e+00   8.242806e-02
  7.847120e-02    1.364444e+00   7.875024e-02
  8.068166e-02    1.573980e+00   8.341378e-02
  8.289211e-02    1.578205e+00   8.240405e-02
  8.510257e-02    1.441146e+00   7.771475e-02
