# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166606",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "S/K79ePW4OL5eGlb5tJImA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000043.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.305334e+00   6.182268e-01
  3.315685e-03    1.564066e+00   4.114082e-01
  5.526141e-03    1.568939e+00   3.186216e-01
  7.736597e-03    1.233790e+00   2.386936e-01
  9.947054e-03    1.504330e+00   2.323529e-01
  1.215751e-02    1.088523e+00   1.787259e-01
  1.436797e-02    1.369600e+00   1.844050e-01
  1.657842e-02    1.290340e+00   1.666082e-01
  1.878888e-02    1.381307e+00   1.619230e-01
  2.099934e-02    1.608301e+00   1.653049e-01
  2.320979e-02    1.306762e+00   1.417200e-01
  2.542025e-02    1.261677e+00   1.330710e-01
  2.763070e-02    1.323971e+00   1.307463e-01
  2.984116e-02    1.368727e+00   1.279189e-01
  3.205162e-02    1.526357e+00   1.303510e-01
  3.426207e-02    1.497541e+00   1.248717e-01
  3.647253e-02    1.440580e+00   1.187021e-01
  3.868299e-02    1.372363e+00   1.125072e-01
  4.089344e-02    1.267651e+00   1.051672e-01
  4.310390e-02    1.502576e+00   1.115172e-01
  4.531436e-02    1.497835e+00   1.085920e-01
  4.752481e-02    1.482896e+00   1.055053e-01
  4.973527e-02    1.501699e+00   1.037871e-01
  5.194572e-02    1.639495e+00   1.061104e-01
  5.415618e-02    1.492347e+00   9.914568e-02
  5.636664e-02    1.368399e+00   9.306183e-02
  5.857709e-02    1.312706e+00   8.941252e-02
  6.078755e-02    1.437933e+00   9.186004e-02
  6.299801e-02    1.514894e+00   9.261633e-02
  6.520846e-02    1.564779e+00   9.252033e-02
  6.741892e-02    1.519328e+00   8.965523e-02
  6.962938e-02    1.374768e+00   8.392300e-02
  7.183983e-02    1.495769e+00   8.617956e-02
  7.405029e-02    1.529123e+00   8.582278e-02
  7.626074e-02    1.402934e+00   8.100448e-02
  7.847120e-02    1.445597e+00   8.105832e-02
  8.068166e-02    1.447153e+00   7.998259e-02
  8.289211e-02    1.362909e+00   7.657731e-02
  8.510257e-02    1.428754e+00   7.737989e-02
