# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166616",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "cQ0piitBbm+CDE6GukoQQA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000045.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.321277e+00   6.219907e-01
  3.315685e-03    1.583333e+00   4.139345e-01
  5.526141e-03    1.272841e+00   2.869850e-01
  7.736597e-03    1.177077e+00   2.331431e-01
  9.947054e-03    1.387208e+00   2.231245e-01
  1.215751e-02    1.328993e+00   1.974831e-01
  1.436797e-02    1.331815e+00   1.818435e-01
  1.657842e-02    1.328507e+00   1.690543e-01
  1.878888e-02    1.622374e+00   1.754846e-01
  2.099934e-02    1.504026e+00   1.598563e-01
  2.320979e-02    1.530518e+00   1.533741e-01
  2.542025e-02    1.479579e+00   1.441049e-01
  2.763070e-02    1.470936e+00   1.378120e-01
  2.984116e-02    1.476832e+00   1.328746e-01
  3.205162e-02    1.407029e+00   1.251520e-01
  3.426207e-02    1.519520e+00   1.257848e-01
  3.647253e-02    1.336640e+00   1.143397e-01
  3.868299e-02    1.367620e+00   1.123125e-01
  4.089344e-02    1.537408e+00   1.158178e-01
  4.310390e-02    1.508866e+00   1.117504e-01
  4.531436e-02    1.482170e+00   1.080226e-01
  4.752481e-02    1.616050e+00   1.101403e-01
  4.973527e-02    1.474104e+00   1.028291e-01
  5.194572e-02    1.551064e+00   1.032091e-01
  5.415618e-02    1.396397e+00   9.590545e-02
  5.636664e-02    1.435934e+00   9.533062e-02
  5.857709e-02    1.530325e+00   9.653979e-02
  6.078755e-02    1.537415e+00   9.498455e-02
  6.299801e-02    1.469315e+00   9.121241e-02
  6.520846e-02    1.483231e+00   9.007724e-02
  6.741892e-02    1.458557e+00   8.784391e-02
  6.962938e-02    1.378162e+00   8.402654e-02
  7.183983e-02    1.458648e+00   8.510347e-02
  7.405029e-02    1.403103e+00   8.221027e-02
  7.626074e-02    1.392801e+00   8.071138e-02
  7.847120e-02    1.430109e+00   8.062293e-02
  8.068166e-02    1.380634e+00   7.812277e-02
  8.289211e-02    1.302386e+00   7.485773e-02
  8.510257e-02    1.394188e+00   7.643810e-02
  8.731303e-02    1.498722e+00   7.823934e-02
  8.952348e-02    1.586584e+00   7.950220e-02
  9.173394e-02    1.546194e+00   7.752929e-02
  9.394439e-02    1.547635e+00   7.664498e-02
  9.615485e-02    1.359648e+00   7.100730e-02
  9.836531e-02    1.396495e+00   7.114787e-02
  1.005758e-01    1.448037e+00   7.164886e-02
  1.027862e-01    1.453873e+00   7.101516e-02
  1.049967e-01    1.522474e+00   7.190098e-02
  1.072071e-01    1.595774e+00   7.284781e-02
  1.094176e-01    1.468093e+00   6.916226e-02
  1.116280e-01    1.502510e+00   6.927051e-02
  1.138385e-01    1.532931e+00   6.928427e-02
  1.160490e-01    1.514459e+00   6.820573e-02
  1.182594e-01    1.483189e+00   6.686267e-02
  1.204699e-01    1.503242e+00   6.669219e-02
  1.226803e-01    1.504788e+00   6.611989e-02
  1.248908e-01    1.547755e+00   6.646036e-02
  1.271012e-01    1.571669e+00   6.638558e-02
  1.293117e-01    1.668918e+00   6.782056e-02
  1.315222e-01    1.523574e+00   6.425177e-02
  1.337326e-01    1.587992e+00   6.505036e-02
  1.359431e-01    1.634577e+00   6.603627e-02
  1.381535e-01    1.570000e+00   6.558740e-02
  1.403640e-01    1.549252e+00   6.543389e-02
  1.425744e-01    1.553098e+00   6.561972e-02
  1.447849e-01    1.600348e+00   6.662574e-02
  1.469953e-01    1.591017e+00   6.638966e-02
  1.492058e-01    1.524208e+00   6.490526e-02
  1.514163e-01    1.546427e+00   6.526808e-02
  1.536267e-01    1.610326e+00   6.647284e-02
  1.558372e-01    1.545815e+00   6.498399e-02
  1.580476e-01    1.587832e+00   6.570140e-02
  1.602581e-01    1.643904e+00   6.668162e-02
  1.624685e-01    1.619617e+00   6.600602e-02
  1.646790e-01    1.657635e+00   6.658448e-02
  1.668895e-01    1.696300e+00   6.716201e-02
  1.690999e-01    1.763833e+00   6.828023e-02
  1.713104e-01    1.733498e+00   6.748047e-02
  1.735208e-01    1.736417e+00   6.732724e-02
  1.757313e-01    1.815669e+00   6.863078e-02
  1.779417e-01    1.807673e+00   6.825613e-02
  1.801522e-01    1.856528e+00   6.895206e-02
  1.823626e-01    1.858338e+00   6.875600e-02
  1.845731e-01    1.899707e+00   6.929189e-02
  1.867836e-01    2.012404e+00   7.107691e-02
  1.889940e-01    2.046892e+00   7.144915e-02
  1.912045e-01    2.126302e+00   7.257874e-02
  1.934149e-01    2.012203e+00   7.036827e-02
  1.956254e-01    1.894285e+00   6.805013e-02
  1.978358e-01    1.931432e+00   6.847860e-02
  2.000463e-01    2.080498e+00   7.083654e-02
  2.022568e-01    2.019726e+00   6.956522e-02
  2.044672e-01    1.996839e+00   6.893298e-02
  2.066777e-01    1.945654e+00   6.781795e-02
  2.088881e-01    1.902345e+00   6.683950e-02
  2.110986e-01    1.904475e+00   6.664758e-02
  2.133090e-01    1.853670e+00   6.553883e-02
  2.155195e-01    2.001577e+00   6.787746e-02
  2.177300e-01    2.051628e+00   6.818104e-02
  2.199404e-01    2.014205e+00   6.577624e-02
  2.221509e-01    1.995861e+00   6.440090e-02
  2.243613e-01    1.946491e+00   6.279311e-02
  2.265718e-01    2.032116e+00   6.345218e-02
  2.287822e-01    2.063189e+00   6.330265e-02
  2.309927e-01    2.126029e+00   6.367406e-02
  2.332031e-01    2.162716e+00   6.367145e-02
  2.354136e-01    2.108056e+00   6.235218e-02
  2.376241e-01    2.124619e+00   6.211081e-02
  2.398345e-01    2.186079e+00   6.253648e-02
  2.420450e-01    2.152400e+00   6.160941e-02
  2.442554e-01    2.140533e+00   6.101607e-02
  2.464659e-01    2.102967e+00   6.007225e-02
  2.486763e-01    2.152144e+00   6.037110e-02
  2.508868e-01    2.150882e+00   5.997268e-02
  2.530973e-01    2.128205e+00   5.928585e-02
  2.553077e-01    2.098490e+00   5.851339e-02
  2.575182e-01    2.140102e+00   5.874109e-02
  2.597286e-01    2.154541e+00   5.859628e-02
  2.619391e-01    2.149503e+00   5.819082e-02
  2.641495e-01    2.052788e+00   5.655187e-02
  2.663600e-01    2.056757e+00   5.629523e-02
  2.685704e-01    2.062718e+00   5.607114e-02
  2.707809e-01    2.123195e+00   5.658523e-02
  2.729914e-01    2.076388e+00   5.566641e-02
  2.752018e-01    2.041988e+00   5.491604e-02
  2.774123e-01    2.022232e+00   5.437057e-02
  2.796227e-01    1.973275e+00   5.344274e-02
  2.818332e-01    1.984910e+00   5.333265e-02
  2.840436e-01    2.041209e+00   5.382159e-02
  2.862541e-01    1.951640e+00   5.237449e-02
  2.884646e-01    1.983625e+00   5.255134e-02
  2.906750e-01    2.017802e+00   5.275081e-02
  2.928855e-01    1.999721e+00   5.227060e-02
  2.950959e-01    1.992631e+00   5.193819e-02
  2.973064e-01    1.960101e+00   5.128098e-02
  2.995168e-01    1.987276e+00   5.140137e-02
  3.017273e-01    1.972337e+00   5.098205e-02
  3.039377e-01    1.918126e+00   5.005636e-02
  3.061482e-01    1.900500e+00   4.961031e-02
  3.083587e-01    1.906201e+00   4.946960e-02
  3.105691e-01    1.945073e+00   4.975800e-02
  3.127796e-01    1.955998e+00   4.968778e-02
  3.149900e-01    1.950461e+00   4.941066e-02
  3.172005e-01    1.958903e+00   4.931501e-02
  3.194109e-01    1.923614e+00   4.866706e-02
  3.216214e-01    1.883976e+00   4.796651e-02
  3.238319e-01    1.887641e+00   4.782292e-02
  3.260423e-01    1.835112e+00   4.696499e-02
  3.282528e-01    1.895404e+00   4.754025e-02
  3.304632e-01    1.849400e+00   4.677787e-02
  3.326737e-01    1.828303e+00   4.632881e-02
  3.348841e-01    1.863708e+00   4.659385e-02
  3.370946e-01    1.839990e+00   4.612224e-02
  3.393050e-01    1.805290e+00   4.551220e-02
  3.415155e-01    1.851729e+00   4.592055e-02
  3.437260e-01    1.832451e+00   4.551157e-02
  3.459364e-01    1.854190e+00   4.561141e-02
  3.481469e-01    1.829003e+00   4.513519e-02
  3.503573e-01    1.887343e+00   4.568235e-02
  3.525678e-01    1.826797e+00   4.478348e-02
  3.547782e-01    1.797046e+00   4.425677e-02
  3.569887e-01    1.795403e+00   4.407978e-02
  3.591992e-01    1.758775e+00   4.347348e-02
  3.614096e-01    1.743881e+00   4.313890e-02
  3.636201e-01    1.834328e+00   4.408799e-02
  3.658305e-01    1.727989e+00   4.264505e-02
  3.680410e-01    1.724429e+00   4.245455e-02
  3.702514e-01    1.766830e+00   4.282880e-02
  3.724619e-01    1.800138e+00   4.308341e-02
  3.746724e-01    1.822251e+00   4.320260e-02
