# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166672",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "uzsuTRVMzDFDweKsTsO1Yw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000046.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.005338e+00   7.662682e-01
  3.315685e-03    1.665158e+00   4.244956e-01
  5.526141e-03    1.089434e+00   2.655049e-01
  7.736597e-03    1.473301e+00   2.608351e-01
  9.947054e-03    1.354181e+00   2.204525e-01
  1.215751e-02    1.492065e+00   2.092486e-01
  1.436797e-02    1.574849e+00   1.977404e-01
  1.657842e-02    1.256261e+00   1.643934e-01
  1.878888e-02    1.441302e+00   1.654021e-01
  2.099934e-02    1.650162e+00   1.674424e-01
  2.320979e-02    1.566055e+00   1.551445e-01
  2.542025e-02    1.310997e+00   1.356470e-01
  2.763070e-02    1.312664e+00   1.301869e-01
  2.984116e-02    1.432300e+00   1.308559e-01
  3.205162e-02    1.458149e+00   1.274052e-01
  3.426207e-02    1.330602e+00   1.177061e-01
  3.647253e-02    1.322365e+00   1.137275e-01
  3.868299e-02    1.273677e+00   1.083865e-01
  4.089344e-02    1.494599e+00   1.141939e-01
  4.310390e-02    1.464682e+00   1.101021e-01
  4.531436e-02    1.473002e+00   1.076880e-01
  4.752481e-02    1.449117e+00   1.042967e-01
  4.973527e-02    1.466777e+00   1.025732e-01
  5.194572e-02    1.379479e+00   9.733310e-02
  5.415618e-02    1.373918e+00   9.513037e-02
  5.636664e-02    1.296005e+00   9.056670e-02
  5.857709e-02    1.448947e+00   9.393787e-02
  6.078755e-02    1.480627e+00   9.321378e-02
  6.299801e-02    1.366385e+00   8.795955e-02
  6.520846e-02    1.388138e+00   8.714190e-02
  6.741892e-02    1.425162e+00   8.683243e-02
  6.962938e-02    1.526025e+00   8.841933e-02
  7.183983e-02    1.474586e+00   8.556715e-02
  7.405029e-02    1.384485e+00   8.166301e-02
  7.626074e-02    1.497456e+00   8.368880e-02
  7.847120e-02    1.490860e+00   8.231753e-02
  8.068166e-02    1.576901e+00   8.349115e-02
  8.289211e-02    1.491186e+00   8.010004e-02
  8.510257e-02    1.497209e+00   7.921194e-02
  8.731303e-02    1.342223e+00   7.404182e-02
  8.952348e-02    1.413085e+00   7.502943e-02
  9.173394e-02    1.421123e+00   7.432754e-02
  9.394439e-02    1.503069e+00   7.553335e-02
