# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166662",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "P/ca21FCWLCsPLcxtgL/Yg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000048.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.125925e+00   5.741714e-01
  3.315685e-03    2.345639e+00   5.038207e-01
  5.526141e-03    1.564298e+00   3.181500e-01
  7.736597e-03    1.182944e+00   2.337234e-01
  9.947054e-03    1.063865e+00   1.953978e-01
  1.215751e-02    1.228092e+00   1.898384e-01
  1.436797e-02    1.501371e+00   1.930722e-01
  1.657842e-02    1.377274e+00   1.721292e-01
  1.878888e-02    1.427666e+00   1.646178e-01
  2.099934e-02    1.553909e+00   1.624856e-01
  2.320979e-02    1.617955e+00   1.576943e-01
  2.542025e-02    1.639619e+00   1.516984e-01
  2.763070e-02    1.533781e+00   1.407252e-01
  2.984116e-02    1.451918e+00   1.317491e-01
  3.205162e-02    1.311790e+00   1.208421e-01
  3.426207e-02    1.378559e+00   1.198085e-01
  3.647253e-02    1.393748e+00   1.167567e-01
  3.868299e-02    1.411531e+00   1.141014e-01
  4.089344e-02    1.351521e+00   1.085906e-01
  4.310390e-02    1.414389e+00   1.081953e-01
  4.531436e-02    1.514695e+00   1.092015e-01
  4.752481e-02    1.540941e+00   1.075504e-01
  4.973527e-02    1.425342e+00   1.011140e-01
  5.194572e-02    1.327710e+00   9.548926e-02
  5.415618e-02    1.406379e+00   9.624759e-02
  5.636664e-02    1.432887e+00   9.522942e-02
  5.857709e-02    1.365293e+00   9.118585e-02
  6.078755e-02    1.601040e+00   9.693002e-02
  6.299801e-02    1.523046e+00   9.286523e-02
  6.520846e-02    1.395288e+00   8.736601e-02
  6.741892e-02    1.524205e+00   8.979902e-02
  6.962938e-02    1.458778e+00   8.644921e-02
  7.183983e-02    1.418039e+00   8.391047e-02
  7.405029e-02    1.356664e+00   8.083834e-02
  7.626074e-02    1.403255e+00   8.101372e-02
  7.847120e-02    1.334288e+00   7.787512e-02
  8.068166e-02    1.429281e+00   7.948718e-02
  8.289211e-02    1.417041e+00   7.808326e-02
  8.510257e-02    1.455790e+00   7.810856e-02
  8.731303e-02    1.557099e+00   7.974856e-02
  8.952348e-02    1.578088e+00   7.928904e-02
  9.173394e-02    1.435400e+00   7.469997e-02
  9.394439e-02    1.423707e+00   7.351223e-02
  9.615485e-02    1.459988e+00   7.358077e-02
  9.836531e-02    1.475023e+00   7.312094e-02
  1.005758e-01    1.496254e+00   7.283197e-02
  1.027862e-01    1.527872e+00   7.280000e-02
  1.049967e-01    1.442023e+00   6.997550e-02
  1.072071e-01    1.562173e+00   7.207677e-02
  1.094176e-01    1.511767e+00   7.018348e-02
  1.116280e-01    1.533720e+00   6.998624e-02
  1.138385e-01    1.569453e+00   7.010478e-02
  1.160490e-01    1.488898e+00   6.762768e-02
  1.182594e-01    1.537467e+00   6.807509e-02
  1.204699e-01    1.551613e+00   6.775670e-02
  1.226803e-01    1.536825e+00   6.682003e-02
  1.248908e-01    1.601513e+00   6.760467e-02
  1.271012e-01    1.638807e+00   6.778867e-02
  1.293117e-01    1.655980e+00   6.755716e-02
  1.315222e-01    1.588136e+00   6.559898e-02
  1.337326e-01    1.525161e+00   6.375048e-02
  1.359431e-01    1.536091e+00   6.401596e-02
  1.381535e-01    1.475036e+00   6.357288e-02
  1.403640e-01    1.421904e+00   6.268690e-02
  1.425744e-01    1.623145e+00   6.708316e-02
  1.447849e-01    1.628315e+00   6.720539e-02
  1.469953e-01    1.535883e+00   6.522918e-02
  1.492058e-01    1.646170e+00   6.745204e-02
  1.514163e-01    1.627050e+00   6.694787e-02
  1.536267e-01    1.544669e+00   6.510361e-02
  1.558372e-01    1.626703e+00   6.666251e-02
  1.580476e-01    1.551581e+00   6.494709e-02
  1.602581e-01    1.656418e+00   6.693492e-02
  1.624685e-01    1.782843e+00   6.925224e-02
  1.646790e-01    1.728445e+00   6.799176e-02
  1.668895e-01    1.779772e+00   6.879463e-02
  1.690999e-01    1.739144e+00   6.780069e-02
  1.713104e-01    1.658736e+00   6.600931e-02
  1.735208e-01    1.654864e+00   6.572716e-02
  1.757313e-01    1.782423e+00   6.799953e-02
  1.779417e-01    1.817231e+00   6.843636e-02
  1.801522e-01    1.882242e+00   6.942791e-02
  1.823626e-01    1.807099e+00   6.780151e-02
  1.845731e-01    1.795428e+00   6.736325e-02
  1.867836e-01    1.917573e+00   6.938202e-02
  1.889940e-01    1.931272e+00   6.940189e-02
  1.912045e-01    1.965299e+00   6.977682e-02
  1.934149e-01    1.973544e+00   6.968903e-02
  1.956254e-01    2.038115e+00   7.058630e-02
  1.978358e-01    1.974779e+00   6.924282e-02
  2.000463e-01    1.977535e+00   6.906145e-02
  2.022568e-01    2.052342e+00   7.012466e-02
  2.044672e-01    2.019476e+00   6.932262e-02
  2.066777e-01    1.963098e+00   6.812129e-02
  2.088881e-01    1.930676e+00   6.733536e-02
  2.110986e-01    1.894863e+00   6.647917e-02
  2.133090e-01    1.940497e+00   6.705620e-02
  2.155195e-01    1.979164e+00   6.749637e-02
  2.177300e-01    1.959036e+00   6.662472e-02
  2.199404e-01    1.940928e+00   6.456871e-02
  2.221509e-01    1.887058e+00   6.262089e-02
  2.243613e-01    1.970266e+00   6.317542e-02
  2.265718e-01    1.948488e+00   6.213285e-02
  2.287822e-01    2.051344e+00   6.312066e-02
  2.309927e-01    2.086954e+00   6.308619e-02
  2.332031e-01    2.151293e+00   6.350306e-02
  2.354136e-01    2.117942e+00   6.249823e-02
  2.376241e-01    2.084109e+00   6.151581e-02
  2.398345e-01    2.147215e+00   6.197809e-02
  2.420450e-01    2.187294e+00   6.210678e-02
  2.442554e-01    2.176941e+00   6.153280e-02
  2.464659e-01    2.143686e+00   6.065105e-02
  2.486763e-01    2.144991e+00   6.027069e-02
  2.508868e-01    2.158320e+00   6.007629e-02
  2.530973e-01    2.116550e+00   5.912328e-02
  2.553077e-01    2.033250e+00   5.759667e-02
  2.575182e-01    2.016084e+00   5.701367e-02
  2.597286e-01    2.060813e+00   5.730758e-02
  2.619391e-01    2.083246e+00   5.728692e-02
  2.641495e-01    2.022253e+00   5.612970e-02
  2.663600e-01    2.045706e+00   5.614377e-02
  2.685704e-01    2.068610e+00   5.615116e-02
  2.707809e-01    2.068630e+00   5.585338e-02
  2.729914e-01    2.035768e+00   5.511923e-02
  2.752018e-01    1.943739e+00   5.357863e-02
  2.774123e-01    1.957146e+00   5.348846e-02
  2.796227e-01    2.007108e+00   5.389893e-02
  2.818332e-01    2.019426e+00   5.379438e-02
  2.840436e-01    1.988996e+00   5.312877e-02
  2.862541e-01    1.961652e+00   5.250864e-02
  2.884646e-01    2.007475e+00   5.286631e-02
  2.906750e-01    2.012546e+00   5.268205e-02
  2.928855e-01    2.020556e+00   5.254222e-02
  2.950959e-01    1.983051e+00   5.181318e-02
  2.973064e-01    1.935502e+00   5.095818e-02
  2.995168e-01    1.908023e+00   5.036599e-02
  3.017273e-01    1.941185e+00   5.057781e-02
  3.039377e-01    1.920087e+00   5.008197e-02
  3.061482e-01    1.846281e+00   4.889752e-02
  3.083587e-01    1.899043e+00   4.937661e-02
  3.105691e-01    1.919862e+00   4.943450e-02
