# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "3FjRaypCUgQeZmZz+gBwEg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000054.dat
#        q_A^-1              I           sigma 
  1.105228e-03    6.626050e-01   4.404680e-01
  3.315685e-03    1.304119e+00   3.756679e-01
  5.526141e-03    1.296336e+00   2.896216e-01
  7.736597e-03    1.428819e+00   2.568673e-01
  9.947054e-03    1.291076e+00   2.152546e-01
  1.215751e-02    1.390030e+00   2.019671e-01
  1.436797e-02    1.507880e+00   1.934903e-01
  1.657842e-02    1.531416e+00   1.815060e-01
  1.878888e-02    1.468035e+00   1.669290e-01
  2.099934e-02    1.164787e+00   1.406777e-01
  2.320979e-02    1.379553e+00   1.456136e-01
  2.542025e-02    1.334509e+00   1.368580e-01
  2.763070e-02    1.447215e+00   1.366963e-01
  2.984116e-02    1.422824e+00   1.304224e-01
  3.205162e-02    1.361206e+00   1.230972e-01
  3.426207e-02    1.356765e+00   1.188576e-01
  3.647253e-02    1.315660e+00   1.134388e-01
  3.868299e-02    1.269595e+00   1.082127e-01
  4.089344e-02    1.331726e+00   1.077924e-01
  4.310390e-02    1.315171e+00   1.043314e-01
  4.531436e-02    1.433712e+00   1.062421e-01
  4.752481e-02    1.427056e+00   1.034998e-01
  4.973527e-02    1.515173e+00   1.042517e-01
  5.194572e-02    1.475070e+00   1.006490e-01
  5.415618e-02    1.357552e+00   9.456208e-02
  5.636664e-02    1.429923e+00   9.513088e-02
  5.857709e-02    1.420645e+00   9.301594e-02
  6.078755e-02    1.396178e+00   9.051647e-02
  6.299801e-02    1.461572e+00   9.097176e-02
  6.520846e-02    1.394007e+00   8.732592e-02
  6.741892e-02    1.391491e+00   8.580054e-02
  6.962938e-02    1.450852e+00   8.621401e-02
  7.183983e-02    1.433948e+00   8.437986e-02
  7.405029e-02    1.396842e+00   8.202664e-02
  7.626074e-02    1.433265e+00   8.187544e-02
  7.847120e-02    1.457462e+00   8.139031e-02
  8.068166e-02    1.475922e+00   8.077369e-02
  8.289211e-02    1.448469e+00   7.894440e-02
  8.510257e-02    1.471028e+00   7.851631e-02
  8.731303e-02    1.419944e+00   7.615536e-02
  8.952348e-02    1.431260e+00   7.551042e-02
  9.173394e-02    1.398055e+00   7.372183e-02
  9.394439e-02    1.389867e+00   7.263331e-02
  9.615485e-02    1.441942e+00   7.312461e-02
  9.836531e-02    1.516229e+00   7.413524e-02
