# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166616",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "ZkX7JWGLOws8iaz8gV3d6g==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000055.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.256730e+00   6.066079e-01
  3.315685e-03    1.396999e+00   3.888154e-01
  5.526141e-03    1.266785e+00   2.863015e-01
  7.736597e-03    1.435061e+00   2.574278e-01
  9.947054e-03    1.285335e+00   2.147755e-01
  1.215751e-02    1.192701e+00   1.870830e-01
  1.436797e-02    1.409473e+00   1.870700e-01
  1.657842e-02    1.434404e+00   1.756629e-01
  1.878888e-02    1.376877e+00   1.616632e-01
  2.099934e-02    1.395699e+00   1.539919e-01
  2.320979e-02    1.333698e+00   1.431731e-01
  2.542025e-02    1.338174e+00   1.370458e-01
  2.763070e-02    1.519653e+00   1.400756e-01
  2.984116e-02    1.333146e+00   1.262453e-01
  3.205162e-02    1.443534e+00   1.267651e-01
  3.426207e-02    1.433548e+00   1.221746e-01
  3.647253e-02    1.281279e+00   1.119468e-01
  3.868299e-02    1.467609e+00   1.163458e-01
  4.089344e-02    1.504458e+00   1.145700e-01
  4.310390e-02    1.338089e+00   1.052365e-01
  4.531436e-02    1.347437e+00   1.029959e-01
  4.752481e-02    1.371160e+00   1.014526e-01
  4.973527e-02    1.450580e+00   1.020053e-01
  5.194572e-02    1.518422e+00   1.021173e-01
  5.415618e-02    1.460393e+00   9.807845e-02
  5.636664e-02    1.475213e+00   9.662569e-02
  5.857709e-02    1.640358e+00   9.995025e-02
  6.078755e-02    1.552013e+00   9.543443e-02
  6.299801e-02    1.483071e+00   9.163839e-02
  6.520846e-02    1.364502e+00   8.639684e-02
  6.741892e-02    1.418379e+00   8.662554e-02
  6.962938e-02    1.483113e+00   8.716728e-02
  7.183983e-02    1.398668e+00   8.333538e-02
  7.405029e-02    1.412201e+00   8.247636e-02
  7.626074e-02    1.426731e+00   8.168858e-02
  7.847120e-02    1.485335e+00   8.216487e-02
  8.068166e-02    1.441290e+00   7.982042e-02
  8.289211e-02    1.543419e+00   8.149080e-02
  8.510257e-02    1.453129e+00   7.803718e-02
