# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "fT0C54L1uFYLTzZaZlBt0w==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000056.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.222494e+00   5.982880e-01
  3.315685e-03    9.903520e-01   3.273710e-01
  5.526141e-03    1.103628e+00   2.672290e-01
  7.736597e-03    1.688869e+00   2.792661e-01
  9.947054e-03    1.769060e+00   2.519694e-01
  1.215751e-02    1.515124e+00   2.108592e-01
  1.436797e-02    1.499149e+00   1.929293e-01
  1.657842e-02    1.465992e+00   1.775866e-01
  1.878888e-02    1.305322e+00   1.574064e-01
  2.099934e-02    1.343649e+00   1.510932e-01
  2.320979e-02    1.296662e+00   1.411712e-01
  2.542025e-02    1.516637e+00   1.458983e-01
  2.763070e-02    1.269807e+00   1.280440e-01
  2.984116e-02    1.341855e+00   1.266570e-01
  3.205162e-02    1.445224e+00   1.268393e-01
  3.426207e-02    1.404256e+00   1.209200e-01
  3.647253e-02    1.475804e+00   1.201445e-01
  3.868299e-02    1.416142e+00   1.142876e-01
  4.089344e-02    1.374480e+00   1.095090e-01
  4.310390e-02    1.366757e+00   1.063578e-01
  4.531436e-02    1.416593e+00   1.056059e-01
  4.752481e-02    1.324377e+00   9.970682e-02
  4.973527e-02    1.237580e+00   9.421899e-02
  5.194572e-02    1.274628e+00   9.356096e-02
  5.415618e-02    1.334152e+00   9.374356e-02
  5.636664e-02    1.364859e+00   9.294137e-02
  5.857709e-02    1.375376e+00   9.152194e-02
  6.078755e-02    1.438070e+00   9.186443e-02
  6.299801e-02    1.442545e+00   9.037767e-02
  6.520846e-02    1.403224e+00   8.761414e-02
  6.741892e-02    1.342449e+00   8.427500e-02
  6.962938e-02    1.320705e+00   8.225629e-02
  7.183983e-02    1.585706e+00   8.873265e-02
  7.405029e-02    1.431927e+00   8.305040e-02
  7.626074e-02    1.482030e+00   8.325665e-02
  7.847120e-02    1.360498e+00   7.863628e-02
  8.068166e-02    1.461500e+00   8.037810e-02
  8.289211e-02    1.428592e+00   7.840086e-02
  8.510257e-02    1.415393e+00   7.701724e-02
  8.731303e-02    1.473693e+00   7.758331e-02
  8.952348e-02    1.427196e+00   7.540312e-02
  9.173394e-02    1.466910e+00   7.551543e-02
  9.394439e-02    1.367378e+00   7.204328e-02
  9.615485e-02    1.469932e+00   7.383092e-02
  9.836531e-02    1.503302e+00   7.381856e-02
  1.005758e-01    1.451636e+00   7.173784e-02
  1.027862e-01    1.436273e+00   7.058404e-02
  1.049967e-01    1.497851e+00   7.131718e-02
  1.072071e-01    1.504420e+00   7.073190e-02
  1.094176e-01    1.521279e+00   7.040390e-02
  1.116280e-01    1.569768e+00   7.080392e-02
  1.138385e-01    1.568181e+00   7.007634e-02
  1.160490e-01    1.463637e+00   6.705152e-02
  1.182594e-01    1.480601e+00   6.680428e-02
  1.204699e-01    1.548810e+00   6.769548e-02
  1.226803e-01    1.550027e+00   6.710643e-02
  1.248908e-01    1.548779e+00   6.648234e-02
  1.271012e-01    1.635970e+00   6.772997e-02
  1.293117e-01    1.605260e+00   6.651453e-02
  1.315222e-01    1.497529e+00   6.370021e-02
  1.337326e-01    1.558218e+00   6.443764e-02
  1.359431e-01    1.537883e+00   6.405330e-02
  1.381535e-01    1.562200e+00   6.542426e-02
  1.403640e-01    1.606599e+00   6.663395e-02
  1.425744e-01    1.549548e+00   6.554467e-02
  1.447849e-01    1.643506e+00   6.751814e-02
  1.469953e-01    1.669111e+00   6.799947e-02
  1.492058e-01    1.646810e+00   6.746517e-02
  1.514163e-01    1.576219e+00   6.589380e-02
  1.536267e-01    1.607053e+00   6.640524e-02
  1.558372e-01    1.627423e+00   6.667727e-02
  1.580476e-01    1.578746e+00   6.551315e-02
  1.602581e-01    1.695622e+00   6.772241e-02
  1.624685e-01    1.700888e+00   6.764182e-02
  1.646790e-01    1.684416e+00   6.712017e-02
  1.668895e-01    1.760946e+00   6.842982e-02
  1.690999e-01    1.738231e+00   6.778289e-02
  1.713104e-01    1.754927e+00   6.789629e-02
  1.735208e-01    1.743989e+00   6.747387e-02
  1.757313e-01    1.772218e+00   6.780458e-02
  1.779417e-01    1.797134e+00   6.805689e-02
  1.801522e-01    1.837536e+00   6.859845e-02
  1.823626e-01    1.889201e+00   6.932460e-02
  1.845731e-01    1.792364e+00   6.730579e-02
  1.867836e-01    1.822846e+00   6.764659e-02
  1.889940e-01    1.927307e+00   6.933060e-02
  1.912045e-01    2.026568e+00   7.085613e-02
  1.934149e-01    1.919615e+00   6.873026e-02
  1.956254e-01    1.943804e+00   6.893382e-02
  1.978358e-01    2.014165e+00   6.992990e-02
  2.000463e-01    1.993272e+00   6.933571e-02
  2.022568e-01    2.011194e+00   6.941812e-02
  2.044672e-01    1.967696e+00   6.842812e-02
  2.066777e-01    2.016375e+00   6.903946e-02
  2.088881e-01    1.944203e+00   6.757085e-02
  2.110986e-01    1.883270e+00   6.627549e-02
  2.133090e-01    1.886800e+00   6.612193e-02
  2.155195e-01    1.854109e+00   6.532919e-02
  2.177300e-01    1.940996e+00   6.631724e-02
  2.199404e-01    2.014431e+00   6.577992e-02
  2.221509e-01    2.058270e+00   6.540002e-02
  2.243613e-01    2.056169e+00   6.453794e-02
  2.265718e-01    2.042702e+00   6.361727e-02
  2.287822e-01    2.117377e+00   6.412855e-02
  2.309927e-01    2.113606e+00   6.348778e-02
  2.332031e-01    2.077318e+00   6.240167e-02
  2.354136e-01    2.219943e+00   6.398549e-02
  2.376241e-01    2.039767e+00   6.085790e-02
  2.398345e-01    2.095774e+00   6.123115e-02
  2.420450e-01    2.200302e+00   6.229120e-02
  2.442554e-01    2.173394e+00   6.148265e-02
  2.464659e-01    2.129143e+00   6.044495e-02
  2.486763e-01    2.158998e+00   6.046715e-02
  2.508868e-01    2.111504e+00   5.942117e-02
  2.530973e-01    2.178239e+00   5.997869e-02
