# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166614",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "jcX550wpJbpJa127oKnjjw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000059.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.460448e+00   8.487779e-01
  3.315685e-03    1.570639e+00   4.122718e-01
  5.526141e-03    1.544618e+00   3.161424e-01
  7.736597e-03    1.473114e+00   2.608185e-01
  9.947054e-03    1.482981e+00   2.306983e-01
  1.215751e-02    1.235203e+00   1.903872e-01
  1.436797e-02    1.439206e+00   1.890328e-01
  1.657842e-02    1.495049e+00   1.793379e-01
  1.878888e-02    1.348419e+00   1.599837e-01
  2.099934e-02    1.353945e+00   1.516710e-01
  2.320979e-02    1.256378e+00   1.389610e-01
  2.542025e-02    1.371556e+00   1.387446e-01
  2.763070e-02    1.457723e+00   1.371917e-01
  2.984116e-02    1.418863e+00   1.302407e-01
  3.205162e-02    1.547302e+00   1.312423e-01
  3.426207e-02    1.483247e+00   1.242744e-01
  3.647253e-02    1.503520e+00   1.212674e-01
  3.868299e-02    1.568772e+00   1.202889e-01
  4.089344e-02    1.564812e+00   1.168454e-01
  4.310390e-02    1.412258e+00   1.081138e-01
  4.531436e-02    1.371704e+00   1.039192e-01
  4.752481e-02    1.455560e+00   1.045283e-01
  4.973527e-02    1.433857e+00   1.014156e-01
  5.194572e-02    1.419051e+00   9.871928e-02
  5.415618e-02    1.321001e+00   9.328039e-02
  5.636664e-02    1.432104e+00   9.520343e-02
  5.857709e-02    1.452024e+00   9.403758e-02
  6.078755e-02    1.564373e+00   9.581369e-02
  6.299801e-02    1.522427e+00   9.284633e-02
  6.520846e-02    1.561127e+00   9.241229e-02
  6.741892e-02    1.561833e+00   9.090070e-02
  6.962938e-02    1.540095e+00   8.882600e-02
  7.183983e-02    1.535149e+00   8.730668e-02
  7.405029e-02    1.428647e+00   8.295521e-02
  7.626074e-02    1.538223e+00   8.482033e-02
  7.847120e-02    1.495291e+00   8.243977e-02
  8.068166e-02    1.510761e+00   8.172145e-02
  8.289211e-02    1.556148e+00   8.182616e-02
  8.510257e-02    1.456107e+00   7.811709e-02
  8.731303e-02    1.545609e+00   7.945378e-02
  8.952348e-02    1.496056e+00   7.720076e-02
  9.173394e-02    1.602844e+00   7.893678e-02
  9.394439e-02    1.496144e+00   7.535918e-02
  9.615485e-02    1.427057e+00   7.274619e-02
  9.836531e-02    1.492701e+00   7.355782e-02
  1.005758e-01    1.480906e+00   7.245748e-02
  1.027862e-01    1.528524e+00   7.281552e-02
  1.049967e-01    1.625597e+00   7.429616e-02
  1.072071e-01    1.588851e+00   7.268962e-02
  1.094176e-01    1.483573e+00   6.952593e-02
  1.116280e-01    1.525650e+00   6.980187e-02
  1.138385e-01    1.513899e+00   6.885283e-02
  1.160490e-01    1.493157e+00   6.772433e-02
  1.182594e-01    1.576037e+00   6.892368e-02
  1.204699e-01    1.557735e+00   6.789028e-02
  1.226803e-01    1.549248e+00   6.708953e-02
  1.248908e-01    1.577022e+00   6.708578e-02
  1.271012e-01    1.586356e+00   6.669505e-02
  1.293117e-01    1.699915e+00   6.844748e-02
  1.315222e-01    1.714015e+00   6.814916e-02
  1.337326e-01    1.611807e+00   6.553634e-02
  1.359431e-01    1.562672e+00   6.456748e-02
  1.381535e-01    1.559730e+00   6.537252e-02
  1.403640e-01    1.584297e+00   6.616984e-02
  1.425744e-01    1.603103e+00   6.666772e-02
  1.447849e-01    1.513963e+00   6.480265e-02
  1.469953e-01    1.510881e+00   6.469606e-02
  1.492058e-01    1.607495e+00   6.665500e-02
  1.514163e-01    1.634309e+00   6.709702e-02
  1.536267e-01    1.587865e+00   6.600764e-02
  1.558372e-01    1.621921e+00   6.656444e-02
  1.580476e-01    1.609782e+00   6.615397e-02
  1.602581e-01    1.702845e+00   6.786651e-02
  1.624685e-01    1.631937e+00   6.625660e-02
  1.646790e-01    1.691621e+00   6.726357e-02
  1.668895e-01    1.760192e+00   6.841517e-02
  1.690999e-01    1.710196e+00   6.723404e-02
  1.713104e-01    1.762377e+00   6.804022e-02
  1.735208e-01    1.849648e+00   6.948776e-02
  1.757313e-01    1.808054e+00   6.848672e-02
  1.779417e-01    1.748677e+00   6.713309e-02
  1.801522e-01    1.796470e+00   6.782760e-02
  1.823626e-01    1.803916e+00   6.774175e-02
  1.845731e-01    1.860793e+00   6.857853e-02
  1.867836e-01    1.910748e+00   6.925844e-02
  1.889940e-01    1.885756e+00   6.857920e-02
  1.912045e-01    1.883979e+00   6.831797e-02
  1.934149e-01    1.945019e+00   6.918352e-02
  1.956254e-01    2.067874e+00   7.109978e-02
  1.978358e-01    1.987355e+00   6.946293e-02
  2.000463e-01    1.874514e+00   6.723850e-02
  2.022568e-01    1.963176e+00   6.858443e-02
  2.044672e-01    1.953670e+00   6.818378e-02
  2.066777e-01    2.071619e+00   6.997883e-02
  2.088881e-01    1.938507e+00   6.747182e-02
  2.110986e-01    1.938165e+00   6.723446e-02
  2.133090e-01    1.940613e+00   6.705822e-02
  2.155195e-01    1.978188e+00   6.747972e-02
  2.177300e-01    2.027746e+00   6.778304e-02
  2.199404e-01    1.931381e+00   6.440973e-02
  2.221509e-01    1.919983e+00   6.316482e-02
  2.243613e-01    2.047566e+00   6.440280e-02
  2.265718e-01    2.027357e+00   6.337785e-02
  2.287822e-01    2.057565e+00   6.321631e-02
  2.309927e-01    2.111580e+00   6.345731e-02
  2.332031e-01    2.202405e+00   6.425299e-02
  2.354136e-01    2.209140e+00   6.382963e-02
  2.376241e-01    2.145897e+00   6.242103e-02
  2.398345e-01    2.160488e+00   6.216935e-02
  2.420450e-01    2.195491e+00   6.222306e-02
  2.442554e-01    2.096591e+00   6.038655e-02
  2.464659e-01    2.000068e+00   5.858415e-02
  2.486763e-01    2.119345e+00   5.990929e-02
  2.508868e-01    2.168152e+00   6.021297e-02
  2.530973e-01    2.097550e+00   5.885731e-02
  2.553077e-01    2.103544e+00   5.858383e-02
  2.575182e-01    2.122380e+00   5.849735e-02
  2.597286e-01    2.127321e+00   5.822498e-02
  2.619391e-01    2.052240e+00   5.685902e-02
  2.641495e-01    1.968010e+00   5.537179e-02
  2.663600e-01    2.036315e+00   5.601475e-02
  2.685704e-01    2.160131e+00   5.737986e-02
  2.707809e-01    2.067465e+00   5.583766e-02
  2.729914e-01    2.043255e+00   5.522047e-02
  2.752018e-01    2.077387e+00   5.538999e-02
  2.774123e-01    2.068463e+00   5.498857e-02
  2.796227e-01    1.995269e+00   5.373975e-02
  2.818332e-01    2.030042e+00   5.393558e-02
  2.840436e-01    2.001004e+00   5.328889e-02
  2.862541e-01    1.969094e+00   5.260817e-02
  2.884646e-01    1.995989e+00   5.271484e-02
  2.906750e-01    1.947545e+00   5.182434e-02
  2.928855e-01    1.909646e+00   5.107981e-02
  2.950959e-01    1.940337e+00   5.125212e-02
  2.973064e-01    1.945580e+00   5.109068e-02
  2.995168e-01    1.955462e+00   5.098827e-02
  3.017273e-01    1.961890e+00   5.084683e-02
  3.039377e-01    1.941488e+00   5.036029e-02
  3.061482e-01    1.882176e+00   4.937056e-02
  3.083587e-01    1.901929e+00   4.941414e-02
  3.105691e-01    1.907330e+00   4.927288e-02
  3.127796e-01    1.930923e+00   4.936826e-02
  3.149900e-01    1.961246e+00   4.954709e-02
  3.172005e-01    1.914004e+00   4.874657e-02
  3.194109e-01    1.816898e+00   4.729787e-02
  3.216214e-01    1.831487e+00   4.729357e-02
  3.238319e-01    1.889973e+00   4.785244e-02
  3.260423e-01    1.918203e+00   4.801647e-02
  3.282528e-01    1.885245e+00   4.741269e-02
  3.304632e-01    1.886449e+00   4.724407e-02
  3.326737e-01    1.890692e+00   4.711265e-02
  3.348841e-01    1.799940e+00   4.578981e-02
  3.370946e-01    1.770816e+00   4.524695e-02
  3.393050e-01    1.795082e+00   4.538334e-02
  3.415155e-01    1.870038e+00   4.614700e-02
  3.437260e-01    1.912486e+00   4.649486e-02
  3.459364e-01    1.894426e+00   4.610362e-02
  3.481469e-01    1.823254e+00   4.506419e-02
  3.503573e-01    1.806910e+00   4.469835e-02
  3.525678e-01    1.826593e+00   4.478095e-02
  3.547782e-01    1.845888e+00   4.485418e-02
  3.569887e-01    1.847210e+00   4.471123e-02
  3.591992e-01    1.849132e+00   4.457621e-02
  3.614096e-01    1.798121e+00   4.380465e-02
  3.636201e-01    1.803040e+00   4.371035e-02
  3.658305e-01    1.822106e+00   4.379100e-02
  3.680410e-01    1.746106e+00   4.272057e-02
  3.702514e-01    1.796091e+00   4.318200e-02
  3.724619e-01    1.750810e+00   4.248903e-02
  3.746724e-01    1.762892e+00   4.249310e-02
  3.768828e-01    1.824535e+00   4.308420e-02
  3.790933e-01    1.830624e+00   4.301540e-02
  3.813037e-01    1.779566e+00   4.227254e-02
  3.835142e-01    1.744281e+00   4.171388e-02
  3.857246e-01    1.823232e+00   4.250946e-02
  3.879351e-01    1.820015e+00   4.233447e-02
  3.901455e-01    1.787263e+00   4.181827e-02
  3.923560e-01    1.771103e+00   4.149649e-02
  3.945665e-01    1.763176e+00   4.127220e-02
  3.967769e-01    1.807898e+00   4.166148e-02
  3.989874e-01    1.800488e+00   4.144619e-02
  4.011978e-01    1.817755e+00   4.151639e-02
  4.034083e-01    1.760350e+00   4.073017e-02
  4.056187e-01    1.796989e+00   4.102508e-02
  4.078292e-01    1.777498e+00   4.067851e-02
  4.100397e-01    1.798597e+00   4.079428e-02
  4.122501e-01    1.746623e+00   4.008028e-02
  4.144606e-01    1.787196e+00   4.042289e-02
  4.166710e-01    1.792253e+00   4.035968e-02
  4.188815e-01    1.822418e+00   4.057769e-02
  4.210919e-01    1.852095e+00   4.078687e-02
  4.233024e-01    1.845841e+00   4.059817e-02
  4.255128e-01    1.821888e+00   4.021732e-02
  4.277233e-01    1.790657e+00   3.975656e-02
  4.299338e-01    1.768861e+00   3.940016e-02
  4.321442e-01    1.817454e+00   3.982339e-02
  4.343547e-01    1.808307e+00   3.961075e-02
  4.365651e-01    1.772388e+00   3.910394e-02
  4.387756e-01    1.792114e+00   3.921086e-02
  4.409860e-01    1.784720e+00   3.902145e-02
  4.431965e-01    1.818704e+00   3.928231e-02
  4.454070e-01    1.752185e+00   3.844999e-02
  4.476174e-01    1.723053e+00   3.802430e-02
  4.498279e-01    1.769351e+00   3.842694e-02
  4.520383e-01    1.660879e+00   3.712823e-02
  4.542488e-01    1.711096e+00   3.758372e-02
  4.564592e-01    1.711827e+00   3.749090e-02
  4.586697e-01    1.679763e+00   3.703956e-02
  4.608801e-01    1.749487e+00   3.769920e-02
  4.630906e-01    1.735984e+00   3.745400e-02
  4.653011e-01    1.748143e+00   3.748611e-02
  4.675115e-01    1.758298e+00   3.749581e-02
  4.697220e-01    1.709758e+00   3.687783e-02
  4.719324e-01    1.748190e+00   3.719353e-02
  4.741429e-01    1.690858e+00   3.648432e-02
  4.763533e-01    1.688704e+00   3.636760e-02
  4.785638e-01    1.701909e+00   3.641519e-02
  4.807743e-01    1.707580e+00   3.638306e-02
  4.829847e-01    1.680690e+00   3.600427e-02
  4.851952e-01    1.699268e+00   3.611110e-02
  4.874056e-01    1.673477e+00   3.574565e-02
  4.896161e-01    1.687472e+00   3.580580e-02
  4.918265e-01    1.712205e+00   3.597767e-02
  4.940370e-01    1.737210e+00   3.614995e-02
  4.962475e-01    1.709637e+00   3.577337e-02
  4.984579e-01    1.664486e+00   3.521083e-02
  5.006684e-01    1.689744e+00   3.539048e-02
  5.028788e-01    1.695601e+00   3.536585e-02
  5.050893e-01    1.693782e+00   3.526092e-02
  5.072997e-01    1.669106e+00   3.491858e-02
  5.095102e-01    1.686763e+00   3.501872e-02
  5.117206e-01    1.689113e+00   3.495977e-02
  5.139311e-01    1.670330e+00   3.468258e-02
  5.161416e-01    1.689859e+00   3.480229e-02
  5.183520e-01    1.682255e+00   3.464141e-02
  5.205625e-01    1.655265e+00   3.428187e-02
  5.227729e-01    1.679347e+00   3.444983e-02
  5.249834e-01    1.693962e+00   3.451907e-02
  5.271938e-01    1.761363e+00   3.511699e-02
  5.294043e-01    1.807793e+00   3.549471e-02
  5.316148e-01    1.780233e+00   3.514246e-02
  5.338252e-01    1.829352e+00   3.554254e-02
  5.360357e-01    1.753798e+00   3.472165e-02
  5.382461e-01    1.684571e+00   3.395250e-02
  5.404566e-01    1.759371e+00   3.461915e-02
  5.426670e-01    1.761753e+00   3.456454e-02
  5.448775e-01    1.746552e+00   3.433820e-02
  5.470879e-01    1.773983e+00   3.452963e-02
  5.492984e-01    1.755443e+00   3.427234e-02
  5.515089e-01    1.794154e+00   3.457132e-02
  5.537193e-01    1.771660e+00   3.427824e-02
  5.559298e-01    1.809174e+00   3.456326e-02
  5.581402e-01    1.787060e+00   3.427634e-02
  5.603507e-01    1.804109e+00   3.436448e-02
  5.625611e-01    1.796083e+00   3.421356e-02
  5.647716e-01    1.789953e+00   3.408096e-02
  5.669821e-01    1.784861e+00   3.395909e-02
  5.691925e-01    1.762203e+00   3.367043e-02
  5.714030e-01    1.768360e+00   3.365727e-02
  5.736134e-01    1.778634e+00   3.368312e-02
  5.758239e-01    1.711625e+00   3.297201e-02
  5.780343e-01    1.683808e+00   3.263379e-02
  5.802448e-01    1.696106e+00   3.268418e-02
  5.824552e-01    1.680220e+00   3.246252e-02
  5.846657e-01    1.614459e+00   3.175459e-02
  5.868762e-01    1.606416e+00   3.160942e-02
  5.890866e-01    1.647909e+00   3.194863e-02
  5.912971e-01    1.627682e+00   3.168622e-02
  5.935075e-01    1.646662e+00   3.180453e-02
  5.957180e-01    1.666188e+00   3.192694e-02
  5.979284e-01    1.617229e+00   3.139016e-02
  6.001389e-01    1.641999e+00   3.156522e-02
  6.023494e-01    1.650797e+00   3.158541e-02
  6.045598e-01    1.649081e+00   3.150472e-02
  6.067703e-01    1.644603e+00   3.139865e-02
  6.089807e-01    1.683721e+00   3.170599e-02
  6.111912e-01    1.682758e+00   3.163363e-02
  6.134016e-01    1.708838e+00   3.181425e-02
  6.156121e-01    1.719922e+00   3.185381e-02
  6.178226e-01    1.704982e+00   3.165238e-02
  6.200330e-01    1.707998e+00   3.161786e-02
  6.222435e-01    1.711185e+00   3.158465e-02
  6.244539e-01    1.708038e+00   3.149382e-02
  6.266644e-01    1.724004e+00   3.157895e-02
  6.288748e-01    1.689243e+00   3.119813e-02
  6.310853e-01    1.746138e+00   3.165757e-02
  6.332957e-01    1.739468e+00   3.153607e-02
  6.355062e-01    1.679939e+00   3.093153e-02
  6.377167e-01    1.665958e+00   3.074343e-02
  6.399271e-01    1.707765e+00   3.106716e-02
  6.421376e-01    1.696987e+00   3.090986e-02
  6.443480e-01    1.677826e+00   3.067639e-02
  6.465585e-01    1.679032e+00   3.062927e-02
  6.487689e-01    1.685315e+00   3.062859e-02
  6.509794e-01    1.650173e+00   3.025041e-02
  6.531899e-01    1.626606e+00   2.997715e-02
  6.554003e-01    1.633188e+00   2.998126e-02
  6.576108e-01    1.642907e+00   3.001433e-02
  6.598212e-01    1.621522e+00   2.976298e-02
  6.620317e-01    1.620587e+00   2.969922e-02
  6.642421e-01    1.616484e+00   2.960673e-02
  6.664526e-01    1.635005e+00   2.972100e-02
  6.686630e-01    1.627004e+00   2.959337e-02
  6.708735e-01    1.627928e+00   2.954748e-02
  6.730840e-01    1.605415e+00   2.928896e-02
  6.752944e-01    1.638286e+00   2.953347e-02
  6.775049e-01    1.690933e+00   2.994979e-02
  6.797153e-01    1.641751e+00   2.945759e-02
  6.819258e-01    1.583727e+00   2.888017e-02
  6.841362e-01    1.625792e+00   2.920856e-02
  6.863467e-01    1.584910e+00   2.878735e-02
  6.885572e-01    1.616911e+00   2.902439e-02
  6.907676e-01    1.606493e+00   2.887893e-02
  6.929781e-01    1.599379e+00   2.876368e-02
  6.951885e-01    1.590095e+00   2.862929e-02
  6.973990e-01    1.555754e+00   2.826838e-02
  6.996094e-01    1.600328e+00   2.862003e-02
  7.018199e-01    1.605331e+00   2.861443e-02
  7.040303e-01    1.594233e+00   2.846525e-02
  7.062408e-01    1.589487e+00   2.837308e-02
  7.084513e-01    1.556204e+00   2.802560e-02
  7.106617e-01    1.589947e+00   2.827859e-02
  7.128722e-01    1.569828e+00   2.805049e-02
  7.150826e-01    1.578942e+00   2.808330e-02
  7.172931e-01    1.561372e+00   2.787848e-02
  7.195035e-01    1.568403e+00   2.789313e-02
  7.217140e-01    1.591985e+00   2.815178e-02
  7.239245e-01    1.547036e+00   2.797625e-02
  7.261349e-01    1.545105e+00   2.806637e-02
  7.283454e-01    1.559994e+00   2.827333e-02
  7.305558e-01    1.625057e+00   2.891175e-02
  7.327663e-01    1.620631e+00   2.891550e-02
  7.349767e-01    1.549762e+00   2.829245e-02
  7.371872e-01    1.549523e+00   2.827915e-02
  7.393976e-01    1.507017e+00   2.787466e-02
  7.416081e-01    1.524452e+00   2.801949e-02
  7.438186e-01    1.580718e+00   2.838731e-02
  7.460290e-01    1.531108e+00   2.764816e-02
  7.482395e-01    1.578743e+00   2.790354e-02
  7.504499e-01    1.561483e+00   2.761491e-02
  7.526604e-01    1.564800e+00   2.752803e-02
  7.548708e-01    1.590786e+00   2.766577e-02
  7.570813e-01    1.580594e+00   2.752596e-02
  7.592918e-01    1.529651e+00   2.704407e-02
  7.615022e-01    1.531155e+00   2.702402e-02
  7.637127e-01    1.562821e+00   2.726937e-02
  7.659231e-01    1.579361e+00   2.738124e-02
  7.681336e-01    1.600387e+00   2.753107e-02
  7.703440e-01    1.594052e+00   2.744510e-02
  7.725545e-01    1.578431e+00   2.727937e-02
  7.747650e-01    1.623152e+00   2.762434e-02
  7.769754e-01    1.600004e+00   2.737355e-02
  7.791859e-01    1.566954e+00   2.703601e-02
  7.813963e-01    1.649485e+00   2.768509e-02
  7.836068e-01    1.684433e+00   2.792324e-02
  7.858172e-01    1.649357e+00   2.757934e-02
  7.880277e-01    1.595757e+00   2.707590e-02
  7.902381e-01    1.597063e+00   2.703774e-02
  7.924486e-01    1.613538e+00   2.712651e-02
  7.946591e-01    1.658463e+00   2.745237e-02
  7.968695e-01    1.657540e+00   2.739566e-02
  7.990800e-01    1.621833e+00   2.705053e-02
  8.012904e-01    1.619933e+00   2.698791e-02
  8.035009e-01    1.637945e+00   2.708925e-02
  8.057113e-01    1.647670e+00   2.712256e-02
  8.079218e-01    1.678495e+00   2.732785e-02
  8.101323e-01    1.692178e+00   2.739243e-02
  8.123427e-01    1.736179e+00   2.769897e-02
  8.145532e-01    1.699574e+00   2.735856e-02
  8.167636e-01    1.645286e+00   2.687278e-02
  8.189741e-01    1.633746e+00   2.673374e-02
  8.211845e-01    1.630876e+00   2.666545e-02
  8.233950e-01    1.658524e+00   2.684684e-02
  8.256054e-01    1.648793e+00   2.672356e-02
  8.278159e-01    1.681920e+00   2.694616e-02
  8.300264e-01    1.676688e+00   2.686063e-02
  8.322368e-01    1.698502e+00   2.699087e-02
  8.344473e-01    1.723679e+00   2.714570e-02
  8.366577e-01    1.779696e+00   2.753891e-02
  8.388682e-01    1.735627e+00   2.715236e-02
  8.410786e-01    1.847706e+00   2.797059e-02
  8.432891e-01    2.284237e+00   3.105023e-02
  8.454996e-01    2.397637e+00   3.176150e-02
  8.477100e-01    1.967173e+00   2.872371e-02
  8.499205e-01    1.678032e+00   2.648721e-02
  8.521309e-01    1.620267e+00   2.598670e-02
  8.543414e-01    1.667430e+00   2.632106e-02
  8.565518e-01    1.664382e+00   2.625608e-02
  8.587623e-01    1.676945e+00   2.631392e-02
  8.609727e-01    1.682225e+00   2.631448e-02
  8.631832e-01    1.618338e+00   2.577017e-02
  8.653937e-01    1.612211e+00   2.568179e-02
  8.676041e-01    1.640735e+00   2.586889e-02
  8.698146e-01    1.790498e+00   2.698240e-02
  8.720250e-01    1.922717e+00   2.791834e-02
  8.742355e-01    2.072630e+00   2.894221e-02
  8.764459e-01    1.835610e+00   2.719556e-02
  8.786564e-01    1.622686e+00   2.553153e-02
  8.808669e-01    1.607797e+00   2.537560e-02
  8.830773e-01    1.591275e+00   2.520686e-02
