# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "YPVuN752I7uoOXq1sifAqg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000060.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.220780e+00   5.978686e-01
  3.315685e-03    1.303078e+00   3.755178e-01
  5.526141e-03    9.760655e-01   2.513111e-01
  7.736597e-03    1.006798e+00   2.156212e-01
  9.947054e-03    1.209730e+00   2.083631e-01
  1.215751e-02    1.177493e+00   1.858865e-01
  1.436797e-02    1.068380e+00   1.628691e-01
  1.657842e-02    1.249184e+00   1.639297e-01
  1.878888e-02    1.253216e+00   1.542327e-01
  2.099934e-02    1.274225e+00   1.471381e-01
  2.320979e-02    1.287833e+00   1.406898e-01
  2.542025e-02    1.152644e+00   1.271912e-01
  2.763070e-02    1.304977e+00   1.298051e-01
  2.984116e-02    1.243696e+00   1.219365e-01
  3.205162e-02    1.416366e+00   1.255665e-01
  3.426207e-02    1.427516e+00   1.219173e-01
  3.647253e-02    1.232398e+00   1.097906e-01
  3.868299e-02    1.268688e+00   1.081740e-01
  4.089344e-02    1.286264e+00   1.059365e-01
  4.310390e-02    1.293612e+00   1.034727e-01
  4.531436e-02    1.216738e+00   9.787331e-02
  4.752481e-02    1.301099e+00   9.882665e-02
  4.973527e-02    1.373481e+00   9.925746e-02
  5.194572e-02    1.255291e+00   9.284859e-02
  5.415618e-02    1.139790e+00   8.664651e-02
  5.636664e-02    1.237293e+00   8.849148e-02
  5.857709e-02    1.237218e+00   8.680358e-02
  6.078755e-02    1.223402e+00   8.473092e-02
  6.299801e-02    1.182309e+00   8.182047e-02
  6.520846e-02    1.282715e+00   8.376756e-02
  6.741892e-02    1.269745e+00   8.196118e-02
  6.962938e-02    1.293031e+00   8.138994e-02
  7.183983e-02    1.332285e+00   8.133371e-02
  7.405029e-02    1.300050e+00   7.913364e-02
  7.626074e-02    1.298156e+00   7.792088e-02
  7.847120e-02    1.242556e+00   7.515053e-02
  8.068166e-02    1.205257e+00   7.299247e-02
  8.289211e-02    1.280949e+00   7.423907e-02
  8.510257e-02    1.374697e+00   7.590196e-02
  8.731303e-02    1.229499e+00   7.086453e-02
  8.952348e-02    1.254945e+00   7.070659e-02
  9.173394e-02    1.436119e+00   7.471864e-02
  9.394439e-02    1.413298e+00   7.324301e-02
  9.615485e-02    1.319540e+00   6.995214e-02
  9.836531e-02    1.336193e+00   6.959484e-02
  1.005758e-01    1.326424e+00   6.857418e-02
  1.027862e-01    1.351007e+00   6.845683e-02
  1.049967e-01    1.274208e+00   6.577791e-02
  1.072071e-01    1.221789e+00   6.374248e-02
  1.094176e-01    1.263303e+00   6.415731e-02
  1.116280e-01    1.321672e+00   6.496831e-02
  1.138385e-01    1.306337e+00   6.395889e-02
  1.160490e-01    1.349272e+00   6.437862e-02
  1.182594e-01    1.430477e+00   6.566378e-02
  1.204699e-01    1.330179e+00   6.273584e-02
  1.226803e-01    1.359273e+00   6.284166e-02
  1.248908e-01    1.367620e+00   6.247327e-02
  1.271012e-01    1.401967e+00   6.269921e-02
  1.293117e-01    1.415294e+00   6.245499e-02
  1.315222e-01    1.415064e+00   6.192145e-02
  1.337326e-01    1.403806e+00   6.116166e-02
  1.359431e-01    1.362564e+00   6.029181e-02
  1.381535e-01    1.347109e+00   6.075358e-02
  1.403640e-01    1.341715e+00   6.089363e-02
  1.425744e-01    1.281947e+00   5.961699e-02
  1.447849e-01    1.323131e+00   6.058098e-02
  1.469953e-01    1.419863e+00   6.271712e-02
  1.492058e-01    1.404020e+00   6.229376e-02
  1.514163e-01    1.371777e+00   6.147207e-02
  1.536267e-01    1.380039e+00   6.153654e-02
  1.558372e-01    1.382372e+00   6.145256e-02
  1.580476e-01    1.337857e+00   6.030834e-02
  1.602581e-01    1.309014e+00   5.950316e-02
  1.624685e-01    1.396195e+00   6.128445e-02
  1.646790e-01    1.403023e+00   6.125771e-02
  1.668895e-01    1.506792e+00   6.329932e-02
  1.690999e-01    1.562616e+00   6.426763e-02
  1.713104e-01    1.565331e+00   6.412387e-02
  1.735208e-01    1.499784e+00   6.257173e-02
  1.757313e-01    1.543992e+00   6.328826e-02
  1.779417e-01    1.583014e+00   6.387401e-02
  1.801522e-01    1.616479e+00   6.434008e-02
  1.823626e-01    1.542404e+00   6.263936e-02
  1.845731e-01    1.520582e+00   6.199321e-02
  1.867836e-01    1.679457e+00   6.493149e-02
  1.889940e-01    1.718751e+00   6.547207e-02
  1.912045e-01    1.630225e+00   6.355076e-02
  1.934149e-01    1.675035e+00   6.420264e-02
  1.956254e-01    1.733123e+00   6.509099e-02
  1.978358e-01    1.773760e+00   6.562401e-02
  2.000463e-01    1.794044e+00   6.577948e-02
  2.022568e-01    1.700360e+00   6.382876e-02
  2.044672e-01    1.772852e+00   6.495189e-02
  2.066777e-01    1.687926e+00   6.316675e-02
  2.088881e-01    1.727124e+00   6.368691e-02
  2.110986e-01    1.776978e+00   6.437805e-02
  2.133090e-01    1.676663e+00   6.233119e-02
  2.155195e-01    1.673286e+00   6.206185e-02
  2.177300e-01    1.607935e+00   6.035989e-02
  2.199404e-01    1.687638e+00   6.020835e-02
  2.221509e-01    1.709099e+00   5.959506e-02
  2.243613e-01    1.799835e+00   6.038124e-02
  2.265718e-01    1.849336e+00   6.053134e-02
  2.287822e-01    1.775482e+00   5.872332e-02
  2.309927e-01    1.755759e+00   5.786426e-02
  2.332031e-01    1.756599e+00   5.738272e-02
  2.354136e-01    1.864038e+00   5.863242e-02
  2.376241e-01    1.863905e+00   5.817529e-02
  2.398345e-01    1.894655e+00   5.821910e-02
  2.420450e-01    1.948313e+00   5.861583e-02
  2.442554e-01    1.927422e+00   5.789909e-02
  2.464659e-01    1.824235e+00   5.594976e-02
  2.486763e-01    1.785967e+00   5.499588e-02
  2.508868e-01    1.891042e+00   5.623357e-02
  2.530973e-01    1.895419e+00   5.594959e-02
  2.553077e-01    1.851272e+00   5.495877e-02
  2.575182e-01    1.840901e+00   5.448036e-02
  2.597286e-01    1.818305e+00   5.383021e-02
  2.619391e-01    1.794843e+00   5.317390e-02
  2.641495e-01    1.759328e+00   5.235382e-02
  2.663600e-01    1.790927e+00   5.253139e-02
  2.685704e-01    1.823617e+00   5.272131e-02
  2.707809e-01    1.789196e+00   5.194421e-02
  2.729914e-01    1.766591e+00   5.134603e-02
  2.752018e-01    1.716411e+00   5.034813e-02
  2.774123e-01    1.711850e+00   5.002432e-02
  2.796227e-01    1.739370e+00   5.017541e-02
  2.818332e-01    1.689166e+00   4.919931e-02
  2.840436e-01    1.681912e+00   4.885560e-02
  2.862541e-01    1.717537e+00   4.913294e-02
  2.884646e-01    1.736426e+00   4.916797e-02
  2.906750e-01    1.697489e+00   4.838306e-02
  2.928855e-01    1.640313e+00   4.734088e-02
  2.950959e-01    1.635280e+00   4.705105e-02
  2.973064e-01    1.705518e+00   4.783493e-02
  2.995168e-01    1.665336e+00   4.705400e-02
  3.017273e-01    1.654104e+00   4.668830e-02
  3.039377e-01    1.651814e+00   4.645168e-02
  3.061482e-01    1.691479e+00   4.680273e-02
  3.083587e-01    1.701752e+00   4.674145e-02
  3.105691e-01    1.679071e+00   4.623061e-02
  3.127796e-01    1.675541e+00   4.598784e-02
  3.149900e-01    1.644995e+00   4.537687e-02
  3.172005e-01    1.643829e+00   4.517528e-02
  3.194109e-01    1.619529e+00   4.465504e-02
  3.216214e-01    1.624181e+00   4.453665e-02
  3.238319e-01    1.654336e+00   4.477011e-02
  3.260423e-01    1.602336e+00   4.388537e-02
  3.282528e-01    1.551470e+00   4.301129e-02
  3.304632e-01    1.586235e+00   4.332201e-02
  3.326737e-01    1.642304e+00   4.390903e-02
  3.348841e-01    1.645844e+00   4.378588e-02
  3.370946e-01    1.630010e+00   4.341079e-02
  3.393050e-01    1.629627e+00   4.324127e-02
  3.415155e-01    1.636150e+00   4.316483e-02
  3.437260e-01    1.535651e+00   4.166315e-02
  3.459364e-01    1.583409e+00   4.214953e-02
  3.481469e-01    1.561665e+00   4.170633e-02
  3.503573e-01    1.587620e+00   4.189828e-02
  3.525678e-01    1.613764e+00   4.209133e-02
  3.547782e-01    1.611169e+00   4.190547e-02
  3.569887e-01    1.565246e+00   4.115758e-02
  3.591992e-01    1.589881e+00   4.133344e-02
  3.614096e-01    1.544287e+00   4.059520e-02
  3.636201e-01    1.549358e+00   4.051891e-02
