# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166592",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "3VloklrHKSlBKnLnEiFogw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000064.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.358062e+00   6.305894e-01
  3.315685e-03    1.872214e+00   4.501146e-01
  5.526141e-03    1.756007e+00   3.370818e-01
  7.736597e-03    1.183393e+00   2.337678e-01
  9.947054e-03    1.232710e+00   2.103328e-01
  1.215751e-02    1.423719e+00   2.043999e-01
  1.436797e-02    1.476680e+00   1.914781e-01
  1.657842e-02    1.314789e+00   1.681792e-01
  1.878888e-02    1.630353e+00   1.759156e-01
  2.099934e-02    1.396263e+00   1.540231e-01
  2.320979e-02    1.244241e+00   1.382882e-01
  2.542025e-02    1.320026e+00   1.361133e-01
  2.763070e-02    1.347841e+00   1.319197e-01
  2.984116e-02    1.214611e+00   1.205022e-01
  3.205162e-02    1.358158e+00   1.229593e-01
  3.426207e-02    1.276490e+00   1.152879e-01
  3.647253e-02    1.491928e+00   1.207991e-01
  3.868299e-02    1.588928e+00   1.210592e-01
  4.089344e-02    1.496509e+00   1.142669e-01
  4.310390e-02    1.505382e+00   1.116214e-01
  4.531436e-02    1.433464e+00   1.062329e-01
  4.752481e-02    1.394258e+00   1.023035e-01
  4.973527e-02    1.264593e+00   9.524171e-02
  5.194572e-02    1.399625e+00   9.804123e-02
  5.415618e-02    1.532343e+00   1.004655e-01
  5.636664e-02    1.383267e+00   9.356605e-02
  5.857709e-02    1.390840e+00   9.203502e-02
  6.078755e-02    1.514542e+00   9.427529e-02
  6.299801e-02    1.529971e+00   9.307607e-02
  6.520846e-02    1.407841e+00   8.775817e-02
  6.741892e-02    1.435562e+00   8.714867e-02
  6.962938e-02    1.528102e+00   8.847948e-02
  7.183983e-02    1.426321e+00   8.415516e-02
  7.405029e-02    1.338137e+00   8.028446e-02
  7.626074e-02    1.401511e+00   8.096335e-02
  7.847120e-02    1.417964e+00   8.027986e-02
  8.068166e-02    1.420012e+00   7.922903e-02
  8.289211e-02    1.421447e+00   7.820455e-02
  8.510257e-02    1.384525e+00   7.617278e-02
  8.731303e-02    1.394609e+00   7.547289e-02
  8.952348e-02    1.427242e+00   7.540434e-02
  9.173394e-02    1.444220e+00   7.492910e-02
  9.394439e-02    1.406023e+00   7.305427e-02
  9.615485e-02    1.380601e+00   7.155231e-02
  9.836531e-02    1.514668e+00   7.409706e-02
  1.005758e-01    1.588066e+00   7.503325e-02
  1.027862e-01    1.480770e+00   7.166906e-02
  1.049967e-01    1.439741e+00   6.992012e-02
  1.072071e-01    1.461908e+00   6.972535e-02
  1.094176e-01    1.500304e+00   6.991687e-02
  1.116280e-01    1.456102e+00   6.819236e-02
  1.138385e-01    1.462879e+00   6.768268e-02
  1.160490e-01    1.495774e+00   6.778367e-02
  1.182594e-01    1.505515e+00   6.736400e-02
  1.204699e-01    1.624360e+00   6.932691e-02
  1.226803e-01    1.584756e+00   6.785402e-02
  1.248908e-01    1.532886e+00   6.614037e-02
  1.271012e-01    1.493907e+00   6.472247e-02
  1.293117e-01    1.511666e+00   6.454635e-02
  1.315222e-01    1.519172e+00   6.415889e-02
  1.337326e-01    1.456972e+00   6.230907e-02
  1.359431e-01    1.569528e+00   6.470895e-02
  1.381535e-01    1.514061e+00   6.440837e-02
  1.403640e-01    1.568755e+00   6.584445e-02
  1.425744e-01    1.595811e+00   6.651594e-02
  1.447849e-01    1.520782e+00   6.494841e-02
  1.469953e-01    1.499462e+00   6.445114e-02
