# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "BEFnv7b89Yvu3EFblNK1Mw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000065.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.814204e+00   7.288362e-01
  3.315685e-03    1.990931e+00   4.641662e-01
  5.526141e-03    1.472494e+00   3.086731e-01
  7.736597e-03    1.036109e+00   2.187374e-01
  9.947054e-03    1.410228e+00   2.249682e-01
  1.215751e-02    1.385248e+00   2.016195e-01
  1.436797e-02    1.442225e+00   1.892310e-01
  1.657842e-02    1.485470e+00   1.787625e-01
  1.878888e-02    1.386758e+00   1.622422e-01
  2.099934e-02    1.539434e+00   1.617270e-01
  2.320979e-02    1.419263e+00   1.476945e-01
  2.542025e-02    1.175776e+00   1.284611e-01
  2.763070e-02    1.299157e+00   1.295153e-01
  2.984116e-02    1.441175e+00   1.312607e-01
  3.205162e-02    1.389006e+00   1.243479e-01
  3.426207e-02    1.532442e+00   1.263185e-01
  3.647253e-02    1.522181e+00   1.220177e-01
  3.868299e-02    1.484069e+00   1.169964e-01
  4.089344e-02    1.470820e+00   1.132819e-01
  4.310390e-02    1.416233e+00   1.082658e-01
  4.531436e-02    1.536951e+00   1.100008e-01
  4.752481e-02    1.466981e+00   1.049376e-01
  4.973527e-02    1.363336e+00   9.889023e-02
  5.194572e-02    1.329819e+00   9.556507e-02
  5.415618e-02    1.313691e+00   9.302195e-02
  5.636664e-02    1.381975e+00   9.352232e-02
  5.857709e-02    1.455083e+00   9.413660e-02
  6.078755e-02    1.441611e+00   9.197746e-02
  6.299801e-02    1.424269e+00   8.980333e-02
  6.520846e-02    1.458748e+00   8.933074e-02
  6.741892e-02    1.335278e+00   8.404960e-02
  6.962938e-02    1.396752e+00   8.459134e-02
  7.183983e-02    1.442253e+00   8.462386e-02
  7.405029e-02    1.401981e+00   8.217740e-02
  7.626074e-02    1.396048e+00   8.080543e-02
  7.847120e-02    1.462161e+00   8.152139e-02
  8.068166e-02    1.395895e+00   7.855333e-02
  8.289211e-02    1.414455e+00   7.801198e-02
  8.510257e-02    1.506385e+00   7.945428e-02
