# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "kfAd+eyYurUHo6jqivfejw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000067.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.287040e+00   6.138794e-01
  3.315685e-03    1.188639e+00   3.586496e-01
  5.526141e-03    1.872136e+00   3.480493e-01
  7.736597e-03    1.659697e+00   2.768437e-01
  9.947054e-03    1.537353e+00   2.348894e-01
  1.215751e-02    1.314329e+00   1.963906e-01
  1.436797e-02    1.344134e+00   1.826825e-01
  1.657842e-02    1.403909e+00   1.737856e-01
  1.878888e-02    1.399682e+00   1.629965e-01
  2.099934e-02    1.412569e+00   1.549198e-01
  2.320979e-02    1.361355e+00   1.446500e-01
  2.542025e-02    1.417601e+00   1.410543e-01
  2.763070e-02    1.434893e+00   1.361132e-01
  2.984116e-02    1.392504e+00   1.290253e-01
  3.205162e-02    1.411132e+00   1.253343e-01
  3.426207e-02    1.337054e+00   1.179911e-01
  3.647253e-02    1.416866e+00   1.177211e-01
  3.868299e-02    1.348153e+00   1.115104e-01
  4.089344e-02    1.367643e+00   1.092363e-01
  4.310390e-02    1.515547e+00   1.119976e-01
  4.531436e-02    1.382844e+00   1.043404e-01
  4.752481e-02    1.389001e+00   1.021105e-01
  4.973527e-02    1.447462e+00   1.018956e-01
  5.194572e-02    1.282170e+00   9.383737e-02
  5.415618e-02    1.356665e+00   9.453116e-02
  5.636664e-02    1.454023e+00   9.592922e-02
  5.857709e-02    1.383885e+00   9.180460e-02
  6.078755e-02    1.471316e+00   9.292025e-02
  6.299801e-02    1.517798e+00   9.270507e-02
  6.520846e-02    1.490621e+00   9.030137e-02
  6.741892e-02    1.395186e+00   8.591438e-02
  6.962938e-02    1.472680e+00   8.686014e-02
  7.183983e-02    1.460160e+00   8.514758e-02
  7.405029e-02    1.504844e+00   8.513869e-02
  7.626074e-02    1.446608e+00   8.225567e-02
  7.847120e-02    1.526040e+00   8.328312e-02
  8.068166e-02    1.384884e+00   7.824293e-02
  8.289211e-02    1.360798e+00   7.651799e-02
  8.510257e-02    1.426334e+00   7.731433e-02
  8.731303e-02    1.412067e+00   7.594382e-02
  8.952348e-02    1.382102e+00   7.420233e-02
  9.173394e-02    1.455071e+00   7.521004e-02
  9.394439e-02    1.470656e+00   7.471449e-02
  9.615485e-02    1.487612e+00   7.427359e-02
  9.836531e-02    1.571919e+00   7.548445e-02
  1.005758e-01    1.470535e+00   7.220334e-02
  1.027862e-01    1.498875e+00   7.210585e-02
  1.049967e-01    1.525283e+00   7.196729e-02
  1.072071e-01    1.572308e+00   7.231020e-02
  1.094176e-01    1.536331e+00   7.075137e-02
  1.116280e-01    1.540386e+00   7.013819e-02
  1.138385e-01    1.556656e+00   6.981835e-02
  1.160490e-01    1.606292e+00   7.024319e-02
  1.182594e-01    1.540267e+00   6.813706e-02
  1.204699e-01    1.533481e+00   6.735963e-02
  1.226803e-01    1.561449e+00   6.735322e-02
  1.248908e-01    1.551675e+00   6.654446e-02
  1.271012e-01    1.595182e+00   6.688033e-02
  1.293117e-01    1.568775e+00   6.575430e-02
  1.315222e-01    1.545063e+00   6.470328e-02
  1.337326e-01    1.557966e+00   6.443244e-02
  1.359431e-01    1.595564e+00   6.524348e-02
  1.381535e-01    1.485448e+00   6.379683e-02
  1.403640e-01    1.536733e+00   6.516898e-02
  1.425744e-01    1.557322e+00   6.570889e-02
  1.447849e-01    1.549306e+00   6.555465e-02
  1.469953e-01    1.576474e+00   6.608552e-02
  1.492058e-01    1.543163e+00   6.530760e-02
  1.514163e-01    1.553488e+00   6.541690e-02
  1.536267e-01    1.546255e+00   6.513702e-02
  1.558372e-01    1.608998e+00   6.629872e-02
  1.580476e-01    1.607563e+00   6.610837e-02
  1.602581e-01    1.551286e+00   6.477597e-02
  1.624685e-01    1.594001e+00   6.548195e-02
  1.646790e-01    1.616454e+00   6.575219e-02
  1.668895e-01    1.623445e+00   6.570388e-02
  1.690999e-01    1.660606e+00   6.625210e-02
  1.713104e-01    1.707489e+00   6.697231e-02
  1.735208e-01    1.769743e+00   6.797025e-02
  1.757313e-01    1.833247e+00   6.896219e-02
  1.779417e-01    1.900265e+00   6.998241e-02
  1.801522e-01    1.825123e+00   6.836639e-02
  1.823626e-01    1.904650e+00   6.960746e-02
  1.845731e-01    1.900222e+00   6.930131e-02
  1.867836e-01    1.840647e+00   6.797611e-02
  1.889940e-01    1.852933e+00   6.797971e-02
  1.912045e-01    1.977623e+00   6.999525e-02
  1.934149e-01    1.943441e+00   6.915549e-02
