# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "Q8EMwk3ZffIYzCej4edpTQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000069.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.730793e+00   7.118845e-01
  3.315685e-03    1.671236e+00   4.252695e-01
  5.526141e-03    1.395873e+00   3.005351e-01
  7.736597e-03    1.127693e+00   2.282000e-01
  9.947054e-03    1.119582e+00   2.004493e-01
  1.215751e-02    1.293081e+00   1.947966e-01
  1.436797e-02    1.387559e+00   1.856101e-01
  1.657842e-02    1.335564e+00   1.695027e-01
  1.878888e-02    1.527738e+00   1.702896e-01
  2.099934e-02    1.204625e+00   1.430632e-01
  2.320979e-02    1.184695e+00   1.349386e-01
  2.542025e-02    1.514644e+00   1.458024e-01
  2.763070e-02    1.450110e+00   1.368330e-01
  2.984116e-02    1.254787e+00   1.224790e-01
  3.205162e-02    1.364910e+00   1.232645e-01
  3.426207e-02    1.555526e+00   1.272663e-01
  3.647253e-02    1.433166e+00   1.183963e-01
  3.868299e-02    1.368415e+00   1.123452e-01
  4.089344e-02    1.429131e+00   1.116649e-01
  4.310390e-02    1.429538e+00   1.087732e-01
  4.531436e-02    1.524525e+00   1.095552e-01
  4.752481e-02    1.518395e+00   1.067607e-01
  4.973527e-02    1.535388e+00   1.049448e-01
  5.194572e-02    1.489764e+00   1.011490e-01
  5.415618e-02    1.528335e+00   1.003340e-01
  5.636664e-02    1.358663e+00   9.273019e-02
  5.857709e-02    1.430323e+00   9.333222e-02
  6.078755e-02    1.500861e+00   9.384854e-02
  6.299801e-02    1.463461e+00   9.103052e-02
  6.520846e-02    1.379556e+00   8.687210e-02
  6.741892e-02    1.403474e+00   8.616918e-02
  6.962938e-02    1.449128e+00   8.616280e-02
  7.183983e-02    1.468139e+00   8.537989e-02
  7.405029e-02    1.461614e+00   8.390690e-02
  7.626074e-02    1.382872e+00   8.042320e-02
  7.847120e-02    1.453528e+00   8.128037e-02
  8.068166e-02    1.435315e+00   7.965479e-02
  8.289211e-02    1.473457e+00   7.962244e-02
  8.510257e-02    1.549867e+00   8.059286e-02
  8.731303e-02    1.492657e+00   7.808092e-02
  8.952348e-02    1.432159e+00   7.553411e-02
  9.173394e-02    1.505265e+00   7.649629e-02
  9.394439e-02    1.532135e+00   7.626019e-02
  9.615485e-02    1.468795e+00   7.380237e-02
  9.836531e-02    1.418467e+00   7.170542e-02
  1.005758e-01    1.501052e+00   7.294863e-02
  1.027862e-01    1.583104e+00   7.410417e-02
  1.049967e-01    1.646898e+00   7.478134e-02
  1.072071e-01    1.582338e+00   7.254048e-02
  1.094176e-01    1.536782e+00   7.076174e-02
  1.116280e-01    1.596582e+00   7.140609e-02
  1.138385e-01    1.526373e+00   6.913590e-02
  1.160490e-01    1.588873e+00   6.986128e-02
  1.182594e-01    1.560637e+00   6.858616e-02
  1.204699e-01    1.469113e+00   6.593078e-02
  1.226803e-01    1.472681e+00   6.541069e-02
  1.248908e-01    1.579476e+00   6.713794e-02
  1.271012e-01    1.557366e+00   6.608284e-02
  1.293117e-01    1.503407e+00   6.436979e-02
  1.315222e-01    1.641766e+00   6.669736e-02
  1.337326e-01    1.655262e+00   6.641392e-02
  1.359431e-01    1.506484e+00   6.339605e-02
  1.381535e-01    1.523046e+00   6.459917e-02
  1.403640e-01    1.579735e+00   6.607449e-02
  1.425744e-01    1.588494e+00   6.636326e-02
  1.447849e-01    1.578937e+00   6.617857e-02
  1.469953e-01    1.515092e+00   6.478620e-02
  1.492058e-01    1.504818e+00   6.449111e-02
  1.514163e-01    1.513024e+00   6.455933e-02
  1.536267e-01    1.466331e+00   6.343126e-02
  1.558372e-01    1.551115e+00   6.509526e-02
  1.580476e-01    1.562482e+00   6.517483e-02
  1.602581e-01    1.585329e+00   6.548285e-02
  1.624685e-01    1.659880e+00   6.682142e-02
  1.646790e-01    1.552896e+00   6.444656e-02
  1.668895e-01    1.634617e+00   6.592958e-02
  1.690999e-01    1.737367e+00   6.776602e-02
  1.713104e-01    1.655441e+00   6.594371e-02
  1.735208e-01    1.746621e+00   6.752478e-02
  1.757313e-01    1.751184e+00   6.740103e-02
  1.779417e-01    1.788249e+00   6.788844e-02
  1.801522e-01    1.830349e+00   6.846417e-02
  1.823626e-01    1.907127e+00   6.965271e-02
  1.845731e-01    1.944877e+00   7.011084e-02
  1.867836e-01    1.972061e+00   7.036088e-02
  1.889940e-01    1.941953e+00   6.959354e-02
  1.912045e-01    1.938777e+00   6.930441e-02
  1.934149e-01    1.898849e+00   6.835750e-02
  1.956254e-01    1.944701e+00   6.894972e-02
  1.978358e-01    1.953619e+00   6.887084e-02
  2.000463e-01    1.917009e+00   6.799638e-02
  2.022568e-01    1.994358e+00   6.912696e-02
  2.044672e-01    1.983155e+00   6.869641e-02
  2.066777e-01    1.894071e+00   6.691290e-02
  2.088881e-01    1.877576e+00   6.640293e-02
  2.110986e-01    1.944226e+00   6.733952e-02
  2.133090e-01    1.975601e+00   6.766004e-02
  2.155195e-01    2.047245e+00   6.864744e-02
  2.177300e-01    2.001099e+00   6.733620e-02
  2.199404e-01    1.909665e+00   6.404657e-02
  2.221509e-01    1.946839e+00   6.360505e-02
  2.243613e-01    1.945455e+00   6.277641e-02
  2.265718e-01    2.056134e+00   6.382605e-02
