# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "jdZOox6Y6cSNgQusjwsoCQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000070.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.279945e+00   6.121848e-01
  3.315685e-03    1.113146e+00   3.470735e-01
  5.526141e-03    1.431543e+00   3.043506e-01
  7.736597e-03    1.331764e+00   2.479898e-01
  9.947054e-03    1.374380e+00   2.220905e-01
  1.215751e-02    1.477059e+00   2.081936e-01
  1.436797e-02    1.201808e+00   1.727402e-01
  1.657842e-02    1.233287e+00   1.628833e-01
  1.878888e-02    1.633320e+00   1.760756e-01
  2.099934e-02    1.509073e+00   1.601243e-01
  2.320979e-02    1.418941e+00   1.476777e-01
  2.542025e-02    1.473815e+00   1.438238e-01
  2.763070e-02    1.669302e+00   1.468107e-01
  2.984116e-02    1.531484e+00   1.353109e-01
  3.205162e-02    1.386995e+00   1.242578e-01
  3.426207e-02    1.627864e+00   1.301918e-01
  3.647253e-02    1.598883e+00   1.250542e-01
  3.868299e-02    1.425152e+00   1.146506e-01
  4.089344e-02    1.489930e+00   1.140154e-01
  4.310390e-02    1.406074e+00   1.078768e-01
  4.531436e-02    1.321152e+00   1.019864e-01
  4.752481e-02    1.297649e+00   9.869557e-02
  4.973527e-02    1.450249e+00   1.019936e-01
  5.194572e-02    1.430726e+00   9.912453e-02
  5.415618e-02    1.487927e+00   9.899873e-02
  5.636664e-02    1.410354e+00   9.447770e-02
  5.857709e-02    1.404093e+00   9.247246e-02
  6.078755e-02    1.398694e+00   9.059800e-02
  6.299801e-02    1.483052e+00   9.163781e-02
  6.520846e-02    1.352664e+00   8.602121e-02
  6.741892e-02    1.446163e+00   8.746988e-02
  6.962938e-02    1.477201e+00   8.699337e-02
  7.183983e-02    1.494688e+00   8.614843e-02
  7.405029e-02    1.563277e+00   8.677593e-02
  7.626074e-02    1.464732e+00   8.276933e-02
  7.847120e-02    1.437324e+00   8.082605e-02
  8.068166e-02    1.478566e+00   8.084603e-02
  8.289211e-02    1.519098e+00   8.084618e-02
  8.510257e-02    1.612799e+00   8.221281e-02
  8.731303e-02    1.612666e+00   8.115903e-02
  8.952348e-02    1.629676e+00   8.057462e-02
  9.173394e-02    1.486141e+00   7.600881e-02
  9.394439e-02    1.430481e+00   7.368692e-02
  9.615485e-02    1.562714e+00   7.612536e-02
  9.836531e-02    1.586480e+00   7.583325e-02
  1.005758e-01    1.578510e+00   7.480716e-02
  1.027862e-01    1.463132e+00   7.124094e-02
  1.049967e-01    1.594361e+00   7.357890e-02
