# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166602",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "fNElEcsbPZ3CiRJC/XAieg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000071.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.361305e-01   4.642633e-01
  3.315685e-03    1.347073e+00   3.818044e-01
  5.526141e-03    1.684738e+00   3.301705e-01
  7.736597e-03    1.271398e+00   2.423042e-01
  9.947054e-03    1.426299e+00   2.262465e-01
  1.215751e-02    1.481958e+00   2.085386e-01
  1.436797e-02    1.481462e+00   1.917879e-01
  1.657842e-02    1.293101e+00   1.667864e-01
  1.878888e-02    1.245016e+00   1.537273e-01
  2.099934e-02    1.400054e+00   1.542320e-01
  2.320979e-02    1.670956e+00   1.602564e-01
  2.542025e-02    1.501001e+00   1.451443e-01
  2.763070e-02    1.351680e+00   1.321075e-01
  2.984116e-02    1.495965e+00   1.337326e-01
  3.205162e-02    1.389684e+00   1.243782e-01
  3.426207e-02    1.503411e+00   1.251163e-01
  3.647253e-02    1.586437e+00   1.245665e-01
  3.868299e-02    1.375605e+00   1.126400e-01
  4.089344e-02    1.393797e+00   1.102758e-01
  4.310390e-02    1.443716e+00   1.093112e-01
  4.531436e-02    1.496469e+00   1.085424e-01
  4.752481e-02    1.445704e+00   1.041738e-01
  4.973527e-02    1.498850e+00   1.036886e-01
  5.194572e-02    1.551717e+00   1.032308e-01
  5.415618e-02    1.469953e+00   9.839895e-02
  5.636664e-02    1.438852e+00   9.542742e-02
  5.857709e-02    1.553154e+00   9.725721e-02
  6.078755e-02    1.513872e+00   9.425446e-02
  6.299801e-02    1.515967e+00   9.264911e-02
  6.520846e-02    1.479781e+00   8.997241e-02
  6.741892e-02    1.519386e+00   8.965694e-02
  6.962938e-02    1.521194e+00   8.827925e-02
  7.183983e-02    1.543705e+00   8.754962e-02
  7.405029e-02    1.457829e+00   8.379816e-02
  7.626074e-02    1.435597e+00   8.194201e-02
  7.847120e-02    1.535938e+00   8.355275e-02
  8.068166e-02    1.470415e+00   8.062289e-02
  8.289211e-02    1.453517e+00   7.908183e-02
  8.510257e-02    1.553559e+00   8.068881e-02
