# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166602",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "9JTAId9XTTp/nT237139Pw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000072.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.421241e+00   6.450908e-01
  3.315685e-03    1.948053e+00   4.591408e-01
  5.526141e-03    1.663388e+00   3.280718e-01
  7.736597e-03    1.633458e+00   2.746466e-01
  9.947054e-03    1.502435e+00   2.322065e-01
  1.215751e-02    1.437084e+00   2.053571e-01
  1.436797e-02    1.436518e+00   1.888562e-01
  1.657842e-02    1.618858e+00   1.866160e-01
  1.878888e-02    1.387564e+00   1.622894e-01
  2.099934e-02    1.441081e+00   1.564755e-01
  2.320979e-02    1.484884e+00   1.510703e-01
  2.542025e-02    1.420707e+00   1.412088e-01
  2.763070e-02    1.494118e+00   1.388938e-01
  2.984116e-02    1.478110e+00   1.329321e-01
  3.205162e-02    1.523320e+00   1.302212e-01
  3.426207e-02    1.419880e+00   1.215908e-01
  3.647253e-02    1.402965e+00   1.171421e-01
  3.868299e-02    1.439588e+00   1.152298e-01
  4.089344e-02    1.418547e+00   1.112507e-01
  4.310390e-02    1.505700e+00   1.116331e-01
  4.531436e-02    1.625820e+00   1.131363e-01
  4.752481e-02    1.609557e+00   1.099188e-01
  4.973527e-02    1.578513e+00   1.064084e-01
  5.194572e-02    1.552159e+00   1.032455e-01
  5.415618e-02    1.459232e+00   9.803946e-02
  5.636664e-02    1.443239e+00   9.557281e-02
  5.857709e-02    1.521726e+00   9.626818e-02
  6.078755e-02    1.471316e+00   9.292025e-02
  6.299801e-02    1.462989e+00   9.101582e-02
  6.520846e-02    1.502715e+00   9.066696e-02
  6.741892e-02    1.368849e+00   8.509961e-02
  6.962938e-02    1.499017e+00   8.763339e-02
  7.183983e-02    1.545537e+00   8.760154e-02
  7.405029e-02    1.563612e+00   8.678521e-02
  7.626074e-02    1.367555e+00   7.997659e-02
  7.847120e-02    1.426559e+00   8.052281e-02
  8.068166e-02    1.433334e+00   7.959980e-02
  8.289211e-02    1.406044e+00   7.777968e-02
  8.510257e-02    1.423526e+00   7.723817e-02
  8.731303e-02    1.512465e+00   7.859726e-02
  8.952348e-02    1.529567e+00   7.806059e-02
  9.173394e-02    1.535010e+00   7.724839e-02
  9.394439e-02    1.470627e+00   7.471377e-02
  9.615485e-02    1.514899e+00   7.495169e-02
  9.836531e-02    1.488137e+00   7.344528e-02
  1.005758e-01    1.496505e+00   7.283808e-02
  1.027862e-01    1.472721e+00   7.147401e-02
  1.049967e-01    1.468244e+00   7.060883e-02
  1.072071e-01    1.529501e+00   7.131907e-02
  1.094176e-01    1.586689e+00   7.190155e-02
  1.116280e-01    1.632019e+00   7.219420e-02
  1.138385e-01    1.544206e+00   6.953862e-02
  1.160490e-01    1.543018e+00   6.884580e-02
  1.182594e-01    1.500992e+00   6.726274e-02
  1.204699e-01    1.507796e+00   6.679314e-02
  1.226803e-01    1.554088e+00   6.719428e-02
