# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166610",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "ZgWglGdcedyuxs0ygVuTjQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000073.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.757417e+00   7.173389e-01
  3.315685e-03    1.416999e+00   3.915887e-01
  5.526141e-03    1.851651e+00   3.461399e-01
  7.736597e-03    1.271497e+00   2.423136e-01
  9.947054e-03    1.255544e+00   2.122719e-01
  1.215751e-02    1.415532e+00   2.038114e-01
  1.436797e-02    1.353374e+00   1.833094e-01
  1.657842e-02    1.330530e+00   1.691830e-01
  1.878888e-02    1.255755e+00   1.543889e-01
  2.099934e-02    1.435925e+00   1.561953e-01
  2.320979e-02    1.617489e+00   1.576716e-01
  2.542025e-02    1.640013e+00   1.517166e-01
  2.763070e-02    1.576986e+00   1.426935e-01
  2.984116e-02    1.400014e+00   1.293727e-01
  3.205162e-02    1.256123e+00   1.182503e-01
  3.426207e-02    1.414870e+00   1.213761e-01
  3.647253e-02    1.457892e+00   1.194132e-01
  3.868299e-02    1.493990e+00   1.173868e-01
  4.089344e-02    1.359130e+00   1.088958e-01
  4.310390e-02    1.392833e+00   1.073676e-01
  4.531436e-02    1.465874e+00   1.074272e-01
  4.752481e-02    1.319616e+00   9.952744e-02
  4.973527e-02    1.325664e+00   9.751433e-02
  5.194572e-02    1.488399e+00   1.011027e-01
  5.415618e-02    1.450964e+00   9.776132e-02
  5.636664e-02    1.495045e+00   9.727299e-02
  5.857709e-02    1.433101e+00   9.342282e-02
  6.078755e-02    1.520053e+00   9.444669e-02
  6.299801e-02    1.498982e+00   9.212866e-02
  6.520846e-02    1.338223e+00   8.556084e-02
  6.741892e-02    1.356049e+00   8.470079e-02
  6.962938e-02    1.522525e+00   8.831787e-02
  7.183983e-02    1.524385e+00   8.700003e-02
  7.405029e-02    1.528423e+00   8.580309e-02
  7.626074e-02    1.572642e+00   8.576406e-02
  7.847120e-02    1.419684e+00   8.032852e-02
  8.068166e-02    1.493846e+00   8.126269e-02
  8.289211e-02    1.525318e+00   8.101155e-02
  8.510257e-02    1.497921e+00   7.923077e-02
