# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166602",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "fXLMtsI+vt/1wC9xEReHYQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000076.dat
#        q_A^-1              I           sigma 
  1.105228e-03    6.887794e-01   4.490834e-01
  3.315685e-03    1.530095e+00   4.069158e-01
  5.526141e-03    1.171901e+00   2.753706e-01
  7.736597e-03    1.122387e+00   2.276625e-01
  9.947054e-03    1.389897e+00   2.233407e-01
  1.215751e-02    1.546109e+00   2.130044e-01
  1.436797e-02    1.503765e+00   1.932261e-01
  1.657842e-02    1.349853e+00   1.704071e-01
  1.878888e-02    1.386629e+00   1.622346e-01
  2.099934e-02    1.589039e+00   1.643120e-01
  2.320979e-02    1.617139e+00   1.576545e-01
  2.542025e-02    1.510052e+00   1.455813e-01
  2.763070e-02    1.312032e+00   1.301555e-01
  2.984116e-02    1.530950e+00   1.352873e-01
  3.205162e-02    1.416182e+00   1.255584e-01
  3.426207e-02    1.332926e+00   1.178088e-01
  3.647253e-02    1.358304e+00   1.152625e-01
  3.868299e-02    1.423425e+00   1.145811e-01
  4.089344e-02    1.377283e+00   1.096206e-01
  4.310390e-02    1.451061e+00   1.095890e-01
  4.531436e-02    1.419619e+00   1.057187e-01
  4.752481e-02    1.313949e+00   9.931350e-02
  4.973527e-02    1.372526e+00   9.922293e-02
  5.194572e-02    1.253401e+00   9.277866e-02
  5.415618e-02    1.241147e+00   9.041704e-02
  5.636664e-02    1.392810e+00   9.388822e-02
  5.857709e-02    1.411826e+00   9.272675e-02
  6.078755e-02    1.454046e+00   9.237330e-02
  6.299801e-02    1.460026e+00   9.092364e-02
  6.520846e-02    1.314054e+00   8.478467e-02
  6.741892e-02    1.396369e+00   8.595080e-02
  6.962938e-02    1.495257e+00   8.752340e-02
  7.183983e-02    1.497457e+00   8.622820e-02
  7.405029e-02    1.544172e+00   8.624402e-02
  7.626074e-02    1.585876e+00   8.612416e-02
  7.847120e-02    1.568408e+00   8.443130e-02
  8.068166e-02    1.637351e+00   8.507641e-02
  8.289211e-02    1.486595e+00   7.997663e-02
  8.510257e-02    1.449107e+00   7.792909e-02
  8.731303e-02    1.519465e+00   7.877891e-02
  8.952348e-02    1.559085e+00   7.881021e-02
  9.173394e-02    1.565813e+00   7.801962e-02
  9.394439e-02    1.496249e+00   7.536179e-02
  9.615485e-02    1.486588e+00   7.424805e-02
  9.836531e-02    1.534682e+00   7.458501e-02
  1.005758e-01    1.598337e+00   7.527548e-02
  1.027862e-01    1.565805e+00   7.369818e-02
  1.049967e-01    1.504640e+00   7.147865e-02
  1.072071e-01    1.478347e+00   7.011630e-02
  1.094176e-01    1.538725e+00   7.080645e-02
  1.116280e-01    1.611849e+00   7.174670e-02
  1.138385e-01    1.617789e+00   7.117610e-02
  1.160490e-01    1.542920e+00   6.884364e-02
  1.182594e-01    1.624545e+00   6.997633e-02
  1.204699e-01    1.576904e+00   6.830671e-02
  1.226803e-01    1.499562e+00   6.600497e-02
  1.248908e-01    1.542308e+00   6.634330e-02
  1.271012e-01    1.518929e+00   6.526226e-02
  1.293117e-01    1.672112e+00   6.788540e-02
  1.315222e-01    1.628579e+00   6.642899e-02
  1.337326e-01    1.573795e+00   6.475893e-02
  1.359431e-01    1.545437e+00   6.421041e-02
  1.381535e-01    1.519590e+00   6.452587e-02
  1.403640e-01    1.520944e+00   6.483334e-02
  1.425744e-01    1.557483e+00   6.571227e-02
  1.447849e-01    1.550901e+00   6.558840e-02
  1.469953e-01    1.542207e+00   6.536334e-02
  1.492058e-01    1.510623e+00   6.461538e-02
  1.514163e-01    1.586798e+00   6.611454e-02
  1.536267e-01    1.635941e+00   6.699942e-02
  1.558372e-01    1.695373e+00   6.805500e-02
  1.580476e-01    1.683047e+00   6.764263e-02
  1.602581e-01    1.741108e+00   6.862475e-02
  1.624685e-01    1.704273e+00   6.770908e-02
  1.646790e-01    1.653114e+00   6.649362e-02
  1.668895e-01    1.613540e+00   6.550317e-02
  1.690999e-01    1.722344e+00   6.747238e-02
  1.713104e-01    1.784335e+00   6.846280e-02
  1.735208e-01    1.825328e+00   6.902941e-02
  1.757313e-01    1.831142e+00   6.892259e-02
  1.779417e-01    1.880628e+00   6.961986e-02
  1.801522e-01    2.003399e+00   7.162756e-02
