# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "FFG/Vj0eiZojTL7OlbaVlQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000077.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.585191e+00   8.700281e-01
  3.315685e-03    2.055097e+00   4.715867e-01
  5.526141e-03    1.186058e+00   2.770289e-01
  7.736597e-03    1.310647e+00   2.460158e-01
  9.947054e-03    1.414020e+00   2.252705e-01
  1.215751e-02    1.582011e+00   2.154634e-01
  1.436797e-02    1.461897e+00   1.905172e-01
  1.657842e-02    1.498091e+00   1.795203e-01
  1.878888e-02    1.378927e+00   1.617835e-01
  2.099934e-02    1.641511e+00   1.670028e-01
  2.320979e-02    1.517988e+00   1.527450e-01
  2.542025e-02    1.513782e+00   1.457609e-01
  2.763070e-02    1.762718e+00   1.508626e-01
  2.984116e-02    1.572811e+00   1.371244e-01
  3.205162e-02    1.512175e+00   1.297440e-01
  3.426207e-02    1.483735e+00   1.242948e-01
  3.647253e-02    1.346217e+00   1.147486e-01
  3.868299e-02    1.409823e+00   1.140323e-01
  4.089344e-02    1.484206e+00   1.137962e-01
  4.310390e-02    1.521661e+00   1.122233e-01
  4.531436e-02    1.505723e+00   1.088775e-01
  4.752481e-02    1.605649e+00   1.097853e-01
  4.973527e-02    1.548358e+00   1.053871e-01
  5.194572e-02    1.284990e+00   9.394050e-02
  5.415618e-02    1.487208e+00   9.897479e-02
  5.636664e-02    1.410847e+00   9.449419e-02
  5.857709e-02    1.507399e+00   9.581394e-02
  6.078755e-02    1.481334e+00   9.323604e-02
  6.299801e-02    1.415527e+00   8.952732e-02
  6.520846e-02    1.494227e+00   9.041051e-02
  6.741892e-02    1.547982e+00   9.049671e-02
  6.962938e-02    1.518467e+00   8.820008e-02
  7.183983e-02    1.501045e+00   8.633144e-02
  7.405029e-02    1.454247e+00   8.369517e-02
  7.626074e-02    1.436541e+00   8.196893e-02
  7.847120e-02    1.563621e+00   8.430236e-02
  8.068166e-02    1.659953e+00   8.566161e-02
  8.289211e-02    1.542512e+00   8.146686e-02
  8.510257e-02    1.541286e+00   8.036944e-02
  8.731303e-02    1.627356e+00   8.152785e-02
  8.952348e-02    1.540350e+00   7.833528e-02
  9.173394e-02    1.497494e+00   7.629859e-02
  9.394439e-02    1.449315e+00   7.417041e-02
  9.615485e-02    1.597134e+00   7.695916e-02
  9.836531e-02    1.600713e+00   7.617268e-02
  1.005758e-01    1.583347e+00   7.492166e-02
  1.027862e-01    1.623221e+00   7.503722e-02
  1.049967e-01    1.556556e+00   7.270131e-02
  1.072071e-01    1.598183e+00   7.290278e-02
  1.094176e-01    1.568012e+00   7.147712e-02
  1.116280e-01    1.545830e+00   7.026201e-02
  1.138385e-01    1.491734e+00   6.834693e-02
  1.160490e-01    1.629116e+00   7.074048e-02
  1.182594e-01    1.567899e+00   6.874552e-02
  1.204699e-01    1.503479e+00   6.669746e-02
  1.226803e-01    1.572747e+00   6.759644e-02
  1.248908e-01    1.627633e+00   6.815376e-02
  1.271012e-01    1.600843e+00   6.699890e-02
  1.293117e-01    1.569498e+00   6.576945e-02
  1.315222e-01    1.589075e+00   6.561837e-02
  1.337326e-01    1.650507e+00   6.631843e-02
  1.359431e-01    1.635629e+00   6.605750e-02
  1.381535e-01    1.649855e+00   6.723469e-02
  1.403640e-01    1.708720e+00   6.871904e-02
  1.425744e-01    1.727432e+00   6.920469e-02
  1.447849e-01    1.602881e+00   6.667847e-02
  1.469953e-01    1.604568e+00   6.667177e-02
  1.492058e-01    1.494430e+00   6.426813e-02
  1.514163e-01    1.556834e+00   6.548733e-02
  1.536267e-01    1.624548e+00   6.676573e-02
  1.558372e-01    1.668341e+00   6.751027e-02
  1.580476e-01    1.713091e+00   6.824370e-02
  1.602581e-01    1.702162e+00   6.785290e-02
  1.624685e-01    1.638574e+00   6.639116e-02
  1.646790e-01    1.667269e+00   6.677769e-02
  1.668895e-01    1.654446e+00   6.632827e-02
  1.690999e-01    1.761990e+00   6.824455e-02
  1.713104e-01    1.787950e+00   6.853212e-02
  1.735208e-01    1.809434e+00   6.872822e-02
  1.757313e-01    1.847163e+00   6.922343e-02
  1.779417e-01    1.862756e+00   6.928830e-02
  1.801522e-01    1.880824e+00   6.940177e-02
  1.823626e-01    1.911847e+00   6.973886e-02
  1.845731e-01    2.015417e+00   7.137096e-02
  1.867836e-01    2.081341e+00   7.228410e-02
  1.889940e-01    1.958345e+00   6.988664e-02
  1.912045e-01    1.965317e+00   6.977715e-02
  1.934149e-01    2.032869e+00   7.072867e-02
  1.956254e-01    2.069456e+00   7.112698e-02
  1.978358e-01    1.930262e+00   6.845790e-02
  2.000463e-01    1.968601e+00   6.890529e-02
  2.022568e-01    1.997486e+00   6.918116e-02
  2.044672e-01    1.993389e+00   6.887341e-02
  2.066777e-01    2.003959e+00   6.882657e-02
  2.088881e-01    2.041969e+00   6.924893e-02
  2.110986e-01    2.029828e+00   6.880599e-02
  2.133090e-01    1.988393e+00   6.787874e-02
  2.155195e-01    1.947444e+00   6.695330e-02
  2.177300e-01    2.020402e+00   6.766018e-02
  2.199404e-01    1.975984e+00   6.514919e-02
  2.221509e-01    2.019701e+00   6.478435e-02
  2.243613e-01    2.075263e+00   6.483693e-02
  2.265718e-01    1.947139e+00   6.211133e-02
  2.287822e-01    2.111899e+00   6.404554e-02
  2.309927e-01    2.147571e+00   6.399583e-02
  2.332031e-01    2.199949e+00   6.421719e-02
