# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "luBe+Y9QXXqBwZV0+k0S2g==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000080.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.920763e+00   9.247730e-01
  3.315685e-03    1.883592e+00   4.514804e-01
  5.526141e-03    1.462261e+00   3.075987e-01
  7.736597e-03    1.382243e+00   2.526460e-01
  9.947054e-03    1.526234e+00   2.340384e-01
  1.215751e-02    1.319282e+00   1.967603e-01
  1.436797e-02    1.434457e+00   1.887207e-01
  1.657842e-02    1.310443e+00   1.679011e-01
  1.878888e-02    1.163408e+00   1.486037e-01
  2.099934e-02    1.336925e+00   1.507147e-01
  2.320979e-02    1.476717e+00   1.506543e-01
  2.542025e-02    1.399371e+00   1.401444e-01
  2.763070e-02    1.517905e+00   1.399950e-01
  2.984116e-02    1.444675e+00   1.314200e-01
  3.205162e-02    1.396609e+00   1.246877e-01
  3.426207e-02    1.443178e+00   1.225843e-01
  3.647253e-02    1.403584e+00   1.171680e-01
  3.868299e-02    1.436257e+00   1.150964e-01
  4.089344e-02    1.415573e+00   1.111340e-01
  4.310390e-02    1.446520e+00   1.094173e-01
  4.531436e-02    1.457054e+00   1.071035e-01
  4.752481e-02    1.409778e+00   1.028714e-01
  4.973527e-02    1.436618e+00   1.015132e-01
  5.194572e-02    1.419426e+00   9.873233e-02
  5.415618e-02    1.314742e+00   9.305912e-02
  5.636664e-02    1.479717e+00   9.677306e-02
  5.857709e-02    1.436036e+00   9.351843e-02
  6.078755e-02    1.467160e+00   9.278891e-02
  6.299801e-02    1.484942e+00   9.169617e-02
  6.520846e-02    1.412539e+00   8.790448e-02
  6.741892e-02    1.492478e+00   8.885947e-02
  6.962938e-02    1.545876e+00   8.899254e-02
  7.183983e-02    1.560592e+00   8.802717e-02
  7.405029e-02    1.479582e+00   8.442106e-02
  7.626074e-02    1.483353e+00   8.329377e-02
  7.847120e-02    1.412247e+00   8.011787e-02
  8.068166e-02    1.514980e+00   8.183549e-02
  8.289211e-02    1.472350e+00   7.959251e-02
  8.510257e-02    1.463065e+00   7.830351e-02
  8.731303e-02    1.486939e+00   7.793119e-02
  8.952348e-02    1.509311e+00   7.754201e-02
  9.173394e-02    1.408105e+00   7.398632e-02
  9.394439e-02    1.431402e+00   7.371062e-02
  9.615485e-02    1.513807e+00   7.492469e-02
  9.836531e-02    1.495780e+00   7.363366e-02
  1.005758e-01    1.515199e+00   7.329161e-02
  1.027862e-01    1.503893e+00   7.222648e-02
  1.049967e-01    1.522626e+00   7.190457e-02
  1.072071e-01    1.486990e+00   7.032097e-02
  1.094176e-01    1.476960e+00   6.937082e-02
  1.116280e-01    1.462127e+00   6.833328e-02
  1.138385e-01    1.551140e+00   6.969456e-02
  1.160490e-01    1.513728e+00   6.818927e-02
  1.182594e-01    1.506619e+00   6.738869e-02
  1.204699e-01    1.593416e+00   6.866340e-02
  1.226803e-01    1.542795e+00   6.694968e-02
  1.248908e-01    1.594955e+00   6.746612e-02
  1.271012e-01    1.533911e+00   6.558331e-02
  1.293117e-01    1.499429e+00   6.428456e-02
  1.315222e-01    1.593058e+00   6.570054e-02
  1.337326e-01    1.580039e+00   6.488726e-02
  1.359431e-01    1.522919e+00   6.374091e-02
  1.381535e-01    1.537373e+00   6.490231e-02
  1.403640e-01    1.514741e+00   6.470100e-02
  1.425744e-01    1.501629e+00   6.452324e-02
  1.447849e-01    1.566008e+00   6.590708e-02
  1.469953e-01    1.482500e+00   6.408557e-02
  1.492058e-01    1.520034e+00   6.481633e-02
  1.514163e-01    1.549671e+00   6.533650e-02
  1.536267e-01    1.619839e+00   6.666890e-02
  1.558372e-01    1.640110e+00   6.693666e-02
  1.580476e-01    1.661971e+00   6.721777e-02
  1.602581e-01    1.714510e+00   6.809857e-02
  1.624685e-01    1.610340e+00   6.581669e-02
  1.646790e-01    1.684776e+00   6.712734e-02
  1.668895e-01    1.735680e+00   6.793713e-02
  1.690999e-01    1.636276e+00   6.576498e-02
  1.713104e-01    1.691509e+00   6.665818e-02
  1.735208e-01    1.746504e+00   6.752250e-02
  1.757313e-01    1.843871e+00   6.916172e-02
  1.779417e-01    1.815695e+00   6.840744e-02
  1.801522e-01    1.808625e+00   6.805667e-02
  1.823626e-01    1.851867e+00   6.863619e-02
  1.845731e-01    1.922264e+00   6.970208e-02
  1.867836e-01    1.959132e+00   7.012986e-02
  1.889940e-01    1.969057e+00   7.007752e-02
  1.912045e-01    1.931120e+00   6.916740e-02
  1.934149e-01    2.010983e+00   7.034692e-02
  1.956254e-01    2.044456e+00   7.069603e-02
  1.978358e-01    2.156227e+00   7.235401e-02
  2.000463e-01    2.039195e+00   7.012989e-02
  2.022568e-01    2.053478e+00   7.014406e-02
  2.044672e-01    1.919832e+00   6.759076e-02
  2.066777e-01    1.961186e+00   6.808808e-02
  2.088881e-01    1.938838e+00   6.747756e-02
  2.110986e-01    1.919145e+00   6.690377e-02
  2.133090e-01    1.886127e+00   6.611013e-02
  2.155195e-01    1.997267e+00   6.780434e-02
  2.177300e-01    1.980361e+00   6.698638e-02
  2.199404e-01    1.913490e+00   6.411065e-02
  2.221509e-01    2.026078e+00   6.488654e-02
  2.243613e-01    1.985949e+00   6.342638e-02
  2.265718e-01    2.035226e+00   6.350072e-02
  2.287822e-01    2.127455e+00   6.428099e-02
