# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "7Hkv76Sc6ZrIOXygH6gDEA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000081.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.203630e+00   8.032602e-01
  3.315685e-03    1.276779e+00   3.717092e-01
  5.526141e-03    1.417708e+00   3.028765e-01
  7.736597e-03    1.276371e+00   2.427776e-01
  9.947054e-03    1.303219e+00   2.162645e-01
  1.215751e-02    1.537940e+00   2.124410e-01
  1.436797e-02    1.218690e+00   1.739492e-01
  1.657842e-02    1.310199e+00   1.678855e-01
  1.878888e-02    1.407232e+00   1.634355e-01
  2.099934e-02    1.472958e+00   1.581966e-01
  2.320979e-02    1.418395e+00   1.476493e-01
  2.542025e-02    1.373958e+00   1.388661e-01
  2.763070e-02    1.433237e+00   1.360346e-01
  2.984116e-02    1.371827e+00   1.280637e-01
  3.205162e-02    1.419250e+00   1.256943e-01
  3.426207e-02    1.434229e+00   1.222037e-01
  3.647253e-02    1.401099e+00   1.170642e-01
  3.868299e-02    1.422754e+00   1.145541e-01
  4.089344e-02    1.373350e+00   1.094640e-01
  4.310390e-02    1.325138e+00   1.047260e-01
  4.531436e-02    1.393746e+00   1.047509e-01
  4.752481e-02    1.443220e+00   1.040843e-01
  4.973527e-02    1.353976e+00   9.855018e-02
  5.194572e-02    1.486017e+00   1.010217e-01
  5.415618e-02    1.399073e+00   9.599727e-02
  5.636664e-02    1.391438e+00   9.384196e-02
  5.857709e-02    1.623532e+00   9.943628e-02
  6.078755e-02    1.634486e+00   9.793728e-02
  6.299801e-02    1.476082e+00   9.142222e-02
  6.520846e-02    1.409511e+00   8.781019e-02
  6.741892e-02    1.501210e+00   8.911904e-02
  6.962938e-02    1.491503e+00   8.741349e-02
  7.183983e-02    1.471381e+00   8.547412e-02
  7.405029e-02    1.436700e+00   8.318870e-02
  7.626074e-02    1.347552e+00   7.938951e-02
  7.847120e-02    1.361571e+00   7.866727e-02
  8.068166e-02    1.442597e+00   7.985660e-02
  8.289211e-02    1.338834e+00   7.589798e-02
  8.510257e-02    1.403287e+00   7.668715e-02
