# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166598",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "2/zrmwfrXP3tZ5jxFUXDXQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000082.dat
#        q_A^-1              I           sigma 
  1.105228e-03    4.148099e-01   3.485070e-01
  3.315685e-03    9.153049e-01   3.147229e-01
  5.526141e-03    1.043626e+00   2.598631e-01
  7.736597e-03    1.046043e+00   2.197834e-01
  9.947054e-03    1.448087e+00   2.279679e-01
  1.215751e-02    1.369932e+00   2.005017e-01
  1.436797e-02    1.155998e+00   1.694160e-01
  1.657842e-02    1.233565e+00   1.629017e-01
  1.878888e-02    1.219088e+00   1.521181e-01
  2.099934e-02    1.476338e+00   1.583780e-01
  2.320979e-02    1.378742e+00   1.455708e-01
  2.542025e-02    1.496746e+00   1.449384e-01
  2.763070e-02    1.479620e+00   1.382183e-01
  2.984116e-02    1.469894e+00   1.325621e-01
  3.205162e-02    1.475960e+00   1.281810e-01
  3.426207e-02    1.584086e+00   1.284294e-01
  3.647253e-02    1.536107e+00   1.225746e-01
  3.868299e-02    1.527063e+00   1.186790e-01
  4.089344e-02    1.375499e+00   1.095496e-01
  4.310390e-02    1.484455e+00   1.108428e-01
  4.531436e-02    1.553681e+00   1.105979e-01
  4.752481e-02    1.433921e+00   1.037485e-01
  4.973527e-02    1.428638e+00   1.012308e-01
  5.194572e-02    1.468184e+00   1.004137e-01
  5.415618e-02    1.351235e+00   9.434180e-02
  5.636664e-02    1.512722e+00   9.784638e-02
  5.857709e-02    1.431858e+00   9.338231e-02
  6.078755e-02    1.354803e+00   8.916518e-02
  6.299801e-02    1.474744e+00   9.138076e-02
  6.520846e-02    1.546533e+00   9.197935e-02
  6.741892e-02    1.440325e+00   8.729315e-02
  6.962938e-02    1.450817e+00   8.621297e-02
  7.183983e-02    1.431570e+00   8.430987e-02
  7.405029e-02    1.429189e+00   8.297095e-02
  7.626074e-02    1.455359e+00   8.250406e-02
  7.847120e-02    1.421826e+00   8.038914e-02
  8.068166e-02    1.413589e+00   7.904962e-02
  8.289211e-02    1.420988e+00   7.819193e-02
  8.510257e-02    1.479942e+00   7.875384e-02
  8.731303e-02    1.413178e+00   7.597368e-02
  8.952348e-02    1.419025e+00   7.518697e-02
  9.173394e-02    1.439477e+00   7.480595e-02
  9.394439e-02    1.441480e+00   7.396967e-02
  9.615485e-02    1.483086e+00   7.416055e-02
  9.836531e-02    1.557570e+00   7.513914e-02
  1.005758e-01    1.521347e+00   7.344015e-02
  1.027862e-01    1.557026e+00   7.349128e-02
  1.049967e-01    1.558399e+00   7.274437e-02
  1.072071e-01    1.546269e+00   7.170894e-02
  1.094176e-01    1.541878e+00   7.087895e-02
  1.116280e-01    1.568550e+00   7.077648e-02
  1.138385e-01    1.482782e+00   6.814154e-02
  1.160490e-01    1.512679e+00   6.816562e-02
  1.182594e-01    1.514480e+00   6.756429e-02
  1.204699e-01    1.502280e+00   6.667086e-02
  1.226803e-01    1.543999e+00   6.697581e-02
  1.248908e-01    1.484877e+00   6.509638e-02
  1.271012e-01    1.534023e+00   6.558571e-02
  1.293117e-01    1.530184e+00   6.494051e-02
  1.315222e-01    1.540562e+00   6.460897e-02
  1.337326e-01    1.561555e+00   6.450661e-02
  1.359431e-01    1.668595e+00   6.671986e-02
  1.381535e-01    1.611666e+00   6.645201e-02
