# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "WIZQrbbMBH7Tckg6MF1Kzg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000085.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.159749e+00   5.827321e-01
  3.315685e-03    1.188759e+00   3.586677e-01
  5.526141e-03    1.305690e+00   2.906646e-01
  7.736597e-03    1.306997e+00   2.456730e-01
  9.947054e-03    1.487689e+00   2.310642e-01
  1.215751e-02    1.198373e+00   1.875273e-01
  1.436797e-02    1.242976e+00   1.756739e-01
  1.657842e-02    1.208798e+00   1.612580e-01
  1.878888e-02    1.341797e+00   1.595905e-01
  2.099934e-02    1.442041e+00   1.565276e-01
  2.320979e-02    1.544734e+00   1.540847e-01
  2.542025e-02    1.497428e+00   1.449714e-01
  2.763070e-02    1.413013e+00   1.350714e-01
  2.984116e-02    1.359609e+00   1.274922e-01
  3.205162e-02    1.543319e+00   1.310733e-01
  3.426207e-02    1.501697e+00   1.250449e-01
  3.647253e-02    1.473715e+00   1.200595e-01
  3.868299e-02    1.476920e+00   1.167143e-01
  4.089344e-02    1.381135e+00   1.097738e-01
  4.310390e-02    1.298965e+00   1.036866e-01
  4.531436e-02    1.352955e+00   1.032066e-01
  4.752481e-02    1.396352e+00   1.023803e-01
  4.973527e-02    1.523581e+00   1.045405e-01
  5.194572e-02    1.399485e+00   9.803633e-02
  5.415618e-02    1.413350e+00   9.648584e-02
  5.636664e-02    1.500413e+00   9.744745e-02
  5.857709e-02    1.527865e+00   9.646217e-02
  6.078755e-02    1.578865e+00   9.625645e-02
  6.299801e-02    1.489058e+00   9.182318e-02
  6.520846e-02    1.432158e+00   8.851284e-02
  6.741892e-02    1.503484e+00   8.918653e-02
  6.962938e-02    1.517214e+00   8.816370e-02
  7.183983e-02    1.439537e+00   8.454414e-02
  7.405029e-02    1.442619e+00   8.335987e-02
  7.626074e-02    1.505224e+00   8.390559e-02
  7.847120e-02    1.591543e+00   8.505175e-02
  8.068166e-02    1.565999e+00   8.320206e-02
  8.289211e-02    1.474301e+00   7.964523e-02
  8.510257e-02    1.420972e+00   7.716887e-02
  8.731303e-02    1.462254e+00   7.728159e-02
  8.952348e-02    1.479915e+00   7.678316e-02
  9.173394e-02    1.508580e+00   7.658044e-02
  9.394439e-02    1.541714e+00   7.649820e-02
  9.615485e-02    1.501926e+00   7.463008e-02
  9.836531e-02    1.565583e+00   7.533217e-02
  1.005758e-01    1.504297e+00   7.302747e-02
  1.027862e-01    1.508611e+00   7.233966e-02
  1.049967e-01    1.450446e+00   7.017960e-02
  1.072071e-01    1.406580e+00   6.839320e-02
  1.094176e-01    1.509136e+00   7.012237e-02
  1.116280e-01    1.518968e+00   6.964887e-02
  1.138385e-01    1.538711e+00   6.941475e-02
  1.160490e-01    1.613805e+00   7.040728e-02
  1.182594e-01    1.533152e+00   6.797951e-02
  1.204699e-01    1.561314e+00   6.796817e-02
  1.226803e-01    1.524690e+00   6.655570e-02
  1.248908e-01    1.584981e+00   6.725483e-02
  1.271012e-01    1.574112e+00   6.643717e-02
  1.293117e-01    1.522028e+00   6.476720e-02
  1.315222e-01    1.651904e+00   6.690299e-02
  1.337326e-01    1.688293e+00   6.707329e-02
  1.359431e-01    1.551019e+00   6.432628e-02
  1.381535e-01    1.506595e+00   6.424936e-02
  1.403640e-01    1.588380e+00   6.625506e-02
  1.425744e-01    1.562119e+00   6.581000e-02
  1.447849e-01    1.610056e+00   6.682753e-02
  1.469953e-01    1.606717e+00   6.671639e-02
  1.492058e-01    1.639859e+00   6.732264e-02
  1.514163e-01    1.560137e+00   6.555676e-02
  1.536267e-01    1.545985e+00   6.513134e-02
  1.558372e-01    1.534568e+00   6.474713e-02
  1.580476e-01    1.610680e+00   6.617240e-02
  1.602581e-01    1.674084e+00   6.729094e-02
  1.624685e-01    1.696873e+00   6.756190e-02
  1.646790e-01    1.680035e+00   6.703285e-02
  1.668895e-01    1.659850e+00   6.643651e-02
  1.690999e-01    1.720124e+00   6.742890e-02
  1.713104e-01    1.700891e+00   6.684281e-02
  1.735208e-01    1.788660e+00   6.833255e-02
  1.757313e-01    1.804875e+00   6.842647e-02
  1.779417e-01    1.881985e+00   6.964500e-02
  1.801522e-01    1.910200e+00   6.994164e-02
  1.823626e-01    2.007166e+00   7.145619e-02
  1.845731e-01    1.916291e+00   6.959371e-02
  1.867836e-01    1.836929e+00   6.790743e-02
  1.889940e-01    1.952142e+00   6.977585e-02
  1.912045e-01    1.994257e+00   7.028902e-02
  1.934149e-01    2.019396e+00   7.049391e-02
  1.956254e-01    1.970691e+00   6.940895e-02
  1.978358e-01    1.899204e+00   6.790492e-02
  2.000463e-01    1.911195e+00   6.789318e-02
  2.022568e-01    1.924332e+00   6.790254e-02
  2.044672e-01    1.962176e+00   6.833205e-02
  2.066777e-01    1.997541e+00   6.871627e-02
  2.088881e-01    1.994701e+00   6.844276e-02
  2.110986e-01    2.006760e+00   6.841389e-02
  2.133090e-01    1.979787e+00   6.773168e-02
  2.155195e-01    1.932834e+00   6.670168e-02
  2.177300e-01    1.916487e+00   6.589725e-02
  2.199404e-01    1.902710e+00   6.392981e-02
  2.221509e-01    1.929526e+00   6.332161e-02
  2.243613e-01    1.946809e+00   6.279825e-02
  2.265718e-01    2.030874e+00   6.343279e-02
  2.287822e-01    2.083892e+00   6.361946e-02
  2.309927e-01    2.112203e+00   6.346669e-02
  2.332031e-01    2.133445e+00   6.323908e-02
  2.354136e-01    2.131255e+00   6.269433e-02
  2.376241e-01    2.132261e+00   6.222240e-02
  2.398345e-01    2.079317e+00   6.099030e-02
  2.420450e-01    2.121156e+00   6.116060e-02
  2.442554e-01    2.145232e+00   6.108301e-02
  2.464659e-01    2.104354e+00   6.009205e-02
  2.486763e-01    2.134694e+00   6.012587e-02
  2.508868e-01    2.125726e+00   5.962094e-02
  2.530973e-01    2.092083e+00   5.878055e-02
  2.553077e-01    2.073074e+00   5.815799e-02
  2.575182e-01    2.031603e+00   5.723267e-02
  2.597286e-01    2.068521e+00   5.741465e-02
  2.619391e-01    2.037885e+00   5.665982e-02
  2.641495e-01    2.043662e+00   5.642600e-02
  2.663600e-01    2.054029e+00   5.625787e-02
  2.685704e-01    1.983086e+00   5.497818e-02
  2.707809e-01    1.957674e+00   5.433482e-02
  2.729914e-01    2.010685e+00   5.477860e-02
  2.752018e-01    2.018953e+00   5.460541e-02
  2.774123e-01    2.055261e+00   5.481281e-02
  2.796227e-01    2.006205e+00   5.388682e-02
  2.818332e-01    2.018006e+00   5.377547e-02
  2.840436e-01    1.985472e+00   5.308166e-02
  2.862541e-01    1.983152e+00   5.279563e-02
  2.884646e-01    1.923423e+00   5.174774e-02
  2.906750e-01    1.943825e+00   5.177480e-02
  2.928855e-01    1.917645e+00   5.118668e-02
  2.950959e-01    1.944668e+00   5.130927e-02
  2.973064e-01    1.999683e+00   5.179617e-02
  2.995168e-01    1.929452e+00   5.064802e-02
  3.017273e-01    1.904572e+00   5.009858e-02
  3.039377e-01    1.895103e+00   4.975504e-02
  3.061482e-01    1.945213e+00   5.019050e-02
  3.083587e-01    1.903898e+00   4.943971e-02
  3.105691e-01    1.922904e+00   4.947364e-02
  3.127796e-01    1.816958e+00   4.788924e-02
  3.149900e-01    1.852810e+00   4.815787e-02
  3.172005e-01    1.938936e+00   4.906302e-02
  3.194109e-01    1.930995e+00   4.876035e-02
  3.216214e-01    1.842153e+00   4.743110e-02
  3.238319e-01    1.835987e+00   4.716405e-02
  3.260423e-01    1.840172e+00   4.702969e-02
  3.282528e-01    1.846453e+00   4.692235e-02
  3.304632e-01    1.876531e+00   4.711973e-02
  3.326737e-01    1.850376e+00   4.660764e-02
  3.348841e-01    1.867789e+00   4.664483e-02
  3.370946e-01    1.882590e+00   4.665310e-02
  3.393050e-01    1.833666e+00   4.586849e-02
  3.415155e-01    1.848987e+00   4.588655e-02
  3.437260e-01    1.822673e+00   4.538999e-02
  3.459364e-01    1.831332e+00   4.532938e-02
  3.481469e-01    1.778806e+00   4.451151e-02
  3.503573e-01    1.802150e+00   4.463941e-02
  3.525678e-01    1.841806e+00   4.496707e-02
  3.547782e-01    1.836607e+00   4.474125e-02
  3.569887e-01    1.766889e+00   4.372837e-02
  3.591992e-01    1.773356e+00   4.365329e-02
  3.614096e-01    1.812865e+00   4.398388e-02
  3.636201e-01    1.806506e+00   4.375238e-02
  3.658305e-01    1.763908e+00   4.308597e-02
  3.680410e-01    1.781552e+00   4.315200e-02
  3.702514e-01    1.811137e+00   4.336250e-02
  3.724619e-01    1.813807e+00   4.324668e-02
  3.746724e-01    1.802680e+00   4.296998e-02
  3.768828e-01    1.834754e+00   4.320468e-02
  3.790933e-01    1.803127e+00   4.269113e-02
  3.813037e-01    1.827093e+00   4.283329e-02
  3.835142e-01    1.813293e+00   4.253109e-02
  3.857246e-01    1.766262e+00   4.184005e-02
  3.879351e-01    1.765997e+00   4.170150e-02
  3.901455e-01    1.757651e+00   4.147040e-02
  3.923560e-01    1.815135e+00   4.200914e-02
  3.945665e-01    1.785589e+00   4.153372e-02
  3.967769e-01    1.801838e+00   4.159158e-02
  3.989874e-01    1.787870e+00   4.130072e-02
  4.011978e-01    1.769536e+00   4.096206e-02
  4.034083e-01    1.767723e+00   4.081535e-02
  4.056187e-01    1.805927e+00   4.112698e-02
  4.078292e-01    1.734010e+00   4.017781e-02
  4.100397e-01    1.793383e+00   4.073509e-02
  4.122501e-01    1.809233e+00   4.079233e-02
  4.144606e-01    1.776162e+00   4.029791e-02
  4.166710e-01    1.819820e+00   4.066889e-02
  4.188815e-01    1.781929e+00   4.012439e-02
  4.210919e-01    1.812762e+00   4.035143e-02
  4.233024e-01    1.814337e+00   4.025024e-02
  4.255128e-01    1.757569e+00   3.950103e-02
  4.277233e-01    1.762886e+00   3.944706e-02
  4.299338e-01    1.751894e+00   3.921074e-02
  4.321442e-01    1.774982e+00   3.935534e-02
  4.343547e-01    1.722382e+00   3.865819e-02
  4.365651e-01    1.810331e+00   3.952027e-02
  4.387756e-01    1.756445e+00   3.881869e-02
  4.409860e-01    1.750931e+00   3.865030e-02
  4.431965e-01    1.796678e+00   3.904372e-02
  4.454070e-01    1.750757e+00   3.843431e-02
  4.476174e-01    1.692656e+00   3.768741e-02
  4.498279e-01    1.735652e+00   3.805924e-02
  4.520383e-01    1.683505e+00   3.738027e-02
  4.542488e-01    1.718078e+00   3.766033e-02
  4.564592e-01    1.689741e+00   3.724827e-02
  4.586697e-01    1.686902e+00   3.711817e-02
  4.608801e-01    1.684966e+00   3.699751e-02
  4.630906e-01    1.674648e+00   3.678638e-02
  4.653011e-01    1.708950e+00   3.706349e-02
  4.675115e-01    1.750013e+00   3.740737e-02
  4.697220e-01    1.726306e+00   3.705587e-02
  4.719324e-01    1.696335e+00   3.663777e-02
  4.741429e-01    1.673688e+00   3.629860e-02
  4.763533e-01    1.738169e+00   3.689637e-02
  4.785638e-01    1.762772e+00   3.706061e-02
  4.807743e-01    1.748555e+00   3.681700e-02
  4.829847e-01    1.676121e+00   3.595531e-02
  4.851952e-01    1.656857e+00   3.565761e-02
  4.874056e-01    1.666762e+00   3.567386e-02
  4.896161e-01    1.676150e+00   3.568548e-02
  4.918265e-01    1.686162e+00   3.570300e-02
  4.940370e-01    1.691667e+00   3.567295e-02
  4.962475e-01    1.711527e+00   3.579313e-02
