# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166612",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "uTuV6A2T21v+Olr/BvrkRw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000086.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.210061e+00   5.952378e-01
  3.315685e-03    1.197915e+00   3.600463e-01
  5.526141e-03    1.349384e+00   2.954880e-01
  7.736597e-03    1.638839e+00   2.750986e-01
  9.947054e-03    1.411091e+00   2.250370e-01
  1.215751e-02    1.528630e+00   2.117970e-01
  1.436797e-02    1.701368e+00   2.055299e-01
  1.657842e-02    1.329248e+00   1.691014e-01
  1.878888e-02    1.381533e+00   1.619363e-01
  2.099934e-02    1.431026e+00   1.559286e-01
  2.320979e-02    1.357932e+00   1.444681e-01
  2.542025e-02    1.306962e+00   1.354381e-01
  2.763070e-02    1.488302e+00   1.386232e-01
  2.984116e-02    1.553225e+00   1.362680e-01
  3.205162e-02    1.439133e+00   1.265717e-01
  3.426207e-02    1.505059e+00   1.251848e-01
  3.647253e-02    1.396499e+00   1.168719e-01
  3.868299e-02    1.391388e+00   1.132843e-01
  4.089344e-02    1.511613e+00   1.148421e-01
  4.310390e-02    1.406129e+00   1.078789e-01
  4.531436e-02    1.342037e+00   1.027893e-01
  4.752481e-02    1.573420e+00   1.086779e-01
  4.973527e-02    1.310302e+00   9.694772e-02
  5.194572e-02    1.337790e+00   9.585106e-02
  5.415618e-02    1.448823e+00   9.768918e-02
  5.636664e-02    1.368925e+00   9.307970e-02
  5.857709e-02    1.426668e+00   9.321291e-02
  6.078755e-02    1.304635e+00   8.749875e-02
  6.299801e-02    1.339028e+00   8.707455e-02
  6.520846e-02    1.363021e+00   8.634996e-02
  6.741892e-02    1.422083e+00   8.673857e-02
  6.962938e-02    1.409467e+00   8.497552e-02
  7.183983e-02    1.406381e+00   8.356483e-02
  7.405029e-02    1.489361e+00   8.469956e-02
  7.626074e-02    1.543097e+00   8.495459e-02
  7.847120e-02    1.477451e+00   8.194655e-02
  8.068166e-02    1.458796e+00   8.030368e-02
  8.289211e-02    1.504983e+00   8.046973e-02
  8.510257e-02    1.459575e+00   7.821006e-02
  8.731303e-02    1.473653e+00   7.758225e-02
  8.952348e-02    1.538878e+00   7.829781e-02
  9.173394e-02    1.527503e+00   7.705927e-02
  9.394439e-02    1.440974e+00   7.395670e-02
  9.615485e-02    1.431081e+00   7.284868e-02
  9.836531e-02    1.507199e+00   7.391418e-02
  1.005758e-01    1.414238e+00   7.080773e-02
  1.027862e-01    1.557919e+00   7.351235e-02
  1.049967e-01    1.416842e+00   6.936185e-02
  1.072071e-01    1.390009e+00   6.798915e-02
  1.094176e-01    1.479386e+00   6.942774e-02
  1.116280e-01    1.468895e+00   6.849126e-02
  1.138385e-01    1.532751e+00   6.928018e-02
  1.160490e-01    1.445124e+00   6.662613e-02
  1.182594e-01    1.506803e+00   6.739280e-02
  1.204699e-01    1.555134e+00   6.783355e-02
  1.226803e-01    1.586960e+00   6.790118e-02
  1.248908e-01    1.528142e+00   6.603794e-02
  1.271012e-01    1.524153e+00   6.537437e-02
  1.293117e-01    1.536139e+00   6.506675e-02
  1.315222e-01    1.604966e+00   6.594563e-02
  1.337326e-01    1.584439e+00   6.497756e-02
  1.359431e-01    1.530287e+00   6.389491e-02
  1.381535e-01    1.594695e+00   6.610119e-02
  1.403640e-01    1.559586e+00   6.565176e-02
  1.425744e-01    1.568178e+00   6.593751e-02
  1.447849e-01    1.503398e+00   6.457612e-02
  1.469953e-01    1.495744e+00   6.437118e-02
  1.492058e-01    1.550298e+00   6.545842e-02
  1.514163e-01    1.543640e+00   6.520923e-02
  1.536267e-01    1.536322e+00   6.492747e-02
  1.558372e-01    1.615501e+00   6.643257e-02
  1.580476e-01    1.607275e+00   6.610245e-02
  1.602581e-01    1.564586e+00   6.505307e-02
  1.624685e-01    1.540089e+00   6.436507e-02
  1.646790e-01    1.483696e+00   6.299424e-02
  1.668895e-01    1.571071e+00   6.463537e-02
  1.690999e-01    1.683318e+00   6.670360e-02
  1.713104e-01    1.743427e+00   6.767344e-02
  1.735208e-01    1.692690e+00   6.647411e-02
  1.757313e-01    1.761564e+00   6.760046e-02
  1.779417e-01    1.881613e+00   6.963810e-02
  1.801522e-01    1.916523e+00   7.005732e-02
  1.823626e-01    1.861332e+00   6.881138e-02
  1.845731e-01    1.845311e+00   6.829266e-02
  1.867836e-01    1.820544e+00   6.760389e-02
  1.889940e-01    1.924675e+00   6.928324e-02
  1.912045e-01    1.934411e+00   6.922632e-02
  1.934149e-01    1.905848e+00   6.848336e-02
  1.956254e-01    1.950148e+00   6.904622e-02
  1.978358e-01    1.988454e+00   6.948213e-02
  2.000463e-01    1.927235e+00   6.817751e-02
  2.022568e-01    1.880867e+00   6.713127e-02
  2.044672e-01    1.918286e+00   6.756353e-02
  2.066777e-01    1.903687e+00   6.708255e-02
  2.088881e-01    1.876014e+00   6.637530e-02
  2.110986e-01    1.917227e+00   6.687030e-02
  2.133090e-01    2.003791e+00   6.814103e-02
  2.155195e-01    1.995180e+00   6.776892e-02
  2.177300e-01    1.995450e+00   6.724108e-02
  2.199404e-01    1.967538e+00   6.500979e-02
  2.221509e-01    1.909521e+00   6.299252e-02
  2.243613e-01    1.960181e+00   6.301352e-02
  2.265718e-01    1.989815e+00   6.278832e-02
  2.287822e-01    2.097726e+00   6.383026e-02
  2.309927e-01    2.062890e+00   6.272145e-02
  2.332031e-01    2.050837e+00   6.200265e-02
  2.354136e-01    2.132797e+00   6.271704e-02
  2.376241e-01    2.129036e+00   6.217531e-02
  2.398345e-01    2.153119e+00   6.206325e-02
  2.420450e-01    2.109868e+00   6.099766e-02
  2.442554e-01    2.060406e+00   5.986318e-02
  2.464659e-01    2.126052e+00   6.040104e-02
  2.486763e-01    2.137252e+00   6.016187e-02
  2.508868e-01    2.090980e+00   5.913166e-02
  2.530973e-01    2.065949e+00   5.841225e-02
  2.553077e-01    2.070254e+00   5.811841e-02
  2.575182e-01    2.144340e+00   5.879921e-02
  2.597286e-01    2.063507e+00   5.734502e-02
  2.619391e-01    2.145437e+00   5.813572e-02
  2.641495e-01    2.128670e+00   5.758760e-02
  2.663600e-01    2.045519e+00   5.614123e-02
  2.685704e-01    2.029588e+00   5.561903e-02
  2.707809e-01    2.010799e+00   5.506713e-02
  2.729914e-01    2.015216e+00   5.484028e-02
  2.752018e-01    2.010231e+00   5.448734e-02
  2.774123e-01    1.985907e+00   5.388003e-02
  2.796227e-01    1.943931e+00   5.304388e-02
  2.818332e-01    2.022415e+00   5.383416e-02
  2.840436e-01    1.978974e+00   5.299475e-02
  2.862541e-01    1.944667e+00   5.228084e-02
  2.884646e-01    2.027046e+00   5.312339e-02
  2.906750e-01    1.982162e+00   5.228286e-02
  2.928855e-01    1.902436e+00   5.098331e-02
  2.950959e-01    1.902610e+00   5.075141e-02
  2.973064e-01    1.960875e+00   5.129110e-02
  2.995168e-01    1.911501e+00   5.041188e-02
  3.017273e-01    1.880915e+00   4.978646e-02
  3.039377e-01    1.824022e+00   4.881303e-02
  3.061482e-01    1.902746e+00   4.963961e-02
  3.083587e-01    1.951111e+00   5.004896e-02
  3.105691e-01    1.888687e+00   4.903150e-02
  3.127796e-01    1.878332e+00   4.869132e-02
  3.149900e-01    1.875262e+00   4.844881e-02
  3.172005e-01    1.917738e+00   4.879409e-02
  3.194109e-01    1.850193e+00   4.772925e-02
  3.216214e-01    1.874764e+00   4.784908e-02
  3.238319e-01    1.923317e+00   4.827271e-02
  3.260423e-01    1.922804e+00   4.807403e-02
  3.282528e-01    1.928490e+00   4.795339e-02
  3.304632e-01    1.846679e+00   4.674345e-02
  3.326737e-01    1.866339e+00   4.680824e-02
  3.348841e-01    1.791172e+00   4.567815e-02
  3.370946e-01    1.813711e+00   4.579166e-02
  3.393050e-01    1.862900e+00   4.623269e-02
  3.415155e-01    1.858075e+00   4.599917e-02
  3.437260e-01    1.821086e+00   4.537022e-02
  3.459364e-01    1.837683e+00   4.540792e-02
  3.481469e-01    1.856432e+00   4.547237e-02
  3.503573e-01    1.851391e+00   4.524517e-02
  3.525678e-01    1.765473e+00   4.402539e-02
  3.547782e-01    1.762542e+00   4.382983e-02
  3.569887e-01    1.814795e+00   4.431720e-02
  3.591992e-01    1.829576e+00   4.433986e-02
  3.614096e-01    1.824495e+00   4.412474e-02
  3.636201e-01    1.712511e+00   4.259892e-02
  3.658305e-01    1.768144e+00   4.313767e-02
  3.680410e-01    1.775154e+00   4.307445e-02
  3.702514e-01    1.742000e+00   4.252680e-02
  3.724619e-01    1.782060e+00   4.286653e-02
  3.746724e-01    1.779030e+00   4.268717e-02
  3.768828e-01    1.728423e+00   4.193407e-02
  3.790933e-01    1.725418e+00   4.176106e-02
  3.813037e-01    1.825535e+00   4.281501e-02
  3.835142e-01    1.770163e+00   4.202225e-02
  3.857246e-01    1.710307e+00   4.117198e-02
  3.879351e-01    1.753749e+00   4.155663e-02
  3.901455e-01    1.801702e+00   4.198685e-02
  3.923560e-01    1.778356e+00   4.158136e-02
  3.945665e-01    1.765243e+00   4.129641e-02
  3.967769e-01    1.744540e+00   4.092495e-02
  3.989874e-01    1.784036e+00   4.125639e-02
  4.011978e-01    1.811816e+00   4.144850e-02
  4.034083e-01    1.758522e+00   4.070901e-02
  4.056187e-01    1.799760e+00   4.105669e-02
  4.078292e-01    1.787284e+00   4.079034e-02
  4.100397e-01    1.771690e+00   4.048798e-02
  4.122501e-01    1.828614e+00   4.101023e-02
  4.144606e-01    1.786559e+00   4.041569e-02
  4.166710e-01    1.765725e+00   4.005987e-02
  4.188815e-01    1.812858e+00   4.047111e-02
  4.210919e-01    1.797157e+00   4.017739e-02
  4.233024e-01    1.809662e+00   4.019834e-02
  4.255128e-01    1.811993e+00   4.010795e-02
  4.277233e-01    1.800534e+00   3.986605e-02
  4.299338e-01    1.796255e+00   3.970407e-02
  4.321442e-01    1.835108e+00   4.001634e-02
  4.343547e-01    1.839457e+00   3.995046e-02
  4.365651e-01    1.759845e+00   3.896534e-02
  4.387756e-01    1.733610e+00   3.856552e-02
  4.409860e-01    1.739368e+00   3.852248e-02
  4.431965e-01    1.787710e+00   3.894614e-02
  4.454070e-01    1.728297e+00   3.818698e-02
  4.476174e-01    1.774685e+00   3.858981e-02
  4.498279e-01    1.723679e+00   3.792775e-02
  4.520383e-01    1.710044e+00   3.767375e-02
  4.542488e-01    1.737461e+00   3.787217e-02
  4.564592e-01    1.721046e+00   3.759174e-02
  4.586697e-01    1.720690e+00   3.748805e-02
  4.608801e-01    1.745925e+00   3.766081e-02
  4.630906e-01    1.708719e+00   3.715873e-02
  4.653011e-01    1.673976e+00   3.668229e-02
  4.675115e-01    1.706142e+00   3.693551e-02
  4.697220e-01    1.691187e+00   3.667701e-02
  4.719324e-01    1.688698e+00   3.655521e-02
