# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "XB+p9SPJ9elNOQdpr+Yrag==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000087.dat
#        q_A^-1              I           sigma 
  1.105228e-03    5.780950e-01   4.114211e-01
  3.315685e-03    1.246963e+00   3.673434e-01
  5.526141e-03    1.553908e+00   3.170916e-01
  7.736597e-03    1.531607e+00   2.659462e-01
  9.947054e-03    1.506364e+00   2.325099e-01
  1.215751e-02    1.398121e+00   2.025541e-01
  1.436797e-02    1.366132e+00   1.841714e-01
  1.657842e-02    1.433025e+00   1.755785e-01
  1.878888e-02    1.600117e+00   1.742767e-01
  2.099934e-02    1.600708e+00   1.649142e-01
  2.320979e-02    1.340241e+00   1.435240e-01
  2.542025e-02    1.254289e+00   1.326808e-01
  2.763070e-02    1.271135e+00   1.281109e-01
  2.984116e-02    1.369496e+00   1.279549e-01
  3.205162e-02    1.454492e+00   1.272454e-01
  3.426207e-02    1.256175e+00   1.143668e-01
  3.647253e-02    1.458684e+00   1.194456e-01
  3.868299e-02    1.333499e+00   1.109027e-01
  4.089344e-02    1.309212e+00   1.068773e-01
  4.310390e-02    1.467074e+00   1.101920e-01
  4.531436e-02    1.395882e+00   1.048311e-01
  4.752481e-02    1.465002e+00   1.048668e-01
  4.973527e-02    1.346187e+00   9.826628e-02
  5.194572e-02    1.401942e+00   9.812232e-02
  5.415618e-02    1.450296e+00   9.773882e-02
  5.636664e-02    1.431810e+00   9.519364e-02
  5.857709e-02    1.394724e+00   9.216344e-02
  6.078755e-02    1.318277e+00   8.795505e-02
  6.299801e-02    1.334933e+00   8.694129e-02
  6.520846e-02    1.508179e+00   9.083164e-02
  6.741892e-02    1.530496e+00   8.998413e-02
  6.962938e-02    1.425528e+00   8.545831e-02
  7.183983e-02    1.480547e+00   8.573993e-02
  7.405029e-02    1.415396e+00   8.256962e-02
  7.626074e-02    1.353192e+00   7.955545e-02
  7.847120e-02    1.433377e+00   8.071499e-02
  8.068166e-02    1.405898e+00   7.883429e-02
  8.289211e-02    1.435700e+00   7.859565e-02
  8.510257e-02    1.417403e+00   7.707191e-02
  8.731303e-02    1.349920e+00   7.425383e-02
  8.952348e-02    1.390788e+00   7.443513e-02
  9.173394e-02    1.465746e+00   7.548545e-02
  9.394439e-02    1.440125e+00   7.393491e-02
  9.615485e-02    1.445953e+00   7.322625e-02
  9.836531e-02    1.391969e+00   7.103252e-02
  1.005758e-01    1.393968e+00   7.029846e-02
  1.027862e-01    1.460487e+00   7.117653e-02
  1.049967e-01    1.523521e+00   7.192570e-02
  1.072071e-01    1.541769e+00   7.160452e-02
  1.094176e-01    1.531402e+00   7.063776e-02
  1.116280e-01    1.499652e+00   6.920459e-02
  1.138385e-01    1.541872e+00   6.948601e-02
  1.160490e-01    1.555114e+00   6.911514e-02
  1.182594e-01    1.597196e+00   6.938481e-02
  1.204699e-01    1.471853e+00   6.599225e-02
  1.226803e-01    1.460268e+00   6.513441e-02
  1.248908e-01    1.540089e+00   6.629556e-02
  1.271012e-01    1.627507e+00   6.755456e-02
  1.293117e-01    1.568436e+00   6.574719e-02
  1.315222e-01    1.534215e+00   6.447574e-02
  1.337326e-01    1.591790e+00   6.512811e-02
  1.359431e-01    1.701781e+00   6.738009e-02
  1.381535e-01    1.539972e+00   6.495719e-02
  1.403640e-01    1.497661e+00   6.433516e-02
  1.425744e-01    1.554165e+00   6.564227e-02
  1.447849e-01    1.559670e+00   6.577355e-02
  1.469953e-01    1.529901e+00   6.510206e-02
  1.492058e-01    1.503729e+00   6.446777e-02
  1.514163e-01    1.475939e+00   6.376323e-02
  1.536267e-01    1.624698e+00   6.676880e-02
  1.558372e-01    1.622119e+00   6.656852e-02
  1.580476e-01    1.611521e+00   6.618969e-02
  1.602581e-01    1.608727e+00   6.596433e-02
  1.624685e-01    1.616177e+00   6.593587e-02
  1.646790e-01    1.613293e+00   6.568786e-02
  1.668895e-01    1.690504e+00   6.704716e-02
  1.690999e-01    1.752142e+00   6.805357e-02
  1.713104e-01    1.796661e+00   6.869886e-02
  1.735208e-01    1.768701e+00   6.795024e-02
  1.757313e-01    1.778643e+00   6.792739e-02
  1.779417e-01    1.839659e+00   6.885740e-02
