# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166636",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "yQzsk3+TtGvWfxjGqWPUOg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000089.dat
#        q_A^-1              I           sigma 
  1.105228e-03    4.011951e-01   3.427400e-01
  3.315685e-03    9.466646e-01   3.200689e-01
  5.526141e-03    9.668894e-01   2.501270e-01
  7.736597e-03    1.185455e+00   2.339713e-01
  9.947054e-03    1.504632e+00   2.323762e-01
  1.215751e-02    1.121149e+00   1.813845e-01
  1.436797e-02    1.061412e+00   1.623371e-01
  1.657842e-02    1.409364e+00   1.741229e-01
  1.878888e-02    1.742152e+00   1.818472e-01
  2.099934e-02    1.603602e+00   1.650632e-01
  2.320979e-02    1.528803e+00   1.532881e-01
  2.542025e-02    1.440061e+00   1.421674e-01
  2.763070e-02    1.497476e+00   1.390498e-01
  2.984116e-02    1.352283e+00   1.271482e-01
  3.205162e-02    1.386207e+00   1.242225e-01
  3.426207e-02    1.522424e+00   1.259049e-01
  3.647253e-02    1.589828e+00   1.246995e-01
  3.868299e-02    1.490673e+00   1.172565e-01
  4.089344e-02    1.449990e+00   1.124769e-01
  4.310390e-02    1.430681e+00   1.088166e-01
  4.531436e-02    1.475113e+00   1.077652e-01
  4.752481e-02    1.544520e+00   1.076752e-01
  4.973527e-02    1.477643e+00   1.029524e-01
  5.194572e-02    1.346337e+00   9.615675e-02
  5.415618e-02    1.338711e+00   9.390357e-02
  5.636664e-02    1.422144e+00   9.487177e-02
  5.857709e-02    1.488841e+00   9.522230e-02
  6.078755e-02    1.483430e+00   9.330199e-02
  6.299801e-02    1.413623e+00   8.946706e-02
  6.520846e-02    1.499506e+00   9.057011e-02
  6.741892e-02    1.455310e+00   8.774606e-02
  6.962938e-02    1.410951e+00   8.502026e-02
  7.183983e-02    1.373548e+00   8.258361e-02
  7.405029e-02    1.469759e+00   8.414032e-02
  7.626074e-02    1.620092e+00   8.704828e-02
  7.847120e-02    1.528418e+00   8.334799e-02
  8.068166e-02    1.594525e+00   8.395642e-02
  8.289211e-02    1.566756e+00   8.210462e-02
  8.510257e-02    1.454609e+00   7.807691e-02
