# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166604",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "EP9nZYQAfRDDuo/S6wI4NQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000091.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.684018e+00   7.021991e-01
  3.315685e-03    1.508989e+00   4.040996e-01
  5.526141e-03    1.444650e+00   3.057408e-01
  7.736597e-03    1.475876e+00   2.610629e-01
  9.947054e-03    1.552073e+00   2.360112e-01
  1.215751e-02    1.428266e+00   2.047261e-01
  1.436797e-02    1.605611e+00   1.996623e-01
  1.657842e-02    1.353392e+00   1.706303e-01
  1.878888e-02    1.392291e+00   1.625656e-01
  2.099934e-02    1.465171e+00   1.577779e-01
  2.320979e-02    1.513678e+00   1.525280e-01
  2.542025e-02    1.530712e+00   1.465738e-01
  2.763070e-02    1.483976e+00   1.384216e-01
  2.984116e-02    1.333800e+00   1.262763e-01
  3.205162e-02    1.370666e+00   1.235242e-01
  3.426207e-02    1.387402e+00   1.201921e-01
  3.647253e-02    1.317586e+00   1.135218e-01
  3.868299e-02    1.411616e+00   1.141048e-01
  4.089344e-02    1.356023e+00   1.087713e-01
  4.310390e-02    1.422107e+00   1.084901e-01
  4.531436e-02    1.413412e+00   1.054873e-01
  4.752481e-02    1.480816e+00   1.054313e-01
  4.973527e-02    1.441468e+00   1.016844e-01
  5.194572e-02    1.304342e+00   9.464522e-02
  5.415618e-02    1.290108e+00   9.218320e-02
  5.636664e-02    1.537561e+00   9.864642e-02
  5.857709e-02    1.517383e+00   9.613074e-02
  6.078755e-02    1.449384e+00   9.222509e-02
  6.299801e-02    1.517806e+00   9.270531e-02
  6.520846e-02    1.509038e+00   9.085750e-02
  6.741892e-02    1.500275e+00   8.909129e-02
  6.962938e-02    1.512223e+00   8.801855e-02
  7.183983e-02    1.487668e+00   8.594588e-02
  7.405029e-02    1.540479e+00   8.614083e-02
  7.626074e-02    1.531183e+00   8.462603e-02
  7.847120e-02    1.564683e+00   8.433099e-02
  8.068166e-02    1.552521e+00   8.284325e-02
  8.289211e-02    1.569608e+00   8.217929e-02
  8.510257e-02    1.501245e+00   7.931865e-02
  8.731303e-02    1.513506e+00   7.862431e-02
  8.952348e-02    1.443124e+00   7.582273e-02
  9.173394e-02    1.517123e+00   7.679698e-02
  9.394439e-02    1.568742e+00   7.716585e-02
  9.615485e-02    1.496519e+00   7.449564e-02
  9.836531e-02    1.452395e+00   7.255790e-02
  1.005758e-01    1.562316e+00   7.442243e-02
  1.027862e-01    1.614203e+00   7.482848e-02
  1.049967e-01    1.623120e+00   7.423955e-02
  1.072071e-01    1.600104e+00   7.294658e-02
  1.094176e-01    1.604184e+00   7.229687e-02
  1.116280e-01    1.545247e+00   7.024875e-02
  1.138385e-01    1.533721e+00   6.930211e-02
  1.160490e-01    1.550292e+00   6.900791e-02
  1.182594e-01    1.573046e+00   6.885826e-02
  1.204699e-01    1.610454e+00   6.902952e-02
  1.226803e-01    1.585143e+00   6.786232e-02
  1.248908e-01    1.672565e+00   6.908806e-02
  1.271012e-01    1.711926e+00   6.928445e-02
  1.293117e-01    1.699090e+00   6.843086e-02
  1.315222e-01    1.635782e+00   6.657574e-02
  1.337326e-01    1.624270e+00   6.578922e-02
  1.359431e-01    1.622260e+00   6.578702e-02
  1.381535e-01    1.576555e+00   6.572416e-02
  1.403640e-01    1.618179e+00   6.687365e-02
  1.425744e-01    1.662852e+00   6.789872e-02
  1.447849e-01    1.595080e+00   6.651603e-02
  1.469953e-01    1.532071e+00   6.514818e-02
  1.492058e-01    1.597543e+00   6.644833e-02
  1.514163e-01    1.594257e+00   6.626974e-02
  1.536267e-01    1.618574e+00   6.664287e-02
  1.558372e-01    1.583075e+00   6.576249e-02
  1.580476e-01    1.559648e+00   6.511568e-02
  1.602581e-01    1.662369e+00   6.705508e-02
  1.624685e-01    1.578752e+00   6.516798e-02
  1.646790e-01    1.627893e+00   6.598442e-02
  1.668895e-01    1.751556e+00   6.824712e-02
  1.690999e-01    1.735196e+00   6.772368e-02
  1.713104e-01    1.748767e+00   6.777700e-02
  1.735208e-01    1.927858e+00   7.094164e-02
  1.757313e-01    1.817002e+00   6.865598e-02
  1.779417e-01    1.868186e+00   6.938919e-02
  1.801522e-01    1.889400e+00   6.955981e-02
  1.823626e-01    1.867336e+00   6.892227e-02
  1.845731e-01    1.915211e+00   6.957409e-02
  1.867836e-01    2.013117e+00   7.108951e-02
  1.889940e-01    2.020978e+00   7.099544e-02
  1.912045e-01    2.018338e+00   7.071213e-02
  1.934149e-01    1.996638e+00   7.009558e-02
  1.956254e-01    1.902860e+00   6.820396e-02
  1.978358e-01    1.925202e+00   6.836810e-02
  2.000463e-01    1.938914e+00   6.838377e-02
  2.022568e-01    1.926509e+00   6.794093e-02
  2.044672e-01    2.005799e+00   6.908747e-02
  2.066777e-01    2.008952e+00   6.891226e-02
  2.088881e-01    2.020086e+00   6.887688e-02
  2.110986e-01    2.079429e+00   6.964160e-02
  2.133090e-01    1.915111e+00   6.661616e-02
  2.155195e-01    1.936075e+00   6.675758e-02
  2.177300e-01    1.995106e+00   6.723529e-02
  2.199404e-01    1.910360e+00   6.405821e-02
  2.221509e-01    1.989953e+00   6.430548e-02
  2.243613e-01    2.022961e+00   6.401468e-02
  2.265718e-01    2.054391e+00   6.379901e-02
  2.287822e-01    2.019576e+00   6.263001e-02
  2.309927e-01    2.099118e+00   6.326977e-02
  2.332031e-01    2.168526e+00   6.375690e-02
  2.354136e-01    2.162547e+00   6.315290e-02
  2.376241e-01    2.187430e+00   6.302223e-02
  2.398345e-01    2.131640e+00   6.175289e-02
  2.420450e-01    2.197080e+00   6.224558e-02
  2.442554e-01    2.168878e+00   6.141873e-02
  2.464659e-01    2.171804e+00   6.104749e-02
  2.486763e-01    2.157938e+00   6.045233e-02
  2.508868e-01    2.106157e+00   5.934586e-02
  2.530973e-01    2.110415e+00   5.903753e-02
  2.553077e-01    2.116588e+00   5.876517e-02
  2.575182e-01    2.103723e+00   5.823968e-02
  2.597286e-01    2.063765e+00   5.734862e-02
  2.619391e-01    2.126462e+00   5.787808e-02
  2.641495e-01    2.062933e+00   5.669145e-02
  2.663600e-01    2.106679e+00   5.697432e-02
  2.685704e-01    2.040743e+00   5.577168e-02
  2.707809e-01    2.041617e+00   5.548750e-02
  2.729914e-01    2.100274e+00   5.598566e-02
  2.752018e-01    2.070044e+00   5.529203e-02
  2.774123e-01    1.955536e+00   5.346646e-02
  2.796227e-01    2.014113e+00   5.399291e-02
  2.818332e-01    1.987763e+00   5.337100e-02
  2.840436e-01    1.969788e+00   5.287158e-02
  2.862541e-01    2.008614e+00   5.313348e-02
  2.884646e-01    2.005197e+00   5.283630e-02
  2.906750e-01    2.015898e+00   5.272592e-02
  2.928855e-01    1.988896e+00   5.212893e-02
  2.950959e-01    1.974179e+00   5.169714e-02
  2.973064e-01    1.980429e+00   5.154620e-02
  2.995168e-01    1.982350e+00   5.133762e-02
  3.017273e-01    2.004172e+00   5.139183e-02
  3.039377e-01    2.011029e+00   5.125424e-02
  3.061482e-01    2.017960e+00   5.112042e-02
  3.083587e-01    1.982993e+00   5.045621e-02
  3.105691e-01    1.968996e+00   5.006309e-02
  3.127796e-01    1.946599e+00   4.956825e-02
  3.149900e-01    1.954319e+00   4.945952e-02
  3.172005e-01    1.912232e+00   4.872399e-02
  3.194109e-01    1.914901e+00   4.855670e-02
  3.216214e-01    1.956969e+00   4.888688e-02
  3.238319e-01    1.921846e+00   4.825426e-02
  3.260423e-01    1.887690e+00   4.763304e-02
  3.282528e-01    1.906129e+00   4.767457e-02
  3.304632e-01    1.920287e+00   4.766593e-02
  3.326737e-01    1.890103e+00   4.710531e-02
  3.348841e-01    1.877433e+00   4.676511e-02
  3.370946e-01    1.908835e+00   4.697716e-02
  3.393050e-01    1.883009e+00   4.648157e-02
  3.415155e-01    1.815978e+00   4.547509e-02
  3.437260e-01    1.877924e+00   4.607281e-02
  3.459364e-01    1.832986e+00   4.534984e-02
  3.481469e-01    1.894243e+00   4.593311e-02
  3.503573e-01    1.854721e+00   4.528586e-02
  3.525678e-01    1.824664e+00   4.475730e-02
  3.547782e-01    1.886993e+00   4.535082e-02
  3.569887e-01    1.891110e+00   4.523942e-02
  3.591992e-01    1.837141e+00   4.443146e-02
  3.614096e-01    1.809896e+00   4.394782e-02
  3.636201e-01    1.859868e+00   4.439387e-02
  3.658305e-01    1.827188e+00   4.385202e-02
  3.680410e-01    1.756321e+00   4.284536e-02
  3.702514e-01    1.763631e+00   4.279002e-02
  3.724619e-01    1.785944e+00   4.291321e-02
  3.746724e-01    1.810010e+00   4.305724e-02
  3.768828e-01    1.820417e+00   4.303554e-02
  3.790933e-01    1.789235e+00   4.252636e-02
  3.813037e-01    1.748648e+00   4.190370e-02
  3.835142e-01    1.795053e+00   4.231664e-02
  3.857246e-01    1.785249e+00   4.206434e-02
  3.879351e-01    1.801244e+00   4.211559e-02
  3.901455e-01    1.911955e+00   4.325243e-02
  3.923560e-01    1.854948e+00   4.246737e-02
  3.945665e-01    1.849241e+00   4.226751e-02
  3.967769e-01    1.867233e+00   4.233963e-02
  3.989874e-01    1.829799e+00   4.178219e-02
  4.011978e-01    1.784121e+00   4.113051e-02
  4.034083e-01    1.835987e+00   4.159598e-02
  4.056187e-01    1.799324e+00   4.105173e-02
  4.078292e-01    1.817666e+00   4.113556e-02
  4.100397e-01    1.814976e+00   4.097961e-02
  4.122501e-01    1.820369e+00   4.091766e-02
  4.144606e-01    1.812149e+00   4.070412e-02
  4.166710e-01    1.807299e+00   4.052873e-02
  4.188815e-01    1.801612e+00   4.034540e-02
  4.210919e-01    1.816438e+00   4.039232e-02
  4.233024e-01    1.885602e+00   4.103310e-02
  4.255128e-01    1.896546e+00   4.103306e-02
  4.277233e-01    1.834664e+00   4.024213e-02
  4.299338e-01    1.790016e+00   3.963507e-02
  4.321442e-01    1.806474e+00   3.970290e-02
  4.343547e-01    1.828424e+00   3.983048e-02
  4.365651e-01    1.773034e+00   3.911107e-02
  4.387756e-01    1.768021e+00   3.894637e-02
  4.409860e-01    1.777404e+00   3.894141e-02
  4.431965e-01    1.747900e+00   3.851008e-02
  4.454070e-01    1.747646e+00   3.840014e-02
  4.476174e-01    1.724398e+00   3.803914e-02
  4.498279e-01    1.715677e+00   3.783960e-02
  4.520383e-01    1.742486e+00   3.802944e-02
  4.542488e-01    1.766057e+00   3.818256e-02
  4.564592e-01    1.698402e+00   3.734360e-02
  4.586697e-01    1.772324e+00   3.804637e-02
  4.608801e-01    1.736360e+00   3.755752e-02
  4.630906e-01    1.727848e+00   3.736613e-02
  4.653011e-01    1.737143e+00   3.736798e-02
  4.675115e-01    1.783776e+00   3.776647e-02
  4.697220e-01    1.782738e+00   3.765668e-02
  4.719324e-01    1.714417e+00   3.683251e-02
  4.741429e-01    1.725467e+00   3.685581e-02
  4.763533e-01    1.732667e+00   3.683795e-02
  4.785638e-01    1.720681e+00   3.661548e-02
  4.807743e-01    1.723189e+00   3.654896e-02
  4.829847e-01    1.732112e+00   3.655091e-02
  4.851952e-01    1.726746e+00   3.640189e-02
  4.874056e-01    1.709175e+00   3.612492e-02
  4.896161e-01    1.682249e+00   3.575033e-02
  4.918265e-01    1.686748e+00   3.570922e-02
  4.940370e-01    1.657755e+00   3.531358e-02
  4.962475e-01    1.680146e+00   3.546349e-02
  4.984579e-01    1.655438e+00   3.511499e-02
  5.006684e-01    1.697798e+00   3.547470e-02
  5.028788e-01    1.712575e+00   3.554243e-02
  5.050893e-01    1.705021e+00   3.537770e-02
  5.072997e-01    1.724040e+00   3.548855e-02
  5.095102e-01    1.737629e+00   3.554281e-02
  5.117206e-01    1.679249e+00   3.485757e-02
  5.139311e-01    1.668920e+00   3.466794e-02
  5.161416e-01    1.701978e+00   3.492687e-02
  5.183520e-01    1.712137e+00   3.494771e-02
  5.205625e-01    1.710478e+00   3.484895e-02
  5.227729e-01    1.654441e+00   3.419343e-02
  5.249834e-01    1.644193e+00   3.400820e-02
  5.271938e-01    1.723208e+00   3.473454e-02
  5.294043e-01    1.765486e+00   3.507693e-02
  5.316148e-01    1.738457e+00   3.472766e-02
  5.338252e-01    1.802931e+00   3.528494e-02
  5.360357e-01    1.821016e+00   3.538075e-02
  5.382461e-01    1.787496e+00   3.497437e-02
  5.404566e-01    1.777383e+00   3.479591e-02
  5.426670e-01    1.810241e+00   3.503695e-02
  5.448775e-01    1.773682e+00   3.460389e-02
  5.470879e-01    1.773505e+00   3.452497e-02
  5.492984e-01    1.773753e+00   3.445062e-02
  5.515089e-01    1.780398e+00   3.443854e-02
  5.537193e-01    1.782481e+00   3.438276e-02
  5.559298e-01    1.775240e+00   3.423759e-02
  5.581402e-01    1.797657e+00   3.437778e-02
  5.603507e-01    1.827898e+00   3.459032e-02
  5.625611e-01    1.801611e+00   3.426616e-02
  5.647716e-01    1.784102e+00   3.402523e-02
  5.669821e-01    1.759414e+00   3.371612e-02
  5.691925e-01    1.803217e+00   3.405999e-02
  5.714030e-01    1.801824e+00   3.397425e-02
  5.736134e-01    1.789849e+00   3.378914e-02
  5.758239e-01    1.755094e+00   3.338807e-02
  5.780343e-01    1.703900e+00   3.282791e-02
  5.802448e-01    1.701707e+00   3.273812e-02
  5.824552e-01    1.660481e+00   3.227126e-02
  5.846657e-01    1.692575e+00   3.251372e-02
  5.868762e-01    1.699160e+00   3.250909e-02
  5.890866e-01    1.666982e+00   3.213299e-02
  5.912971e-01    1.666331e+00   3.206020e-02
  5.935075e-01    1.635485e+00   3.169644e-02
  5.957180e-01    1.639915e+00   3.167420e-02
  5.979284e-01    1.666604e+00   3.186573e-02
  6.001389e-01    1.676104e+00   3.189134e-02
  6.023494e-01    1.668847e+00   3.175763e-02
  6.045598e-01    1.667219e+00   3.167749e-02
  6.067703e-01    1.678981e+00   3.172513e-02
  6.089807e-01    1.663916e+00   3.151897e-02
  6.111912e-01    1.738528e+00   3.215356e-02
  6.134016e-01    1.708166e+00   3.180799e-02
  6.156121e-01    1.714476e+00   3.180334e-02
  6.178226e-01    1.680459e+00   3.142393e-02
