# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "thjZxnLR7uj/Qib2C8Diuw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000092.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.091644e+00   5.653630e-01
  3.315685e-03    1.698154e+00   4.286807e-01
  5.526141e-03    1.574851e+00   3.192213e-01
  7.736597e-03    1.233465e+00   2.386622e-01
  9.947054e-03    1.511777e+00   2.329273e-01
  1.215751e-02    1.500716e+00   2.098543e-01
  1.436797e-02    1.681519e+00   2.043274e-01
  1.657842e-02    1.342483e+00   1.699413e-01
  1.878888e-02    1.217926e+00   1.520457e-01
  2.099934e-02    1.369974e+00   1.525661e-01
  2.320979e-02    1.488922e+00   1.512756e-01
  2.542025e-02    1.326567e+00   1.364501e-01
  2.763070e-02    1.470312e+00   1.377828e-01
  2.984116e-02    1.414104e+00   1.300221e-01
  3.205162e-02    1.431902e+00   1.262534e-01
  3.426207e-02    1.359416e+00   1.189737e-01
  3.647253e-02    1.379863e+00   1.161737e-01
  3.868299e-02    1.412993e+00   1.141605e-01
  4.089344e-02    1.330516e+00   1.077434e-01
  4.310390e-02    1.450730e+00   1.095764e-01
  4.531436e-02    1.405569e+00   1.051942e-01
  4.752481e-02    1.287142e+00   9.829518e-02
  4.973527e-02    1.424375e+00   1.010797e-01
  5.194572e-02    1.523395e+00   1.022844e-01
  5.415618e-02    1.444964e+00   9.755900e-02
  5.636664e-02    1.342747e+00   9.218542e-02
  5.857709e-02    1.445319e+00   9.382021e-02
  6.078755e-02    1.462762e+00   9.264974e-02
  6.299801e-02    1.372471e+00   8.815523e-02
  6.520846e-02    1.456722e+00   8.926863e-02
  6.741892e-02    1.575856e+00   9.130788e-02
  6.962938e-02    1.476113e+00   8.696133e-02
  7.183983e-02    1.547213e+00   8.764903e-02
  7.405029e-02    1.494659e+00   8.485010e-02
  7.626074e-02    1.462677e+00   8.271123e-02
  7.847120e-02    1.476234e+00   8.191276e-02
  8.068166e-02    1.458855e+00   8.030534e-02
  8.289211e-02    1.507233e+00   8.052984e-02
  8.510257e-02    1.560659e+00   8.087298e-02
  8.731303e-02    1.485635e+00   7.789700e-02
  8.952348e-02    1.578701e+00   7.930446e-02
  9.173394e-02    1.472905e+00   7.566957e-02
  9.394439e-02    1.462207e+00   7.449956e-02
  9.615485e-02    1.584088e+00   7.664421e-02
  9.836531e-02    1.516374e+00   7.413883e-02
  1.005758e-01    1.453179e+00   7.177594e-02
  1.027862e-01    1.595594e+00   7.439590e-02
  1.049967e-01    1.553517e+00   7.263032e-02
  1.072071e-01    1.499308e+00   7.061163e-02
  1.094176e-01    1.576225e+00   7.166407e-02
  1.116280e-01    1.605356e+00   7.160203e-02
  1.138385e-01    1.557506e+00   6.983741e-02
  1.160490e-01    1.514112e+00   6.819790e-02
  1.182594e-01    1.639437e+00   7.029633e-02
  1.204699e-01    1.620174e+00   6.923752e-02
  1.226803e-01    1.501894e+00   6.605627e-02
  1.248908e-01    1.545718e+00   6.641659e-02
  1.271012e-01    1.722810e+00   6.950434e-02
  1.293117e-01    1.661857e+00   6.767694e-02
  1.315222e-01    1.682631e+00   6.752237e-02
  1.337326e-01    1.627201e+00   6.584857e-02
  1.359431e-01    1.693662e+00   6.721916e-02
  1.381535e-01    1.665606e+00   6.755488e-02
  1.403640e-01    1.661552e+00   6.776392e-02
  1.425744e-01    1.674140e+00   6.812882e-02
  1.447849e-01    1.595778e+00   6.653056e-02
  1.469953e-01    1.594137e+00   6.645471e-02
  1.492058e-01    1.600041e+00   6.650026e-02
  1.514163e-01    1.592128e+00   6.622548e-02
  1.536267e-01    1.596502e+00   6.618690e-02
  1.558372e-01    1.647453e+00   6.708631e-02
  1.580476e-01    1.604344e+00   6.604216e-02
  1.602581e-01    1.597019e+00   6.572385e-02
  1.624685e-01    1.587670e+00   6.535178e-02
  1.646790e-01    1.665774e+00   6.674773e-02
  1.668895e-01    1.737497e+00   6.797267e-02
  1.690999e-01    1.794479e+00   6.887086e-02
  1.713104e-01    1.761491e+00   6.802312e-02
  1.735208e-01    1.830604e+00   6.912912e-02
  1.757313e-01    1.796997e+00   6.827698e-02
  1.779417e-01    1.841861e+00   6.889857e-02
  1.801522e-01    1.873777e+00   6.927162e-02
  1.823626e-01    1.854779e+00   6.869014e-02
  1.845731e-01    1.961598e+00   7.041158e-02
  1.867836e-01    1.982430e+00   7.054561e-02
  1.889940e-01    1.968687e+00   7.007095e-02
  1.912045e-01    1.958436e+00   6.965488e-02
  1.934149e-01    1.989692e+00   6.997354e-02
  1.956254e-01    1.991218e+00   6.976949e-02
  1.978358e-01    2.025396e+00   7.012458e-02
  2.000463e-01    2.123802e+00   7.156994e-02
  2.022568e-01    2.138152e+00   7.157565e-02
  2.044672e-01    2.075227e+00   7.027297e-02
  2.066777e-01    2.040821e+00   6.945672e-02
  2.088881e-01    1.963888e+00   6.791206e-02
  2.110986e-01    1.961165e+00   6.763224e-02
  2.133090e-01    1.983450e+00   6.779429e-02
  2.155195e-01    2.016268e+00   6.812611e-02
  2.177300e-01    2.042000e+00   6.802087e-02
  2.199404e-01    2.071944e+00   6.671233e-02
  2.221509e-01    1.968425e+00   6.395673e-02
  2.243613e-01    1.981688e+00   6.335828e-02
  2.265718e-01    2.038106e+00   6.354564e-02
  2.287822e-01    2.114413e+00   6.408366e-02
  2.309927e-01    2.151334e+00   6.405187e-02
  2.332031e-01    2.182718e+00   6.396519e-02
  2.354136e-01    2.175274e+00   6.333848e-02
  2.376241e-01    2.172778e+00   6.281079e-02
  2.398345e-01    2.177213e+00   6.240954e-02
  2.420450e-01    2.177039e+00   6.196103e-02
  2.442554e-01    2.150272e+00   6.115472e-02
  2.464659e-01    2.188427e+00   6.128069e-02
  2.486763e-01    2.122818e+00   5.995840e-02
  2.508868e-01    2.132429e+00   5.971485e-02
  2.530973e-01    2.169227e+00   5.985450e-02
  2.553077e-01    2.155210e+00   5.929890e-02
  2.575182e-01    2.182330e+00   5.931780e-02
  2.597286e-01    2.081862e+00   5.759951e-02
  2.619391e-01    2.051944e+00   5.685492e-02
  2.641495e-01    2.063385e+00   5.669764e-02
  2.663600e-01    2.081146e+00   5.662800e-02
  2.685704e-01    2.128630e+00   5.695996e-02
  2.707809e-01    2.076519e+00   5.595979e-02
  2.729914e-01    2.083160e+00   5.575709e-02
  2.752018e-01    2.076028e+00   5.537187e-02
  2.774123e-01    2.065413e+00   5.494800e-02
  2.796227e-01    2.015598e+00   5.401282e-02
  2.818332e-01    2.003051e+00   5.357582e-02
  2.840436e-01    2.079529e+00   5.432441e-02
  2.862541e-01    2.056674e+00   5.376538e-02
  2.884646e-01    1.979766e+00   5.250020e-02
  2.906750e-01    1.906348e+00   5.127328e-02
  2.928855e-01    1.942996e+00   5.152389e-02
  2.950959e-01    2.004792e+00   5.209642e-02
  2.973064e-01    2.031674e+00   5.220883e-02
  2.995168e-01    2.008022e+00   5.166897e-02
  3.017273e-01    2.011160e+00   5.148135e-02
  3.039377e-01    2.008073e+00   5.121657e-02
  3.061482e-01    1.940131e+00   5.012492e-02
  3.083587e-01    1.977174e+00   5.038211e-02
  3.105691e-01    1.893966e+00   4.909998e-02
  3.127796e-01    1.900023e+00   4.897163e-02
  3.149900e-01    1.986785e+00   4.986864e-02
  3.172005e-01    1.965375e+00   4.939640e-02
  3.194109e-01    1.881950e+00   4.813713e-02
  3.216214e-01    1.957605e+00   4.889480e-02
  3.238319e-01    1.954095e+00   4.865744e-02
  3.260423e-01    1.853611e+00   4.720111e-02
  3.282528e-01    1.911322e+00   4.773947e-02
  3.304632e-01    1.899313e+00   4.740489e-02
  3.326737e-01    1.898023e+00   4.720390e-02
  3.348841e-01    1.870685e+00   4.668100e-02
  3.370946e-01    1.843531e+00   4.616658e-02
  3.393050e-01    1.842895e+00   4.598378e-02
  3.415155e-01    1.877473e+00   4.623866e-02
  3.437260e-01    1.889164e+00   4.621049e-02
  3.459364e-01    1.896009e+00   4.612288e-02
  3.481469e-01    1.888502e+00   4.586346e-02
  3.503573e-01    1.860023e+00   4.535052e-02
  3.525678e-01    1.899210e+00   4.566243e-02
  3.547782e-01    1.916485e+00   4.570384e-02
  3.569887e-01    1.847094e+00   4.470986e-02
  3.591992e-01    1.780823e+00   4.374510e-02
  3.614096e-01    1.864837e+00   4.460989e-02
  3.636201e-01    1.836869e+00   4.411852e-02
  3.658305e-01    1.864420e+00   4.429654e-02
  3.680410e-01    1.865489e+00   4.415685e-02
  3.702514e-01    1.816072e+00   4.342153e-02
  3.724619e-01    1.834462e+00   4.349221e-02
  3.746724e-01    1.835103e+00   4.335468e-02
  3.768828e-01    1.906908e+00   4.404604e-02
  3.790933e-01    1.830057e+00   4.300876e-02
  3.813037e-01    1.803775e+00   4.255908e-02
  3.835142e-01    1.891430e+00   4.343777e-02
  3.857246e-01    1.848849e+00   4.280708e-02
  3.879351e-01    1.768897e+00   4.173572e-02
  3.901455e-01    1.822855e+00   4.223260e-02
  3.923560e-01    1.841479e+00   4.231290e-02
  3.945665e-01    1.833318e+00   4.208516e-02
  3.967769e-01    1.809397e+00   4.167874e-02
  3.989874e-01    1.811851e+00   4.157677e-02
  4.011978e-01    1.787835e+00   4.117329e-02
  4.034083e-01    1.793475e+00   4.111158e-02
  4.056187e-01    1.804775e+00   4.111385e-02
  4.078292e-01    1.873150e+00   4.175866e-02
  4.100397e-01    1.787746e+00   4.067106e-02
  4.122501e-01    1.810141e+00   4.080254e-02
  4.144606e-01    1.834924e+00   4.095909e-02
  4.166710e-01    1.861505e+00   4.113203e-02
  4.188815e-01    1.836667e+00   4.073601e-02
  4.210919e-01    1.873672e+00   4.102375e-02
  4.233024e-01    1.821867e+00   4.033368e-02
  4.255128e-01    1.781193e+00   3.976562e-02
  4.277233e-01    1.760359e+00   3.941878e-02
  4.299338e-01    1.774826e+00   3.946653e-02
  4.321442e-01    1.798693e+00   3.961732e-02
  4.343547e-01    1.794718e+00   3.946163e-02
  4.365651e-01    1.776201e+00   3.914599e-02
  4.387756e-01    1.780205e+00   3.908034e-02
  4.409860e-01    1.827531e+00   3.948670e-02
  4.431965e-01    1.801496e+00   3.909604e-02
  4.454070e-01    1.785464e+00   3.881340e-02
  4.476174e-01    1.765272e+00   3.848733e-02
  4.498279e-01    1.751170e+00   3.822900e-02
  4.520383e-01    1.756076e+00   3.817746e-02
  4.542488e-01    1.755820e+00   3.807172e-02
  4.564592e-01    1.746532e+00   3.786904e-02
  4.586697e-01    1.769427e+00   3.801525e-02
  4.608801e-01    1.799841e+00   3.823791e-02
  4.630906e-01    1.714098e+00   3.721717e-02
  4.653011e-01    1.710416e+00   3.707941e-02
  4.675115e-01    1.713727e+00   3.701750e-02
  4.697220e-01    1.746899e+00   3.727624e-02
  4.719324e-01    1.721127e+00   3.690452e-02
  4.741429e-01    1.736473e+00   3.697317e-02
  4.763533e-01    1.745667e+00   3.697588e-02
  4.785638e-01    1.769571e+00   3.713201e-02
  4.807743e-01    1.789591e+00   3.724650e-02
  4.829847e-01    1.725810e+00   3.648437e-02
  4.851952e-01    1.741210e+00   3.655402e-02
  4.874056e-01    1.741305e+00   3.646287e-02
  4.896161e-01    1.730607e+00   3.626054e-02
  4.918265e-01    1.700383e+00   3.585326e-02
  4.940370e-01    1.688620e+00   3.564081e-02
  4.962475e-01    1.698431e+00   3.565593e-02
  4.984579e-01    1.710578e+00   3.569500e-02
  5.006684e-01    1.726087e+00   3.576905e-02
  5.028788e-01    1.712826e+00   3.554503e-02
  5.050893e-01    1.698567e+00   3.531070e-02
  5.072997e-01    1.696846e+00   3.520754e-02
  5.095102e-01    1.729206e+00   3.545656e-02
  5.117206e-01    1.716482e+00   3.524187e-02
  5.139311e-01    1.687587e+00   3.486128e-02
  5.161416e-01    1.714181e+00   3.505187e-02
  5.183520e-01    1.658490e+00   3.439584e-02
  5.205625e-01    1.703101e+00   3.477370e-02
  5.227729e-01    1.737396e+00   3.504017e-02
  5.249834e-01    1.706712e+00   3.464874e-02
  5.271938e-01    1.713236e+00   3.463391e-02
