# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166622",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "KS59QzJPZRZa1wIEX6+u3A==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000095.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.972283e+00   7.599265e-01
  3.315685e-03    1.906279e+00   4.541911e-01
  5.526141e-03    1.684935e+00   3.301899e-01
  7.736597e-03    1.477493e+00   2.612059e-01
  9.947054e-03    1.179380e+00   2.057328e-01
  1.215751e-02    1.366397e+00   2.002428e-01
  1.436797e-02    1.642826e+00   2.019629e-01
  1.657842e-02    1.615793e+00   1.864392e-01
  1.878888e-02    1.595426e+00   1.740211e-01
  2.099934e-02    1.576504e+00   1.636626e-01
  2.320979e-02    1.596622e+00   1.566513e-01
  2.542025e-02    1.442569e+00   1.422911e-01
  2.763070e-02    1.420926e+00   1.354491e-01
  2.984116e-02    1.364092e+00   1.277022e-01
  3.205162e-02    1.221372e+00   1.166032e-01
  3.426207e-02    1.419637e+00   1.215804e-01
  3.647253e-02    1.534503e+00   1.225106e-01
  3.868299e-02    1.381430e+00   1.128782e-01
  4.089344e-02    1.378092e+00   1.096528e-01
  4.310390e-02    1.550720e+00   1.132897e-01
  4.531436e-02    1.533904e+00   1.098917e-01
  4.752481e-02    1.542179e+00   1.075936e-01
  4.973527e-02    1.437189e+00   1.015334e-01
  5.194572e-02    1.416993e+00   9.864766e-02
  5.415618e-02    1.490742e+00   9.909233e-02
  5.636664e-02    1.491192e+00   9.714756e-02
  5.857709e-02    1.575745e+00   9.796196e-02
  6.078755e-02    1.508407e+00   9.408419e-02
  6.299801e-02    1.539059e+00   9.335211e-02
  6.520846e-02    1.527333e+00   9.140661e-02
  6.741892e-02    1.533845e+00   9.008253e-02
  6.962938e-02    1.517241e+00   8.816449e-02
  7.183983e-02    1.427031e+00   8.417611e-02
  7.405029e-02    1.419611e+00   8.269247e-02
  7.626074e-02    1.477965e+00   8.314236e-02
  7.847120e-02    1.558555e+00   8.416569e-02
  8.068166e-02    1.477664e+00   8.082136e-02
  8.289211e-02    1.483955e+00   7.990558e-02
  8.510257e-02    1.503797e+00   7.938603e-02
  8.731303e-02    1.549180e+00   7.954551e-02
  8.952348e-02    1.590127e+00   7.959092e-02
  9.173394e-02    1.545439e+00   7.751039e-02
  9.394439e-02    1.461621e+00   7.448462e-02
  9.615485e-02    1.513794e+00   7.492438e-02
  9.836531e-02    1.577849e+00   7.562668e-02
  1.005758e-01    1.550993e+00   7.415225e-02
  1.027862e-01    1.543592e+00   7.317355e-02
  1.049967e-01    1.513443e+00   7.168742e-02
  1.072071e-01    1.477929e+00   7.010638e-02
  1.094176e-01    1.619585e+00   7.264306e-02
  1.116280e-01    1.687096e+00   7.340230e-02
  1.138385e-01    1.549034e+00   6.964722e-02
  1.160490e-01    1.567756e+00   6.939548e-02
  1.182594e-01    1.606361e+00   6.958360e-02
  1.204699e-01    1.582293e+00   6.842332e-02
  1.226803e-01    1.626084e+00   6.873309e-02
  1.248908e-01    1.556157e+00   6.664050e-02
  1.271012e-01    1.593403e+00   6.684302e-02
  1.293117e-01    1.607349e+00   6.655779e-02
  1.315222e-01    1.642949e+00   6.672143e-02
  1.337326e-01    1.684490e+00   6.699769e-02
  1.359431e-01    1.679684e+00   6.694122e-02
  1.381535e-01    1.626547e+00   6.675808e-02
  1.403640e-01    1.639457e+00   6.731187e-02
  1.425744e-01    1.625393e+00   6.712961e-02
  1.447849e-01    1.671735e+00   6.809554e-02
  1.469953e-01    1.655845e+00   6.772871e-02
  1.492058e-01    1.633118e+00   6.718411e-02
  1.514163e-01    1.640180e+00   6.721743e-02
  1.536267e-01    1.588737e+00   6.602575e-02
  1.558372e-01    1.658482e+00   6.731052e-02
  1.580476e-01    1.711372e+00   6.820945e-02
  1.602581e-01    1.673348e+00   6.727614e-02
  1.624685e-01    1.719219e+00   6.800533e-02
  1.646790e-01    1.611306e+00   6.564739e-02
  1.668895e-01    1.699706e+00   6.722938e-02
  1.690999e-01    1.752909e+00   6.806845e-02
  1.713104e-01    1.784338e+00   6.846285e-02
  1.735208e-01    1.851713e+00   6.952655e-02
  1.757313e-01    1.893947e+00   7.009458e-02
  1.779417e-01    1.855182e+00   6.914730e-02
  1.801522e-01    1.820752e+00   6.828444e-02
  1.823626e-01    1.863895e+00   6.885874e-02
  1.845731e-01    1.916919e+00   6.960509e-02
  1.867836e-01    1.938769e+00   6.976443e-02
  1.889940e-01    1.993017e+00   7.050261e-02
  1.912045e-01    1.949901e+00   6.950293e-02
  1.934149e-01    2.098086e+00   7.185425e-02
  1.956254e-01    2.012441e+00   7.014034e-02
  1.978358e-01    2.057532e+00   7.067870e-02
  2.000463e-01    2.108507e+00   7.131178e-02
  2.022568e-01    2.010868e+00   6.941251e-02
  2.044672e-01    1.971130e+00   6.848782e-02
  2.066777e-01    1.996897e+00   6.870519e-02
  2.088881e-01    2.003276e+00   6.858971e-02
  2.110986e-01    2.086017e+00   6.975180e-02
  2.133090e-01    2.098472e+00   6.973233e-02
  2.155195e-01    2.097676e+00   6.948784e-02
  2.177300e-01    2.096982e+00   6.893052e-02
  2.199404e-01    2.090417e+00   6.700908e-02
  2.221509e-01    2.111968e+00   6.624764e-02
  2.243613e-01    2.014651e+00   6.388306e-02
  2.265718e-01    2.057009e+00   6.383966e-02
  2.287822e-01    2.062099e+00   6.328590e-02
  2.309927e-01    2.092614e+00   6.317170e-02
  2.332031e-01    2.161751e+00   6.365721e-02
  2.354136e-01    2.181231e+00   6.342515e-02
  2.376241e-01    2.202211e+00   6.323478e-02
  2.398345e-01    2.306737e+00   6.423908e-02
  2.420450e-01    2.254095e+00   6.304806e-02
  2.442554e-01    2.215873e+00   6.208057e-02
  2.464659e-01    2.160197e+00   6.088416e-02
  2.486763e-01    2.139653e+00   6.019567e-02
  2.508868e-01    2.122058e+00   5.956948e-02
  2.530973e-01    2.127664e+00   5.927831e-02
  2.553077e-01    2.088837e+00   5.837866e-02
  2.575182e-01    2.135080e+00   5.867213e-02
  2.597286e-01    2.119459e+00   5.811727e-02
  2.619391e-01    2.155463e+00   5.827140e-02
  2.641495e-01    2.122014e+00   5.749752e-02
  2.663600e-01    2.089622e+00   5.674322e-02
  2.685704e-01    2.040316e+00   5.576584e-02
  2.707809e-01    2.080292e+00   5.601059e-02
  2.729914e-01    2.091493e+00   5.586851e-02
  2.752018e-01    2.050733e+00   5.503351e-02
  2.774123e-01    2.039270e+00   5.459914e-02
  2.796227e-01    2.039461e+00   5.433161e-02
  2.818332e-01    2.001512e+00   5.355525e-02
  2.840436e-01    2.064035e+00   5.412167e-02
  2.862541e-01    2.065681e+00   5.388299e-02
  2.884646e-01    2.015309e+00   5.296938e-02
  2.906750e-01    1.980493e+00   5.226085e-02
  2.928855e-01    1.988403e+00   5.212248e-02
  2.950959e-01    1.992932e+00   5.194210e-02
  2.973064e-01    1.941620e+00   5.103866e-02
  2.995168e-01    1.933995e+00   5.070762e-02
  3.017273e-01    1.921245e+00   5.031737e-02
  3.039377e-01    1.936488e+00   5.029540e-02
  3.061482e-01    1.891196e+00   4.948872e-02
  3.083587e-01    1.961227e+00   5.017853e-02
  3.105691e-01    1.870196e+00   4.879089e-02
  3.127796e-01    1.891490e+00   4.886156e-02
  3.149900e-01    1.966054e+00   4.960778e-02
  3.172005e-01    1.980380e+00   4.958461e-02
  3.194109e-01    1.960086e+00   4.912626e-02
  3.216214e-01    1.868423e+00   4.776810e-02
  3.238319e-01    1.889255e+00   4.784336e-02
  3.260423e-01    1.860375e+00   4.728716e-02
  3.282528e-01    1.868702e+00   4.720419e-02
  3.304632e-01    1.877762e+00   4.713518e-02
  3.326737e-01    1.889577e+00   4.709874e-02
  3.348841e-01    1.867694e+00   4.664366e-02
  3.370946e-01    1.933095e+00   4.727473e-02
  3.393050e-01    1.956865e+00   4.738435e-02
  3.415155e-01    1.898798e+00   4.650051e-02
  3.437260e-01    1.882216e+00   4.612543e-02
  3.459364e-01    1.866966e+00   4.576826e-02
  3.481469e-01    1.848317e+00   4.537287e-02
  3.503573e-01    1.930676e+00   4.620380e-02
  3.525678e-01    1.882634e+00   4.546275e-02
  3.547782e-01    1.866574e+00   4.510479e-02
  3.569887e-01    1.812581e+00   4.429016e-02
  3.591992e-01    1.879435e+00   4.493996e-02
  3.614096e-01    1.863060e+00   4.458864e-02
  3.636201e-01    1.817179e+00   4.388142e-02
  3.658305e-01    1.826863e+00   4.384813e-02
  3.680410e-01    1.774277e+00   4.306380e-02
  3.702514e-01    1.850707e+00   4.383362e-02
  3.724619e-01    1.823853e+00   4.336628e-02
  3.746724e-01    1.875986e+00   4.383494e-02
  3.768828e-01    1.887667e+00   4.382326e-02
  3.790933e-01    1.864794e+00   4.341501e-02
  3.813037e-01    1.859261e+00   4.320872e-02
  3.835142e-01    1.825338e+00   4.267212e-02
  3.857246e-01    1.853791e+00   4.286421e-02
  3.879351e-01    1.852488e+00   4.271049e-02
  3.901455e-01    1.821567e+00   4.221769e-02
  3.923560e-01    1.827428e+00   4.215115e-02
  3.945665e-01    1.778460e+00   4.145073e-02
  3.967769e-01    1.786120e+00   4.140978e-02
  3.989874e-01    1.831410e+00   4.180058e-02
  4.011978e-01    1.828260e+00   4.163619e-02
  4.034083e-01    1.815611e+00   4.136452e-02
  4.056187e-01    1.859654e+00   4.173428e-02
  4.078292e-01    1.773488e+00   4.063260e-02
  4.100397e-01    1.777321e+00   4.055229e-02
  4.122501e-01    1.837263e+00   4.110708e-02
  4.144606e-01    1.839381e+00   4.100882e-02
  4.166710e-01    1.837400e+00   4.086484e-02
  4.188815e-01    1.861682e+00   4.101248e-02
  4.210919e-01    1.823292e+00   4.046848e-02
  4.233024e-01    1.794125e+00   4.002541e-02
  4.255128e-01    1.778634e+00   3.973704e-02
  4.277233e-01    1.847574e+00   4.038344e-02
  4.299338e-01    1.839105e+00   4.017488e-02
  4.321442e-01    1.776884e+00   3.937642e-02
  4.343547e-01    1.806096e+00   3.958650e-02
  4.365651e-01    1.820547e+00   3.963165e-02
  4.387756e-01    1.769063e+00   3.895786e-02
  4.409860e-01    1.797407e+00   3.915991e-02
  4.431965e-01    1.765786e+00   3.870660e-02
  4.454070e-01    1.782513e+00   3.878129e-02
  4.476174e-01    1.771695e+00   3.855728e-02
  4.498279e-01    1.759116e+00   3.831564e-02
  4.520383e-01    1.786714e+00   3.850904e-02
  4.542488e-01    1.744677e+00   3.795074e-02
  4.564592e-01    1.760527e+00   3.802045e-02
  4.586697e-01    1.734213e+00   3.763509e-02
  4.608801e-01    1.772993e+00   3.795162e-02
  4.630906e-01    1.760506e+00   3.771762e-02
  4.653011e-01    1.710906e+00   3.708472e-02
  4.675115e-01    1.686327e+00   3.672041e-02
  4.697220e-01    1.685394e+00   3.661412e-02
  4.719324e-01    1.703765e+00   3.671792e-02
  4.741429e-01    1.710389e+00   3.669442e-02
  4.763533e-01    1.756333e+00   3.708867e-02
  4.785638e-01    1.773103e+00   3.716905e-02
  4.807743e-01    1.785578e+00   3.720473e-02
  4.829847e-01    1.766089e+00   3.690765e-02
  4.851952e-01    1.726588e+00   3.640024e-02
  4.874056e-01    1.699432e+00   3.602178e-02
  4.896161e-01    1.724030e+00   3.619157e-02
  4.918265e-01    1.724508e+00   3.610669e-02
  4.940370e-01    1.735518e+00   3.613234e-02
  4.962475e-01    1.757343e+00   3.626905e-02
  4.984579e-01    1.727778e+00   3.587401e-02
