# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166630",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "ogz2pqDOtCbu/lTU/23ZbA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000096.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.671629e+00   6.996114e-01
  3.315685e-03    1.590572e+00   4.148796e-01
  5.526141e-03    1.011564e+00   2.558402e-01
  7.736597e-03    1.183406e+00   2.337691e-01
  9.947054e-03    1.362095e+00   2.210957e-01
  1.215751e-02    1.353189e+00   1.992727e-01
  1.436797e-02    1.304894e+00   1.799962e-01
  1.657842e-02    1.500553e+00   1.796677e-01
  1.878888e-02    1.447780e+00   1.657734e-01
  2.099934e-02    1.186332e+00   1.419728e-01
  2.320979e-02    1.244362e+00   1.382949e-01
  2.542025e-02    1.304715e+00   1.353217e-01
  2.763070e-02    1.275529e+00   1.283322e-01
  2.984116e-02    1.433212e+00   1.308976e-01
  3.205162e-02    1.322915e+00   1.213535e-01
  3.426207e-02    1.461555e+00   1.233623e-01
  3.647253e-02    1.683514e+00   1.283211e-01
  3.868299e-02    1.540007e+00   1.191810e-01
  4.089344e-02    1.478132e+00   1.135631e-01
  4.310390e-02    1.425101e+00   1.086042e-01
  4.531436e-02    1.363450e+00   1.036061e-01
  4.752481e-02    1.527472e+00   1.070793e-01
  4.973527e-02    1.511994e+00   1.041422e-01
  5.194572e-02    1.419011e+00   9.871788e-02
  5.415618e-02    1.418615e+00   9.666540e-02
  5.636664e-02    1.455083e+00   9.596418e-02
  5.857709e-02    1.329383e+00   8.997871e-02
  6.078755e-02    1.352539e+00   8.909066e-02
  6.299801e-02    1.413337e+00   8.945805e-02
  6.520846e-02    1.412335e+00   8.789811e-02
  6.741892e-02    1.379797e+00   8.543926e-02
  6.962938e-02    1.460618e+00   8.650370e-02
  7.183983e-02    1.507776e+00   8.652479e-02
  7.405029e-02    1.549294e+00   8.638693e-02
  7.626074e-02    1.562139e+00   8.547717e-02
  7.847120e-02    1.451229e+00   8.121608e-02
  8.068166e-02    1.351531e+00   7.729499e-02
  8.289211e-02    1.463932e+00   7.936465e-02
  8.510257e-02    1.587058e+00   8.155411e-02
  8.731303e-02    1.481159e+00   7.777959e-02
  8.952348e-02    1.481123e+00   7.681450e-02
  9.173394e-02    1.603321e+00   7.894853e-02
  9.394439e-02    1.616640e+00   7.833502e-02
  9.615485e-02    1.603212e+00   7.710548e-02
  9.836531e-02    1.526908e+00   7.439590e-02
  1.005758e-01    1.457724e+00   7.188812e-02
  1.027862e-01    1.468745e+00   7.137745e-02
  1.049967e-01    1.504568e+00   7.147691e-02
  1.072071e-01    1.545156e+00   7.168312e-02
  1.094176e-01    1.559860e+00   7.129107e-02
  1.116280e-01    1.607420e+00   7.164805e-02
  1.138385e-01    1.645284e+00   7.177840e-02
  1.160490e-01    1.605327e+00   7.022210e-02
  1.182594e-01    1.607483e+00   6.960788e-02
  1.204699e-01    1.572390e+00   6.820887e-02
  1.226803e-01    1.548027e+00   6.706311e-02
  1.248908e-01    1.565137e+00   6.683251e-02
  1.271012e-01    1.550228e+00   6.593121e-02
  1.293117e-01    1.624369e+00   6.690925e-02
  1.315222e-01    1.579865e+00   6.542794e-02
  1.337326e-01    1.550067e+00   6.426892e-02
  1.359431e-01    1.565341e+00   6.462257e-02
  1.381535e-01    1.548537e+00   6.513756e-02
  1.403640e-01    1.549176e+00   6.543228e-02
  1.425744e-01    1.585352e+00   6.629756e-02
  1.447849e-01    1.595415e+00   6.652301e-02
  1.469953e-01    1.614393e+00   6.687557e-02
  1.492058e-01    1.640235e+00   6.733035e-02
  1.514163e-01    1.641743e+00   6.724945e-02
  1.536267e-01    1.591398e+00   6.608102e-02
  1.558372e-01    1.547920e+00   6.502820e-02
  1.580476e-01    1.656591e+00   6.710889e-02
  1.602581e-01    1.628404e+00   6.636652e-02
  1.624685e-01    1.618471e+00   6.598265e-02
  1.646790e-01    1.539033e+00   6.415823e-02
  1.668895e-01    1.600245e+00   6.523275e-02
  1.690999e-01    1.665403e+00   6.634769e-02
  1.713104e-01    1.781772e+00   6.841361e-02
  1.735208e-01    1.818115e+00   6.889289e-02
  1.757313e-01    1.840225e+00   6.909330e-02
  1.779417e-01    1.863057e+00   6.929388e-02
  1.801522e-01    1.887152e+00   6.951844e-02
  1.823626e-01    1.812388e+00   6.790063e-02
  1.845731e-01    1.941140e+00   7.004345e-02
  1.867836e-01    1.978529e+00   7.047615e-02
  1.889940e-01    1.961944e+00   6.995084e-02
  1.912045e-01    1.900318e+00   6.861357e-02
  1.934149e-01    1.957497e+00   6.940509e-02
  1.956254e-01    1.953330e+00   6.910253e-02
  1.978358e-01    1.947356e+00   6.876033e-02
  2.000463e-01    2.048902e+00   7.029659e-02
  2.022568e-01    2.110720e+00   7.111501e-02
  2.044672e-01    2.080055e+00   7.035469e-02
  2.066777e-01    2.077455e+00   7.007732e-02
  2.088881e-01    2.117819e+00   7.052335e-02
  2.110986e-01    1.998072e+00   6.826566e-02
  2.133090e-01    2.021823e+00   6.844693e-02
  2.155195e-01    1.960104e+00   6.717059e-02
  2.177300e-01    1.968706e+00   6.678895e-02
  2.199404e-01    2.034953e+00   6.611416e-02
  2.221509e-01    1.997931e+00   6.443428e-02
  2.243613e-01    1.955554e+00   6.293914e-02
  2.265718e-01    2.017283e+00   6.322017e-02
  2.287822e-01    2.106899e+00   6.396969e-02
  2.309927e-01    2.106945e+00   6.338763e-02
  2.332031e-01    2.179036e+00   6.391121e-02
  2.354136e-01    2.163132e+00   6.316147e-02
  2.376241e-01    2.145087e+00   6.240926e-02
  2.398345e-01    2.096385e+00   6.124011e-02
  2.420450e-01    2.129938e+00   6.128709e-02
  2.442554e-01    2.136733e+00   6.096188e-02
  2.464659e-01    2.172117e+00   6.105190e-02
  2.486763e-01    2.124176e+00   5.997755e-02
  2.508868e-01    2.109472e+00   5.939256e-02
  2.530973e-01    2.137120e+00   5.940988e-02
  2.553077e-01    2.148623e+00   5.920821e-02
  2.575182e-01    2.137423e+00   5.870431e-02
  2.597286e-01    2.131756e+00   5.828564e-02
  2.619391e-01    2.194221e+00   5.879297e-02
  2.641495e-01    2.133000e+00   5.764617e-02
  2.663600e-01    2.107417e+00   5.698431e-02
  2.685704e-01    2.117650e+00   5.681285e-02
  2.707809e-01    2.006340e+00   5.500604e-02
  2.729914e-01    2.048570e+00   5.529226e-02
  2.752018e-01    2.087451e+00   5.552399e-02
  2.774123e-01    2.061948e+00   5.490189e-02
  2.796227e-01    2.049564e+00   5.446602e-02
  2.818332e-01    2.042745e+00   5.410409e-02
  2.840436e-01    2.044813e+00   5.386907e-02
  2.862541e-01    2.045985e+00   5.362548e-02
  2.884646e-01    1.962107e+00   5.226553e-02
  2.906750e-01    2.013819e+00   5.269871e-02
  2.928855e-01    2.027016e+00   5.262613e-02
  2.950959e-01    2.019649e+00   5.228912e-02
