# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166602",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "sxvE7MaNT3NfOBWfkfvulA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000097.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.259235e+00   8.133316e-01
  3.315685e-03    1.092451e+00   3.438321e-01
  5.526141e-03    1.037948e+00   2.591552e-01
  7.736597e-03    1.480763e+00   2.614948e-01
  9.947054e-03    1.307948e+00   2.166565e-01
  1.215751e-02    1.375429e+00   2.009036e-01
  1.436797e-02    1.593333e+00   1.988974e-01
  1.657842e-02    1.566448e+00   1.835703e-01
  1.878888e-02    1.418428e+00   1.640844e-01
  2.099934e-02    1.457827e+00   1.573820e-01
  2.320979e-02    1.352967e+00   1.442037e-01
  2.542025e-02    1.340537e+00   1.371668e-01
  2.763070e-02    1.396189e+00   1.342649e-01
  2.984116e-02    1.473737e+00   1.327353e-01
  3.205162e-02    1.474114e+00   1.281008e-01
  3.426207e-02    1.255268e+00   1.143255e-01
  3.647253e-02    1.395319e+00   1.168225e-01
  3.868299e-02    1.454414e+00   1.158216e-01
  4.089344e-02    1.340369e+00   1.081416e-01
  4.310390e-02    1.412227e+00   1.081126e-01
  4.531436e-02    1.444236e+00   1.066313e-01
  4.752481e-02    1.536407e+00   1.073920e-01
  4.973527e-02    1.547783e+00   1.053676e-01
  5.194572e-02    1.344711e+00   9.609866e-02
  5.415618e-02    1.422149e+00   9.678572e-02
  5.636664e-02    1.511787e+00   9.781614e-02
  5.857709e-02    1.403217e+00   9.244363e-02
  6.078755e-02    1.347842e+00   8.893582e-02
  6.299801e-02    1.434830e+00   9.013566e-02
  6.520846e-02    1.500435e+00   9.059814e-02
  6.741892e-02    1.448601e+00   8.754355e-02
  6.962938e-02    1.492443e+00   8.744100e-02
  7.183983e-02    1.610983e+00   8.943706e-02
  7.405029e-02    1.501963e+00   8.505715e-02
  7.626074e-02    1.443971e+00   8.218068e-02
  7.847120e-02    1.416983e+00   8.025207e-02
  8.068166e-02    1.438958e+00   7.975580e-02
  8.289211e-02    1.484150e+00   7.991082e-02
  8.510257e-02    1.502992e+00   7.936478e-02
  8.731303e-02    1.581383e+00   8.036803e-02
  8.952348e-02    1.553690e+00   7.867374e-02
  9.173394e-02    1.441100e+00   7.484815e-02
  9.394439e-02    1.454553e+00   7.430432e-02
  9.615485e-02    1.559723e+00   7.605249e-02
  9.836531e-02    1.589856e+00   7.591391e-02
  1.005758e-01    1.608440e+00   7.551304e-02
  1.027862e-01    1.538704e+00   7.305762e-02
  1.049967e-01    1.540231e+00   7.231906e-02
  1.072071e-01    1.560827e+00   7.204572e-02
  1.094176e-01    1.504573e+00   7.001628e-02
  1.116280e-01    1.453040e+00   6.812062e-02
  1.138385e-01    1.501092e+00   6.856096e-02
  1.160490e-01    1.624706e+00   7.064465e-02
  1.182594e-01    1.575302e+00   6.890764e-02
  1.204699e-01    1.531849e+00   6.732379e-02
  1.226803e-01    1.530984e+00   6.669293e-02
  1.248908e-01    1.511910e+00   6.568626e-02
  1.271012e-01    1.571498e+00   6.638198e-02
  1.293117e-01    1.592635e+00   6.625244e-02
  1.315222e-01    1.571325e+00   6.525087e-02
  1.337326e-01    1.639382e+00   6.609455e-02
  1.359431e-01    1.634301e+00   6.603070e-02
  1.381535e-01    1.594110e+00   6.608908e-02
  1.403640e-01    1.580329e+00   6.608692e-02
  1.425744e-01    1.630538e+00   6.723576e-02
  1.447849e-01    1.597242e+00   6.656108e-02
  1.469953e-01    1.591602e+00   6.640185e-02
  1.492058e-01    1.636482e+00   6.725328e-02
  1.514163e-01    1.589314e+00   6.616696e-02
  1.536267e-01    1.627356e+00   6.682340e-02
  1.558372e-01    1.639377e+00   6.692169e-02
  1.580476e-01    1.771829e+00   6.940380e-02
  1.602581e-01    1.736673e+00   6.853730e-02
  1.624685e-01    1.723067e+00   6.808138e-02
  1.646790e-01    1.756433e+00   6.854003e-02
  1.668895e-01    1.772387e+00   6.865175e-02
  1.690999e-01    1.778134e+00   6.855649e-02
  1.713104e-01    1.785794e+00   6.849078e-02
  1.735208e-01    1.812731e+00   6.879080e-02
  1.757313e-01    1.885333e+00   6.993499e-02
  1.779417e-01    1.934673e+00   7.061315e-02
  1.801522e-01    1.914299e+00   7.001667e-02
  1.823626e-01    1.879146e+00   6.913985e-02
  1.845731e-01    1.957439e+00   7.033691e-02
  1.867836e-01    2.011597e+00   7.106267e-02
  1.889940e-01    1.949657e+00   6.973147e-02
  1.912045e-01    1.928097e+00   6.911322e-02
  1.934149e-01    2.037284e+00   7.080545e-02
  1.956254e-01    2.007729e+00   7.005814e-02
  1.978358e-01    2.010038e+00   6.985822e-02
  2.000463e-01    2.029695e+00   6.996633e-02
  2.022568e-01    2.092379e+00   7.080535e-02
  2.044672e-01    2.041198e+00   6.969445e-02
  2.066777e-01    2.082360e+00   7.016000e-02
  2.088881e-01    2.074396e+00   6.979662e-02
  2.110986e-01    2.003872e+00   6.836466e-02
  2.133090e-01    2.009696e+00   6.824137e-02
  2.155195e-01    2.081896e+00   6.922597e-02
  2.177300e-01    2.045760e+00   6.808347e-02
  2.199404e-01    2.007586e+00   6.566808e-02
  2.221509e-01    1.964919e+00   6.389973e-02
  2.243613e-01    1.977636e+00   6.329348e-02
  2.265718e-01    2.053125e+00   6.377934e-02
  2.287822e-01    2.160518e+00   6.477854e-02
  2.309927e-01    2.191847e+00   6.465218e-02
  2.332031e-01    2.196738e+00   6.417029e-02
  2.354136e-01    2.169661e+00   6.325670e-02
  2.376241e-01    2.171968e+00   6.279909e-02
  2.398345e-01    2.198051e+00   6.270748e-02
  2.420450e-01    2.141528e+00   6.145362e-02
  2.442554e-01    2.134403e+00   6.092862e-02
  2.464659e-01    2.224008e+00   6.177685e-02
  2.486763e-01    2.237885e+00   6.156197e-02
  2.508868e-01    2.153848e+00   6.001402e-02
  2.530973e-01    2.100841e+00   5.890346e-02
  2.553077e-01    2.173519e+00   5.955023e-02
  2.575182e-01    2.202810e+00   5.959547e-02
  2.597286e-01    2.167412e+00   5.877107e-02
  2.619391e-01    2.088510e+00   5.735927e-02
  2.641495e-01    2.045223e+00   5.644755e-02
  2.663600e-01    2.129822e+00   5.728642e-02
  2.685704e-01    2.108646e+00   5.669194e-02
  2.707809e-01    2.053344e+00   5.564665e-02
  2.729914e-01    2.056531e+00   5.539959e-02
