# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166642",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "NfWKMGc2ZToxtxvtF2bhNg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000100.dat
#        q_A^-1              I           sigma 
  1.105228e-03    4.946402e-01   3.805675e-01
  3.315685e-03    8.058415e-01   2.953046e-01
  5.526141e-03    1.531893e+00   3.148374e-01
  7.736597e-03    1.778062e+00   2.865455e-01
  9.947054e-03    1.190706e+00   2.067183e-01
  1.215751e-02    1.387592e+00   2.017899e-01
  1.436797e-02    1.553308e+00   1.963833e-01
  1.657842e-02    1.515794e+00   1.805779e-01
  1.878888e-02    1.403161e+00   1.631989e-01
  2.099934e-02    1.637221e+00   1.667845e-01
  2.320979e-02    1.549349e+00   1.543148e-01
  2.542025e-02    1.318344e+00   1.360266e-01
  2.763070e-02    1.539402e+00   1.409829e-01
  2.984116e-02    1.522838e+00   1.349284e-01
  3.205162e-02    1.334706e+00   1.218931e-01
  3.426207e-02    1.409323e+00   1.211379e-01
  3.647253e-02    1.352981e+00   1.150365e-01
  3.868299e-02    1.376587e+00   1.126802e-01
  4.089344e-02    1.413347e+00   1.110465e-01
  4.310390e-02    1.476880e+00   1.105596e-01
  4.531436e-02    1.576783e+00   1.114171e-01
  4.752481e-02    1.450104e+00   1.043323e-01
  4.973527e-02    1.437164e+00   1.015325e-01
  5.194572e-02    1.523178e+00   1.022770e-01
  5.415618e-02    1.468932e+00   9.836479e-02
  5.636664e-02    1.403728e+00   9.425548e-02
  5.857709e-02    1.387920e+00   9.193838e-02
  6.078755e-02    1.410415e+00   9.097682e-02
  6.299801e-02    1.418119e+00   8.960923e-02
  6.520846e-02    1.407034e+00   8.773299e-02
  6.741892e-02    1.487718e+00   8.871768e-02
  6.962938e-02    1.432230e+00   8.565895e-02
  7.183983e-02    1.400941e+00   8.340307e-02
  7.405029e-02    1.321406e+00   7.978099e-02
  7.626074e-02    1.392596e+00   8.070546e-02
  7.847120e-02    1.548827e+00   8.390260e-02
  8.068166e-02    1.531259e+00   8.227401e-02
  8.289211e-02    1.478412e+00   7.975620e-02
  8.510257e-02    1.400597e+00   7.661361e-02
  8.731303e-02    1.533483e+00   7.914149e-02
  8.952348e-02    1.508279e+00   7.751547e-02
  9.173394e-02    1.531446e+00   7.715866e-02
  9.394439e-02    1.607149e+00   7.810473e-02
  9.615485e-02    1.496828e+00   7.450334e-02
  9.836531e-02    1.602359e+00   7.621180e-02
  1.005758e-01    1.583680e+00   7.492957e-02
  1.027862e-01    1.466792e+00   7.132998e-02
  1.049967e-01    1.510464e+00   7.161685e-02
  1.072071e-01    1.509490e+00   7.085097e-02
  1.094176e-01    1.556071e+00   7.120444e-02
  1.116280e-01    1.546987e+00   7.028830e-02
  1.138385e-01    1.624799e+00   7.133014e-02
  1.160490e-01    1.586034e+00   6.979888e-02
  1.182594e-01    1.511842e+00   6.750539e-02
  1.204699e-01    1.569460e+00   6.814527e-02
  1.226803e-01    1.614685e+00   6.849176e-02
  1.248908e-01    1.591135e+00   6.738528e-02
  1.271012e-01    1.572547e+00   6.640414e-02
  1.293117e-01    1.589934e+00   6.619625e-02
  1.315222e-01    1.568704e+00   6.519640e-02
  1.337326e-01    1.639477e+00   6.609648e-02
  1.359431e-01    1.642157e+00   6.618920e-02
  1.381535e-01    1.566416e+00   6.551250e-02
  1.403640e-01    1.631757e+00   6.715362e-02
  1.425744e-01    1.595778e+00   6.651524e-02
  1.447849e-01    1.631427e+00   6.726956e-02
  1.469953e-01    1.615859e+00   6.690595e-02
  1.492058e-01    1.601510e+00   6.653079e-02
  1.514163e-01    1.606353e+00   6.652068e-02
  1.536267e-01    1.616148e+00   6.659289e-02
  1.558372e-01    1.632951e+00   6.679039e-02
  1.580476e-01    1.623698e+00   6.643930e-02
  1.602581e-01    1.596494e+00   6.571306e-02
  1.624685e-01    1.624473e+00   6.610487e-02
  1.646790e-01    1.697222e+00   6.737483e-02
  1.668895e-01    1.775868e+00   6.871915e-02
  1.690999e-01    1.715898e+00   6.734603e-02
  1.713104e-01    1.751790e+00   6.783555e-02
  1.735208e-01    1.834698e+00   6.920638e-02
  1.757313e-01    1.716844e+00   6.673691e-02
  1.779417e-01    1.758850e+00   6.732805e-02
  1.801522e-01    1.893410e+00   6.963358e-02
  1.823626e-01    1.944358e+00   7.032930e-02
  1.845731e-01    1.948954e+00   7.018431e-02
  1.867836e-01    1.963253e+00   7.020357e-02
  1.889940e-01    1.916632e+00   6.913833e-02
  1.912045e-01    1.989420e+00   7.020371e-02
  1.934149e-01    1.982656e+00   6.984972e-02
  1.956254e-01    2.045969e+00   7.072216e-02
  1.978358e-01    2.062866e+00   7.077029e-02
  2.000463e-01    1.962325e+00   6.879537e-02
  2.022568e-01    1.978575e+00   6.885289e-02
  2.044672e-01    1.967054e+00   6.841695e-02
  2.066777e-01    1.960521e+00   6.807654e-02
