# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166640",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "PyHKNmt5hDioK6LZhUf90g==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000101.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.437936e+00   6.488686e-01
  3.315685e-03    1.478283e+00   3.999670e-01
  5.526141e-03    1.527714e+00   3.144076e-01
  7.736597e-03    1.472841e+00   2.607943e-01
  9.947054e-03    1.555180e+00   2.362473e-01
  1.215751e-02    1.506184e+00   2.102362e-01
  1.436797e-02    1.499174e+00   1.929310e-01
  1.657842e-02    1.493083e+00   1.792200e-01
  1.878888e-02    1.688174e+00   1.790078e-01
  2.099934e-02    1.597142e+00   1.647304e-01
  2.320979e-02    1.590595e+00   1.563553e-01
  2.542025e-02    1.496949e+00   1.449483e-01
  2.763070e-02    1.566486e+00   1.422177e-01
  2.984116e-02    1.388728e+00   1.288502e-01
  3.205162e-02    1.397017e+00   1.247059e-01
  3.426207e-02    1.554837e+00   1.272381e-01
  3.647253e-02    1.589947e+00   1.247042e-01
  3.868299e-02    1.514220e+00   1.181790e-01
  4.089344e-02    1.449084e+00   1.124417e-01
  4.310390e-02    1.520657e+00   1.121862e-01
  4.531436e-02    1.523874e+00   1.095318e-01
  4.752481e-02    1.476979e+00   1.052946e-01
  4.973527e-02    1.461146e+00   1.023761e-01
  5.194572e-02    1.506852e+00   1.017275e-01
  5.415618e-02    1.547781e+00   1.009703e-01
  5.636664e-02    1.430321e+00   9.514411e-02
  5.857709e-02    1.421061e+00   9.302954e-02
  6.078755e-02    1.531910e+00   9.481432e-02
  6.299801e-02    1.453312e+00   9.071431e-02
  6.520846e-02    1.489995e+00   9.028239e-02
  6.741892e-02    1.538909e+00   9.023113e-02
  6.962938e-02    1.432953e+00   8.568058e-02
  7.183983e-02    1.409780e+00   8.366575e-02
  7.405029e-02    1.420650e+00   8.272272e-02
  7.626074e-02    1.349986e+00   7.946119e-02
  7.847120e-02    1.540073e+00   8.366515e-02
  8.068166e-02    1.671958e+00   8.597080e-02
  8.289211e-02    1.563421e+00   8.201718e-02
  8.510257e-02    1.515714e+00   7.969994e-02
