# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166666",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "AyYFqa7YREbvA3sGp8lYtA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000106.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.404073e+00   6.411828e-01
  3.315685e-03    1.792941e+00   4.404823e-01
  5.526141e-03    2.225242e+00   3.794554e-01
  7.736597e-03    1.846613e+00   2.920170e-01
  9.947054e-03    1.096200e+00   1.983451e-01
  1.215751e-02    1.207141e+00   1.882122e-01
  1.436797e-02    1.242434e+00   1.756355e-01
  1.657842e-02    1.400391e+00   1.735678e-01
  1.878888e-02    1.255623e+00   1.543808e-01
  2.099934e-02    1.260103e+00   1.463204e-01
  2.320979e-02    1.370752e+00   1.451484e-01
  2.542025e-02    1.372632e+00   1.387991e-01
  2.763070e-02    1.382049e+00   1.335833e-01
  2.984116e-02    1.363399e+00   1.276697e-01
  3.205162e-02    1.450750e+00   1.270815e-01
  3.426207e-02    1.483067e+00   1.242669e-01
  3.647253e-02    1.518829e+00   1.218833e-01
  3.868299e-02    1.529720e+00   1.187823e-01
  4.089344e-02    1.261238e+00   1.049009e-01
  4.310390e-02    1.361320e+00   1.061461e-01
  4.531436e-02    1.383584e+00   1.043683e-01
  4.752481e-02    1.405988e+00   1.027330e-01
  4.973527e-02    1.424613e+00   1.010881e-01
  5.194572e-02    1.477784e+00   1.007415e-01
  5.415618e-02    1.471653e+00   9.845582e-02
  5.636664e-02    1.432877e+00   9.522912e-02
  5.857709e-02    1.308164e+00   8.925769e-02
  6.078755e-02    1.327373e+00   8.825795e-02
  6.299801e-02    1.407655e+00   8.927802e-02
  6.520846e-02    1.463319e+00   8.947055e-02
  6.741892e-02    1.530894e+00   8.999583e-02
  6.962938e-02    1.405184e+00   8.484632e-02
  7.183983e-02    1.457827e+00   8.507954e-02
  7.405029e-02    1.564818e+00   8.681865e-02
  7.626074e-02    1.474108e+00   8.303383e-02
  7.847120e-02    1.527630e+00   8.332647e-02
  8.068166e-02    1.549049e+00   8.275054e-02
  8.289211e-02    1.470137e+00   7.953269e-02
  8.510257e-02    1.366101e+00   7.566427e-02
  8.731303e-02    1.320997e+00   7.345404e-02
  8.952348e-02    1.492474e+00   7.710826e-02
  9.173394e-02    1.537678e+00   7.731552e-02
  9.394439e-02    1.509086e+00   7.568439e-02
  9.615485e-02    1.498021e+00   7.453302e-02
  9.836531e-02    1.483137e+00   7.332180e-02
  1.005758e-01    1.450779e+00   7.171667e-02
  1.027862e-01    1.519863e+00   7.260894e-02
  1.049967e-01    1.613473e+00   7.401859e-02
  1.072071e-01    1.516998e+00   7.102697e-02
  1.094176e-01    1.490130e+00   6.967943e-02
  1.116280e-01    1.440114e+00   6.781694e-02
  1.138385e-01    1.535851e+00   6.935022e-02
  1.160490e-01    1.539263e+00   6.876200e-02
  1.182594e-01    1.528595e+00   6.787840e-02
  1.204699e-01    1.531700e+00   6.732053e-02
  1.226803e-01    1.613015e+00   6.845633e-02
  1.248908e-01    1.614616e+00   6.788067e-02
  1.271012e-01    1.664297e+00   6.831384e-02
  1.293117e-01    1.607146e+00   6.655360e-02
  1.315222e-01    1.529880e+00   6.438460e-02
  1.337326e-01    1.541779e+00   6.409684e-02
  1.359431e-01    1.668424e+00   6.671645e-02
  1.381535e-01    1.494836e+00   6.399816e-02
  1.403640e-01    1.576434e+00   6.600539e-02
  1.425744e-01    1.639601e+00   6.742238e-02
  1.447849e-01    1.566012e+00   6.590713e-02
  1.469953e-01    1.634990e+00   6.730085e-02
  1.492058e-01    1.503104e+00   6.445438e-02
  1.514163e-01    1.559998e+00   6.555381e-02
  1.536267e-01    1.678813e+00   6.787165e-02
  1.558372e-01    1.676387e+00   6.767289e-02
  1.580476e-01    1.661473e+00   6.720771e-02
  1.602581e-01    1.599311e+00   6.577101e-02
  1.624685e-01    1.549946e+00   6.457070e-02
  1.646790e-01    1.635555e+00   6.613951e-02
  1.668895e-01    1.715718e+00   6.754532e-02
  1.690999e-01    1.778220e+00   6.855814e-02
  1.713104e-01    1.654311e+00   6.592119e-02
  1.735208e-01    1.704661e+00   6.670874e-02
  1.757313e-01    1.766964e+00   6.770400e-02
  1.779417e-01    1.925097e+00   7.043818e-02
  1.801522e-01    1.880898e+00   6.940316e-02
  1.823626e-01    1.811993e+00   6.789324e-02
  1.845731e-01    1.852876e+00   6.843248e-02
  1.867836e-01    1.832420e+00   6.782402e-02
  1.889940e-01    1.887531e+00   6.861144e-02
  1.912045e-01    1.928697e+00   6.912401e-02
  1.934149e-01    1.929752e+00   6.891149e-02
  1.956254e-01    1.979796e+00   6.956908e-02
  1.978358e-01    2.021253e+00   7.005283e-02
  2.000463e-01    2.011959e+00   6.965998e-02
  2.022568e-01    2.022321e+00   6.960990e-02
  2.044672e-01    1.978995e+00   6.862432e-02
  2.066777e-01    1.929329e+00   6.753282e-02
  2.088881e-01    1.942479e+00   6.754086e-02
  2.110986e-01    2.000563e+00   6.830819e-02
  2.133090e-01    1.903777e+00   6.641875e-02
  2.155195e-01    1.804608e+00   6.445120e-02
  2.177300e-01    1.946805e+00   6.641640e-02
  2.199404e-01    1.989621e+00   6.537363e-02
  2.221509e-01    1.907233e+00   6.295475e-02
  2.243613e-01    1.995008e+00   6.357086e-02
  2.265718e-01    1.993011e+00   6.283870e-02
  2.287822e-01    2.067997e+00   6.337637e-02
  2.309927e-01    2.075881e+00   6.291860e-02
  2.332031e-01    2.181844e+00   6.395237e-02
  2.354136e-01    2.189893e+00   6.355096e-02
  2.376241e-01    2.179752e+00   6.291151e-02
  2.398345e-01    2.110704e+00   6.144892e-02
  2.420450e-01    2.053857e+00   6.018255e-02
  2.442554e-01    2.063876e+00   5.991354e-02
  2.464659e-01    2.203182e+00   6.148691e-02
  2.486763e-01    2.222497e+00   6.134995e-02
  2.508868e-01    2.181809e+00   6.040232e-02
  2.530973e-01    2.180937e+00   6.001582e-02
  2.553077e-01    2.208580e+00   6.002863e-02
  2.575182e-01    2.186378e+00   5.937278e-02
  2.597286e-01    2.117096e+00   5.808489e-02
  2.619391e-01    2.060750e+00   5.697680e-02
  2.641495e-01    2.008562e+00   5.593937e-02
  2.663600e-01    1.990751e+00   5.538453e-02
  2.685704e-01    2.081748e+00   5.632918e-02
  2.707809e-01    2.142358e+00   5.684001e-02
  2.729914e-01    2.079562e+00   5.570893e-02
  2.752018e-01    2.025438e+00   5.469304e-02
  2.774123e-01    2.033681e+00   5.452427e-02
  2.796227e-01    2.003706e+00   5.385325e-02
  2.818332e-01    1.999194e+00   5.352422e-02
  2.840436e-01    2.019243e+00   5.353120e-02
  2.862541e-01    1.947647e+00   5.232088e-02
  2.884646e-01    1.990225e+00   5.263869e-02
  2.906750e-01    1.906000e+00   5.126858e-02
  2.928855e-01    1.924800e+00   5.128209e-02
  2.950959e-01    1.954450e+00   5.143817e-02
  2.973064e-01    1.961194e+00   5.129527e-02
  2.995168e-01    1.969414e+00   5.116985e-02
  3.017273e-01    1.945930e+00   5.063959e-02
  3.039377e-01    1.962761e+00   5.063543e-02
  3.061482e-01    1.905261e+00   4.967242e-02
  3.083587e-01    1.911941e+00   4.954402e-02
  3.105691e-01    1.897923e+00   4.915125e-02
  3.127796e-01    1.875604e+00   4.865595e-02
  3.149900e-01    1.887719e+00   4.860946e-02
  3.172005e-01    1.908806e+00   4.868034e-02
  3.194109e-01    1.902199e+00   4.839538e-02
  3.216214e-01    1.915842e+00   4.837047e-02
  3.238319e-01    1.942330e+00   4.851073e-02
  3.260423e-01    1.913986e+00   4.796367e-02
  3.282528e-01    1.975610e+00   4.853568e-02
  3.304632e-01    1.915988e+00   4.761255e-02
  3.326737e-01    1.921549e+00   4.749553e-02
  3.348841e-01    1.865159e+00   4.661198e-02
  3.370946e-01    1.843894e+00   4.617114e-02
  3.393050e-01    1.822962e+00   4.573443e-02
  3.415155e-01    1.813980e+00   4.545008e-02
  3.437260e-01    1.760147e+00   4.460465e-02
  3.459364e-01    1.765030e+00   4.450125e-02
  3.481469e-01    1.774675e+00   4.445979e-02
  3.503573e-01    1.812215e+00   4.476390e-02
  3.525678e-01    1.865382e+00   4.525395e-02
  3.547782e-01    1.796254e+00   4.424702e-02
  3.569887e-01    1.790382e+00   4.401811e-02
  3.591992e-01    1.818046e+00   4.419993e-02
  3.614096e-01    1.821411e+00   4.408742e-02
  3.636201e-01    1.813233e+00   4.383377e-02
  3.658305e-01    1.807313e+00   4.361286e-02
  3.680410e-01    1.838716e+00   4.383884e-02
  3.702514e-01    1.759477e+00   4.273961e-02
  3.724619e-01    1.768885e+00   4.270777e-02
  3.746724e-01    1.786748e+00   4.277968e-02
  3.768828e-01    1.784584e+00   4.260988e-02
  3.790933e-01    1.839732e+00   4.312228e-02
  3.813037e-01    1.845345e+00   4.304670e-02
  3.835142e-01    1.832527e+00   4.275606e-02
  3.857246e-01    1.848105e+00   4.279844e-02
  3.879351e-01    1.801978e+00   4.212419e-02
  3.901455e-01    1.791374e+00   4.186633e-02
  3.923560e-01    1.796764e+00   4.179603e-02
  3.945665e-01    1.779916e+00   4.146767e-02
  3.967769e-01    1.807107e+00   4.165237e-02
  3.989874e-01    1.761481e+00   4.099479e-02
  4.011978e-01    1.816618e+00   4.150340e-02
  4.034083e-01    1.790239e+00   4.107450e-02
  4.056187e-01    1.762294e+00   4.062711e-02
  4.078292e-01    1.805789e+00   4.100094e-02
  4.100397e-01    1.789162e+00   4.068715e-02
  4.122501e-01    1.816835e+00   4.087792e-02
  4.144606e-01    1.770537e+00   4.023406e-02
  4.166710e-01    1.793249e+00   4.037089e-02
  4.188815e-01    1.875585e+00   4.116533e-02
  4.210919e-01    1.807054e+00   4.028787e-02
  4.233024e-01    1.830507e+00   4.042918e-02
  4.255128e-01    1.834814e+00   4.035974e-02
  4.277233e-01    1.822047e+00   4.010351e-02
  4.299338e-01    1.854114e+00   4.033846e-02
  4.321442e-01    1.837511e+00   4.004255e-02
  4.343547e-01    1.797523e+00   3.949246e-02
  4.365651e-01    1.743618e+00   3.878529e-02
  4.387756e-01    1.687304e+00   3.804698e-02
  4.409860e-01    1.685801e+00   3.792466e-02
  4.431965e-01    1.675116e+00   3.769975e-02
  4.454070e-01    1.747017e+00   3.839322e-02
  4.476174e-01    1.736850e+00   3.817624e-02
  4.498279e-01    1.747754e+00   3.819168e-02
  4.520383e-01    1.740739e+00   3.801038e-02
  4.542488e-01    1.722117e+00   3.770457e-02
  4.564592e-01    1.753452e+00   3.794399e-02
  4.586697e-01    1.716675e+00   3.744430e-02
  4.608801e-01    1.752555e+00   3.773225e-02
  4.630906e-01    1.680879e+00   3.685478e-02
  4.653011e-01    1.716458e+00   3.714482e-02
  4.675115e-01    1.708391e+00   3.695986e-02
  4.697220e-01    1.701710e+00   3.679093e-02
  4.719324e-01    1.726801e+00   3.696529e-02
  4.741429e-01    1.745961e+00   3.707405e-02
  4.763533e-01    1.700427e+00   3.649360e-02
  4.785638e-01    1.736715e+00   3.678568e-02
  4.807743e-01    1.709748e+00   3.640616e-02
  4.829847e-01    1.689461e+00   3.609808e-02
  4.851952e-01    1.706441e+00   3.618724e-02
  4.874056e-01    1.723542e+00   3.627640e-02
  4.896161e-01    1.761631e+00   3.658411e-02
  4.918265e-01    1.754367e+00   3.641795e-02
  4.940370e-01    1.706459e+00   3.582858e-02
