# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166662",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "kKdF1NkkdNtmr+ypvp/2UQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000107.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.647359e+00   6.945142e-01
  3.315685e-03    1.769205e+00   4.375569e-01
  5.526141e-03    1.349073e+00   2.954540e-01
  7.736597e-03    1.254915e+00   2.407285e-01
  9.947054e-03    1.517143e+00   2.333403e-01
  1.215751e-02    1.492991e+00   2.093135e-01
  1.436797e-02    1.529276e+00   1.948583e-01
  1.657842e-02    1.455063e+00   1.769234e-01
  1.878888e-02    1.411401e+00   1.636774e-01
  2.099934e-02    1.459656e+00   1.574807e-01
  2.320979e-02    1.423875e+00   1.479343e-01
  2.542025e-02    1.446228e+00   1.424715e-01
  2.763070e-02    1.513814e+00   1.398063e-01
  2.984116e-02    1.456267e+00   1.319463e-01
  3.205162e-02    1.562975e+00   1.319053e-01
  3.426207e-02    1.395865e+00   1.205582e-01
  3.647253e-02    1.430021e+00   1.182663e-01
  3.868299e-02    1.614614e+00   1.220337e-01
  4.089344e-02    1.610131e+00   1.185254e-01
  4.310390e-02    1.412095e+00   1.081075e-01
  4.531436e-02    1.372716e+00   1.039576e-01
  4.752481e-02    1.421355e+00   1.032928e-01
  4.973527e-02    1.552740e+00   1.055361e-01
  5.194572e-02    1.711901e+00   1.084282e-01
  5.415618e-02    1.633361e+00   1.037241e-01
  5.636664e-02    1.502606e+00   9.751868e-02
  5.857709e-02    1.491546e+00   9.530877e-02
  6.078755e-02    1.396275e+00   9.051963e-02
  6.299801e-02    1.332729e+00   8.686950e-02
  6.520846e-02    1.533692e+00   9.159669e-02
  6.741892e-02    1.510742e+00   8.940156e-02
  6.962938e-02    1.487798e+00   8.730484e-02
  7.183983e-02    1.574233e+00   8.841104e-02
  7.405029e-02    1.547757e+00   8.634410e-02
  7.626074e-02    1.485654e+00   8.335836e-02
  7.847120e-02    1.449178e+00   8.115867e-02
  8.068166e-02    1.392155e+00   7.844804e-02
  8.289211e-02    1.421946e+00   7.821826e-02
  8.510257e-02    1.491530e+00   7.906155e-02
  8.731303e-02    1.429408e+00   7.640871e-02
  8.952348e-02    1.473256e+00   7.661022e-02
  9.173394e-02    1.492578e+00   7.617322e-02
  9.394439e-02    1.493791e+00   7.529986e-02
  9.615485e-02    1.488802e+00   7.430333e-02
  9.836531e-02    1.434019e+00   7.209745e-02
