# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166624",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "SeUeonBJrQxxhErmZt9zqg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000108.dat
#        q_A^-1              I           sigma 
  1.105228e-03    8.644325e-01   5.030979e-01
  3.315685e-03    1.294069e+00   3.742175e-01
  5.526141e-03    1.712413e+00   3.328714e-01
  7.736597e-03    1.281668e+00   2.432809e-01
  9.947054e-03    1.178589e+00   2.056637e-01
  1.215751e-02    1.426895e+00   2.046278e-01
  1.436797e-02    1.529898e+00   1.948979e-01
  1.657842e-02    1.502077e+00   1.797589e-01
  1.878888e-02    1.438930e+00   1.652659e-01
  2.099934e-02    1.517173e+00   1.605534e-01
  2.320979e-02    1.469884e+00   1.503053e-01
  2.542025e-02    1.398215e+00   1.400865e-01
  2.763070e-02    1.423928e+00   1.355921e-01
  2.984116e-02    1.366654e+00   1.278221e-01
  3.205162e-02    1.301590e+00   1.203714e-01
  3.426207e-02    1.494988e+00   1.247653e-01
  3.647253e-02    1.542550e+00   1.228314e-01
  3.868299e-02    1.477298e+00   1.167292e-01
  4.089344e-02    1.243285e+00   1.041516e-01
  4.310390e-02    1.352977e+00   1.058203e-01
  4.531436e-02    1.377683e+00   1.041455e-01
  4.752481e-02    1.285859e+00   9.824618e-02
  4.973527e-02    1.358595e+00   9.871810e-02
  5.194572e-02    1.422724e+00   9.884696e-02
  5.415618e-02    1.320748e+00   9.327148e-02
  5.636664e-02    1.304226e+00   9.085349e-02
  5.857709e-02    1.394160e+00   9.214481e-02
  6.078755e-02    1.426236e+00   9.148567e-02
  6.299801e-02    1.439535e+00   9.028332e-02
  6.520846e-02    1.449528e+00   8.904795e-02
  6.741892e-02    1.469875e+00   8.818405e-02
  6.962938e-02    1.436890e+00   8.579820e-02
  7.183983e-02    1.503812e+00   8.641096e-02
  7.405029e-02    1.500930e+00   8.502791e-02
  7.626074e-02    1.594813e+00   8.636647e-02
  7.847120e-02    1.524287e+00   8.323526e-02
  8.068166e-02    1.465671e+00   8.049271e-02
  8.289211e-02    1.468852e+00   7.949790e-02
  8.510257e-02    1.562341e+00   8.091655e-02
