# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166606",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "mQg+z+pWQVrLFg0WBOVFVg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000109.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.408291e+00   6.421450e-01
  3.315685e-03    8.453589e-01   3.024586e-01
  5.526141e-03    1.693738e+00   3.310512e-01
  7.736597e-03    1.765636e+00   2.855425e-01
  9.947054e-03    1.621451e+00   2.412284e-01
  1.215751e-02    1.509714e+00   2.104825e-01
  1.436797e-02    1.468702e+00   1.909601e-01
  1.657842e-02    1.315763e+00   1.682416e-01
  1.878888e-02    1.389863e+00   1.624238e-01
  2.099934e-02    1.435680e+00   1.561820e-01
  2.320979e-02    1.493934e+00   1.515300e-01
  2.542025e-02    1.466348e+00   1.434591e-01
  2.763070e-02    1.307339e+00   1.299225e-01
  2.984116e-02    1.383167e+00   1.285920e-01
  3.205162e-02    1.368586e+00   1.234304e-01
  3.426207e-02    1.514416e+00   1.255734e-01
  3.647253e-02    1.386259e+00   1.164426e-01
  3.868299e-02    1.520879e+00   1.184385e-01
  4.089344e-02    1.394560e+00   1.103060e-01
  4.310390e-02    1.436514e+00   1.090382e-01
  4.531436e-02    1.440066e+00   1.064773e-01
  4.752481e-02    1.315039e+00   9.935468e-02
  4.973527e-02    1.327980e+00   9.759949e-02
  5.194572e-02    1.502746e+00   1.015888e-01
  5.415618e-02    1.486135e+00   9.893910e-02
  5.636664e-02    1.417030e+00   9.470104e-02
  5.857709e-02    1.300324e+00   8.898982e-02
  6.078755e-02    1.374404e+00   8.980790e-02
  6.299801e-02    1.405261e+00   8.920209e-02
  6.520846e-02    1.348426e+00   8.588636e-02
  6.741892e-02    1.389702e+00   8.574537e-02
  6.962938e-02    1.366115e+00   8.365849e-02
  7.183983e-02    1.394261e+00   8.320399e-02
  7.405029e-02    1.448991e+00   8.354378e-02
  7.626074e-02    1.494282e+00   8.360008e-02
  7.847120e-02    1.451926e+00   8.123557e-02
  8.068166e-02    1.415507e+00   7.910325e-02
  8.289211e-02    1.403079e+00   7.769763e-02
  8.510257e-02    1.497153e+00   7.921045e-02
  8.731303e-02    1.437134e+00   7.661493e-02
  8.952348e-02    1.518922e+00   7.778849e-02
  9.173394e-02    1.515935e+00   7.676694e-02
  9.394439e-02    1.515162e+00   7.583660e-02
  9.615485e-02    1.453614e+00   7.341999e-02
  9.836531e-02    1.456349e+00   7.265661e-02
  1.005758e-01    1.540568e+00   7.390261e-02
  1.027862e-01    1.547650e+00   7.326966e-02
  1.049967e-01    1.585481e+00   7.337372e-02
  1.072071e-01    1.481427e+00   7.018931e-02
  1.094176e-01    1.486303e+00   6.958987e-02
  1.116280e-01    1.492777e+00   6.904579e-02
  1.138385e-01    1.550606e+00   6.968253e-02
  1.160490e-01    1.519135e+00   6.831092e-02
  1.182594e-01    1.553888e+00   6.843767e-02
  1.204699e-01    1.605905e+00   6.893194e-02
  1.226803e-01    1.581137e+00   6.777650e-02
  1.248908e-01    1.529403e+00   6.606516e-02
  1.271012e-01    1.446955e+00   6.369726e-02
  1.293117e-01    1.521300e+00   6.475170e-02
  1.315222e-01    1.612128e+00   6.609261e-02
  1.337326e-01    1.649342e+00   6.629503e-02
  1.359431e-01    1.622685e+00   6.579564e-02
  1.381535e-01    1.504354e+00   6.420155e-02
  1.403640e-01    1.520319e+00   6.482001e-02
  1.425744e-01    1.605082e+00   6.670885e-02
  1.447849e-01    1.620409e+00   6.704206e-02
  1.469953e-01    1.543878e+00   6.539873e-02
  1.492058e-01    1.589700e+00   6.628503e-02
  1.514163e-01    1.579732e+00   6.596716e-02
  1.536267e-01    1.588404e+00   6.601884e-02
  1.558372e-01    1.576277e+00   6.562113e-02
  1.580476e-01    1.610469e+00   6.616811e-02
  1.602581e-01    1.656914e+00   6.694496e-02
  1.624685e-01    1.667992e+00   6.698448e-02
  1.646790e-01    1.714439e+00   6.771570e-02
  1.668895e-01    1.702472e+00   6.728411e-02
  1.690999e-01    1.637103e+00   6.578159e-02
  1.713104e-01    1.702249e+00   6.686946e-02
  1.735208e-01    1.805587e+00   6.865513e-02
  1.757313e-01    1.864447e+00   6.954654e-02
  1.779417e-01    1.870238e+00   6.942731e-02
  1.801522e-01    1.906522e+00   6.987429e-02
  1.823626e-01    1.889298e+00   6.932637e-02
  1.845731e-01    1.823694e+00   6.789147e-02
  1.867836e-01    2.000135e+00   7.085989e-02
  1.889940e-01    2.096016e+00   7.230144e-02
  1.912045e-01    1.998127e+00   7.035718e-02
  1.934149e-01    1.985869e+00   6.990629e-02
  1.956254e-01    1.963526e+00   6.928266e-02
  1.978358e-01    1.871275e+00   6.740379e-02
  2.000463e-01    1.856723e+00   6.691866e-02
  2.022568e-01    1.936630e+00   6.811915e-02
  2.044672e-01    1.990820e+00   6.882902e-02
  2.066777e-01    1.935110e+00   6.763393e-02
  2.088881e-01    1.891719e+00   6.665256e-02
  2.110986e-01    2.019493e+00   6.863060e-02
  2.133090e-01    1.993273e+00   6.796198e-02
  2.155195e-01    1.975455e+00   6.743310e-02
  2.177300e-01    2.011433e+00   6.750982e-02
  2.199404e-01    2.014692e+00   6.578421e-02
  2.221509e-01    1.933360e+00   6.338452e-02
  2.243613e-01    1.856893e+00   6.133088e-02
  2.265718e-01    1.991585e+00   6.281620e-02
  2.287822e-01    2.118369e+00   6.414357e-02
  2.309927e-01    2.030810e+00   6.223185e-02
  2.332031e-01    2.071740e+00   6.231785e-02
  2.354136e-01    2.116101e+00   6.247105e-02
  2.376241e-01    2.099709e+00   6.174561e-02
  2.398345e-01    2.106116e+00   6.138210e-02
  2.420450e-01    2.043566e+00   6.003159e-02
  2.442554e-01    2.119363e+00   6.071358e-02
  2.464659e-01    2.180393e+00   6.116810e-02
  2.486763e-01    2.242288e+00   6.162247e-02
  2.508868e-01    2.182654e+00   6.041402e-02
  2.530973e-01    2.099684e+00   5.888723e-02
  2.553077e-01    2.064377e+00   5.803584e-02
  2.575182e-01    2.110109e+00   5.832802e-02
  2.597286e-01    2.076596e+00   5.752661e-02
  2.619391e-01    2.125846e+00   5.786968e-02
  2.641495e-01    2.009976e+00   5.595907e-02
  2.663600e-01    2.008418e+00   5.562974e-02
  2.685704e-01    2.027695e+00   5.559308e-02
  2.707809e-01    2.031687e+00   5.535239e-02
  2.729914e-01    2.062272e+00   5.547686e-02
  2.752018e-01    2.091967e+00   5.558404e-02
  2.774123e-01    1.980682e+00   5.380910e-02
  2.796227e-01    2.033231e+00   5.424856e-02
  2.818332e-01    1.999362e+00   5.352649e-02
  2.840436e-01    1.932478e+00   5.236848e-02
  2.862541e-01    1.974600e+00   5.268166e-02
  2.884646e-01    1.987460e+00   5.260211e-02
  2.906750e-01    2.004313e+00   5.257418e-02
  2.928855e-01    1.999064e+00   5.226203e-02
  2.950959e-01    1.925694e+00   5.105836e-02
  2.973064e-01    1.918645e+00   5.073578e-02
  2.995168e-01    1.852063e+00   4.962191e-02
  3.017273e-01    1.884953e+00   4.983986e-02
  3.039377e-01    1.886595e+00   4.964324e-02
  3.061482e-01    1.931162e+00   5.000890e-02
  3.083587e-01    1.910449e+00   4.952470e-02
  3.105691e-01    1.881923e+00   4.894361e-02
  3.127796e-01    1.931957e+00   4.938148e-02
  3.149900e-01    1.958244e+00   4.950916e-02
  3.172005e-01    1.943751e+00   4.912390e-02
  3.194109e-01    1.908684e+00   4.847784e-02
  3.216214e-01    1.848471e+00   4.751237e-02
  3.238319e-01    1.870517e+00   4.760549e-02
  3.260423e-01    1.844305e+00   4.708249e-02
  3.282528e-01    1.871174e+00   4.723539e-02
  3.304632e-01    1.884968e+00   4.722554e-02
  3.326737e-01    1.869256e+00   4.684479e-02
  3.348841e-01    1.869296e+00   4.666366e-02
  3.370946e-01    1.820859e+00   4.588184e-02
  3.393050e-01    1.752746e+00   4.484500e-02
  3.415155e-01    1.746746e+00   4.459983e-02
  3.437260e-01    1.812532e+00   4.526354e-02
  3.459364e-01    1.814153e+00   4.511626e-02
  3.481469e-01    1.829472e+00   4.514097e-02
  3.503573e-01    1.828872e+00   4.496916e-02
  3.525678e-01    1.831976e+00   4.484690e-02
  3.547782e-01    1.864259e+00   4.507682e-02
  3.569887e-01    1.835528e+00   4.456964e-02
  3.591992e-01    1.836321e+00   4.442153e-02
  3.614096e-01    1.798055e+00   4.380384e-02
  3.636201e-01    1.858304e+00   4.437517e-02
  3.658305e-01    1.810249e+00   4.364830e-02
  3.680410e-01    1.759048e+00   4.287858e-02
  3.702514e-01    1.794910e+00   4.316780e-02
  3.724619e-01    1.823534e+00   4.336249e-02
  3.746724e-01    1.750572e+00   4.234438e-02
  3.768828e-01    1.802727e+00   4.282593e-02
  3.790933e-01    1.843729e+00   4.316910e-02
  3.813037e-01    1.828376e+00   4.284833e-02
  3.835142e-01    1.787354e+00   4.222581e-02
  3.857246e-01    1.742195e+00   4.155402e-02
  3.879351e-01    1.761502e+00   4.164838e-02
  3.901455e-01    1.828033e+00   4.229254e-02
  3.923560e-01    1.787448e+00   4.168753e-02
  3.945665e-01    1.813817e+00   4.186070e-02
  3.967769e-01    1.804524e+00   4.162260e-02
  3.989874e-01    1.779152e+00   4.119989e-02
  4.011978e-01    1.776483e+00   4.104237e-02
  4.034083e-01    1.787132e+00   4.103883e-02
  4.056187e-01    1.771774e+00   4.073624e-02
  4.078292e-01    1.778201e+00   4.068655e-02
  4.100397e-01    1.760497e+00   4.035989e-02
  4.122501e-01    1.837307e+00   4.110757e-02
  4.144606e-01    1.844765e+00   4.106880e-02
  4.166710e-01    1.825750e+00   4.073509e-02
  4.188815e-01    1.781747e+00   4.012236e-02
  4.210919e-01    1.795851e+00   4.016278e-02
  4.233024e-01    1.754952e+00   3.958604e-02
  4.255128e-01    1.736694e+00   3.926574e-02
  4.277233e-01    1.769868e+00   3.952510e-02
  4.299338e-01    1.780219e+00   3.952646e-02
  4.321442e-01    1.757173e+00   3.915741e-02
  4.343547e-01    1.763858e+00   3.912088e-02
  4.365651e-01    1.793950e+00   3.934109e-02
  4.387756e-01    1.757346e+00   3.882864e-02
  4.409860e-01    1.763736e+00   3.879137e-02
  4.431965e-01    1.794040e+00   3.901505e-02
  4.454070e-01    1.752447e+00   3.845285e-02
  4.476174e-01    1.734541e+00   3.815086e-02
  4.498279e-01    1.740346e+00   3.811067e-02
  4.520383e-01    1.678895e+00   3.732906e-02
  4.542488e-01    1.717370e+00   3.765256e-02
  4.564592e-01    1.712995e+00   3.750369e-02
  4.586697e-01    1.712740e+00   3.740135e-02
  4.608801e-01    1.726492e+00   3.745064e-02
  4.630906e-01    1.675890e+00   3.680002e-02
