# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "mJys9JthtxkXz87HBR7mGg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000110.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.630828e+00   6.910208e-01
  3.315685e-03    8.238217e-01   2.985809e-01
  5.526141e-03    9.526168e-01   2.482740e-01
  7.736597e-03    1.646317e+00   2.757255e-01
  9.947054e-03    1.804755e+00   2.544988e-01
  1.215751e-02    1.394487e+00   2.022906e-01
  1.436797e-02    1.303490e+00   1.798994e-01
  1.657842e-02    1.265421e+00   1.649916e-01
  1.878888e-02    1.371997e+00   1.613764e-01
  2.099934e-02    1.291070e+00   1.481075e-01
  2.320979e-02    1.157618e+00   1.333876e-01
  2.542025e-02    1.322397e+00   1.362355e-01
  2.763070e-02    1.403517e+00   1.346168e-01
  2.984116e-02    1.252499e+00   1.223673e-01
  3.205162e-02    1.189096e+00   1.150521e-01
  3.426207e-02    1.208080e+00   1.121561e-01
  3.647253e-02    1.367874e+00   1.156679e-01
  3.868299e-02    1.390045e+00   1.132296e-01
  4.089344e-02    1.518655e+00   1.151092e-01
  4.310390e-02    1.343261e+00   1.054397e-01
  4.531436e-02    1.372209e+00   1.039384e-01
  4.752481e-02    1.486190e+00   1.056224e-01
  4.973527e-02    1.465160e+00   1.025167e-01
  5.194572e-02    1.468815e+00   1.004353e-01
  5.415618e-02    1.355087e+00   9.447619e-02
  5.636664e-02    1.360813e+00   9.280352e-02
  5.857709e-02    1.405394e+00   9.251531e-02
  6.078755e-02    1.399008e+00   9.060821e-02
  6.299801e-02    1.475284e+00   9.139746e-02
  6.520846e-02    1.591026e+00   9.329308e-02
  6.741892e-02    1.350127e+00   8.451566e-02
  6.962938e-02    1.296007e+00   8.148354e-02
  7.183983e-02    1.414412e+00   8.380309e-02
  7.405029e-02    1.410844e+00   8.243672e-02
  7.626074e-02    1.426154e+00   8.167207e-02
  7.847120e-02    1.465336e+00   8.160985e-02
  8.068166e-02    1.479020e+00   8.085843e-02
  8.289211e-02    1.537802e+00   8.134238e-02
  8.510257e-02    1.471339e+00   7.852461e-02
  8.731303e-02    1.413658e+00   7.598658e-02
  8.952348e-02    1.454135e+00   7.611143e-02
  9.173394e-02    1.498969e+00   7.633613e-02
  9.394439e-02    1.548491e+00   7.666614e-02
  9.615485e-02    1.420803e+00   7.258666e-02
  9.836531e-02    1.410716e+00   7.150925e-02
  1.005758e-01    1.500619e+00   7.293811e-02
  1.027862e-01    1.487845e+00   7.184006e-02
  1.049967e-01    1.443583e+00   7.001336e-02
  1.072071e-01    1.440327e+00   6.920879e-02
  1.094176e-01    1.498976e+00   6.988591e-02
  1.116280e-01    1.512383e+00   6.949774e-02
  1.138385e-01    1.485849e+00   6.821198e-02
  1.160490e-01    1.565346e+00   6.934214e-02
  1.182594e-01    1.609216e+00   6.964540e-02
  1.204699e-01    1.566296e+00   6.807656e-02
  1.226803e-01    1.527328e+00   6.661324e-02
  1.248908e-01    1.581597e+00   6.718300e-02
  1.271012e-01    1.604556e+00   6.707656e-02
  1.293117e-01    1.628528e+00   6.699487e-02
  1.315222e-01    1.493436e+00   6.361312e-02
  1.337326e-01    1.563069e+00   6.453786e-02
  1.359431e-01    1.556121e+00   6.443199e-02
  1.381535e-01    1.555683e+00   6.528765e-02
  1.403640e-01    1.571158e+00   6.589489e-02
  1.425744e-01    1.581475e+00   6.621648e-02
  1.447849e-01    1.560253e+00   6.578584e-02
  1.469953e-01    1.648486e+00   6.757802e-02
  1.492058e-01    1.661377e+00   6.776291e-02
  1.514163e-01    1.648160e+00   6.738073e-02
  1.536267e-01    1.638684e+00   6.705559e-02
  1.558372e-01    1.611889e+00   6.635828e-02
  1.580476e-01    1.626227e+00   6.649102e-02
  1.602581e-01    1.609534e+00   6.598089e-02
  1.624685e-01    1.608489e+00   6.577883e-02
  1.646790e-01    1.699678e+00   6.742357e-02
  1.668895e-01    1.731314e+00   6.785163e-02
  1.690999e-01    1.699373e+00   6.702096e-02
  1.713104e-01    1.681033e+00   6.645147e-02
  1.735208e-01    1.724902e+00   6.710362e-02
  1.757313e-01    1.771311e+00   6.778724e-02
  1.779417e-01    1.909383e+00   7.015009e-02
  1.801522e-01    1.889325e+00   6.955845e-02
  1.823626e-01    1.905858e+00   6.962955e-02
  1.845731e-01    1.841027e+00   6.821334e-02
  1.867836e-01    1.891943e+00   6.891678e-02
  1.889940e-01    1.986982e+00   7.039576e-02
  1.912045e-01    1.990038e+00   7.021464e-02
  1.934149e-01    1.905930e+00   6.848484e-02
  1.956254e-01    1.878995e+00   6.777491e-02
  1.978358e-01    1.968101e+00   6.912560e-02
  2.000463e-01    2.007221e+00   6.957790e-02
  2.022568e-01    2.014463e+00   6.947452e-02
  2.044672e-01    2.076310e+00   7.029133e-02
  2.066777e-01    2.077145e+00   7.007208e-02
  2.088881e-01    2.028798e+00   6.902526e-02
  2.110986e-01    2.001983e+00   6.833241e-02
  2.133090e-01    2.068599e+00   6.923420e-02
  2.155195e-01    1.904221e+00   6.620616e-02
  2.177300e-01    1.918303e+00   6.592844e-02
  2.199404e-01    2.056276e+00   6.645963e-02
  2.221509e-01    1.992591e+00   6.434811e-02
