# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "4g+wnuk4xMzhAOh7G3KBRw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000111.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.078117e+00   5.618494e-01
  3.315685e-03    1.188716e+00   3.586612e-01
  5.526141e-03    1.410338e+00   3.020881e-01
  7.736597e-03    1.186561e+00   2.340804e-01
  9.947054e-03    1.311788e+00   2.169743e-01
  1.215751e-02    1.288822e+00   1.944756e-01
  1.436797e-02    1.232491e+00   1.749314e-01
  1.657842e-02    1.096226e+00   1.535658e-01
  1.878888e-02    1.182102e+00   1.497928e-01
  2.099934e-02    1.336239e+00   1.506760e-01
  2.320979e-02    1.373974e+00   1.453189e-01
  2.542025e-02    1.373384e+00   1.388371e-01
  2.763070e-02    1.463019e+00   1.374407e-01
  2.984116e-02    1.530616e+00   1.352725e-01
  3.205162e-02    1.489263e+00   1.287573e-01
  3.426207e-02    1.373650e+00   1.195950e-01
  3.647253e-02    1.479013e+00   1.202751e-01
  3.868299e-02    1.513993e+00   1.181701e-01
  4.089344e-02    1.408832e+00   1.108690e-01
  4.310390e-02    1.571917e+00   1.140614e-01
  4.531436e-02    1.576828e+00   1.114187e-01
  4.752481e-02    1.462828e+00   1.047890e-01
  4.973527e-02    1.429399e+00   1.012578e-01
  5.194572e-02    1.350373e+00   9.630078e-02
  5.415618e-02    1.280015e+00   9.182189e-02
  5.636664e-02    1.391577e+00   9.384665e-02
  5.857709e-02    1.509218e+00   9.587172e-02
  6.078755e-02    1.445760e+00   9.210971e-02
  6.299801e-02    1.401313e+00   8.907669e-02
  6.520846e-02    1.353187e+00   8.603785e-02
  6.741892e-02    1.378864e+00   8.541036e-02
  6.962938e-02    1.371423e+00   8.382088e-02
  7.183983e-02    1.377118e+00   8.269088e-02
  7.405029e-02    1.367905e+00   8.117255e-02
  7.626074e-02    1.397559e+00   8.084915e-02
  7.847120e-02    1.397509e+00   7.969871e-02
  8.068166e-02    1.484895e+00   8.101885e-02
  8.289211e-02    1.489619e+00   8.005792e-02
  8.510257e-02    1.438816e+00   7.765189e-02
  8.731303e-02    1.428544e+00   7.638559e-02
  8.952348e-02    1.581579e+00   7.937669e-02
  9.173394e-02    1.568817e+00   7.809442e-02
  9.394439e-02    1.581411e+00   7.747680e-02
  9.615485e-02    1.466660e+00   7.374875e-02
  9.836531e-02    1.522495e+00   7.428826e-02
  1.005758e-01    1.536595e+00   7.380728e-02
  1.027862e-01    1.600095e+00   7.450075e-02
  1.049967e-01    1.583290e+00   7.332299e-02
  1.072071e-01    1.547237e+00   7.173138e-02
  1.094176e-01    1.615544e+00   7.255241e-02
  1.116280e-01    1.512842e+00   6.950828e-02
  1.138385e-01    1.478939e+00   6.805319e-02
