# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166616",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "/GCGY4JYlJGMow7//x/ETg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000113.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.572846e+00   6.786252e-01
  3.315685e-03    1.302231e+00   3.753959e-01
  5.526141e-03    1.251162e+00   2.845305e-01
  7.736597e-03    1.080842e+00   2.234093e-01
  9.947054e-03    1.372255e+00   2.219187e-01
  1.215751e-02    1.421990e+00   2.042758e-01
  1.436797e-02    1.260152e+00   1.768835e-01
  1.657842e-02    1.471332e+00   1.779097e-01
  1.878888e-02    1.226129e+00   1.525568e-01
  2.099934e-02    1.249460e+00   1.457012e-01
  2.320979e-02    1.250573e+00   1.386396e-01
  2.542025e-02    1.449851e+00   1.426498e-01
  2.763070e-02    1.374709e+00   1.332281e-01
  2.984116e-02    1.340665e+00   1.266008e-01
  3.205162e-02    1.360173e+00   1.230505e-01
  3.426207e-02    1.345361e+00   1.183571e-01
  3.647253e-02    1.558281e+00   1.234561e-01
  3.868299e-02    1.456125e+00   1.158897e-01
  4.089344e-02    1.417591e+00   1.112132e-01
  4.310390e-02    1.431010e+00   1.088292e-01
  4.531436e-02    1.334555e+00   1.025024e-01
  4.752481e-02    1.426541e+00   1.034811e-01
  4.973527e-02    1.461359e+00   1.023836e-01
  5.194572e-02    1.422725e+00   9.884700e-02
  5.415618e-02    1.336213e+00   9.381595e-02
  5.636664e-02    1.407989e+00   9.439844e-02
  5.857709e-02    1.432760e+00   9.341171e-02
  6.078755e-02    1.315922e+00   8.787641e-02
  6.299801e-02    1.410363e+00   8.936386e-02
  6.520846e-02    1.484685e+00   9.012139e-02
  6.741892e-02    1.462381e+00   8.795897e-02
  6.962938e-02    1.433811e+00   8.570620e-02
  7.183983e-02    1.470009e+00   8.543426e-02
  7.405029e-02    1.336948e+00   8.024880e-02
  7.626074e-02    1.387380e+00   8.055417e-02
  7.847120e-02    1.472768e+00   8.181655e-02
  8.068166e-02    1.398555e+00   7.862816e-02
  8.289211e-02    1.388596e+00   7.729559e-02
  8.510257e-02    1.344992e+00   7.507740e-02
