# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166598",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "9C8KPp3wll2bKoSdDNDxpg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000114.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.107680e+00   5.695006e-01
  3.315685e-03    1.240567e+00   3.664000e-01
  5.526141e-03    1.482727e+00   3.097439e-01
  7.736597e-03    1.172267e+00   2.326662e-01
  9.947054e-03    1.273649e+00   2.137969e-01
  1.215751e-02    1.270694e+00   1.931030e-01
  1.436797e-02    1.451569e+00   1.898430e-01
  1.657842e-02    1.414342e+00   1.744302e-01
  1.878888e-02    1.357823e+00   1.605407e-01
  2.099934e-02    1.277475e+00   1.473256e-01
  2.320979e-02    1.373097e+00   1.452725e-01
  2.542025e-02    1.255556e+00   1.327479e-01
  2.763070e-02    1.307717e+00   1.299413e-01
  2.984116e-02    1.482786e+00   1.331422e-01
  3.205162e-02    1.507292e+00   1.295343e-01
  3.426207e-02    1.436400e+00   1.222961e-01
  3.647253e-02    1.294111e+00   1.125060e-01
  3.868299e-02    1.442076e+00   1.153293e-01
  4.089344e-02    1.532639e+00   1.156380e-01
  4.310390e-02    1.597308e+00   1.149789e-01
  4.531436e-02    1.324604e+00   1.021195e-01
  4.752481e-02    1.439538e+00   1.039514e-01
  4.973527e-02    1.464924e+00   1.025084e-01
  5.194572e-02    1.379471e+00   9.733278e-02
  5.415618e-02    1.405838e+00   9.622911e-02
  5.636664e-02    1.372576e+00   9.320377e-02
  5.857709e-02    1.361310e+00   9.105276e-02
  6.078755e-02    1.456035e+00   9.243644e-02
  6.299801e-02    1.403015e+00   8.913075e-02
  6.520846e-02    1.366562e+00   8.646204e-02
  6.741892e-02    1.433268e+00   8.707903e-02
  6.962938e-02    1.444608e+00   8.602831e-02
  7.183983e-02    1.500983e+00   8.632963e-02
  7.405029e-02    1.384269e+00   8.165664e-02
  7.626074e-02    1.398992e+00   8.089057e-02
  7.847120e-02    1.411205e+00   8.008831e-02
  8.068166e-02    1.438683e+00   7.974818e-02
  8.289211e-02    1.461540e+00   7.929978e-02
  8.510257e-02    1.513913e+00   7.965259e-02
  8.731303e-02    1.493411e+00   7.810061e-02
  8.952348e-02    1.433009e+00   7.555652e-02
  9.173394e-02    1.491525e+00   7.614636e-02
  9.394439e-02    1.434401e+00   7.378782e-02
  9.615485e-02    1.513816e+00   7.492492e-02
  9.836531e-02    1.521520e+00   7.426450e-02
  1.005758e-01    1.490410e+00   7.268960e-02
  1.027862e-01    1.548033e+00   7.327873e-02
  1.049967e-01    1.532834e+00   7.214522e-02
  1.072071e-01    1.489372e+00   7.037727e-02
  1.094176e-01    1.500805e+00   6.992856e-02
  1.116280e-01    1.509943e+00   6.944163e-02
  1.138385e-01    1.571837e+00   7.015797e-02
  1.160490e-01    1.559504e+00   6.921263e-02
  1.182594e-01    1.556591e+00   6.849715e-02
  1.204699e-01    1.635424e+00   6.956261e-02
  1.226803e-01    1.612084e+00   6.843659e-02
  1.248908e-01    1.493389e+00   6.528269e-02
  1.271012e-01    1.559612e+00   6.613047e-02
  1.293117e-01    1.576334e+00   6.591250e-02
  1.315222e-01    1.616440e+00   6.618096e-02
  1.337326e-01    1.556375e+00   6.439953e-02
  1.359431e-01    1.570815e+00   6.473549e-02
  1.381535e-01    1.543128e+00   6.502368e-02
  1.403640e-01    1.593428e+00   6.636024e-02
  1.425744e-01    1.537467e+00   6.528866e-02
  1.447849e-01    1.590842e+00   6.642758e-02
  1.469953e-01    1.589065e+00   6.634889e-02
  1.492058e-01    1.632602e+00   6.717351e-02
  1.514163e-01    1.590071e+00   6.618268e-02
  1.536267e-01    1.594659e+00   6.614871e-02
  1.558372e-01    1.529989e+00   6.465046e-02
  1.580476e-01    1.570685e+00   6.534569e-02
  1.602581e-01    1.575397e+00   6.527743e-02
  1.624685e-01    1.587489e+00   6.534804e-02
  1.646790e-01    1.623480e+00   6.589492e-02
  1.668895e-01    1.638024e+00   6.599827e-02
  1.690999e-01    1.691652e+00   6.686851e-02
  1.713104e-01    1.860723e+00   6.991289e-02
  1.735208e-01    1.872878e+00   6.992276e-02
  1.757313e-01    1.841687e+00   6.912076e-02
  1.779417e-01    1.841027e+00   6.888299e-02
  1.801522e-01    1.821949e+00   6.830690e-02
  1.823626e-01    1.843078e+00   6.847312e-02
  1.845731e-01    1.852317e+00   6.842218e-02
  1.867836e-01    1.931808e+00   6.963907e-02
  1.889940e-01    1.923298e+00   6.925847e-02
  1.912045e-01    1.917370e+00   6.892073e-02
  1.934149e-01    1.900909e+00   6.839456e-02
  1.956254e-01    1.958044e+00   6.918586e-02
  1.978358e-01    1.980302e+00   6.933954e-02
  2.000463e-01    2.024187e+00   6.987134e-02
  2.022568e-01    2.033988e+00   6.981039e-02
  2.044672e-01    2.044141e+00   6.974466e-02
  2.066777e-01    1.959249e+00   6.805446e-02
  2.088881e-01    1.905835e+00   6.690078e-02
  2.110986e-01    1.921269e+00   6.694077e-02
  2.133090e-01    1.977122e+00   6.768605e-02
  2.155195e-01    1.994339e+00   6.775464e-02
  2.177300e-01    1.887473e+00   6.539653e-02
  2.199404e-01    1.926320e+00   6.432522e-02
  2.221509e-01    1.994916e+00   6.438563e-02
  2.243613e-01    2.007166e+00   6.376428e-02
  2.265718e-01    2.015545e+00   6.319295e-02
  2.287822e-01    2.109826e+00   6.401410e-02
  2.309927e-01    2.083686e+00   6.303679e-02
  2.332031e-01    2.077229e+00   6.240035e-02
  2.354136e-01    2.122365e+00   6.256344e-02
  2.376241e-01    2.139954e+00   6.233454e-02
  2.398345e-01    2.129782e+00   6.172599e-02
  2.420450e-01    2.156805e+00   6.167242e-02
  2.442554e-01    2.148906e+00   6.113529e-02
  2.464659e-01    2.144454e+00   6.066191e-02
  2.486763e-01    2.051790e+00   5.894676e-02
  2.508868e-01    2.114738e+00   5.946663e-02
  2.530973e-01    2.203220e+00   6.032164e-02
  2.553077e-01    2.050335e+00   5.783816e-02
  2.575182e-01    1.998914e+00   5.677037e-02
  2.597286e-01    2.120724e+00   5.813462e-02
  2.619391e-01    2.083495e+00   5.729037e-02
  2.641495e-01    2.072895e+00   5.682814e-02
  2.663600e-01    2.078465e+00   5.659153e-02
  2.685704e-01    2.016759e+00   5.544297e-02
  2.707809e-01    2.010704e+00   5.506583e-02
  2.729914e-01    2.040386e+00   5.518169e-02
  2.752018e-01    2.060729e+00   5.516748e-02
  2.774123e-01    2.017351e+00   5.430491e-02
  2.796227e-01    2.058816e+00   5.458881e-02
  2.818332e-01    2.094177e+00   5.478096e-02
  2.840436e-01    1.936020e+00   5.241648e-02
  2.862541e-01    1.916819e+00   5.190514e-02
  2.884646e-01    1.945115e+00   5.203872e-02
  2.906750e-01    1.917331e+00   5.142075e-02
  2.928855e-01    1.928717e+00   5.133424e-02
  2.950959e-01    1.887532e+00   5.054992e-02
  2.973064e-01    1.903725e+00   5.053812e-02
  2.995168e-01    1.836759e+00   4.941647e-02
  3.017273e-01    1.868541e+00   4.962241e-02
  3.039377e-01    1.835283e+00   4.896349e-02
  3.061482e-01    1.871441e+00   4.922957e-02
  3.083587e-01    1.854291e+00   4.879137e-02
  3.105691e-01    1.905930e+00   4.925478e-02
  3.127796e-01    1.932643e+00   4.939026e-02
  3.149900e-01    1.846455e+00   4.807525e-02
  3.172005e-01    1.843091e+00   4.783503e-02
  3.194109e-01    1.848143e+00   4.770279e-02
  3.216214e-01    1.924573e+00   4.848054e-02
  3.238319e-01    1.880469e+00   4.773199e-02
  3.260423e-01    1.868863e+00   4.739491e-02
  3.282528e-01    1.898195e+00   4.757525e-02
  3.304632e-01    1.807121e+00   4.624009e-02
  3.326737e-01    1.787875e+00   4.581373e-02
  3.348841e-01    1.812474e+00   4.594895e-02
  3.370946e-01    1.851018e+00   4.626025e-02
  3.393050e-01    1.873100e+00   4.635908e-02
  3.415155e-01    1.897370e+00   4.648303e-02
  3.437260e-01    1.866212e+00   4.592892e-02
  3.459364e-01    1.868574e+00   4.578796e-02
  3.481469e-01    1.782497e+00   4.455768e-02
  3.503573e-01    1.826542e+00   4.494050e-02
  3.525678e-01    1.847435e+00   4.503572e-02
  3.547782e-01    1.854709e+00   4.496121e-02
  3.569887e-01    1.835480e+00   4.456906e-02
  3.591992e-01    1.856051e+00   4.465951e-02
  3.614096e-01    1.852027e+00   4.445641e-02
  3.636201e-01    1.833950e+00   4.408346e-02
  3.658305e-01    1.706132e+00   4.237448e-02
  3.680410e-01    1.783046e+00   4.317006e-02
  3.702514e-01    1.838032e+00   4.368327e-02
  3.724619e-01    1.763406e+00   4.264160e-02
  3.746724e-01    1.746012e+00   4.228920e-02
  3.768828e-01    1.740812e+00   4.208408e-02
  3.790933e-01    1.697122e+00   4.141722e-02
  3.813037e-01    1.712903e+00   4.147319e-02
  3.835142e-01    1.747163e+00   4.174834e-02
  3.857246e-01    1.718129e+00   4.126600e-02
  3.879351e-01    1.735283e+00   4.133729e-02
  3.901455e-01    1.715482e+00   4.096990e-02
  3.923560e-01    1.784881e+00   4.165757e-02
  3.945665e-01    1.804759e+00   4.175606e-02
  3.967769e-01    1.811790e+00   4.170630e-02
  3.989874e-01    1.771148e+00   4.110713e-02
  4.011978e-01    1.772189e+00   4.099274e-02
  4.034083e-01    1.745182e+00   4.055431e-02
  4.056187e-01    1.767013e+00   4.068145e-02
  4.078292e-01    1.806751e+00   4.101188e-02
  4.100397e-01    1.798782e+00   4.079636e-02
  4.122501e-01    1.815567e+00   4.086367e-02
  4.144606e-01    1.813438e+00   4.071859e-02
  4.166710e-01    1.746630e+00   3.984268e-02
  4.188815e-01    1.789466e+00   4.020916e-02
  4.210919e-01    1.843346e+00   4.069041e-02
  4.233024e-01    1.783725e+00   3.990924e-02
  4.255128e-01    1.801438e+00   3.999096e-02
  4.277233e-01    1.809952e+00   3.997019e-02
  4.299338e-01    1.759637e+00   3.929729e-02
  4.321442e-01    1.799223e+00   3.962317e-02
  4.343547e-01    1.724993e+00   3.868748e-02
  4.365651e-01    1.749540e+00   3.885107e-02
  4.387756e-01    1.771421e+00   3.898381e-02
  4.409860e-01    1.734896e+00   3.847293e-02
  4.431965e-01    1.708214e+00   3.807039e-02
  4.454070e-01    1.702907e+00   3.790544e-02
  4.476174e-01    1.715274e+00   3.793838e-02
  4.498279e-01    1.736314e+00   3.806648e-02
  4.520383e-01    1.738272e+00   3.798343e-02
  4.542488e-01    1.719780e+00   3.767898e-02
  4.564592e-01    1.694583e+00   3.730160e-02
  4.586697e-01    1.693555e+00   3.719131e-02
  4.608801e-01    1.661268e+00   3.673642e-02
  4.630906e-01    1.683694e+00   3.688560e-02
  4.653011e-01    1.742458e+00   3.742509e-02
  4.675115e-01    1.724621e+00   3.713500e-02
  4.697220e-01    1.706043e+00   3.683774e-02
  4.719324e-01    1.734238e+00   3.704482e-02
  4.741429e-01    1.674108e+00   3.630318e-02
  4.763533e-01    1.698225e+00   3.646998e-02
  4.785638e-01    1.689561e+00   3.628286e-02
  4.807743e-01    1.683122e+00   3.612155e-02
  4.829847e-01    1.789422e+00   3.715064e-02
  4.851952e-01    1.793966e+00   3.710368e-02
  4.874056e-01    1.784093e+00   3.690814e-02
  4.896161e-01    1.757217e+00   3.653825e-02
  4.918265e-01    1.782643e+00   3.671024e-02
  4.940370e-01    1.775110e+00   3.654218e-02
  4.962475e-01    1.719343e+00   3.587477e-02
  4.984579e-01    1.691611e+00   3.549657e-02
  5.006684e-01    1.727087e+00   3.577940e-02
  5.028788e-01    1.681784e+00   3.522149e-02
  5.050893e-01    1.665174e+00   3.496186e-02
  5.072997e-01    1.670066e+00   3.492862e-02
  5.095102e-01    1.657726e+00   3.471599e-02
  5.117206e-01    1.661513e+00   3.467297e-02
  5.139311e-01    1.675340e+00   3.473455e-02
  5.161416e-01    1.679147e+00   3.469182e-02
  5.183520e-01    1.675058e+00   3.456721e-02
  5.205625e-01    1.651084e+00   3.423857e-02
  5.227729e-01    1.654983e+00   3.419901e-02
  5.249834e-01    1.677396e+00   3.434988e-02
  5.271938e-01    1.709509e+00   3.459619e-02
  5.294043e-01    1.729095e+00   3.471354e-02
  5.316148e-01    1.766443e+00   3.500607e-02
  5.338252e-01    1.790549e+00   3.516358e-02
  5.360357e-01    1.754744e+00   3.473098e-02
  5.382461e-01    1.740196e+00   3.450851e-02
  5.404566e-01    1.769940e+00   3.472300e-02
  5.426670e-01    1.708287e+00   3.403600e-02
  5.448775e-01    1.718208e+00   3.405844e-02
  5.470879e-01    1.737458e+00   3.417231e-02
  5.492984e-01    1.733365e+00   3.405613e-02
  5.515089e-01    1.755407e+00   3.419599e-02
  5.537193e-01    1.727679e+00   3.385008e-02
  5.559298e-01    1.754621e+00   3.403817e-02
  5.581402e-01    1.785614e+00   3.426244e-02
  5.603507e-01    1.785252e+00   3.418443e-02
  5.625611e-01    1.798407e+00   3.423568e-02
  5.647716e-01    1.771821e+00   3.390791e-02
  5.669821e-01    1.790000e+00   3.400794e-02
  5.691925e-01    1.775267e+00   3.379500e-02
  5.714030e-01    1.729588e+00   3.328626e-02
  5.736134e-01    1.719587e+00   3.311929e-02
  5.758239e-01    1.687049e+00   3.273443e-02
  5.780343e-01    1.737124e+00   3.314641e-02
  5.802448e-01    1.715982e+00   3.287515e-02
  5.824552e-01    1.662754e+00   3.229336e-02
  5.846657e-01    1.630166e+00   3.190866e-02
  5.868762e-01    1.620039e+00   3.174318e-02
  5.890866e-01    1.670962e+00   3.217132e-02
  5.912971e-01    1.649884e+00   3.190160e-02
  5.935075e-01    1.636557e+00   3.170681e-02
  5.957180e-01    1.625993e+00   3.153948e-02
  5.979284e-01    1.627122e+00   3.148601e-02
  6.001389e-01    1.664246e+00   3.177833e-02
  6.023494e-01    1.646441e+00   3.154372e-02
  6.045598e-01    1.621151e+00   3.123678e-02
  6.067703e-01    1.687901e+00   3.180926e-02
  6.089807e-01    1.700114e+00   3.185998e-02
  6.111912e-01    1.681504e+00   3.162184e-02
  6.134016e-01    1.663430e+00   3.138872e-02
  6.156121e-01    1.654067e+00   3.123801e-02
  6.178226e-01    1.694130e+00   3.155150e-02
  6.200330e-01    1.662022e+00   3.118940e-02
  6.222435e-01    1.716685e+00   3.163537e-02
  6.244539e-01    1.714293e+00   3.155144e-02
  6.266644e-01    1.687095e+00   3.123909e-02
  6.288748e-01    1.689182e+00   3.119757e-02
  6.310853e-01    1.680611e+00   3.105789e-02
  6.332957e-01    1.700633e+00   3.118202e-02
  6.355062e-01    1.728290e+00   3.137350e-02
  6.377167e-01    1.703717e+00   3.108989e-02
  6.399271e-01    1.673830e+00   3.075695e-02
  6.421376e-01    1.701839e+00   3.095401e-02
  6.443480e-01    1.730236e+00   3.115183e-02
  6.465585e-01    1.676884e+00   3.060969e-02
  6.487689e-01    1.688889e+00   3.066105e-02
  6.509794e-01    1.634256e+00   3.010418e-02
  6.531899e-01    1.636089e+00   3.006440e-02
  6.554003e-01    1.586413e+00   2.954881e-02
  6.576108e-01    1.607826e+00   2.969217e-02
  6.598212e-01    1.621293e+00   2.976087e-02
  6.620317e-01    1.630270e+00   2.978783e-02
  6.642421e-01    1.619742e+00   2.963655e-02
  6.664526e-01    1.589495e+00   2.930446e-02
  6.686630e-01    1.579678e+00   2.915978e-02
  6.708735e-01    1.605869e+00   2.934661e-02
  6.730840e-01    1.638853e+00   2.959240e-02
  6.752944e-01    1.616556e+00   2.933697e-02
  6.775049e-01    1.603571e+00   2.916585e-02
  6.797153e-01    1.617792e+00   2.924183e-02
  6.819258e-01    1.597747e+00   2.900772e-02
  6.841362e-01    1.602429e+00   2.899793e-02
  6.863467e-01    1.579890e+00   2.874172e-02
  6.885572e-01    1.578524e+00   2.867780e-02
  6.907676e-01    1.575181e+00   2.859610e-02
  6.929781e-01    1.560113e+00   2.840841e-02
  6.951885e-01    1.548885e+00   2.825586e-02
  6.973990e-01    1.579717e+00   2.848525e-02
  6.996094e-01    1.572378e+00   2.836901e-02
  7.018199e-01    1.561388e+00   2.822007e-02
  7.040303e-01    1.593188e+00   2.845592e-02
  7.062408e-01    1.611171e+00   2.856593e-02
  7.084513e-01    1.626106e+00   2.864814e-02
  7.106617e-01    1.569377e+00   2.809508e-02
  7.128722e-01    1.573011e+00   2.807891e-02
  7.150826e-01    1.575032e+00   2.804852e-02
  7.172931e-01    1.577205e+00   2.801946e-02
  7.195035e-01    1.553405e+00   2.775947e-02
  7.217140e-01    1.549866e+00   2.777687e-02
  7.239245e-01    1.558930e+00   2.808358e-02
  7.261349e-01    1.568467e+00   2.827775e-02
  7.283454e-01    1.583029e+00   2.848132e-02
  7.305558e-01    1.558411e+00   2.831271e-02
  7.327663e-01    1.572512e+00   2.848296e-02
  7.349767e-01    1.544875e+00   2.824781e-02
  7.371872e-01    1.545291e+00   2.824050e-02
  7.393976e-01    1.555243e+00   2.831713e-02
  7.416081e-01    1.533327e+00   2.810096e-02
  7.438186e-01    1.531710e+00   2.794378e-02
  7.460290e-01    1.572049e+00   2.801535e-02
  7.482395e-01    1.584321e+00   2.795281e-02
  7.504499e-01    1.545914e+00   2.747689e-02
  7.526604e-01    1.563829e+00   2.751949e-02
  7.548708e-01    1.531909e+00   2.714899e-02
  7.570813e-01    1.544044e+00   2.720583e-02
  7.592918e-01    1.529427e+00   2.704209e-02
  7.615022e-01    1.567543e+00   2.734324e-02
  7.637127e-01    1.567604e+00   2.731108e-02
  7.659231e-01    1.524664e+00   2.690294e-02
  7.681336e-01    1.548384e+00   2.708005e-02
  7.703440e-01    1.577084e+00   2.729864e-02
  7.725545e-01    1.557157e+00   2.709491e-02
  7.747650e-01    1.598276e+00   2.741183e-02
  7.769754e-01    1.594829e+00   2.732925e-02
  7.791859e-01    1.554790e+00   2.693086e-02
  7.813963e-01    1.565831e+00   2.697395e-02
  7.836068e-01    1.550923e+00   2.679378e-02
  7.858172e-01    1.591994e+00   2.709547e-02
  7.880277e-01    1.611681e+00   2.721065e-02
  7.902381e-01    1.624854e+00   2.727199e-02
  7.924486e-01    1.570108e+00   2.675896e-02
  7.946591e-01    1.588903e+00   2.687049e-02
  7.968695e-01    1.596518e+00   2.688665e-02
  7.990800e-01    1.587598e+00   2.676349e-02
  8.012904e-01    1.622840e+00   2.701211e-02
  8.035009e-01    1.616789e+00   2.691374e-02
  8.057113e-01    1.629012e+00   2.696855e-02
  8.079218e-01    1.646992e+00   2.707020e-02
  8.101323e-01    1.578081e+00   2.645285e-02
  8.123427e-01    1.599053e+00   2.658261e-02
  8.145532e-01    1.644193e+00   2.690910e-02
  8.167636e-01    1.637729e+00   2.681100e-02
  8.189741e-01    1.616235e+00   2.659007e-02
  8.211845e-01    1.617111e+00   2.655270e-02
  8.233950e-01    1.637953e+00   2.667980e-02
  8.256054e-01    1.610040e+00   2.640769e-02
  8.278159e-01    1.584495e+00   2.615407e-02
  8.300264e-01    1.670380e+00   2.681004e-02
  8.322368e-01    1.643177e+00   2.654767e-02
  8.344473e-01    1.656173e+00   2.660883e-02
  8.366577e-01    1.624033e+00   2.630701e-02
  8.388682e-01    1.605687e+00   2.611616e-02
  8.410786e-01    1.613510e+00   2.613799e-02
  8.432891e-01    1.597318e+00   2.596520e-02
  8.454996e-01    1.617909e+00   2.609065e-02
  8.477100e-01    1.621978e+00   2.608199e-02
  8.499205e-01    1.619775e+00   2.602335e-02
  8.521309e-01    1.630170e+00   2.606600e-02
  8.543414e-01    1.578191e+00   2.560707e-02
  8.565518e-01    1.586675e+00   2.563581e-02
  8.587623e-01    1.614310e+00   2.581785e-02
  8.609727e-01    1.605284e+00   2.570564e-02
  8.631832e-01    1.590909e+00   2.555083e-02
  8.653937e-01    1.620889e+00   2.575081e-02
  8.676041e-01    1.598226e+00   2.553161e-02
  8.698146e-01    1.596979e+00   2.548260e-02
  8.720250e-01    1.587968e+00   2.537190e-02
  8.742355e-01    1.582014e+00   2.528573e-02
  8.764459e-01    1.582771e+00   2.525320e-02
  8.786564e-01    1.596899e+00   2.532783e-02
  8.808669e-01    1.590848e+00   2.524149e-02
  8.830773e-01    1.596150e+00   2.524544e-02
  8.852878e-01    1.588602e+00   2.514792e-02
  8.874982e-01    1.569745e+00   2.496195e-02
  8.897087e-01    1.597192e+00   2.514159e-02
  8.919191e-01    1.564928e+00   2.484904e-02
  8.941296e-01    1.555931e+00   2.474072e-02
  8.963401e-01    1.570606e+00   2.482104e-02
  8.985505e-01    1.558685e+00   2.469018e-02
  9.007610e-01    1.580843e+00   2.482854e-02
  9.029714e-01    1.586433e+00   2.483670e-02
  9.051819e-01    1.581131e+00   2.475818e-02
  9.073923e-01    1.579668e+00   2.471037e-02
  9.096028e-01    1.570098e+00   2.460083e-02
  9.118132e-01    1.564899e+00   2.452423e-02
  9.140237e-01    1.601543e+00   2.477307e-02
  9.162342e-01    1.595141e+00   2.468900e-02
